system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_180029_19840511,9.0,132.468369,989.0,0.9765919293304931,1984-05-11T08:12:04,4.0,2.0,1342.0,144.0,Danube_Water_Midstream,2127.0,180.0,6,66.0,1286.0,29.0,5,1312.0,69.82219481575319,782.0,34.352856,
1_1_LT05_180029_19840527,11.0,128.744751,639.0,0.0,1984-05-27T08:12:32,4.0,1.8330302779823358,891.0,134.0,Danube_Water_Midstream,2136.0,180.0,10,66.0,756.0,29.0,5,649.0,210.92389622799982,373.0,31.650875,
1_1_LT05_180029_19840628,1.0,124.501328,511.0,0.0,1984-06-28T08:13:04,4.0,1.9241827716833388,800.0,131.0,Danube_Water_Midstream,2251.0,180.0,11,66.0,691.0,29.0,5,797.0,229.19240176060248,369.0,30.94445,
1_1_LT05_180029_19840714,0.0,125.643822,572.0,0.0,1984-07-14T08:13:15,4.0,1.7320508075688772,826.0,137.0,Danube_Water_Midstream,2294.0,180.0,12,66.0,711.0,29.0,5,874.0,206.7222371524973,380.0,32.552326,
1_1_LT05_180029_19840815,2.0,133.918365,410.0,0.0,1984-08-15T08:14:22,4.0,1.3228756555322954,630.0,159.0,Danube_Water_Midstream,2035.0,180.0,8,66.0,488.0,29.0,5,852.0,155.6084328531073,368.0,38.599014,
1_1_LT05_180029_19840831,6.0,139.491745,425.0,0.0670951125874042,1984-08-31T08:14:39,4.0,1.6629588385661962,623.0,173.0,Danube_Water_Midstream,2216.0,180.0,9,66.0,474.0,29.0,5,846.0,236.6341657391463,347.0,42.777031,
1_1_LT05_180029_19841103,49.0,155.888229,,1.0,1984-11-03T08:14:33,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,63.082443,
1_1_LT05_180029_19841205,7.0,156.589294,564.0,0.1456956830462987,1984-12-05T08:14:34,4.0,0.0,767.0,240.0,Danube_Water_Midstream,1308.0,180.0,4,66.0,693.0,29.0,5,1195.0,156.27299830744914,675.0,70.48201,
1_1_LT05_180029_19850122,92.0,150.753525,,1.0,1985-01-22T08:14:58,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,69.532181,
1_1_LT05_180029_19850701,25.0,124.990494,676.0,0.0,1985-07-01T08:14:37,0.0,1.9595917942265424,1014.0,131.0,Danube_Water_Midstream,2548.0,180.0,10,66.0,906.0,29.0,5,751.0,198.1191560652326,334.0,30.950603,
1_1_LT05_180029_19850717,3.0,126.422249,,1.0,1985-07-17T08:14:30,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,32.803154,
1_1_LT05_180029_19850802,5.0,129.971207,617.0,0.0,1985-08-02T08:14:23,4.0,0.0,815.0,,Danube_Water_Midstream,2031.0,180.0,1,66.0,622.0,29.0,5,858.0,0.0,318.0,35.609291,
1_1_LT05_180029_19850818,65.0,134.906296,,1.0,1985-08-18T08:14:13,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,39.234928,
1_1_LT05_180029_19850903,15.0,140.399597,509.0,0.4839874354623246,1985-09-03T08:14:02,4.0,0.0,736.0,165.0,Danube_Water_Midstream,1817.0,180.0,1,66.0,568.0,29.0,5,662.0,0.0,316.0,43.565807,
1_1_LT05_180029_19851106,54.0,155.75264,,1.0,1985-11-06T08:13:15,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,64.022217,
1_1_LT05_180029_19851208,4.0,155.880249,,0.7606599992779002,1985-12-08T08:12:41,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,71.047905,
1_1_LT05_180029_19860109,8.0,152.039536,,0.3813529744496999,1986-01-09T08:12:06,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,71.684586,
1_1_LT05_180029_19860330,0.0,140.01033,646.0,0.0,1986-03-30T08:10:22,4.0,0.0,781.0,189.0,Danube_Water_Midstream,1117.0,180.0,3,66.0,829.0,29.0,5,1176.0,118.23517055240164,809.0,47.975624,
1_1_LT05_180029_19860501,29.0,133.804092,,1.0,1986-05-01T08:09:38,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,37.326466,
1_1_LT05_180029_19860517,1.0,129.902283,453.0,0.0,1986-05-17T08:09:12,4.0,1.3228756555322954,718.0,142.0,Danube_Water_Midstream,2092.0,180.0,8,66.0,538.0,29.0,5,887.0,165.1098119434457,409.0,33.767372,
1_1_LT05_180029_19860602,12.0,126.031006,852.0,0.31779615120771215,1986-06-02T08:08:45,0.0,1.9595917942265424,1003.0,134.0,Danube_Water_Midstream,2505.0,180.0,5,66.0,791.0,29.0,5,943.0,173.14849118603374,339.0,31.744144,
1_1_LT05_180029_19860618,6.0,123.30468,503.0,0.0,1986-06-18T08:08:15,4.0,0.0,731.0,133.0,Danube_Water_Midstream,1797.0,180.0,7,66.0,593.0,29.0,5,856.0,164.433225700543,445.0,31.316982,
1_1_LT05_180029_19860704,50.0,122.67392,1196.0,0.30263205401307014,1986-07-04T08:07:43,0.0,1.8461538461538463,1276.0,136.0,Danube_Water_Midstream,2210.0,180.0,13,66.0,980.0,29.0,5,825.0,189.90062801557556,421.0,32.270256,
1_1_LT05_180029_19860720,0.0,124.403969,618.0,0.0,1986-07-20T08:07:11,4.0,1.1499191491521374,797.0,144.0,Danube_Water_Midstream,2034.0,180.0,11,66.0,610.0,29.0,5,898.0,192.7010702599723,390.0,34.327431,
1_1_LT05_180029_19860906,2.0,138.613953,434.0,0.0,1986-09-06T08:05:25,4.0,0.0,590.0,181.0,Danube_Water_Midstream,2023.0,180.0,8,66.0,439.0,29.0,5,968.0,155.4034567665726,405.0,45.376644,
1_1_LT05_180029_19860922,2.0,143.834274,377.0,0.0,1986-09-22T08:04:56,4.0,0.0,503.0,192.0,Danube_Water_Midstream,1942.0,180.0,2,66.0,425.0,29.0,5,1002.0,99.0,400.0,50.294361,
1_1_LT05_180029_19861008,25.0,148.252808,,1.0,1986-10-08T08:04:25,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,55.534897,
1_1_LT05_180029_19861024,1.0,151.51149,551.0,0.0,1986-10-24T08:03:52,4.0,0.0,668.0,223.0,Danube_Water_Midstream,1830.0,180.0,5,66.0,585.0,29.0,5,1068.0,176.2505035453801,473.0,60.767159,
1_1_LT05_180029_19861109,39.0,153.409454,692.0,0.2254034733003575,1986-11-09T08:03:17,4.0,0.0,831.0,232.0,Danube_Water_Midstream,1936.0,180.0,4,66.0,763.0,29.0,5,1271.0,123.99672374704099,688.0,65.594322,
1_1_LT05_180029_19861227,78.0,152.080978,,0.671504735771624,1986-12-27T08:03:45,,,,,Danube_Water_Midstream,,180.0,0,,,29.0,5,,,,72.991455,
1_1_LT05_180029_19870112,53.0,149.951645,804.0,0.04153277731643621,1987-01-12T08:04:13,4.0,0.0,916.0,243.0,Danube_Water_Midstream,1490.0,180.0,3,66.0,971.0,29.0,5,1144.0,111.45203253218625,665.0,72.044998,
1_1_LT05_180029_19870418,15.0,136.128143,713.0,0.0,1987-04-18T08:07:38,4.0,0.0,859.0,169.0,Danube_Water_Midstream,1240.0,180.0,3,66.0,859.0,29.0,5,1100.0,75.35397947170522,699.0,41.536339,
