system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_180029_19840815,2.0,133.918365,768.0,0.0,1984-08-15T08:14:22,0.0,1.4907119849998598,1143.0,164.0,Danube_Water_Upstream,1852.0,180.0,6,66.0,1146.0,29.0,5,1908.0,637.1311787135273,1547.0,38.599014,
1_1_LT05_180029_19840831,6.0,139.491745,779.0,0.0,1984-08-31T08:14:39,0.0,2.0,1136.0,176.0,Danube_Water_Upstream,1535.0,180.0,12,66.0,1148.0,29.0,5,1369.0,863.1338572640719,1062.0,42.777031,
1_1_LT05_180029_19860501,29.0,133.804092,,1.0,1986-05-01T08:09:38,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,37.326466,
1_1_LT05_180029_19860517,1.0,129.902283,685.0,0.0,1986-05-17T08:09:12,4.0,,943.0,,Danube_Water_Upstream,1507.0,180.0,0,66.0,852.5,29.0,5,1043.0,,886.0,33.767372,
1_1_LT05_180029_19860602,12.0,126.031006,772.0,0.0,1986-06-02T08:08:45,4.0,,982.0,,Danube_Water_Upstream,1874.0,180.0,0,66.0,876.0,29.0,5,829.0,,525.0,31.744144,
1_1_LT05_180029_19860618,6.0,123.30468,698.0,0.0,1986-06-18T08:08:15,4.0,,999.0,,Danube_Water_Upstream,2237.0,180.0,0,66.0,908.5,29.0,5,1427.0,,720.5,31.316982,
1_1_LT05_180029_19860704,50.0,122.67392,935.0,0.0,1986-07-04T08:07:43,4.0,,1131.0,,Danube_Water_Upstream,1831.0,180.0,0,66.0,967.0,29.0,5,913.0,,703.0,32.270256,
1_1_LT05_180029_19860720,0.0,124.403969,710.0,0.0,1986-07-20T08:07:11,4.0,0.0,981.0,148.0,Danube_Water_Upstream,1634.0,180.0,1,66.0,912.0,29.0,5,1015.0,0.0,706.0,34.327431,
1_1_LT05_180029_19861008,25.0,148.252808,,1.0,1986-10-08T08:04:25,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,55.534897,
1_1_LT05_180029_19861024,1.0,151.51149,774.0,0.3598179117969909,1986-10-24T08:03:52,4.0,,870.0,,Danube_Water_Upstream,1243.0,180.0,0,66.0,817.0,29.0,5,1037.0,,735.0,60.767159,
1_1_LT05_180029_19861109,39.0,153.409454,,1.0,1986-11-09T08:03:17,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,65.594322,
1_1_LT05_180029_19890525,75.0,129.293182,,1.0,1989-05-25T08:12:58,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,31.92865,
1_1_LT05_180029_19890829,11.0,137.577103,1587.0,0.633587786259542,1989-08-29T08:11:01,0.0,,1623.0,,Danube_Water_Upstream,2248.0,180.0,0,66.0,1536.0,29.0,5,1705.0,,1234.0,42.523544,
1_1_LT05_180029_19891219,69.0,153.770905,,1.0,1989-12-19T08:07:56,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,72.443489,
1_1_LT05_180029_19900120,69.0,149.116196,,1.0,1990-01-20T08:06:56,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,70.673538,
1_1_LT05_180029_19900309,26.0,141.517395,,1.0,1990-03-09T08:05:20,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,56.620098,
1_1_LT05_180029_19901120,19.0,154.179047,,1.0,1990-11-20T08:04:02,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,68.316231,
1_1_LT05_180029_19920415,39.0,136.676636,1291.0,0.9167589396209209,1992-04-15T08:08:35,4.0,,1496.0,,Danube_Water_Upstream,1548.0,180.0,0,66.0,1448.0,29.0,5,1257.0,,979.0,42.200752,
1_1_LT05_180029_19920602,0.0,125.740166,905.0,0.0985766794400563,1992-06-02T08:08:07,4.0,,1127.0,,Danube_Water_Upstream,1553.0,180.0,0,66.0,996.0,29.0,5,1021.0,,785.0,31.770329,
1_1_LT05_180029_19920704,38.0,122.735077,2955.0,0.0,1992-07-04T08:07:44,0.0,0.0,3117.0,136.0,Danube_Water_Upstream,4442.0,180.0,14,66.0,2939.0,29.0,5,3387.0,73.00059407082223,2741.0,32.296101,
1_1_LT05_180029_19921024,11.0,152.19133,,1.0,1992-10-24T08:06:01,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,60.701706,
1_1_LT05_180029_19921109,38.0,154.077133,1294.0,0.8836318360310315,1992-11-09T08:05:43,0.0,0.0,1413.0,232.0,Danube_Water_Upstream,1731.0,180.0,5,66.0,1500.0,29.0,5,1739.0,471.7791856366705,1204.0,65.499519,
1_1_LT05_180029_19940523,35.0,126.6259,773.0,0.0,1994-05-23T08:03:58,4.0,0.0,1038.0,,Danube_Water_Upstream,1344.0,180.0,1,68.0,994.0,29.0,5,1124.0,0.0,801.0,33.475433,
1_1_LT05_180029_19940608,96.0,123.103195,,1.0,1994-06-08T08:03:40,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,32.088322,
1_1_LT05_180029_19940624,72.0,121.196739,744.0,0.0,1994-06-24T08:03:19,4.0,0.0,967.0,,Danube_Water_Upstream,1211.0,180.0,1,66.0,910.0,29.0,5,1007.0,0.0,830.0,32.201393,
1_1_LT05_180029_19950729,5.0,120.708092,572.0,0.0,1995-07-29T07:48:47,4.0,0.0,807.0,,Danube_Water_Upstream,955.0,180.0,1,66.0,790.0,29.0,5,976.0,0.0,769.0,38.525974,
1_1_LT05_180029_19950814,0.0,125.19207,714.0,0.0,1995-08-14T07:48:03,4.0,2.0,980.0,172.0,Danube_Water_Upstream,1164.0,180.0,2,66.0,858.0,29.0,5,1076.0,44.0,843.0,41.798862,
1_1_LT05_180029_19951001,90.0,141.029205,,1.0,1995-10-01T07:45:43,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,55.152172,
1_1_LT05_180029_19951017,6.0,145.060226,695.0,0.0,1995-10-17T07:44:52,4.0,,920.0,,Danube_Water_Upstream,1264.0,180.0,0,66.0,862.0,29.0,5,1210.0,,827.0,60.254898,
1_1_LT05_180029_19990214,71.0,149.558029,,1.0,1999-02-14T08:23:50,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,62.912392,
1_1_LT05_180029_19990809,0.0,134.467773,846.0,0.40638356271811144,1999-08-09T08:22:16,4.0,,1171.0,,Danube_Water_Upstream,1506.0,180.0,0,130.0,1038.0,29.0,5,1108.5,,839.0,35.998093,
1_1_LT05_180029_19990825,75.0,139.635437,,1.0,1999-08-25T08:22:00,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,40.02734,
1_1_LT05_180029_20000201,2.0,150.156616,,0.6085103635307032,2000-02-01T08:18:55,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,67.195656,
1_1_LT05_180029_20000217,14.0,147.777893,,1.0,2000-02-17T08:18:25,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,62.584579,
1_1_LT05_180029_20020121,19.0,152.86142,,1.0,2002-01-21T08:23:36,,,,,Danube_Water_Upstream,,180.0,0,,,29.0,5,,,,69.064011,
