system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_179028_19840605,16.0,129.310135,,1.0,1984-06-05T08:06:09,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,31.484798,
1_1_LT05_179028_19840621,24.0,127.257774,1490.0,0.0,1984-06-21T08:06:24,0.0,0.5038870758649454,1654.0,132.0,Dnieper_Water_Downstream,3037.0,179.0,124,66.0,1591.0000000000002,28.0,5,2298.6491499227204,306.47417860466646,1703.0,31.204025,
1_1_LT05_179028_19840707,63.0,127.261452,,1.0,1984-07-07T08:06:35,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,32.314213,
1_1_LT05_179028_19840723,6.0,129.514084,892.0,0.9882000374601986,1984-07-23T08:07:01,0.0,0.0,1010.0,,Dnieper_Water_Downstream,2739.0,179.0,1,130.0,792.0,28.0,5,1667.0,0.0,691.0,34.555992,
1_1_LT05_179028_19840909,40.0,143.974701,,1.0,1984-09-09T08:08:06,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,46.362789,
1_1_LT05_179028_19840925,5.0,148.903748,479.0,0.0,1984-09-25T08:08:08,4.0,1.9138576740892035,721.0,199.0,Dnieper_Water_Downstream,2414.431639501438,179.0,124,66.0,656.8253644314868,28.0,5,1851.3962620351142,111.10302700314308,853.0,51.501419,
1_1_LT05_179028_19841027,1.0,155.776443,695.0,0.20412686520571885,1984-10-27T08:08:02,0.0,1.8708423277236728,848.9999999999999,225.0,Dnieper_Water_Downstream,1742.0,179.0,99,66.0,914.9813602015109,28.0,5,1911.0,92.87684510302013,1004.9999999999999,62.113457,
1_1_LT05_179028_19841128,50.0,157.462479,,1.0,1984-11-28T08:07:55,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,70.487366,
1_1_LT05_179028_19841214,39.0,156.498688,,0.7180807891615159,1984-12-14T08:08:06,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,72.727936,
1_1_LT05_179028_19841230,4.0,154.688339,1008.0,0.5482612224511457,1984-12-30T08:08:15,0.0,1.8070158058105026,1131.0,244.0,Dnieper_Water_Downstream,1520.0,179.0,56,66.0,1276.0,28.0,5,1329.0,120.35741839731024,793.0,73.214066,
1_1_LT05_179028_19850115,2.0,152.427155,1065.0,0.2685896235250046,1985-01-15T08:08:21,0.0,1.0605487754478669,1119.0,242.0,Dnieper_Water_Downstream,1551.0,179.0,92,66.0,1243.0,28.0,5,1251.0,148.10286549064728,708.0000000000001,71.815109,
1_1_LT05_179028_19850131,59.0,150.070831,,1.0,1985-01-31T08:08:25,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,68.641388,
1_1_LT05_179028_19850405,51.0,141.976425,,1.0,1985-04-05T08:08:22,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,46.014793,
1_1_LT05_179028_19850421,89.0,139.491516,782.9999999999998,8.740712992445523E-4,1985-04-21T08:08:17,0.0,0.9826804007566333,975.9999999999999,165.0,Dnieper_Water_Downstream,1476.9999999999998,179.0,124,66.0,1109.0,28.0,5,1684.9999999999998,216.42702419709403,1153.0,40.398186,
1_1_LT05_179028_19850507,72.0,136.36319,,1.0,1985-05-07T08:08:08,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,35.810745,
1_1_LT05_179028_19850523,43.0,132.783295,,1.0,1985-05-23T08:08:08,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,32.637245,
1_1_LT05_179028_19850710,3.0,127.899384,309.99999999999994,0.0,1985-07-10T08:07:59,0.0,1.3043591367197245,597.0,137.0,Dnieper_Water_Downstream,3298.6572637517625,179.0,124,66.0,382.0,28.0,5,1614.9999999999998,98.95771729731504,624.0000000000001,32.476677,
1_1_LT05_179028_19850811,0.0,134.50235,440.9999999999999,0.25822563526253356,1985-08-11T08:07:43,0.0,0.4147561745291068,687.0,158.0,Dnieper_Water_Downstream,3594.720453318942,179.0,92,66.0,507.0,28.0,5,1721.0,99.35581442053841,675.9999999999999,38.318851,
1_1_LT05_179028_19850827,0.0,139.549332,380.0,0.0,1985-08-27T08:07:32,0.0,0.0,665.0,172.0,Dnieper_Water_Downstream,3368.0,179.0,124,66.0,481.9999999999999,28.0,5,1731.074020319303,103.98363204663922,784.9999999999999,42.465134,
1_1_LT05_179028_19851201,25.0,156.861008,,0.9998751326715365,1985-12-01T08:06:15,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,71.154518,
1_1_LT05_179028_19860307,84.0,144.35231,,1.0,1986-03-07T08:04:14,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,57.738884,
1_1_LT05_179028_19860323,28.0,142.285995,732.0,0.9150902166448147,1986-03-23T08:03:56,4.0,0.0,847.0,202.0,Dnieper_Water_Downstream,1224.0,179.0,11,66.0,931.0,28.0,5,1572.0,111.7815165312078,952.0,51.605785,
1_1_LT05_179028_19860408,0.0,139.977982,670.0000000000001,0.0,1986-04-08T08:03:36,0.0,0.8583312706871014,885.9999999999999,182.00000000000003,Dnieper_Water_Downstream,1411.1555340432399,179.0,124,66.0,997.7361366622864,28.0,5,1893.0,214.2113859836012,1236.0000000000002,45.576309,
1_1_LT05_179028_19860424,88.0,137.166611,,1.0,1986-04-24T08:03:14,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,40.187496,
1_1_LT05_179028_19860526,44.0,129.950287,759.0,0.8013360804145594,1986-05-26T08:02:22,0.0,1.9983993594874876,946.0,139.0,Dnieper_Water_Downstream,2531.0,179.0,25,130.0,737.0,28.0,5,1500.0,108.8467840590621,749.0,33.095566,
1_1_LT05_179028_19860611,31.0,126.721718,497.0,0.0,1986-06-11T08:01:53,0.0,0.6145986736534725,784.0,135.0,Dnieper_Water_Downstream,3078.0,179.0,124,66.0,574.9999999999999,28.0,5,1690.0,93.86586111539413,707.0,31.909409,
1_1_LT05_179028_19860627,85.0,125.085464,,1.0,1986-06-27T08:01:23,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,32.246449,
1_1_LT05_179028_19860713,9.0,125.66539,455.00000000000006,0.0,1986-07-13T08:00:50,0.0,0.35775924214223925,722.9999999999999,142.0,Dnieper_Water_Downstream,3240.0000000000005,179.0,124,66.0,516.9999999999999,28.0,5,1646.9999999999998,88.1339539993216,671.9999999999998,33.876122,
1_1_LT05_179028_19860729,66.0,128.386276,685.0,0.0,1986-07-29T08:00:17,0.0,0.0,954.9999999999999,152.0,Dnieper_Water_Downstream,3846.0052185257664,179.0,124,66.0,699.9999999999999,28.0,5,1979.0606276747505,113.56956707708636,825.0,36.519341,
1_1_LT05_179028_19860814,2.0,132.66156,446.0,0.0,1986-08-14T07:59:42,0.0,0.7067387838776337,745.9999999999999,164.0,Dnieper_Water_Downstream,2982.100039231071,179.0,124,66.0,556.0000000000001,28.0,5,1779.9220397156166,106.18060199176617,738.9999999999999,40.013607,
1_1_LT05_179028_19860830,1.0,137.735947,416.0,0.0,1986-08-30T07:59:05,0.0,0.7067387838776337,705.0,178.0,Dnieper_Water_Downstream,2850.6007303712718,179.0,124,66.0,583.0,28.0,5,1747.1648910411625,115.44727862327117,775.9999999999999,44.223515,
1_1_LT05_179028_19860915,2.0,142.880188,547.0,0.0,1986-09-15T07:58:34,0.0,1.8817818730368052,772.3140865584685,193.0,Dnieper_Water_Downstream,2584.6625058511468,179.0,124,66.0,705.0,28.0,5,1895.0,135.51758413114112,861.0,49.033733,
1_1_LT05_179028_19861017,94.0,151.100494,,1.0,1986-10-17T07:57:32,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,59.590569,
1_1_LT05_179028_19861118,18.0,154.504776,917.0,0.5558781294874197,1986-11-18T07:56:21,0.0,1.2470129599623452,1024.0,238.0,Dnieper_Water_Downstream,1622.0,179.0,55,66.0,1140.0,28.0,5,1785.0,95.23568676214617,1115.0,69.112419,
1_1_LT05_179028_19861204,36.0,154.446884,579.0000000000001,0.0,1986-12-04T07:56:28,4.0,1.7502787053226496,776.6607121082794,243.0,Dnieper_Water_Downstream,1375.0,179.0,124,66.0,866.0,28.0,5,1677.9999999999998,151.62491887870507,958.9999999999997,72.323181,
1_1_LT05_179028_19870105,26.0,151.514175,,1.0,1987-01-05T07:57:26,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,73.794449,
1_1_LT05_179028_19870427,54.0,136.155212,,1.0,1987-04-27T08:01:19,,,,,Dnieper_Water_Downstream,,179.0,0,,,28.0,5,,,,39.490788,
1_1_LT05_179028_19870513,34.0,132.916412,470.0,0.0,1987-05-13T08:01:47,4.0,0.0,620.0,145.0,Dnieper_Water_Downstream,1177.0,179.0,16,66.0,681.0,28.0,5,1027.0,117.44832640357205,670.0,35.334911,
