system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_178028_19840902,21.0,141.655243,,1.0,1984-09-02T08:01:54,,,,,Dnieper_Water_Midstream,,178.0,0,,,28.0,5,,,,44.257854,
1_1_LT05_178028_19900311,7.0,142.254578,538.3376623376623,0.0,1990-03-11T07:52:31,0.0,1.588114253436595,678.5329409531041,213.0,Dnieper_Water_Midstream,1467.2164685908317,178.0,102,66.0,885.1177347242921,28.0,5,1894.875,322.0575224553654,1137.4673575129534,56.818439,
1_1_LT05_178028_19951019,8.0,146.330917,527.0,0.05141335518230235,1995-10-19T07:32:00,4.0,1.9499920860871383,724.0,225.0,Dnieper_Water_Midstream,2397.0,178.0,18,66.0,701.0,28.0,5,1902.0,231.45127877038064,872.0,61.899086,
1_1_LT05_178028_20070310,70.0,152.043655,639.0,0.0,2007-03-10T08:26:48,0.0,1.9983993594874876,770.0,206.0,Dnieper_Water_Midstream,1434.0,178.0,50,66.0,906.0,28.0,5,1768.0,389.44504156555934,1028.0,54.031067,
1_1_LT05_178028_20070513,26.0,144.295502,,1.0,2007-05-13T08:26:22,,,,,Dnieper_Water_Midstream,,178.0,0,,,28.0,5,,,,31.834045,
1_1_LT05_178028_20080920,96.0,152.087616,,1.0,2008-09-20T08:16:45,,,,,Dnieper_Water_Midstream,,178.0,0,,,28.0,5,,,,48.62664,
1_1_LT05_179027_19901012,6.0,151.008606,448.2264914054601,0.0,1990-10-12T07:57:15,4.0,1.9978946919363227,686.7728566346495,219.0,Dnieper_Water_Midstream,2002.7525279403937,179.0,109,66.0,661.6914608196873,27.0,5,1837.1225078068696,258.47521788901287,920.0676515256109,58.98011,
1_1_LT05_179027_19910201,14.0,148.33136,,1.0,1991-02-01T07:58:12,,,,,Dnieper_Water_Midstream,,179.0,0,,,27.0,5,,,,70.41993,
1_1_LT05_179028_19840605,16.0,129.310135,,1.0,1984-06-05T08:06:09,,,,,Dnieper_Water_Midstream,,179.0,0,,,28.0,5,,,,31.484798,
1_1_LT05_179028_19840621,24.0,127.257774,1199.0000000000002,0.028190215531987677,1984-06-21T08:06:24,0.0,0.7455193104712505,1431.9999999999998,131.99999999999997,Dnieper_Water_Midstream,3383.9719372359687,179.0,111,66.0,1333.0000000000002,28.0,5,2093.0,563.105735031692,1198.0,31.204025,
1_1_LT05_179028_19840707,63.0,127.261452,,1.0,1984-07-07T08:06:35,,,,,Dnieper_Water_Midstream,,179.0,0,,,28.0,5,,,,32.314213,
1_1_LT05_179028_19840723,6.0,129.514084,,1.0,1984-07-23T08:07:01,,,,,Dnieper_Water_Midstream,,179.0,0,,,28.0,5,,,,34.555992,
1_1_LT05_179028_19840909,40.0,143.974701,1152.0,0.0,1984-09-09T08:08:06,0.0,0.0,1390.0,185.0,Dnieper_Water_Midstream,3443.6469632997723,179.0,114,66.0,1252.0000000000002,28.0,5,2537.9287197231833,911.7587805274387,1281.0,46.362789,
1_1_LT05_179028_19840925,5.0,148.903748,565.0635975320362,0.0,1984-09-25T08:08:08,0.0,1.5373498383929038,838.875,199.99999999999997,Dnieper_Water_Midstream,2733.048890714873,179.0,111,66.0,799.0,28.0,5,2107.2064777327932,931.8789654768422,1040.9315068493152,51.501419,
1_1_LT05_179028_19841027,1.0,155.776443,681.0,9.579199452617172E-4,1984-10-27T08:08:02,0.0,1.2622013470006828,862.0,225.0,Dnieper_Water_Midstream,1939.0000000000002,179.0,107,66.0,979.9999999999999,28.0,5,2085.5222352252777,655.7591649779787,1197.0,62.113457,
1_1_LT05_179028_19841128,50.0,157.462479,529.7331240188382,0.14782757440985286,1984-11-28T08:07:55,0.0,1.9803637734574346,797.0000000000001,241.0,Dnieper_Water_Midstream,1677.0000000000002,179.0,93,66.0,945.0,28.0,5,1813.0,634.3713482774263,1034.143495254048,70.487366,
1_1_LT05_179028_19841214,39.0,156.498688,1595.0000000000002,0.12346903865891203,1984-12-14T08:08:06,0.0,0.39799497484264795,1833.9999999999998,244.0,Dnieper_Water_Midstream,2368.0,179.0,100,66.0,1912.0,28.0,5,2022.0000000000002,621.8719517714237,1358.0,72.727936,
1_1_LT05_179028_19841230,4.0,154.688339,,0.9997263085870681,1984-12-30T08:08:15,,,,,Dnieper_Water_Midstream,,179.0,0,,,28.0,5,,,,73.214066,
