system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_198032_19840509,9.0,126.403831,3230.0,0.0,1984-05-09T10:04:27,0.0,0.0,4296.0,138.0,Ebro_Land_Midstream,4910.0,198.0,19,66.0,4418.0,32.0,5,4385.0,368.45050258234994,3695.0,32.698334,
1_1_LT05_198032_19840525,8.0,121.778374,729.0,0.0,1984-05-25T10:04:55,4.0,1.8856180831641267,1073.0,128.0,Ebro_Land_Midstream,2041.0,198.0,3,66.0,926.0,32.0,5,822.0,202.43682142008322,526.0,30.091599,
1_1_LT05_198032_19840626,0.0,116.648026,691.0,0.0,1984-06-26T10:05:29,4.0,1.7320508075688772,941.0,125.0,Ebro_Land_Midstream,1722.0,198.0,4,66.0,817.0,32.0,5,806.0,184.9195771139443,431.0,29.3722,
1_1_LT05_198032_19840829,2.0,133.937454,927.0,0.0,1984-08-29T10:07:04,4.0,1.7320508075688772,1109.0,163.0,Ebro_Land_Midstream,2178.0,198.0,4,66.0,906.0,32.0,5,970.0,223.06655396988586,410.0,39.726109,
1_1_LT05_198032_19840914,21.0,140.349106,,1.0,1984-09-14T10:07:08,,,,,Ebro_Land_Midstream,,198.0,0,,,32.0,5,,,,44.081879,
1_1_LT05_198032_19840930,0.0,146.018677,434.0,0.0,1984-09-30T10:07:09,4.0,0.0,608.0,192.0,Ebro_Land_Midstream,1707.0,198.0,3,66.0,520.0,32.0,5,771.0,184.51799069166356,385.0,48.956512,
1_1_LT05_198032_19841101,5.0,153.446777,711.0,0.0,1984-11-01T10:07:00,4.0,0.0,844.0,219.0,Ebro_Land_Midstream,1775.0,198.0,3,66.0,692.0,32.0,5,940.0,113.88395653275971,492.0,59.007393,
1_1_LT05_198032_19841117,58.0,154.905396,,1.0,1984-11-17T10:06:54,,,,,Ebro_Land_Midstream,,198.0,0,,,32.0,5,,,,63.347878,
1_1_LT05_198032_19850104,42.0,151.667801,916.0,0.3450446791226645,1985-01-04T10:07:18,0.0,0.0,1130.0,237.0,Ebro_Land_Midstream,2645.0,198.0,1,66.0,1084.0,32.0,5,1578.0,0.0,847.0,68.418999,
1_1_LT05_198032_19850120,100.0,149.134186,,1.0,1985-01-20T10:07:24,,,,,Ebro_Land_Midstream,,198.0,0,,,32.0,5,,,,66.592133,
