system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_137043_19880102,2.0,144.493225,1444.1163245356795,0.0,1988-01-02T03:53:15,0.0,0.0,1809.071368597817,213.00000000000003,Ganges_Land_Upstream,2315.0,137.0,591,66.0,1899.8234797297296,43.0,5,3291.6,876.8872615479065,2913.0,56.666958,
1_1_LT05_137043_19880219,2.0,133.271469,,1.0,1988-02-19T03:54:05,,,,,Ganges_Land_Upstream,,137.0,0,,,43.0,5,,,,49.209042,
1_1_LT05_137043_19880306,13.0,128.243179,1727.0,0.0,1988-03-06T03:54:15,0.0,0.0,2211.0,179.00000000000003,Ganges_Land_Upstream,2623.9999999999995,137.0,591,66.0,2282.6637467648816,43.0,5,3478.0,600.5119171901165,3388.2971598134804,44.436451,
1_1_LT05_137043_19880407,43.0,115.367805,1789.9999999999998,0.0,1988-04-07T03:54:30,0.0,0.16439875196603884,2258.0000000000005,145.0,Ganges_Land_Upstream,2876.0000000000005,137.0,591,66.0,2367.9999999999995,43.0,5,3593.9999999999995,563.7498355263697,3240.0,34.676197,
1_1_LT05_137043_19880930,52.0,131.28569,,1.0,1988-09-30T03:55:03,,,,,Ganges_Land_Upstream,,137.0,0,,,43.0,5,,,,38.617222,
1_1_LT05_137043_19881016,5.0,138.606018,1497.0,0.0,1988-10-16T03:54:59,0.0,0.7180219742846006,1891.931790499391,172.00000000000003,Ganges_Land_Upstream,2268.5,137.0,300,66.0,1951.9999999999998,43.0,5,3238.378806333739,1020.7327381782602,3022.0,42.55402,
1_1_LT05_137043_19881101,52.0,143.744537,1258.0,0.9920376378974692,1988-11-01T03:55:01,0.0,,1557.0,,Ganges_Land_Upstream,1960.0,137.0,0,66.0,1652.0,43.0,5,2745.0,,2378.0,46.793804,
1_1_LT05_137043_19890104,3.0,144.28389,1495.0,0.0,1989-01-04T03:54:44,0.0,0.17541127825419717,1866.9749393694426,212.99999999999997,Ganges_Land_Upstream,2321.039891451832,137.0,519,66.0,1940.8629329403093,43.0,5,3479.4,829.4465070637373,3286.191460055096,56.496311,
1_1_LT05_137043_19890205,8.0,137.018539,1628.9999999999998,0.0,1989-02-05T03:54:27,0.0,0.29622407468358364,2081.322205882353,202.00000000000006,Ganges_Land_Upstream,2520.8674973408297,137.0,544,66.0,2195.6962140516926,43.0,5,3758.571359458152,778.5110983298508,3609.957825128581,52.481094,
1_1_LT05_137043_19890221,5.0,132.446732,1587.9999999999998,0.019948085658663215,1989-02-21T03:54:21,0.0,0.1726124403913489,1982.289361702127,190.99999999999997,Ganges_Land_Upstream,2339.809991235758,137.0,536,66.0,2086.583261283071,43.0,5,3345.1642973192525,558.714716355911,3250.305333333333,48.451233,
1_1_LT05_137043_19890309,0.0,127.197472,1634.2933663495373,0.0,1989-03-09T03:53:57,0.0,0.241647216153416,2105.9111619987075,175.99999999999997,Ganges_Land_Upstream,2597.0,137.0,546,66.0,2258.0,43.0,5,3789.8674197384066,574.8255070451902,3930.5771074476784,43.652916,
