system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_137044_19880102,3.0,143.707779,,0.300826234592473,1988-01-02T03:53:39,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,55.637836,
1_1_LT05_137044_19880219,1.0,132.109619,,0.0,1988-02-19T03:54:29,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,48.398026,
1_1_LT05_137044_19880306,19.0,126.829018,,0.0,1988-03-06T03:54:39,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,43.741444,
1_1_LT05_137044_19880407,3.0,113.23011,,0.0,1988-04-07T03:54:54,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,34.290482,
1_1_LT05_137044_19880914,44.0,120.162994,,0.0,1988-09-14T03:55:34,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,34.821297,
1_1_LT05_137044_19880930,82.0,129.611938,,1.0,1988-09-30T03:55:26,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,37.860371,
1_1_LT05_137044_19881016,44.0,137.262787,,0.0,1988-10-16T03:55:22,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,41.646919,
1_1_LT05_137044_19881101,15.0,142.651291,,0.0,1988-11-01T03:55:25,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,45.778744,
1_1_LT05_137044_19890104,2.0,143.487488,,0.0,1989-01-04T03:55:07,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,55.471203,
1_1_LT05_137044_19890205,0.0,136.028427,,0.0,1989-02-05T03:54:51,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,51.598652,
1_1_LT05_137044_19890221,2.0,131.251999,,0.0,1989-02-21T03:54:45,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,47.659592,
1_1_LT05_137044_19890309,2.0,125.731407,,0.0,1989-03-09T03:54:21,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,42.978867,
1_1_LT05_137044_19890325,6.0,119.220901,,0.0,1989-03-25T03:53:44,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,38.15519,
1_1_LT05_137044_19890410,6.0,111.576538,,0.2763784133665166,1989-04-10T03:53:57,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,33.852676,
1_1_LT05_137044_19890426,24.0,102.905426,,1.0,1989-04-26T03:53:38,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,30.627571,
1_1_LT05_137044_19890512,22.0,94.288368,,0.0,1989-05-12T03:53:24,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,28.838524,
1_1_LT05_137044_19891003,100.0,129.591766,,1.0,1989-10-03T03:50:29,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,39.409077,
1_1_LT05_137044_19891019,7.0,136.757706,,0.0,1989-10-19T03:49:45,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,43.232544,
1_1_LT05_137044_19891104,0.0,141.708191,,0.0,1989-11-04T03:49:29,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,47.347565,
1_1_LT05_137044_19891120,0.0,144.383179,,0.0,1989-11-20T03:48:48,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,51.19162,
1_1_LT05_137044_19891222,0.0,143.848999,1003.0,0.0,1989-12-22T03:48:04,4.0,1.997498435543818,1238.0,212.0,Ganges_Water_Midstream,1224.0,137.0,40,66.0,1154.0,44.0,5,1176.0,140.35615189581125,807.0,56.142815,
1_1_LT05_137044_19900107,0.0,141.299759,933.9999999999999,0.0,1990-01-07T03:47:30,4.0,1.9727351634205728,1188.0,213.0,Ganges_Water_Midstream,1222.0,137.0,79,66.0,1158.0,44.0,5,1322.5971563981043,176.4747778579047,911.0,56.461308,
1_1_LT05_137044_19900123,78.0,137.724243,,1.0,1990-01-23T03:47:03,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,55.162834,
1_1_LT05_137044_19900208,44.0,133.370392,,1.0,1990-02-08T03:46:32,,,,,Ganges_Water_Midstream,,137.0,0,,,44.0,5,,,,52.376945,
