system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_141048_19880114,1.0,137.833542,771.0,0.6104351751164367,1988-01-14T04:20:10,0.0,1.9720265943665387,1007.0,193.0,Godavari_Water_Midstream,1754.0,141.0,12,66.0,1041.0,48.0,5,1787.0,522.364788459389,1176.0,51.280281,
1_1_LT05_141048_19880130,1.0,133.647552,575.0,0.0,1988-01-30T04:20:28,4.0,0.0,778.0,,Godavari_Water_Midstream,1570.0,141.0,2,66.0,849.0,48.0,5,1302.0,140.0,811.0,49.462467,
1_1_LT05_141048_19880215,28.0,128.518036,789.0,0.0,1988-02-15T04:20:45,0.0,0.0,1092.0,176.0,Godavari_Water_Midstream,1895.0,141.0,7,66.0,1127.0,48.0,5,1905.0,382.1019737810144,1267.0,46.333817,
1_1_LT05_141048_19880302,57.0,122.415642,,1.0,1988-03-02T04:20:56,,,,,Godavari_Water_Midstream,,141.0,0,,,48.0,5,,,,42.332027,
1_1_LT05_141048_19880318,0.0,115.172867,654.0,0.0,1988-03-18T04:21:04,0.0,1.6629588385661962,994.0,148.0,Godavari_Water_Midstream,1650.0,141.0,9,66.0,1091.0,48.0,5,1992.5,535.6230017465642,1594.0,38.040989,
1_1_LT05_141048_19880403,16.0,106.615326,,1.0,1988-04-03T04:21:12,,,,,Godavari_Water_Midstream,,141.0,0,,,48.0,5,,,,34.112106,
1_1_LT05_141048_19880606,89.0,74.544502,,1.0,1988-06-06T04:21:39,,,,,Godavari_Water_Midstream,,141.0,0,,,48.0,5,,,,29.924042,
1_1_LT05_141048_19880708,90.0,75.156906,,1.0,1988-07-08T04:21:48,,,,,Godavari_Water_Midstream,,141.0,0,,,48.0,5,,,,31.356827,
1_1_LT05_141048_19881129,35.0,142.888,,1.0,1988-11-29T04:21:43,,,,,Godavari_Water_Midstream,,141.0,0,,,48.0,5,,,,48.047787,
1_1_LT05_141048_19881215,6.0,142.686584,673.0,0.32294466443710385,1988-12-15T04:21:28,4.0,0.0,793.0,,Godavari_Water_Midstream,1353.0,141.0,1,66.0,774.0,48.0,5,1191.0,0.0,707.0,50.432213,
