system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_022047_19860311,0.0,119.36557,,0.0,1986-03-11T16:01:26,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,41.217922,
1_1_LT05_022047_19860919,63.0,114.775108,,1.0,1986-09-19T15:55:42,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,36.27882,
1_1_LT05_022047_19861005,62.0,124.306328,,1.0,1986-10-05T15:55:12,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,38.823593,
1_1_LT05_022047_19861021,60.0,132.000931,,0.8639196129235972,1986-10-21T15:54:39,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,42.169552,
1_1_LT05_022047_19900322,46.0,113.076141,,1.0,1990-03-22T15:55:33,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,39.528481,
1_1_LT05_022047_19900423,24.0,95.823631,,0.0,1990-04-23T15:55:31,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,32.967403,
1_1_LT05_022047_19920903,16.0,105.017403,,0.42706563025288125,1992-09-03T15:57:33,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,34.439442,
1_1_LT05_022047_19930109,0.0,137.948822,,0.8793172299148396,1993-01-09T15:56:51,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,53.635654,
1_1_LT05_022047_19930210,0.0,129.327042,,0.0,1993-02-10T15:57:12,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,49.332352,
1_1_LT05_022047_19930226,2.0,123.68119,,0.0,1993-02-26T15:57:17,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,45.475182,
1_1_LT05_022047_19930314,85.0,117.073265,1708.0,0.5545278095078892,1993-03-14T15:57:28,0.0,0.906811026722357,2019.1473988439307,168.0,Grijalva_Water_Midstream,2522.6881264456442,22.0,184,66.0,1902.857142857143,47.0,5,2102.0,569.1945553775579,1725.0,41.149265,
1_1_LT05_022047_19930330,0.0,109.314529,,0.0,1993-03-30T15:57:30,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,36.993931,
1_1_LT05_022047_19930415,23.0,100.508919,,0.2854502734980823,1993-04-15T15:57:38,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,33.635471,
1_1_LT05_022047_19930501,1.0,91.385582,,0.0,1993-05-01T15:57:43,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,31.54781,
1_1_LT05_022047_19930517,4.0,83.36377,,0.0,1993-05-17T15:57:46,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,30.796581,
1_1_LT05_022047_19930602,13.0,77.868935,,1.0,1993-06-02T15:57:50,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,31.06559,
1_1_LT05_022047_19930618,69.0,75.642822,,1.0,1993-06-18T15:57:47,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,31.807217,
1_1_LT05_022047_19930704,74.0,76.751884,,1.0,1993-07-04T15:57:41,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,32.548119,
1_1_LT05_022047_19930720,25.0,80.912239,,0.27623770651659096,1993-07-20T15:57:41,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,33.04435,
1_1_LT05_022047_19930906,3.0,106.877525,,0.15809953658559237,1993-09-06T15:57:38,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,34.564442,
1_1_LT05_022047_19930922,26.0,117.332077,,0.7959304971257163,1993-09-22T15:57:35,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,36.278835,
1_1_LT05_022047_19931109,21.0,139.055634,,0.0,1993-11-09T15:57:18,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,46.10796,
1_1_LT05_022047_19931125,2.0,141.555634,,0.0,1993-11-25T15:57:12,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,49.577965,
1_1_LT05_022047_19931211,50.0,141.855331,,1.0,1993-12-11T15:57:07,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,52.224503,
1_1_LT05_022047_19931227,51.0,140.323196,,1.0,1993-12-27T15:56:57,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,53.623447,
1_1_LT05_022047_19940128,1.0,133.242233,,0.0,1994-01-28T15:56:31,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,51.860462,
1_1_LT05_022047_19940213,2.0,128.239304,,0.0,1994-02-13T15:56:21,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,48.885296,
1_1_LT05_022047_19940301,0.0,122.367058,,0.0,1994-03-01T15:56:06,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,44.994862,
1_1_LT05_022047_19940402,23.0,107.519073,,1.0,1994-04-02T15:55:36,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,36.791306,
1_1_LT05_022047_19940504,17.0,89.680145,,0.0,1994-05-04T15:55:00,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,31.973106,
1_1_LT05_022047_19940520,25.0,82.125198,,0.39963224026969035,1994-05-20T15:54:43,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,31.521172,
1_1_LT05_022047_19940621,49.0,75.672722,,0.9476128121546448,1994-06-21T15:54:04,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,32.835327,
1_1_LT05_022047_19940707,9.0,77.283073,,0.0,1994-07-07T15:53:38,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,33.641216,
1_1_LT05_022047_19940723,98.0,81.771294,,1.0,1994-07-23T15:53:12,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,34.195808,
1_1_LT05_022047_19940808,80.0,88.738098,,1.0,1994-08-08T15:52:45,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,34.580402,
1_1_LT05_022047_19940824,59.0,97.626907,,1.0,1994-08-24T15:52:23,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,35.076817,
1_1_LT05_022047_19940925,53.0,117.647217,,0.589492844472924,1994-09-25T15:51:32,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,37.961357,
1_1_LT05_022047_19941027,21.0,133.379257,,0.32754761838427177,1994-10-27T15:50:32,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,44.194622,
1_1_LT05_022047_19941112,38.0,137.861908,,1.0,1994-11-12T15:49:58,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,47.891304,
1_1_LT05_022047_19941128,0.0,139.967545,,0.0,1994-11-28T15:49:26,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,51.254101,
1_1_LT05_022047_19941214,31.0,139.942368,,1.0,1994-12-14T15:48:57,,,,,Grijalva_Water_Midstream,,22.0,0,,,47.0,5,,,,53.778481,
