system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116034_19840511,23.0,121.173653,,1.0,1984-05-11T01:38:31,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,31.224121,
1_1_LT05_116034_19840612,61.0,112.285194,,1.0,1984-06-12T01:39:18,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.295753,
1_1_LT05_116034_19840730,9.0,117.662613,361.0,0.0,1984-07-30T01:40:17,0.0,0.635428382041695,702.7817055099017,136.0,Han_Land_Midstream,3528.476453227255,116.0,579,66.0,510.32952394817295,34.0,5,1996.9999999999998,203.64053514267016,794.0,32.330566,
1_1_LT05_116034_19841205,42.0,153.639542,1004.0,0.976349204202783,1984-12-05T01:41:01,0.0,0.0,1246.0,230.0,Han_Land_Midstream,2037.0,116.0,14,130.0,1548.0,34.0,5,2673.0,71.31966697874779,1883.0,64.545319,
1_1_LT05_116034_19841221,100.0,152.381119,,1.0,1984-12-21T01:41:12,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,66.193115,
1_1_LT05_116034_19850122,100.0,147.527512,,1.0,1985-01-22T01:41:25,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,64.162979,
1_1_LT05_116034_19850207,24.0,144.627106,1160.9999999999998,0.6705318386499168,1985-02-07T01:41:28,0.0,0.2879223950226094,1360.0,222.0,Han_Land_Midstream,1855.9999999999998,116.0,192,130.0,1482.0,34.0,5,1318.0,116.53419376291374,825.0,60.596142,
1_1_LT05_116034_19850311,42.0,138.610687,1153.9999999999998,0.0018322943570742794,1985-03-11T01:41:28,0.0,0.2869330215546858,1397.0,196.00000000000003,Han_Land_Midstream,1958.0,116.0,580,66.0,1598.0,34.0,5,2442.9999999999995,238.76541875494163,1803.0,50.074837,
1_1_LT05_116034_19850412,22.0,131.306198,810.9999999999999,0.0,1985-04-12T01:41:22,0.0,0.0,1103.0,159.0,Han_Land_Midstream,1857.9999999999998,116.0,581,66.0,1322.9999999999998,34.0,5,2759.0,263.0570306559572,2049.9999999999995,38.526814,
1_1_LT05_116034_19850514,1.0,121.06282,629.9999999999999,0.0,1985-05-14T01:41:09,0.0,0.5202378103218606,939.0000000000001,129.00000000000003,Han_Land_Midstream,2049.9999999999995,116.0,581,66.0,994.5776742404903,34.0,5,2467.65,304.41254519893675,1643.0,30.309792,
1_1_LT05_116034_19850530,80.0,115.879128,,1.0,1985-05-30T01:41:10,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.409218,
1_1_LT05_116034_19860109,3.0,149.090591,,1.0,1986-01-09T01:38:33,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,66.202148,
1_1_LT05_116034_19860210,84.0,143.194977,,1.0,1986-02-10T01:37:51,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,60.290119,
1_1_LT05_116034_19860226,40.0,140.080902,,1.0,1986-02-26T01:37:29,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,55.338978,
1_1_LT05_116034_19860415,0.0,128.900513,730.9999999999999,0.0,1986-04-15T01:36:29,0.0,0.43752132645186836,934.9999999999998,159.0,Han_Land_Midstream,1299.0,116.0,578,66.0,1015.0,34.0,5,1791.0000000000002,334.61608042692274,1608.9999999999998,38.453896,
1_1_LT05_116034_19860517,15.0,118.23362,,1.0,1986-05-17T01:35:40,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,30.931057,
1_1_LT05_116034_19860602,79.0,113.242004,,1.0,1986-06-02T01:35:12,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,29.408939,
1_1_LT05_116034_19860704,100.0,109.907745,,1.0,1986-07-04T01:34:11,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,30.294739,
1_1_LT05_116034_19860805,55.0,117.540192,1511.0,0.2929845438195562,1986-08-05T01:33:04,0.0,0.0,1668.8358262363122,144.0,Han_Land_Midstream,4057.586829153972,116.0,414,66.0,1346.0,34.0,5,2369.245963912631,189.96621387330615,1076.0,34.494751,
1_1_LT05_116034_19860821,44.0,123.982285,468.5979151154131,0.061878811645549106,1986-08-21T01:32:28,0.0,0.9420147295237677,816.0,155.0,Han_Land_Midstream,3873.943597560975,116.0,526,66.0,584.9852278578785,34.0,5,1982.7656332107197,316.27864666464234,826.8357804704206,37.542938,
1_1_LT05_116034_19860922,39.0,137.511353,,1.0,1986-09-22T01:31:23,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,45.55291,
1_1_LT05_116034_19861008,42.0,143.091843,,1.0,1986-10-08T01:30:53,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,50.314644,
1_1_LT05_116034_19861024,31.0,147.262878,1053.0,0.9975253884328813,1986-10-24T01:30:20,0.0,0.0,1216.0,209.0,Han_Land_Midstream,2065.0,116.0,2,130.0,1309.0,34.0,5,1772.0,36.5,1104.0,55.227203,
1_1_LT05_116034_19861109,87.0,149.833038,,1.0,1986-11-09T01:29:45,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,59.889553,
1_1_LT05_116034_19861125,52.0,150.90593,,1.0,1986-11-25T01:29:15,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,63.760178,
1_1_LT05_116034_19861211,3.0,150.643219,903.0,0.0,1986-12-11T01:29:42,0.0,0.8270219274599794,1073.9999999999995,234.0,Han_Land_Midstream,1827.9999999999998,116.0,581,66.0,1289.0000000000005,34.0,5,1887.9999999999993,146.18177352298252,1174.9999999999998,66.400406,
1_1_LT05_116034_19870213,58.0,141.296997,,1.0,1987-02-13T01:31:45,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,60.185299,
1_1_LT05_116034_19870301,11.0,138.308807,976.9999999999999,0.17716460899784994,1987-03-01T01:32:23,0.0,1.3156026457150365,1226.0,209.00000000000006,Han_Land_Midstream,1785.621058933085,116.0,470,66.0,1414.9999999999998,34.0,5,1835.001109570042,377.2634748031571,1286.0,54.994167,
1_1_LT05_116034_19870317,23.0,135.171127,718.5007494523232,0.004739624886749335,1987-03-17T01:32:58,0.0,1.3525379097759092,874.6125284738041,193.00000000000003,Han_Land_Midstream,1147.0076344983895,116.0,562,66.0,974.8347375243033,34.0,5,1484.9413902771466,318.1607386574108,1180.2727439136004,49.180935,
1_1_LT05_116034_19870402,37.0,131.650894,,1.0,1987-04-02T01:33:33,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,43.290039,
1_1_LT05_116034_19870418,1.0,127.461929,1004.0,0.36499844491622835,1987-04-18T01:34:04,0.0,0.29487950957884246,1202.0,156.99999999999997,Han_Land_Midstream,1703.0,116.0,366,66.0,1289.9999999999995,34.0,5,2022.0,274.5829846545361,1577.9096351197263,37.89801,
1_1_LT05_116034_19870520,0.0,117.223694,796.0,0.0,1987-05-20T01:34:59,0.0,1.893575318435369,1042.0000000000002,130.0,Han_Land_Midstream,2337.2464201001494,116.0,581,66.0,992.9111791730473,34.0,5,1657.171922288392,166.18493552620953,1016.5246281630289,30.563145,
1_1_LT05_116034_19870621,1.0,110.324486,392.1200285705009,0.0,1987-06-21T01:35:44,0.0,0.5916020945663569,666.0000000000001,124.0,Han_Land_Midstream,3932.981346546197,116.0,581,66.0,412.0000000000001,34.0,5,1619.0,132.1671413039236,641.9999999999997,29.074398,
1_1_LT05_116034_19870808,56.0,119.857498,618.9999999999999,0.5999377966491326,1987-08-08T01:36:53,4.0,1.7515069102345233,818.9999999999999,143.00000000000003,Han_Land_Midstream,2353.0,116.0,232,66.0,632.1522913018098,34.0,5,967.0,125.57571397290073,386.0,34.176403,
1_1_LT05_116034_19870824,49.0,126.79203,615.0,0.0,1987-08-24T01:37:20,0.0,0.9125255229345758,924.4402811213793,154.0,Han_Land_Midstream,3233.418250950571,116.0,581,66.0,752.4462151394422,34.0,5,2061.054154008717,233.52816711578785,968.1537911869791,37.242764,
1_1_LT05_116034_19870909,23.0,134.036896,594.5157053112507,0.05523928006382606,1987-09-09T01:37:45,0.0,1.759723907306761,857.9999999999998,167.0,Han_Land_Midstream,2707.8218161580558,116.0,545,66.0,760.0000000000001,34.0,5,1904.0961653326963,223.07753929897387,930.1389831583622,41.00201,
1_1_LT05_116034_19871011,19.0,146.258438,,1.0,1987-10-11T01:38:26,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,50.204952,
1_1_LT05_116034_19871027,14.0,150.26709,1066.0,0.19759029627726474,1987-10-27T01:38:40,0.0,1.5047285395820122,1248.0000000000002,209.0,Han_Land_Midstream,2220.9999999999995,116.0,463,66.0,1341.9999999999998,34.0,5,2342.0,454.39685571025893,1459.9999999999998,55.103897,
1_1_LT05_116034_19871214,36.0,152.771423,1208.0000000000002,0.0,1987-12-14T01:39:34,0.0,0.2342815769662452,1342.0000000000011,232.00000000000003,Han_Land_Midstream,1875.9999999999998,116.0,581,66.0,1520.999999999999,34.0,5,2106.5228241022514,171.49480104009353,1366.9999999999995,65.740433,
1_1_LT05_116034_19871230,2.0,151.041992,705.1636463756507,0.0,1987-12-30T01:39:50,0.0,0.0,948.1649690469334,234.0,Han_Land_Midstream,1642.1398374486232,116.0,581,66.0,1174.2036505071562,34.0,5,2219.1600744945017,224.44563504791802,1428.0,66.495216,
1_1_LT05_116034_19880115,66.0,148.600754,,1.0,1988-01-15T01:40:06,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,65.426651,
1_1_LT05_116034_19880131,2.0,145.80751,808.0,0.0030155102703141277,1988-01-31T01:40:24,0.0,0.33131823995251947,1042.3358425322513,226.0,Han_Land_Midstream,1716.6295675300646,116.0,579,66.0,1270.6098393343302,34.0,5,2002.607715981534,226.0025877022291,1408.5741527997084,62.613022,
1_1_LT05_116034_19880216,7.0,142.902695,782.9999999999999,0.0,1988-02-16T01:40:40,0.0,0.16580508886460993,962.0000000000001,217.0,Han_Land_Midstream,1608.9855608883104,116.0,581,66.0,1222.9880506442912,34.0,5,2121.9922677298537,201.96419726897554,1440.9999999999998,58.31543,
1_1_LT05_116034_19880303,7.0,139.937637,956.3275247167169,0.0,1988-03-03T01:40:51,0.0,0.0,1188.0639657465374,204.00000000000003,Han_Land_Midstream,1650.290275390411,116.0,581,66.0,1350.2960196311938,34.0,5,2005.7619156475025,176.3770840962644,1502.1275663078457,52.957962,
1_1_LT05_116034_19880319,26.0,136.802048,873.0000000000002,0.5747116333788592,1988-03-19T01:41:00,0.0,0.9939369506362253,1012.9999999999997,187.0,Han_Land_Midstream,1212.0,116.0,242,66.0,1060.4684859556974,34.0,5,1438.0,260.3298845589593,1283.0,47.074074,
1_1_LT05_116034_19880420,54.0,128.885086,,1.0,1988-04-20T01:41:11,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,35.952713,
1_1_LT05_116034_19880607,30.0,113.890602,578.3230482649917,0.0,1988-06-07T01:41:34,0.0,0.5688930329807531,793.0000000000001,120.0,Han_Land_Midstream,3514.0,116.0,581,66.0,596.0718472869384,34.0,5,1484.0,106.94839478984359,670.9999999999999,27.956558,
1_1_LT05_116034_19880623,88.0,111.787048,,1.0,1988-06-23T01:41:39,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,28.154739,
1_1_LT05_116034_19880725,96.0,116.496941,,1.0,1988-07-25T01:41:47,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,31.298119,
1_1_LT05_116034_19880826,100.0,129.343155,,1.0,1988-08-26T01:41:50,,,,,Han_Land_Midstream,,116.0,0,,,34.0,5,,,,37.224419,
