system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116034_19840511,23.0,121.173653,3028.503045219947,0.28315190987039945,1984-05-11T01:38:31,4.0,1.9649661998692949,5767.000000000001,132.0,Han_Land_Upstream,6322.0,116.0,381,66.0,5949.000000000001,34.0,5,4740.407321324811,460.95349054495114,3596.645945945946,31.224121,
1_1_LT05_116034_19840612,61.0,112.285194,,1.0,1984-06-12T01:39:18,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,28.295753,
1_1_LT05_116034_19840730,9.0,117.662613,650.7485207100592,0.0,1984-07-30T01:40:17,0.0,1.3314595988430458,1085.9999999999998,135.99999999999997,Han_Land_Upstream,2542.2916666666665,116.0,197,66.0,1099.0,34.0,5,2305.0,584.1681507530581,1604.0,32.330566,
1_1_LT05_116034_19841205,42.0,153.639542,1789.0,0.5519256273225048,1984-12-05T01:41:01,0.0,0.0,2488.9999999999995,229.99999999999997,Han_Land_Upstream,3231.0,116.0,268,66.0,2852.0,34.0,5,4252.0,501.1672547334725,3780.0,64.545319,
1_1_LT05_116034_19841221,100.0,152.381119,,1.0,1984-12-21T01:41:12,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,66.193115,
1_1_LT05_116034_19850122,100.0,147.527512,,1.0,1985-01-22T01:41:25,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,64.162979,
1_1_LT05_116034_19850207,24.0,144.627106,1537.0,0.9966516538203973,1985-02-07T01:41:28,2.0,2.0,1764.5,238.5,Han_Land_Upstream,1907.5,116.0,2,130.0,1855.5,34.0,5,1820.5,155.5,1412.0,60.596142,
1_1_LT05_116034_19850311,42.0,138.610687,1685.0,0.2419541210919549,1985-03-11T01:41:28,0.0,0.3350747587598501,2318.0,195.99999999999997,Han_Land_Upstream,3009.255730659026,116.0,283,66.0,2634.0,34.0,5,4038.090909090909,724.0269211548048,3702.3187500000004,50.074837,
1_1_LT05_116034_19850412,22.0,131.306198,1618.0000000000002,0.0,1985-04-12T01:41:22,0.0,0.9883256540276693,2306.0,159.00000000000003,Han_Land_Upstream,3044.0,116.0,444,66.0,2637.0,34.0,5,4224.0,1257.4604436253596,3964.0,38.526814,
1_1_LT05_116034_19850514,1.0,121.06282,1559.0,0.0,1985-05-14T01:41:09,0.0,0.6048243240378497,2240.8125,129.00000000000003,Han_Land_Upstream,3048.0,116.0,299,66.0,2558.0,34.0,5,3959.8,925.7221368406123,3563.0,30.309792,
1_1_LT05_116034_19850530,80.0,115.879128,,1.0,1985-05-30T01:41:10,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,28.409218,
1_1_LT05_116034_19860109,3.0,149.090591,,0.9998424307680188,1986-01-09T01:38:33,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,66.202148,
1_1_LT05_116034_19860210,84.0,143.194977,,1.0,1986-02-10T01:37:51,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,60.290119,
1_1_LT05_116034_19860226,40.0,140.080902,,1.0,1986-02-26T01:37:29,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,55.338978,
1_1_LT05_116034_19860415,0.0,128.900513,1491.0000000000002,0.0,1986-04-15T01:36:29,0.0,0.22718354401015203,2116.0,158.99999999999997,Han_Land_Upstream,2877.0,116.0,309,66.0,2466.0,34.0,5,3939.7993705743506,727.7800219504705,3587.0,38.453896,
1_1_LT05_116034_19860517,15.0,118.23362,,1.0,1986-05-17T01:35:40,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,30.931057,
1_1_LT05_116034_19860602,79.0,113.242004,,1.0,1986-06-02T01:35:12,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,29.408939,
1_1_LT05_116034_19860704,100.0,109.907745,,1.0,1986-07-04T01:34:11,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,30.294739,
1_1_LT05_116034_19860805,55.0,117.540192,,1.0,1986-08-05T01:33:04,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,34.494751,
1_1_LT05_116034_19860821,44.0,123.982285,618.5626072041166,0.0,1986-08-21T01:32:28,0.0,1.7320508075688772,969.7590551181103,155.00000000000003,Han_Land_Upstream,2829.4444444444443,116.0,292,66.0,929.0,34.0,5,1981.0,635.2859128497948,1058.0,37.542938,
1_1_LT05_116034_19860922,39.0,137.511353,,1.0,1986-09-22T01:31:23,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,45.55291,
1_1_LT05_116034_19861008,42.0,143.091843,,1.0,1986-10-08T01:30:53,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,50.314644,
1_1_LT05_116034_19861024,31.0,147.262878,853.9999999999999,7.287576979135212E-4,1986-10-24T01:30:20,0.0,0.7078432680643271,1195.2079934747146,208.99999999999997,Han_Land_Upstream,2138.9999999999995,116.0,309,66.0,1299.2735077677842,34.0,5,2621.0,610.9431828140937,1890.25,55.227203,
1_1_LT05_116034_19861109,87.0,149.833038,,1.0,1986-11-09T01:29:45,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,59.889553,
1_1_LT05_116034_19861125,52.0,150.90593,,1.0,1986-11-25T01:29:15,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,63.760178,
1_1_LT05_116034_19861211,3.0,150.643219,944.7885875851433,0.39871581075935253,1986-12-11T01:29:42,0.0,0.8025100091639208,1208.5278055486126,234.0,Han_Land_Upstream,1614.9999999999995,116.0,357,66.0,1282.578379872823,34.0,5,1990.0814176245215,474.8145889989036,1388.9165973954007,66.400406,
1_1_LT05_116034_19870213,58.0,141.296997,,1.0,1987-02-13T01:31:45,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,60.185299,
1_1_LT05_116034_19870301,11.0,138.308807,1237.9999999999998,0.10145488924196075,1987-03-01T01:32:23,0.0,0.5874995398658287,1541.0,209.0,Han_Land_Upstream,2125.4233536247925,116.0,272,66.0,1773.0000000000002,34.0,5,2837.75,798.6896935540939,2392.0,54.994167,
1_1_LT05_116034_19870317,23.0,135.171127,1144.0,0.005390180810693701,1987-03-17T01:32:58,0.0,1.19270927586085,1534.0,192.99999999999997,Han_Land_Upstream,2144.0,116.0,294,66.0,1736.9999999999998,34.0,5,3031.0,797.1342071382469,2455.0,49.180935,
1_1_LT05_116034_19870402,37.0,131.650894,,1.0,1987-04-02T01:33:33,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,43.290039,
1_1_LT05_116034_19870418,1.0,127.461929,1230.0,0.25717268274748234,1987-04-18T01:34:04,0.0,0.5994668878347263,1613.0,156.99999999999997,Han_Land_Upstream,2227.0,116.0,174,66.0,1814.0,34.0,5,3061.0,610.1548927632244,2663.0,37.89801,
1_1_LT05_116034_19870520,0.0,117.223694,1003.0,0.5070906154391588,1987-05-20T01:34:59,0.0,0.32934711486183804,1390.0,130.0,Han_Land_Upstream,2413.0,116.0,293,66.0,1454.0,34.0,5,2535.9999999999995,522.1665676571525,2058.0,30.563145,
1_1_LT05_116034_19870621,1.0,110.324486,732.5531754032257,0.0,1987-06-21T01:35:44,0.0,1.367982905668211,1080.0,124.00000000000004,Han_Land_Upstream,2656.0,116.0,451,66.0,1052.4051364600864,34.0,5,1942.9999999999995,507.3969084900078,1307.9641400646885,29.074398,
1_1_LT05_116034_19870808,56.0,119.857498,,1.0,1987-08-08T01:36:53,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,34.176403,
1_1_LT05_116034_19870824,49.0,126.79203,814.6754073319754,0.24370707879774692,1987-08-24T01:37:20,0.0,1.1180650440340407,1125.6897743970956,154.0,Han_Land_Upstream,2600.3333333333335,116.0,199,66.0,1000.1239669421487,34.0,5,1950.2727272727273,340.2662669824179,1129.7333333333333,37.242764,
1_1_LT05_116034_19870909,23.0,134.036896,,1.0,1987-09-09T01:37:45,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,41.00201,
1_1_LT05_116034_19871011,19.0,146.258438,,1.0,1987-10-11T01:38:26,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,50.204952,
1_1_LT05_116034_19871027,14.0,150.26709,934.4602550478215,0.21576480165972933,1987-10-27T01:38:40,0.0,0.9025826457692645,1243.9999999999995,209.0,Han_Land_Upstream,2215.9999999999995,116.0,223,66.0,1339.0,34.0,5,2586.9197475202886,434.48789532392203,1763.9483349657198,55.103897,
1_1_LT05_116034_19871214,36.0,152.771423,1306.4291695743198,0.4252268340402066,1987-12-14T01:39:34,0.0,0.64212019054095,1564.6498044762461,232.0,Han_Land_Upstream,2154.325091575092,116.0,340,66.0,1707.9999999999998,34.0,5,2629.3102023058514,433.5592568843431,1989.0,65.740433,
1_1_LT05_116034_19871230,2.0,151.041992,1154.0,0.42013866092414365,1987-12-30T01:39:50,0.0,0.0,1534.9999999999998,234.0,Han_Land_Upstream,2255.0,116.0,342,66.0,1799.0,34.0,5,3250.0000000000005,486.2423088837495,2592.999999999999,66.495216,
1_1_LT05_116034_19880115,66.0,148.600754,,1.0,1988-01-15T01:40:06,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,65.426651,
1_1_LT05_116034_19880131,2.0,145.80751,1157.0,0.3636632220281788,1988-01-31T01:40:24,0.0,0.5137626633289836,1545.0000000000002,225.99999999999997,Han_Land_Upstream,2187.0,116.0,298,66.0,1753.9999999999998,34.0,5,2773.9999999999995,419.05623545527004,2294.0,62.613022,
1_1_LT05_116034_19880216,7.0,142.902695,1158.4866258459556,0.35805638352351077,1988-02-16T01:40:40,0.0,0.234080912246411,1553.0000000000002,217.0,Han_Land_Upstream,2182.648840381992,116.0,291,66.0,1782.0,34.0,5,3018.9459002535923,389.69302253301015,2530.501830384381,58.31543,
1_1_LT05_116034_19880303,7.0,139.937637,1184.1199858840134,0.0603096235408433,1988-03-03T01:40:51,0.0,0.6950952180229707,1534.0,204.0,Han_Land_Upstream,1980.9560602844401,116.0,385,66.0,1690.9999999999998,34.0,5,2708.0000000000005,617.2110398078207,2330.7395414320195,52.957962,
1_1_LT05_116034_19880319,26.0,136.802048,986.0,0.01980776553698282,1988-03-19T01:41:00,0.0,0.46030679730153684,1338.0000000000002,187.0,Han_Land_Upstream,2031.9999999999995,116.0,298,66.0,1563.0000000000002,34.0,5,2680.0,632.4185499590656,2131.0,47.074074,
1_1_LT05_116034_19880420,54.0,128.885086,,1.0,1988-04-20T01:41:11,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,35.952713,
1_1_LT05_116034_19880607,30.0,113.890602,1031.0,0.9756555536588889,1988-06-07T01:41:34,0.0,0.0,1433.0,110.0,Han_Land_Upstream,3006.0,116.0,14,66.0,1347.0,34.0,5,2367.0,304.9419566717165,1682.0,27.956558,
1_1_LT05_116034_19880623,88.0,111.787048,,1.0,1988-06-23T01:41:39,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,28.154739,
1_1_LT05_116034_19880725,96.0,116.496941,,1.0,1988-07-25T01:41:47,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,31.298119,
1_1_LT05_116034_19880826,100.0,129.343155,,1.0,1988-08-26T01:41:50,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,37.224419,
1_1_LT05_116034_19880927,8.0,142.786606,476.99999999999983,0.0,1988-09-27T01:41:41,0.0,1.4170501861528146,775.0,182.99999999999997,Han_Land_Upstream,2559.0000000000005,116.0,299,66.0,786.0,34.0,5,2021.9999999999998,324.4176028213424,1075.0,45.809254,
1_1_LT05_116034_19881013,2.0,147.907074,638.5311544034777,0.0,1988-10-13T01:41:35,0.0,1.3492479557188282,932.0000000000001,197.0,Han_Land_Upstream,2360.202154434713,116.0,359,66.0,1120.5499591169257,34.0,5,2474.6324404761904,541.751303225278,1511.0219247928615,50.752274,
1_1_LT05_116034_19881029,2.0,151.496384,709.9419200546633,0.09883530076027161,1988-10-29T01:41:37,0.0,0.9594483326462607,978.1192205491584,211.0,Han_Land_Upstream,1976.531028165789,116.0,310,66.0,1222.5638866765275,34.0,5,2599.655579868709,479.7412014344796,1756.6859285399207,55.695671,
1_1_LT05_116034_19881114,1.0,153.437042,764.1655485825577,0.2453615557335506,1988-11-14T01:41:38,0.0,0.5409078523497451,1090.9999999999998,221.0,Han_Land_Upstream,2013.0,116.0,322,66.0,1351.9999999999998,34.0,5,2860.0,521.1708887957114,1935.0000000000002,60.176464,
1_1_LT05_116034_19881130,4.0,153.83284,1261.0,0.4930472576388251,1988-11-30T01:41:38,0.0,0.6402907926629705,1422.0000000000002,229.0,Han_Land_Upstream,2145.9999999999995,116.0,304,66.0,1610.6628380579996,34.0,5,1957.5238095238096,326.4473941262797,1177.6720087815588,63.719666,
1_1_LT05_116034_19890117,27.0,148.296677,1396.0,0.20249615924997058,1989-01-17T01:41:08,0.0,1.0070527707178447,1552.9058559033267,231.0,Han_Land_Upstream,1962.8718892534205,116.0,397,66.0,1620.9999999999998,34.0,5,2030.7861870503593,279.43802425668264,1355.7580195258017,65.000427,
1_1_LT05_116034_19890202,8.0,145.394882,1126.0,0.3169373793610568,1989-02-02T01:41:05,0.0,0.3945918407839751,1453.1144781144783,225.00000000000006,Han_Land_Upstream,2101.0980580657565,116.0,407,66.0,1729.2622107969148,34.0,5,2980.1174778230643,586.2228694350573,2261.05289017341,61.945011,
1_1_LT05_116034_19890218,5.0,142.389374,939.0000000000001,0.0,1989-02-18T01:41:01,0.0,0.9866391137318753,1245.8217487437182,215.00000000000014,Han_Land_Upstream,1728.0,116.0,461,66.0,1374.9999999999998,34.0,5,2428.870212765957,559.8148629500488,1756.7762449528939,57.473572,
1_1_LT05_116034_19890306,27.0,139.311142,1089.113540639842,0.1244599971112308,1989-03-06T01:40:42,0.0,1.0683914563325043,1334.8829084041547,201.00000000000009,Han_Land_Upstream,1960.0,116.0,388,66.0,1504.9628063010503,34.0,5,2686.8909324208726,657.2457907509378,1986.0,52.030285,
1_1_LT05_116034_19890322,1.0,135.990479,922.3656807626496,0.009913730845490243,1989-03-22T01:40:01,0.0,1.1741740958036146,1240.9999999999998,184.00000000000003,Han_Land_Upstream,1982.8114951025689,116.0,336,66.0,1472.1904587155962,34.0,5,2781.0,571.2319584559281,2117.390672782875,46.1548,
1_1_LT05_116034_19890407,90.0,132.177567,,1.0,1989-04-07T01:40:11,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,40.429138,
1_1_LT05_116034_19890423,49.0,127.574165,888.0871717929482,0.03846002337276943,1989-04-23T01:39:55,0.0,0.5713045500334204,1117.9999999999998,148.0,Han_Land_Upstream,1597.7071372135897,116.0,288,66.0,1161.6721763085393,34.0,5,1816.0,237.04464754673444,1594.0,35.392597,
1_1_LT05_116034_19890525,45.0,116.760162,,1.0,1989-05-25T01:39:25,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,29.205921,
1_1_LT05_116034_19890610,54.0,112.566116,,1.0,1989-06-10T01:39:08,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,28.397366,
1_1_LT05_116034_19890626,86.0,110.891388,,1.0,1989-06-26T01:38:48,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,28.858376,
1_1_LT05_116034_19890813,48.0,122.249573,1125.0,0.9757802959675409,1989-08-13T01:37:48,0.0,0.0,1417.0,150.0,Han_Land_Upstream,4241.0,116.0,3,66.0,1087.0,34.0,5,1889.0,126.14541873039491,785.0,35.141186,
1_1_LT05_116034_19890930,8.0,142.189056,585.0000000000002,0.0,1989-09-30T01:36:45,0.0,1.6307298299820703,834.9999999999999,187.0,Han_Land_Upstream,2443.0773899848255,116.0,304,66.0,879.0,34.0,5,1977.0000000000002,257.04751359373216,1056.0,47.292904,
1_1_LT05_116034_19891101,1.0,150.334198,709.0,0.42661213020470884,1989-11-01T01:35:46,0.0,1.0741408279224867,930.9999999999998,214.00000000000003,Han_Land_Upstream,1880.9999999999998,116.0,294,66.0,1143.0,34.0,5,2312.0,317.5571234344943,1491.0,57.10334,
1_1_LT05_116034_19891117,27.0,152.00679,,1.0,1989-11-17T01:35:10,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,61.447624,
1_1_LT05_116034_19891203,41.0,152.139633,,1.0,1989-12-03T01:34:52,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,64.823349,
1_1_LT05_116034_19891219,10.0,150.957123,815.0000000000001,0.417958953215069,1989-12-19T01:34:24,0.0,1.2470129599623452,1043.0,234.0,Han_Land_Upstream,1665.0741731777803,116.0,330,66.0,1225.2992950131916,34.0,5,2109.0,376.0816501327535,1436.0679456434852,66.77298,
1_1_LT05_116034_19900104,2.0,148.778152,1078.428668610301,0.5061058077392756,1990-01-04T01:33:49,0.0,0.3350747587598501,1201.7439902721912,234.99999999999994,Han_Land_Upstream,1687.9999999999995,116.0,283,66.0,1328.0,34.0,5,1892.8080274623712,231.6831339988528,1322.9999999999998,67.016418,
1_1_LT05_116034_19900120,3.0,145.989944,1004.0,0.3748440721141853,1990-01-20T01:33:24,0.0,0.6893686149641457,1241.9999999999998,231.99999999999997,Han_Land_Upstream,1824.0,116.0,359,66.0,1412.9999999999998,34.0,5,2381.1530513400066,514.7975925628384,1817.0783891792191,65.465424,
1_1_LT05_116034_19900221,100.0,139.678055,,1.0,1990-02-21T01:32:23,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,57.695068,
1_1_LT05_116034_19900309,6.0,136.330688,1120.0,0.9642777420329056,1990-03-09T01:31:48,0.0,1.6,1228.0,202.0,Han_Land_Upstream,1258.0,116.0,10,66.0,1164.0,34.0,5,1391.5,323.66272568833153,1089.0,52.270233,
1_1_LT05_116034_19900325,63.0,132.789886,,1.0,1990-03-25T01:31:17,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,46.443512,
1_1_LT05_116034_19900512,34.0,118.660011,897.9999999999999,0.1496973357669027,1990-05-12T01:31:18,0.0,0.8373887346204169,1208.5979523809524,137.0,Han_Land_Upstream,2219.7879746835447,116.0,283,66.0,1139.0,34.0,5,1872.9999999999998,191.73497161963414,1273.9774025974027,32.447762,
1_1_LT05_116034_19900528,56.0,113.516563,1216.0,0.7769738828997994,1990-05-28T01:31:13,0.0,0.0,1523.0,129.0,Han_Land_Upstream,3078.9999999999995,116.0,80,66.0,1311.0,34.0,5,2194.0,249.9246874060261,1287.0,30.40139,
1_1_LT05_116034_19900613,43.0,109.903549,693.0,0.11545228934963306,1990-06-13T01:31:13,0.0,1.0804848403425378,987.0,126.99999999999999,Han_Land_Upstream,2769.0,116.0,265,66.0,786.9999999999999,34.0,5,1571.0000000000002,189.6302983153273,782.0,29.820885,
1_1_LT05_116034_19900731,42.0,115.224998,,1.0,1990-07-31T01:31:05,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,34.035851,
1_1_LT05_116034_19900917,93.0,135.351669,,1.0,1990-09-17T01:30:52,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,44.249538,
1_1_LT05_116034_19901003,88.0,141.428314,,1.0,1990-10-03T01:30:38,,,,,Han_Land_Upstream,,116.0,0,,,34.0,5,,,,48.826977,
1_1_LT05_116034_19901019,4.0,146.195648,943.0000000000002,0.0,1990-10-19T01:30:34,0.0,1.6697755999952157,1268.0000000000002,205.00000000000006,Han_Land_Upstream,1788.0,116.0,476,66.0,1379.0,34.0,5,2141.0,942.4192739807916,1616.2126772310257,53.682091,
1_1_LT05_116034_19901104,2.0,149.386185,889.70353146345,0.0,1990-11-04T01:30:29,0.0,1.8596944594788876,1209.0,217.0000000000001,Han_Land_Upstream,1754.0,116.0,443,66.0,1343.0,34.0,5,2042.6649145860708,970.5537858426545,1509.0,58.423298,
1_1_LT05_116034_19901120,36.0,150.932678,1042.0,0.570682931312946,1990-11-20T01:30:29,0.0,0.0,1334.9535519125682,225.99999999999997,Han_Land_Upstream,1744.0,116.0,255,66.0,1481.9739902080782,34.0,5,2145.0,344.98998990320035,1595.0000000000005,62.59837,
1_1_LT05_116034_19901206,38.0,151.047333,1196.0,0.9512848457791141,1990-12-06T01:30:17,0.0,1.9364916731037085,1334.0,232.0,Han_Land_Upstream,1370.0,116.0,16,66.0,1316.0,34.0,5,1369.0,103.62249318439505,1079.0,65.654671,
1_1_LT05_116034_19910123,21.0,145.113739,1124.0,0.6145987893430678,1991-01-23T01:31:30,0.0,1.076470144148863,1308.9999999999998,231.00000000000003,Han_Land_Upstream,1651.0000000000002,116.0,229,66.0,1406.0,34.0,5,1730.9999999999998,300.73130921298264,1237.78491902834,65.181816,
1_1_LT05_116034_19910208,2.0,142.190842,985.4402744148507,0.6324763317882799,1991-02-08T01:31:39,0.0,1.5469893203094063,1177.206661402627,224.0,Han_Land_Upstream,1432.0000000000002,116.0,213,66.0,1326.0000000000002,34.0,5,1744.4488472622477,495.2694307916475,1306.0,61.603432,
