system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_126046_19860710,34.0,80.051384,863.0,0.32495743500468705,1986-07-10T02:40:34,4.0,1.9925176298105693,1190.0,136.0,Hong_Water_Downstream,2304.0,126.0,81,66.0,1380.0,46.0,5,1261.0,182.15926176522726,766.9999999999999,32.190449,
1_1_LT05_126046_19861030,27.0,136.396942,505.0,0.0,1986-10-30T02:36:42,4.0,0.0,838.0,180.0,Hong_Water_Downstream,1988.0,126.0,29,66.0,887.0,46.0,5,597.0,98.57453706666455,273.0,45.015968,
1_1_LT05_126046_19861201,23.0,141.952805,,1.0,1986-12-01T02:36:00,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,52.092659,
1_1_LT05_126046_19861217,27.0,141.761658,473.0,0.4078491764390795,1986-12-17T02:36:28,4.0,0.0,689.0,207.0,Hong_Water_Downstream,1741.0,126.0,21,66.0,590.0,46.0,5,607.0,78.02642148003207,273.0,54.268749,
1_1_LT05_126046_19870118,27.0,136.768433,,1.0,1987-01-18T02:37:25,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,54.261841,
1_1_LT05_126046_19870307,6.0,121.959404,455.0,0.0,1987-03-07T02:39:11,4.0,0.0,696.0,177.0,Hong_Water_Downstream,1865.0,126.0,62,66.0,726.0,46.0,5,944.0,118.8322342461916,545.0,43.997471,
1_1_LT05_126046_19870408,90.0,107.287468,,1.0,1987-04-08T02:40:20,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,35.287807,
1_1_LT05_126046_19870510,69.0,89.776039,1019.0,0.8169131291488915,1987-05-10T02:41:18,0.0,0.8331955809010618,1249.0,129.0,Hong_Water_Downstream,2626.0,126.0,22,66.0,1191.0,46.0,5,1268.0,116.30826097164325,594.0,30.459843,
1_1_LT05_126046_19870526,95.0,82.765244,,1.0,1987-05-26T02:41:43,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,30.010414,
1_1_LT05_126046_19870627,71.0,78.051521,,1.0,1987-06-27T02:42:27,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,31.075993,
1_1_LT05_126046_19871001,19.0,125.281937,562.0,0.0,1987-10-01T02:44:49,4.0,0.0,899.0,154.0,Hong_Water_Downstream,1976.0,126.0,19,66.0,882.0,46.0,5,539.0,68.23586274085592,207.0,37.10788,
1_1_LT05_126046_19871204,73.0,144.46376,,1.0,1987-12-04T02:46:01,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,51.08551,
1_1_LT05_126046_19871220,5.0,143.77124,717.0,0.0,1987-12-20T02:46:15,4.0,0.8717797887081344,900.0,204.0,Hong_Water_Downstream,2204.0,126.0,40,66.0,782.0,46.0,5,856.0,104.06944796624992,360.0,53.071758,
1_1_LT05_126046_19880528,56.0,82.008698,,0.9351959902817898,1988-05-28T02:48:05,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,28.583866,
1_1_LT05_126046_19880613,7.0,78.366707,785.0,0.3256174315612267,1988-06-13T02:48:11,4.0,0.0,1081.0,124.0,Hong_Water_Downstream,1988.0,126.0,50,66.0,1073.0,46.0,5,1109.0,103.24201470331734,699.0,29.155739,
1_1_LT05_126046_19880715,52.0,81.719185,509.0,0.9392898819658332,1988-07-15T02:48:20,4.0,0.0,999.0,,Hong_Water_Downstream,1345.0,126.0,2,66.0,1220.0,46.0,5,903.0,78.0,606.0,30.554489,
1_1_LT05_126046_19880816,63.0,96.796898,,1.0,1988-08-16T02:48:21,,,,,Hong_Water_Downstream,,126.0,0,,,46.0,5,,,,31.52227,
1_1_LT05_126046_19880901,29.0,107.142433,505.0,0.0,1988-09-01T02:48:25,0.0,1.9936912340454072,920.0,137.0,Hong_Water_Downstream,2542.0,126.0,63,66.0,1032.0,46.0,5,1119.0,208.42321326489596,574.0,32.478943,
