system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_152043_19861020,0.0,136.773712,1090.0,0.0,1986-10-20T05:16:33,0.0,0.9018494456663629,1572.0,181.0,Indus_Water_Downstream,2512.9999999999995,152.0,242,66.0,1745.0,43.0,5,2553.689149560117,407.8000777819605,2056.0,45.227276,
1_1_LT05_152043_19871108,2.0,144.493225,811.9999999999999,0.0,1987-11-08T05:25:03,0.0,1.0743266234073392,1211.9999999999998,192.0,Indus_Water_Downstream,1960.9999999999995,152.0,230,66.0,1287.0,43.0,5,1976.7147803505736,272.8376413281714,1549.0000000000002,48.727905,
1_1_LT05_152043_19871124,3.0,146.676041,1031.0,0.9936895660624955,1987-11-24T05:25:22,0.0,1.6,1465.0,201.0,Indus_Water_Downstream,2328.0,152.0,5,66.0,1596.0,43.0,5,2364.0,476.24548291821117,1929.0,52.435249,
1_1_LT05_152043_19871226,2.0,145.499557,872.0,0.0,1987-12-26T05:25:51,0.0,1.167409988305222,1185.9999999999998,213.0,Indus_Water_Downstream,1872.0,152.0,234,66.0,1331.0,43.0,5,2099.0,349.54985467338486,1644.0,56.568077,
1_1_LT05_152043_19880127,6.0,139.38266,807.0,0.0,1988-01-27T05:26:24,0.0,1.6887986310766985,1122.0,207.0,Indus_Water_Downstream,1545.0884146341464,152.0,224,66.0,1220.0272416658968,43.0,5,1436.0,240.257983378303,1090.014703934296,54.417377,
1_1_LT05_152043_19880315,4.0,125.047745,989.0000000000001,0.16484609080038162,1988-03-15T05:27:03,0.0,0.6959705453537527,1410.0,169.0,Indus_Water_Downstream,2066.0,152.0,128,66.0,1549.0,43.0,5,2146.0,335.8683093717452,1803.0,41.566963,
1_1_LT05_152043_19880331,0.0,118.549484,946.9999999999999,0.0,1988-03-31T05:27:10,0.0,0.37544377034565113,1377.0,152.0,Indus_Water_Downstream,2071.0,152.0,225,66.0,1540.0,43.0,5,2279.0000000000005,383.1441787739895,1825.0,36.630936,
1_1_LT05_152043_19880502,1.0,102.349739,1117.0,0.0,1988-05-02T05:27:21,0.0,0.9218238375207733,1565.0000000000002,125.0,Indus_Water_Downstream,2068.0,152.0,231,66.0,1708.0,43.0,5,2050.9999999999995,278.4504455463995,1729.0000000000002,29.414402,
1_1_LT05_152043_19880518,53.0,94.271996,,1.0,1988-05-18T05:27:32,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,27.893204,
1_1_LT05_152043_19880619,14.0,85.814491,1072.0,0.43505717011299655,1988-06-19T05:27:43,0.0,1.6,1413.0,116.0,Indus_Water_Downstream,1671.0,152.0,20,66.0,1480.0,43.0,5,1373.0,92.80241106781655,989.0,28.173717,
1_1_LT05_152043_19880705,76.0,86.944443,,1.0,1988-07-05T05:27:47,,,,,Indus_Water_Downstream,,152.0,0,,,43.0,5,,,,28.999901,
1_1_LT05_152043_19880822,35.0,107.848099,960.0,0.0,1988-08-22T05:27:53,4.0,1.725930637394491,1304.0,136.0,Indus_Water_Downstream,1735.9999999999998,152.0,190,66.0,1294.0000000000002,43.0,5,1371.9999999999998,102.465457999769,953.0000000000002,32.222412,
