system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_133047_20000412,11.0,104.377777,1001.9999999999998,0.0,2000-04-12T03:35:42,0.0,0.0,1415.0,134.0,Irawaddy_Land_Upstream,2496.0,133.0,229,66.0,1606.9999999999998,47.0,5,3166.0,339.1166283201266,2375.9999999999995,31.343006,
1_1_LT05_133047_20041117,1.0,146.667068,929.0,0.0,2004-11-17T03:46:23,0.0,1.065877420042386,1406.0,179.0,Irawaddy_Land_Upstream,1645.0,133.0,13,66.0,1478.0,47.0,5,2086.0,488.7839154230948,1661.0,44.612228,
1_1_LT05_133048_19871205,0.0,142.607437,658.5219367243488,0.0,1987-12-05T03:30:05,0.0,0.0,1012.1707742639039,193.0,Irawaddy_Land_Upstream,2378.4694408322493,133.0,229,66.0,1008.1891891891892,48.0,5,2380.794482758621,328.67481648248895,1696.7849374102195,49.19799,
1_1_LT05_133048_19880106,0.0,139.528198,744.0,0.0,1988-01-06T03:30:35,0.0,0.0,1138.0000000000002,200.0,Irawaddy_Land_Upstream,2708.78361804643,133.0,229,66.0,1111.0000000000002,48.0,5,2567.7611241217796,318.70172652240007,1735.782978723404,51.620995,
1_1_LT05_133048_19880207,0.0,131.215393,614.3560944479897,0.0,1988-02-07T03:31:10,0.0,0.0,956.4254998630512,189.99999999999997,Irawaddy_Land_Upstream,2788.099397590361,133.0,229,66.0,951.0,48.0,5,2456.437242798354,303.9195443746734,1488.857142857143,48.051929,
1_1_LT05_133048_19880223,0.0,125.607811,661.8742905192348,0.0,1988-02-23T03:31:24,0.0,0.0,981.4930766632896,179.0,Irawaddy_Land_Upstream,2737.5806451612902,133.0,229,66.0,977.3264446995793,48.0,5,2331.215488215488,338.9774840773202,1432.828842620943,44.423443,
1_1_LT05_133048_19880411,0.0,101.911758,903.0000000000001,0.0,1988-04-11T03:31:47,0.0,0.0,1340.0,138.00000000000003,Irawaddy_Land_Upstream,2585.0251112523842,133.0,229,66.0,1484.0,48.0,5,3076.0000000000005,289.315441098401,2208.0,32.496876,
1_1_LT05_133048_19880427,0.0,92.10321,826.0,0.0,1988-04-27T03:31:52,0.0,0.0,1248.0,129.0,Irawaddy_Land_Upstream,2427.0,133.0,229,66.0,1477.0,48.0,5,3151.9999999999995,282.6244251695334,2378.9999999999995,30.22908,
1_1_LT05_133048_19880529,67.0,76.578705,830.0,0.0,1988-05-29T03:32:09,0.0,0.0,1182.254488517745,125.99999999999997,Irawaddy_Land_Upstream,2891.0,133.0,229,66.0,1192.0,48.0,5,2648.9999999999995,299.6583226183587,1673.8500724287785,29.57864,
1_1_LT05_133048_19880918,90.0,114.323219,,1.0,1988-09-18T03:32:25,,,,,Irawaddy_Land_Upstream,,133.0,0,,,48.0,5,,,,33.51992,
1_1_LT05_133048_19881020,28.0,133.124802,,1.0,1988-10-20T03:32:14,,,,,Irawaddy_Land_Upstream,,133.0,0,,,48.0,5,,,,39.119678,
1_1_LT05_133048_19881105,4.0,138.977509,516.3608100399315,0.0,1988-11-05T03:32:18,0.0,1.9880461205499451,830.9619686800895,173.0,Irawaddy_Land_Upstream,2366.5456490727533,133.0,229,66.0,673.1274038461539,48.0,5,1756.6768681458814,234.20593440339823,839.0000000000001,42.85091,
1_1_LT05_133048_19881207,7.0,143.04213,540.1869559012416,0.0,1988-12-07T03:32:10,0.0,1.2689929283459334,878.4970845481049,193.99999999999997,Irawaddy_Land_Upstream,2301.689779378658,133.0,229,66.0,848.0,48.0,5,1949.9999999999995,230.37527228410502,1205.036233951498,49.383583,
1_1_LT05_133048_19890108,0.0,139.205872,664.0,0.0,1989-01-08T03:31:58,0.0,0.0,999.0,198.99999999999997,Irawaddy_Land_Upstream,2301.5579202586205,133.0,229,66.0,1100.60635538262,48.0,5,2464.0000000000005,281.8889433872115,1728.7964884277735,51.410065,
1_1_LT05_133048_19890124,81.0,135.279877,,1.0,1989-01-24T03:31:38,,,,,Irawaddy_Land_Upstream,,133.0,0,,,48.0,5,,,,50.126434,
1_1_LT05_133048_19890209,0.0,130.370285,660.5848726424265,0.0,1989-02-09T03:31:40,0.0,0.0,978.3370577281191,188.0,Irawaddy_Land_Upstream,2384.1771731917715,133.0,229,66.0,1004.9999999999999,48.0,5,2400.4986893840105,228.74523322732497,1558.923076923077,47.457592,
