system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_133049_19880106,4.0,138.562241,,0.0,1988-01-06T03:30:59,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,50.666515,
1_1_LT05_133049_19880207,0.0,130.015823,,0.0,1988-02-07T03:31:34,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,47.272026,
1_1_LT05_133049_19880223,0.0,124.183525,,0.0,1988-02-23T03:31:48,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,43.771454,
1_1_LT05_133049_19880411,0.0,99.550514,,0.0,1988-04-11T03:32:11,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,32.440208,
1_1_LT05_133049_19880427,1.0,89.561501,,0.0,1988-04-27T03:32:16,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,30.424557,
1_1_LT05_133049_19881020,15.0,131.544418,,0.0,1988-10-20T03:32:38,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,38.305267,
1_1_LT05_133049_19881105,7.0,137.672897,,0.0,1988-11-05T03:32:42,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,41.908207,
1_1_LT05_133049_19881207,9.0,142.052261,,1.0,1988-12-07T03:32:34,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,48.360073,
1_1_LT05_133049_19890108,7.0,138.228607,,0.0,1989-01-08T03:32:22,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,50.460278,
1_1_LT05_133049_19890124,80.0,134.207977,,1.0,1989-01-24T03:32:02,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,49.256481,
1_1_LT05_133049_19890209,1.0,129.138214,,0.0,1989-02-09T03:32:05,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,46.690941,
1_1_LT05_133049_19890313,82.0,115.83046,,1.0,1989-03-13T03:31:29,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,39.098408,
1_1_LT05_133049_19890414,88.0,97.704895,,1.0,1989-04-14T03:31:11,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,32.294308,
1_1_LT05_133049_19890430,12.0,87.81826,,0.0,1989-04-30T03:30:52,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,30.606419,
1_1_LT05_133049_19890516,79.0,79.287651,,1.0,1989-05-16T03:30:35,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,30.24794,
1_1_LT05_133049_19890601,46.0,73.520294,,0.0,1989-06-01T03:30:22,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,30.821827,
1_1_LT05_133049_19891108,2.0,136.861618,,0.0,1989-11-08T03:26:38,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,43.539646,
1_1_LT05_133049_19891210,0.0,140.412338,,0.0,1989-12-10T03:25:41,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,49.801086,
1_1_LT05_133049_19891226,0.0,139.010239,,0.0,1989-12-26T03:25:14,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,51.42886,
1_1_LT05_133049_19900111,0.0,136.004044,,0.0,1990-01-11T03:24:39,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,51.623447,
1_1_LT05_133049_19900127,1.0,131.749802,,0.0,1990-01-27T03:24:11,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,50.336731,
1_1_LT05_133049_19900212,14.0,126.445427,,0.0,1990-02-12T03:23:41,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,47.75251,
1_1_LT05_133049_19900228,11.0,120.150917,,0.03957400005365241,1990-02-28T03:23:10,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,44.268063,
1_1_LT05_133049_19900316,0.0,112.78286,,0.0,1990-03-16T03:22:37,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,40.438557,
1_1_LT05_133049_19900503,7.0,85.850487,,0.0,1990-05-03T03:22:11,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,32.494282,
1_1_LT05_133049_19900519,37.0,78.171608,,0.018204254634224863,1990-05-19T03:22:21,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,32.225533,
1_1_LT05_133049_19901026,47.0,131.053299,,1.0,1990-10-26T03:21:36,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,41.526901,
1_1_LT05_133049_19901213,23.0,139.415787,,1.0,1990-12-13T03:21:26,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,50.793968,
1_1_LT05_133049_19910303,0.0,119.030762,,0.0,1991-03-03T03:23:11,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,43.514538,
1_1_LT05_133049_19910506,21.0,84.450401,,0.55119242428307,1991-05-06T03:24:23,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,31.872528,
1_1_LT05_133049_19910522,66.0,77.060661,,1.0,1991-05-22T03:24:38,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,31.747025,
1_1_LT05_133049_19911130,4.0,140.356567,,0.0,1991-11-30T03:26:29,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,48.036587,
1_1_LT05_133049_19920202,5.0,130.51149,,0.0,1992-02-02T03:26:24,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,49.1394,
1_1_LT05_133049_19920218,12.0,124.953529,,0.0,1992-02-18T03:26:13,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,46.051777,
1_1_LT05_133049_19920321,0.0,110.641197,,0.0,1992-03-21T03:26:15,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,38.273884,
1_1_LT05_133049_19920406,7.0,101.704872,,0.2188749094615984,1992-04-06T03:26:06,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,34.837948,
1_1_LT05_133049_19920422,5.0,92.11422,,0.15224937629101062,1992-04-22T03:25:59,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,32.479485,
1_1_LT05_133049_19920508,37.0,83.045235,,1.0,1992-05-08T03:25:49,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,31.470181,
1_1_LT05_133049_19920609,60.0,72.103203,,0.0,1992-06-09T03:25:32,,,,,Irawaddy_Water_Downstream,,133.0,0,,,49.0,5,,,,32.375877,
