system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129009_20070709,96.0,176.047546,,1.0,2007-07-09T03:15:11,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,49.838844,
1_1_LT05_129009_20070725,19.0,175.664627,494.0000000000001,0.0,2007-07-25T03:15:02,4.0,1.0648941643505307,615.0000000000002,202.0,Lena_Land_Downstream,2033.999999999999,129.0,2983,66.0,596.9886712610996,9.0,5,1460.0000000000002,208.33726325265903,751.9999999999999,52.506348,
1_1_LT05_129009_20070927,11.0,179.999619,510.85743868365205,0.0022699314627145457,2007-09-27T03:14:25,4.0,0.5720088025785203,616.8604263620554,245.0,Lena_Land_Downstream,1461.9048415321797,129.0,2777,66.0,726.0048936335576,9.0,5,1293.8798705865806,195.8587064673289,754.0093087701496,73.671097,
1_1_LT05_129009_20090612,83.0,176.123199,,1.0,2009-06-12T03:09:42,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,49.075516,
1_1_LT05_129009_20090730,40.0,174.526382,,1.0,2009-07-30T03:10:30,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,53.772751,
1_1_LT05_129009_20100802,68.0,174.864075,,1.0,2010-08-02T03:11:50,,,,,Lena_Land_Downstream,,129.0,0,,,9.0,5,,,,54.471798,
1_1_LT05_129009_20100919,4.0,178.521378,616.2249596220139,0.009112676468865329,2010-09-19T03:11:37,0.0,1.967520624948808,724.9999999999995,240.99999999999994,Lena_Land_Downstream,1857.2511994698473,129.0,3003,66.0,941.9686838093091,9.0,5,1901.3415623257472,294.0010885299609,1085.1894176690457,70.678429,
1_1_LT05_129009_20110704,0.0,174.894257,540.0,0.0,2011-07-04T03:10:39,0.0,1.7933296406720758,714.0000000000001,194.0,Lena_Land_Downstream,1836.0,129.0,3011,66.0,834.0,9.0,5,1872.0000000000002,362.08717543090904,1122.0000000000007,49.366817,
1_1_LT05_131008_20070723,63.0,178.500732,306.99999999999994,0.0015633237654501786,2007-07-23T03:27:01,4.0,1.9776364595560785,540.0000000000003,205.0,Lena_Land_Downstream,2059.399035944468,131.0,2917,66.0,534.1904554369144,8.0,5,1440.0000000000005,234.26885355949875,789.9999999999998,53.324867,
1_1_LT05_131008_20090626,2.0,178.178818,494.64408668336375,0.0,2009-06-26T03:21:55,4.0,1.8138135758667475,640.9999999999999,196.0,Lena_Land_Downstream,1048.0,131.0,2644,66.0,735.9999999999999,8.0,5,1179.0000000000002,190.0983938033752,900.9999999999998,50.10984,
