system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_129009_20070709,96.0,176.047546,,1.0,2007-07-09T03:15:11,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,5,,,,49.838844,
1_1_LT05_129009_20070725,19.0,175.664627,526.1349292764316,0.013767094333021672,2007-07-25T03:15:02,4.0,1.6566973148404585,673.0651440855385,202.00000000000003,Lena_Land_Midstream,1976.44156504065,129.0,3006,66.0,642.9999999999999,9.0,5,1602.0,358.47178838720134,803.0,52.506348,
1_1_LT05_129009_20070927,11.0,179.999619,505.0912736223599,0.4208626351772067,2007-09-27T03:14:25,4.0,0.6529520705650953,612.9329683682143,244.99999999999997,Lena_Land_Midstream,1682.0095874739611,129.0,2044,66.0,723.9999999999997,9.0,5,1212.891736437864,147.27658050795583,639.0000000000002,73.671097,
1_1_LT05_129009_20090612,83.0,176.123199,,1.0,2009-06-12T03:09:42,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,5,,,,49.075516,
1_1_LT05_129009_20090730,40.0,174.526382,874.0,0.9871137831292182,2009-07-30T03:10:30,0.0,0.0,1037.0,205.0,Lena_Land_Midstream,2728.0,129.0,50,66.0,1029.0,9.0,5,2778.0,148.9425674547083,1412.0,53.772751,
1_1_LT05_129009_20100802,68.0,174.864075,,1.0,2010-08-02T03:11:50,,,,,Lena_Land_Midstream,,129.0,0,,,9.0,5,,,,54.471798,
1_1_LT05_129009_20100919,4.0,178.521378,557.9448931366732,0.00288003198647239,2010-09-19T03:11:37,4.0,1.8343434500098483,721.9489522609117,240.99999999999994,Lena_Land_Midstream,1853.0755305005032,129.0,3714,66.0,769.9581488065918,9.0,5,1770.9765414363856,251.91347935313902,990.1474176478777,70.678429,
1_1_LT05_129009_20110704,0.0,174.894257,441.9185762001699,0.0,2011-07-04T03:10:39,4.0,1.991971621054552,613.0000000000001,193.99999999999997,Lena_Land_Midstream,1603.9999999999998,129.0,3642,66.0,673.0000000000001,9.0,5,1712.0,321.82746271480625,939.5622543904442,49.366817,
1_1_LT05_130009_20090721,83.0,174.432693,,1.0,2009-07-21T03:16:33,,,,,Lena_Land_Midstream,,130.0,0,,,9.0,5,,,,51.8125,
1_1_LT05_130009_20090806,91.0,174.783997,,1.0,2009-08-06T03:16:47,,,,,Lena_Land_Midstream,,130.0,0,,,9.0,5,,,,55.581978,
1_1_LT05_130009_20090923,17.0,178.965698,693.6364141301933,0.36674073256518597,2009-09-23T03:17:29,0.0,1.9485029110423089,765.0,243.0,Lena_Land_Midstream,1808.6878460686596,130.0,754,66.0,920.4527268325161,9.0,5,1919.0,453.4557936493699,1179.5978172999191,72.29921,
