system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_167077_19840601,11.0,41.600216,392.0,0.0,1984-06-01T07:11:25,4.0,,691.0,,Limpopo_Water_Upstream,2114.0,167.0,0,66.0,566.0,77.0,5,825.0,,340.0,59.55862,
1_1_LT05_167077_19841007,67.0,66.557899,,1.0,1984-10-07T07:13:29,,,,,Limpopo_Water_Upstream,,167.0,0,,,77.0,5,,,,38.701981,
1_1_LT05_167077_19841124,26.0,90.08371,,1.0,1984-11-24T07:13:16,,,,,Limpopo_Water_Upstream,,167.0,0,,,77.0,5,,,,32.316341,
1_1_LT05_167077_19860506,14.0,46.459343,,1.0,1986-05-06T07:08:17,,,,,Limpopo_Water_Upstream,,167.0,0,,,77.0,5,,,,55.699718,
1_1_LT05_167077_19860522,0.0,43.430996,393.0,0.0,1986-05-22T07:07:51,4.0,,662.0,,Limpopo_Water_Upstream,2348.0,167.0,0,66.0,645.0,77.0,5,1327.0,,505.0,58.611816,
1_1_LT05_167077_19861114,0.0,86.923904,448.0,0.0,1986-11-14T07:01:52,4.0,,715.0,,Limpopo_Water_Upstream,1625.0,167.0,0,66.0,741.0,77.0,5,1418.0,,983.0,35.085339,
1_1_LT05_167077_19861216,6.0,96.543205,650.0,0.0,1986-12-16T07:02:11,4.0,0.0,1048.0,166.0,Limpopo_Water_Upstream,1945.0,167.0,8,66.0,1312.0,77.0,5,661.0,164.73691146795244,520.0,36.400196,
1_1_LT05_167077_19870117,59.0,93.637444,775.0,0.1746100519930676,1987-01-17T07:03:08,4.0,,1120.0,,Limpopo_Water_Upstream,1503.0,167.0,0,66.0,1166.0,77.0,5,1039.0,,622.0,39.915165,
1_1_LT05_167077_19870202,29.0,88.219917,608.5,0.0,1987-02-02T07:03:40,4.0,,947.0,,Limpopo_Water_Upstream,1785.0,167.0,0,66.0,1095.5,77.0,5,582.0,,408.0,41.699444,
1_1_LT05_167077_19870218,30.0,81.071838,,1.0,1987-02-18T07:04:18,,,,,Limpopo_Water_Upstream,,167.0,0,,,77.0,5,,,,43.471855,
