system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_009052_19840902,8.0,93.86776,,0.6850319011911775,1984-09-02T14:46:59,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,32.533405,
1_1_LT05_009052_19841223,19.0,137.855408,,0.0,1984-12-23T14:47:06,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,47.264271,
1_1_LT05_009052_19850124,11.0,130.741074,,0.0,1985-01-24T14:47:19,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,46.663033,
1_1_LT05_009052_19860111,4.0,133.794312,,0.0,1986-01-11T14:44:23,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,48.142944,
1_1_LT05_009052_19860228,21.0,116.364777,,1.0,1986-02-28T14:43:18,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,41.466335,
1_1_LT05_009052_19860316,4.0,108.077087,2059.5,0.7794474454085253,1986-03-16T14:42:59,4.0,0.0,2462.5,157.0,Magdalena_Land_Midstream,2880.0,9.0,2,130.0,2557.0,52.0,5,1953.5,67.5,1477.0,38.093521,
1_1_LT05_009052_19860503,27.0,78.902817,,0.39117150759338226,1986-05-03T14:41:55,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,32.57555,
1_1_LT05_009052_19860706,4.0,67.121323,,0.0,1986-07-06T14:39:59,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,35.778107,
1_1_LT05_009052_19860807,35.0,77.926331,1018.0,0.0,1986-08-07T14:38:52,4.0,0.0,1339.0,148.0,Magdalena_Land_Midstream,1693.0,9.0,1,66.0,1499.0,52.0,5,1054.0,0.0,749.0,35.443409,
1_1_LT05_009052_19860823,4.0,86.592285,,0.0,1986-08-23T14:38:16,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,34.850632,
1_1_LT05_009052_19860908,10.0,96.876663,,0.0,1986-09-08T14:37:41,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,34.582424,
1_1_LT05_009052_19860924,22.0,107.849594,,1.0,1986-09-24T14:37:11,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,35.135811,
1_1_LT05_009052_19861111,9.0,132.365494,1462.0,0.34307509510449036,1986-11-11T14:35:32,4.0,0.0,1798.0,173.0,Magdalena_Land_Midstream,2091.0,9.0,1,130.0,1806.0,52.0,5,1453.0,0.0,1034.0,42.672852,
1_1_LT05_009052_19861127,3.0,135.469101,,0.0,1986-11-27T14:35:12,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,45.791618,
1_1_LT05_009052_19861213,3.0,136.18364,,0.0,1986-12-13T14:35:40,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,48.200867,
1_1_LT05_009052_19861229,11.0,134.781494,,0.0,1986-12-29T14:36:09,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,49.484451,
1_1_LT05_009052_19870114,19.0,131.620743,,0.0,1987-01-14T14:36:37,,,,,Magdalena_Land_Midstream,,9.0,0,,,52.0,5,,,,49.40984,
