system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116060_19880927,70.0,93.128372,,1.0,1988-09-27T01:52:03,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,32.058014,
1_1_LT05_116060_19890117,24.0,122.265251,216.0,0.9426539082622677,1989-01-17T01:51:30,4.0,0.0,353.0,169.0,Mahakam_Land_Downstream,1579.0,116.0,17,66.0,258.0,60.0,5,474.0,37.82641101455716,136.0,41.625408,
1_1_LT05_116060_19890509,41.0,60.814426,305.0,0.19884960830630855,1989-05-09T01:50:05,0.0,1.8806236080120333,468.0,156.00000000000003,Mahakam_Land_Downstream,2904.0,116.0,191,66.0,331.00000000000006,60.0,5,856.0,250.54694929306226,253.99999999999994,37.593613,
1_1_LT05_116060_19891101,54.0,116.024078,,1.0,1989-11-01T01:46:08,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,34.470032,
1_1_LT05_116060_19900104,40.0,124.625282,256.0,0.0,1990-01-04T01:44:11,0.0,1.0301575072754257,408.3360674623288,174.0,Mahakam_Land_Downstream,2676.557617280426,116.0,294,66.0,306.0,60.0,5,820.0,167.7171199160216,296.99999999999994,42.925541,
1_1_LT05_116060_19910616,30.0,53.989994,,1.0,1991-06-16T01:44:14,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,42.321056,
1_1_LT05_116060_19911209,53.0,126.956528,,1.0,1991-12-09T01:45:53,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,40.070076,
1_1_LT05_116060_19920126,59.0,118.610023,,1.0,1992-01-26T01:45:42,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,42.680672,
1_1_LT05_116060_19920227,37.0,103.59021,,1.0,1992-02-27T01:45:35,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,39.961262,
1_1_LT05_116060_19920314,5.0,94.023064,415.00000000000006,0.0,1992-03-14T01:45:35,0.0,0.0,620.204331899984,158.0,Mahakam_Land_Downstream,2993.1559981033665,116.0,294,66.0,511.00000000000006,60.0,5,915.9999999999997,49.836804336755634,285.99999999999994,38.333607,
1_1_LT05_116060_19920906,41.0,79.209969,711.0,0.9217546809731619,1992-09-06T01:43:38,0.0,0.0,914.0,152.0,Mahakam_Land_Downstream,3335.0,116.0,23,66.0,809.0,60.0,5,1218.0,216.62134953352094,594.0,36.494591,
1_1_LT05_116060_19931027,36.0,112.880142,425.99999999999994,0.0,1993-10-27T01:43:32,0.0,0.40199419599167774,590.0000000000002,144.99999999999997,Mahakam_Land_Downstream,2732.0,116.0,294,66.0,490.0000000000001,60.0,5,926.9999999999998,54.644258214431744,272.99999999999983,34.531677,
1_1_LT05_116060_19931214,56.0,126.696762,,1.0,1993-12-14T01:43:13,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,41.253056,
1_1_LT05_116060_19940131,34.0,116.120789,,1.0,1994-01-31T01:42:37,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,43.035099,
1_1_LT05_116060_19941014,11.0,103.932129,427.0,0.14533370701044965,1994-10-14T01:37:07,4.0,1.9068771324039626,545.0000000000001,148.0,Mahakam_Land_Downstream,2458.101250919794,116.0,252,66.0,481.99999999999994,60.0,5,879.0,52.13077506733145,346.99999999999994,35.352989,
1_1_LT05_116060_19941030,42.0,113.441956,740.0,0.19931670470165894,1994-10-30T01:36:33,0.0,0.0,896.9999999999999,151.0,Mahakam_Land_Downstream,3005.164457332229,116.0,238,66.0,793.9999999999998,60.0,5,1081.9999999999998,55.855802911388295,504.9999999999999,36.38554,
1_1_LT05_116060_19941115,26.0,120.469788,,1.0,1994-11-15T01:36:00,,,,,Mahakam_Land_Downstream,,116.0,0,,,60.0,5,,,,38.44965,
1_1_LT05_116060_19941217,80.0,125.341583,902.9999999999998,0.26533744378161256,1994-12-17T01:35:00,0.0,0.0,1098.0000000000002,174.99999999999997,Mahakam_Land_Downstream,2998.0,116.0,217,66.0,1001.9999999999999,60.0,5,1170.0,36.84482262629258,670.0000000000001,43.227154,
1_1_LT05_116060_19950102,22.0,123.632767,365.00000000000006,0.0,1995-01-02T01:34:28,0.0,1.3997084244475304,503.99999999999983,180.00000000000003,Mahakam_Land_Downstream,2927.0000000000005,116.0,294,66.0,411.9999999999999,60.0,5,910.9999999999998,117.56192221784904,309.0,44.795662,
1_1_LT05_116060_19950424,45.0,70.490913,250.00000000000003,0.0,1995-04-24T01:29:58,0.0,0.23288765671596856,386.34548632480744,166.99999999999997,Mahakam_Land_Downstream,2809.0,116.0,294,66.0,324.27312396287874,60.0,5,845.9999999999998,56.638581128319146,269.00000000000006,41.012112,
