system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_116060_19880927,70.0,93.128372,,1.0,1988-09-27T01:52:03,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,32.058014,
1_1_LT05_116060_19890117,24.0,122.265251,284.99999999999994,0.0,1989-01-17T01:51:30,0.0,0.8645822241982999,555.9999999999998,169.0,Mahakam_Land_Midstream,2970.000000000001,116.0,346,66.0,402.99999999999994,60.0,5,1213.93808665382,1830.2668399725283,562.4739637674285,41.625408,
1_1_LT05_116060_19890509,41.0,60.814426,,1.0,1989-05-09T01:50:05,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,37.593613,
1_1_LT05_116060_19891101,54.0,116.024078,,1.0,1989-11-01T01:46:08,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,34.470032,
1_1_LT05_116060_19900104,40.0,124.625282,376.0,0.0,1990-01-04T01:44:11,0.0,0.9563636232951319,587.0,174.0,Mahakam_Land_Midstream,3042.153705636743,116.0,345,66.0,426.77208845208827,60.0,5,1273.0,183.25849535140978,500.99999999999994,42.925541,
1_1_LT05_116060_19910616,30.0,53.989994,534.0,0.912569544378095,1991-06-16T01:44:14,0.0,0.9977753031397177,707.0,172.0,Mahakam_Land_Midstream,3888.0,116.0,30,66.0,523.0,60.0,5,1624.0,270.7098980253381,618.0,42.321056,
1_1_LT05_116060_19911209,53.0,126.956528,,1.0,1991-12-09T01:45:53,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,40.070076,
1_1_LT05_116060_19920126,59.0,118.610023,,1.0,1992-01-26T01:45:42,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,42.680672,
1_1_LT05_116060_19920227,37.0,103.59021,695.0,0.8615231210270473,1992-02-27T01:45:35,0.0,0.0,951.0,164.0,Mahakam_Land_Midstream,3009.0,116.0,47,66.0,804.0,60.0,5,1155.0,224.9627784714633,486.0,39.961262,
1_1_LT05_116060_19920314,5.0,94.023064,480.6440168370415,0.6767588637213466,1992-03-14T01:45:35,0.0,1.4319747895102095,693.9999999999999,158.0,Mahakam_Land_Midstream,3089.0,116.0,106,66.0,570.0,60.0,5,1241.0,331.7781071034533,439.99999999999994,38.333607,
1_1_LT05_116060_19920906,41.0,79.209969,,1.0,1992-09-06T01:43:38,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,36.494591,
1_1_LT05_116060_19931027,36.0,112.880142,433.0,0.0,1993-10-27T01:43:32,0.0,0.6011560693641619,723.9999999999999,144.99999999999997,Mahakam_Land_Midstream,3020.056056276104,116.0,346,66.0,536.0,60.0,5,1311.9999999999998,169.95435254486983,456.99999999999994,34.531677,
1_1_LT05_116060_19931214,56.0,126.696762,,1.0,1993-12-14T01:43:13,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,41.253056,
1_1_LT05_116060_19940131,34.0,116.120789,683.0,0.6103928478352011,1994-01-31T01:42:37,0.0,0.0,945.0000000000001,173.99999999999997,Mahakam_Land_Midstream,3000.0,116.0,135,130.0,795.0000000000001,60.0,5,1384.0,143.82243167132057,631.9999999999999,43.035099,
1_1_LT05_116060_19941014,11.0,103.932129,347.00000000000006,0.11435305315400046,1994-10-14T01:37:07,0.0,1.891709518374343,557.0000000000001,147.99999999999997,Mahakam_Land_Midstream,2642.016025641026,116.0,305,66.0,427.0,60.0,5,1189.0,129.06699380586542,458.00000000000006,35.352989,
1_1_LT05_116060_19941030,42.0,113.441956,,1.0,1994-10-30T01:36:33,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,36.38554,
1_1_LT05_116060_19941115,26.0,120.469788,,1.0,1994-11-15T01:36:00,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,38.44965,
1_1_LT05_116060_19941217,80.0,125.341583,,1.0,1994-12-17T01:35:00,,,,,Mahakam_Land_Midstream,,116.0,0,,,60.0,5,,,,43.227154,
