system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_139046_19890611,38.0,78.650078,,1.0,1989-06-11T04:06:01,,,,,Mahanadi_Land_Midstream,,139.0,0,,,46.0,5,,,,29.656296,
1_1_LT05_139046_19900310,50.0,120.366409,,1.0,1990-03-10T03:58:41,,,,,Mahanadi_Land_Midstream,,139.0,0,,,46.0,5,,,,43.333321,
1_1_LT05_139046_19900529,32.0,81.539833,1103.0,0.0,1990-05-29T03:58:09,0.0,0.7423074889580903,1388.0,131.0,Mahanadi_Land_Midstream,2244.0,139.0,56,66.0,1341.0,46.0,5,1534.0,98.48403054789756,963.0,30.990139,
1_1_LT05_139046_19901020,0.0,132.855377,,0.0,1990-10-20T03:57:30,,,,,Mahanadi_Land_Midstream,,139.0,0,,,46.0,5,,,,42.618614,
1_1_LT05_139046_19901223,0.0,141.361145,522.0,0.0,1990-12-23T03:57:34,4.0,0.0,631.0,208.0,Mahanadi_Land_Midstream,1501.0,139.0,46,66.0,583.0,46.0,5,900.0,74.07690276752544,464.0,54.64999,
1_1_LT05_139046_19910108,0.0,138.935211,527.0,0.6675091911764707,1991-01-08T03:57:59,4.0,0.0,689.0,210.0,Mahanadi_Land_Midstream,1596.0,139.0,17,66.0,591.0,46.0,5,887.0,96.46061641432297,426.0,54.885933,
1_1_LT05_139046_19910124,3.0,135.342133,564.0,0.0,1991-01-24T03:58:27,4.0,0.0,723.0,205.0,Mahanadi_Land_Midstream,1575.0,139.0,55,66.0,622.0,46.0,5,919.0000000000001,80.21294798717604,458.0,53.534428,
1_1_LT05_139046_19910209,0.0,130.857239,543.0,0.0,1991-02-09T03:58:37,4.0,0.0,731.0,197.0,Mahanadi_Land_Midstream,1592.0,139.0,52,66.0,639.0,46.0,5,1033.0,70.88805868342975,525.0,50.723854,
1_1_LT05_139046_19910225,0.0,125.578239,451.0,0.0,1991-02-25T03:59:00,4.0,0.0,638.0,186.0,Mahanadi_Land_Midstream,1704.0,139.0,49,66.0,561.0,46.0,5,994.0,60.92998556013387,490.0,46.830746,
1_1_LT05_139046_19910313,4.0,119.412277,474.0,0.12040441176470587,1991-03-13T03:59:19,4.0,0.0,641.0,172.0,Mahanadi_Land_Midstream,1980.0,139.0,20,66.0,541.0,46.0,5,994.0,179.649512941171,422.0,42.356289,
