system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_139046_19890611,38.0,78.650078,,1.0,1989-06-11T04:06:01,,,,,Mahanadi_Water_Midstream,,139.0,0,,,46.0,5,,,,29.656296,
1_1_LT05_139046_19900310,50.0,120.366409,786.0,0.969927401833501,1990-03-10T03:58:41,4.0,,1026.0,,Mahanadi_Water_Midstream,1484.0,139.0,0,66.0,1020.0,46.0,5,996.0,,583.0,43.333321,
1_1_LT05_139046_19900529,32.0,81.539833,1170.0,0.051905039478565,1990-05-29T03:58:09,0.0,1.065877420042386,1529.0,131.0,Mahanadi_Water_Midstream,2207.0,139.0,13,66.0,1529.0,46.0,5,1865.0,290.73536636336166,1182.0,30.990139,
1_1_LT05_139046_19901020,0.0,132.855377,603.0,0.0,1990-10-20T03:57:30,4.0,0.0,1024.0,173.0,Mahanadi_Water_Midstream,1512.0,139.0,9,66.0,1087.0,46.0,5,1212.0,197.2834646697454,698.0,42.618614,
1_1_LT05_139046_19901223,0.0,141.361145,734.0,0.4915743733771396,1990-12-23T03:57:34,0.0,0.0,1026.0,210.0,Mahanadi_Water_Midstream,1752.0,139.0,1,66.0,1102.0,46.0,5,1852.0,0.0,1097.0,54.64999,
1_1_LT05_139046_19910108,0.0,138.935211,671.0,0.4396958295797787,1991-01-08T03:57:59,4.0,1.8856180831641267,888.0,209.0,Mahanadi_Water_Midstream,2058.0,139.0,3,66.0,809.0,46.0,5,1445.0,463.3431653633068,775.0,54.885933,
1_1_LT05_139046_19910124,3.0,135.342133,746.0,0.0,1991-01-24T03:58:27,0.0,1.9316155274674514,1006.0,205.0,Mahanadi_Water_Midstream,2014.0,139.0,27,66.0,1035.0,46.0,5,1885.0,550.1301753917371,1124.0,53.534428,
1_1_LT05_139046_19910209,0.0,130.857239,740.0,0.0,1991-02-09T03:58:37,0.0,1.8856180831641267,1052.0,197.0,Mahanadi_Water_Midstream,2018.0,139.0,27,66.0,1039.0,46.0,5,1895.0,512.5770309134302,1254.0,50.723854,
1_1_LT05_139046_19910225,0.0,125.578239,666.0,0.0,1991-02-25T03:59:00,0.0,1.8856180831641267,970.0,186.0,Mahanadi_Water_Midstream,2269.0,139.0,27,66.0,927.0,46.0,5,1913.0,549.2978932992467,1210.0,46.830746,
1_1_LT05_139046_19910313,4.0,119.412277,674.0,0.0,1991-03-13T03:59:19,0.0,1.952169071360317,990.0,172.0,Mahanadi_Water_Midstream,2228.0,139.0,23,66.0,984.0,46.0,5,1975.0,561.7222604816411,1142.0,42.356289,
1_1_LT05_139046_19910329,0.0,112.172256,659.0,0.0,1991-03-29T03:59:32,4.0,2.0,982.0,157.0,Mahanadi_Water_Midstream,1872.0,139.0,16,66.0,913.0,46.0,5,1761.0,505.07794881087415,949.0,37.931301,
1_1_LT05_139046_19910430,19.0,94.936356,,0.9051454612898098,1991-04-30T04:00:09,,,,,Mahanadi_Water_Midstream,,139.0,0,,,46.0,5,,,,31.657257,
1_1_LT05_139046_19910516,20.0,86.746101,904.0,0.009273488421387316,1991-05-16T04:00:23,0.0,1.984313483298443,1265.0,129.0,Mahanadi_Water_Midstream,1996.0,139.0,16,66.0,1231.0,46.0,5,1646.0,417.41898540315583,1009.0,30.503654,
1_1_LT05_139046_19910617,44.0,78.050102,973.0,0.0,1991-06-17T04:00:50,0.0,1.8405226511753674,1362.0,132.0,Mahanadi_Water_Midstream,2067.0,139.0,23,66.0,1289.0,46.0,5,1671.0,399.8513807079632,934.0,31.093346,
1_1_LT05_139046_19910820,38.0,97.842125,,1.0,1991-08-20T04:01:33,,,,,Mahanadi_Water_Midstream,,139.0,0,,,46.0,5,,,,33.343224,
1_1_LT05_139046_19911007,18.0,127.751015,,0.39886598484447044,1991-10-07T04:02:00,,,,,Mahanadi_Water_Midstream,,139.0,0,,,46.0,5,,,,38.958229,
1_1_LT05_139046_19911023,6.0,135.191605,923.0,0.0,1991-10-23T04:02:06,4.0,1.2000000000000002,1244.0,172.0,Mahanadi_Water_Midstream,2170.0,139.0,10,66.0,1177.0,46.0,5,1532.0,286.3561418932722,797.0,42.484463,
1_1_LT05_139046_19911108,6.0,140.229538,657.0,0.0,1991-11-08T04:02:08,4.0,1.105541596785133,1080.0,184.0,Mahanadi_Water_Midstream,2073.0,139.0,12,66.0,992.0,46.0,5,1379.0,355.15251027629756,672.0,46.307304,
1_1_LT05_139046_19911124,0.0,142.875854,824.0,0.0,1991-11-24T04:02:13,4.0,1.984313483298443,1171.0,195.0,Mahanadi_Water_Midstream,1892.0,139.0,16,66.0,1109.0,46.0,5,1551.0,480.0470680047947,917.0,49.879608,
1_1_LT05_139046_19911226,17.0,142.023285,876.0,0.0,1991-12-26T04:02:19,0.0,1.54277843167974,1169.0,207.0,Mahanadi_Water_Midstream,2135.0,139.0,22,66.0,1185.0,46.0,5,1983.0,446.2686438450933,1237.0,54.160755,
1_1_LT05_139046_19920127,4.0,135.419235,879.0,0.0,1992-01-27T04:02:17,0.0,1.953542047311049,1086.0,202.0,Mahanadi_Water_Midstream,1810.0,139.0,28,66.0,1101.0,46.0,5,1810.0,544.4916031192281,1022.0,52.538216,
1_1_LT05_139046_19920212,1.0,130.713242,830.0,0.0,1992-02-12T04:02:06,0.0,1.8070158058105026,1116.0,194.0,Mahanadi_Water_Midstream,2130.0,139.0,28,66.0,1041.0,46.0,5,1986.0,483.288617448313,1254.0,49.532063,
1_1_LT05_139046_19920228,11.0,125.217773,,1.0,1992-02-28T04:02:08,,,,,Mahanadi_Water_Midstream,,139.0,0,,,46.0,5,,,,45.52335,
1_1_LT05_139046_19920315,0.0,118.796913,887.0,0.0,1992-03-15T04:02:09,0.0,1.6629588385661962,1223.0,167.0,Mahanadi_Water_Midstream,2208.0,139.0,27,66.0,1200.0,46.0,5,2094.0,564.4311629622414,1208.0,41.054874,
1_1_LT05_139046_19920331,24.0,111.247604,2262.9999999999995,0.2852789995230778,1992-03-31T04:02:03,0.0,1.8156448102542306,2416.0,153.0,Mahanadi_Water_Midstream,2614.0,139.0,62,66.0,2281.0,46.0,5,2261.0,422.7409905713682,1656.0,36.748878,
