system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_124053_19880107,2.0,134.13736,871.0,0.726796548611257,1988-01-07T02:36:58,4.0,1.1999999999999997,1047.9999999999998,187.0,Mekong_Land_Downstream,1789.0,124.0,70,66.0,1148.0,53.0,5,1013.0,165.589729051493,542.9999999999999,47.062668,
1_1_LT05_124053_19880208,37.0,124.483215,,1.0,1988-02-08T02:37:34,,,,,Mekong_Land_Downstream,,124.0,0,,,53.0,5,,,,44.276176,
1_1_LT05_124053_19880224,7.0,117.681908,627.0,0.4647618247853379,1988-02-24T02:37:47,4.0,,854.0,,Mekong_Land_Downstream,1524.0,124.0,0,66.0,900.0,53.0,5,1327.0,,783.0,41.312824,
1_1_LT05_124053_19880530,68.0,65.34314,816.0,0.33763357336300476,1988-05-30T02:38:32,4.0,0.6959705453537527,1055.0,139.0,Mekong_Land_Downstream,1893.0,124.0,32,66.0,1079.0,53.0,5,1087.0,210.02617954376544,622.0,33.024094,
1_1_LT05_124053_19880903,52.0,91.929222,,1.0,1988-09-03T02:38:51,,,,,Mekong_Land_Downstream,,124.0,0,,,53.0,5,,,,32.339817,
1_1_LT05_124053_19881021,63.0,125.087227,1049.0,0.0,1988-10-21T02:38:36,0.0,1.8856180831641267,1365.0,148.0,Mekong_Land_Downstream,2483.0,124.0,48,66.0,1419.0,53.0,5,1188.0,380.0858586985825,618.0,35.569527,
1_1_LT05_124053_19881122,58.0,136.367508,819.0,0.35581424642579734,1988-11-22T02:38:40,4.0,0.0,1004.0,170.0,Mekong_Land_Downstream,1976.0,124.0,61,66.0,1001.0,53.0,5,890.0,102.78039302842592,510.0,41.867329,
1_1_LT05_124053_19881208,64.0,137.68811,,1.0,1988-12-08T02:38:30,,,,,Mekong_Land_Downstream,,124.0,0,,,53.0,5,,,,44.626976,
1_1_LT05_124053_19890109,7.0,133.737335,,0.9973232842777067,1989-01-09T02:38:19,,,,,Mekong_Land_Downstream,,124.0,0,,,53.0,5,,,,46.870239,
1_1_LT05_124053_19890125,7.0,129.256332,,1.0,1989-01-25T02:38:00,,,,,Mekong_Land_Downstream,,124.0,0,,,53.0,5,,,,45.935177,
