system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_021040_19840325,0.0,125.354958,394.99999999999983,0.0,1984-03-25T15:54:24,4.0,1.6367311021467832,612.0000000000001,166.00000000000003,Mississippi_Land_Upstream,2265.4978323504856,21.0,3146,66.0,542.0000000000002,40.0,5,1590.021085123701,195.26508913391572,781.9999999999998,40.739395,
1_1_LT05_021040_19840415,5.0,117.17543,487.0,0.0,1984-04-15T15:53:29,0.0,1.2990240553071306,695.9999999999999,144.00000000000003,Mississippi_Land_Upstream,3312.0000000000005,21.0,3188,66.0,502.00000000000017,40.0,5,1485.0000000000002,170.1220056953645,648.0,34.277203,
1_1_LT05_021040_19840501,24.0,109.887581,932.0,0.046005237917077675,1984-05-01T15:53:27,0.0,0.8368260000727619,1054.0,130.0,Mississippi_Land_Upstream,3778.0,21.0,545,66.0,861.9999999999998,40.0,5,1749.0190057389875,229.28417595637626,646.9999999999999,30.632473,
1_1_LT05_021040_19840618,5.0,94.065918,,1.0,1984-06-18T15:54:40,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,27.926975,
1_1_LT05_021040_19840704,24.0,94.792618,,1.0,1984-07-04T15:54:51,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,28.777485,
1_1_LT05_021040_19840906,12.0,123.374413,476.4081333049481,0.0,1984-09-06T15:56:24,0.0,1.4132730870814358,596.0000000000003,150.0,Mississippi_Land_Upstream,2957.910739414097,21.0,3194,66.0,442.00000000000006,40.0,5,1438.9999999999998,145.81363081437786,538.0000000000001,35.978306,
1_1_LT05_021040_19841024,17.0,144.792419,419.244966639783,0.019704469118215964,1984-10-24T15:56:21,0.0,1.8536516907977933,533.9999999999997,189.0,Mississippi_Land_Upstream,2574.316473563488,21.0,3052,66.0,425.00000000000017,40.0,5,1515.699124416402,308.5120748118313,607.9999999999999,47.915947,
1_1_LT05_021040_19841109,9.0,148.192612,,1.0,1984-11-09T15:56:13,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,52.250172,
1_1_LT05_021040_19841125,3.0,149.638245,334.36919193514984,0.0,1984-11-25T15:56:12,0.0,1.9826069482191306,462.0000000000004,211.0,Mississippi_Land_Upstream,2221.4616657141996,21.0,3146,66.0,378.0000000000002,40.0,5,1412.4825745765845,156.04931699674023,556.0,55.965332,
1_1_LT05_021040_19841211,50.0,149.376526,,1.0,1984-12-11T15:56:22,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,58.574425,
1_1_LT05_021040_19850301,33.0,133.76004,,1.0,1985-03-01T15:56:45,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,48.160213,
1_1_LT05_021040_19850504,13.0,109.277588,639.9999999999999,0.13191750395595836,1985-05-04T15:56:28,0.0,0.9438616470776022,800.0000000000002,126.00000000000001,Mississippi_Land_Upstream,3831.8342283776155,21.0,2788,66.0,577.0,40.0,5,1675.0000000000005,309.50856852057024,635.7555698685479,29.580788,
1_1_LT05_021040_19850808,78.0,107.144493,825.1522593550509,0.45833679818646555,1985-08-08T15:56:02,0.0,1.0625278171028785,920.2553277856713,134.0,Mississippi_Land_Upstream,3559.808303209552,21.0,1754,66.0,708.0,40.0,5,1649.0,428.5655673896899,605.9999999999999,31.58675,
1_1_LT05_021040_19850824,12.0,115.781242,441.00862299393793,0.04934071377179692,1985-08-24T15:55:52,0.0,1.0296861441544514,559.0000000000002,142.0,Mississippi_Land_Upstream,3331.260749215723,21.0,3027,66.0,415.00000000000006,40.0,5,1436.0000000000002,165.77555252536283,538.9999999999995,33.709671,
1_1_LT05_021040_19850909,7.0,124.845253,428.0,0.049689006834498096,1985-09-09T15:55:40,0.0,1.4102583735709602,516.0000000000001,152.0,Mississippi_Land_Upstream,3159.4710082680135,21.0,3018,66.0,401.0000000000001,40.0,5,1504.370692280661,166.6523336870224,517.0,36.536777,
1_1_LT05_021040_19850925,12.0,133.234131,,1.0,1985-09-25T15:55:29,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,40.138096,
1_1_LT05_021040_19851011,1.0,140.146515,339.99999999999994,0.0,1985-10-11T15:55:19,0.0,1.652835683234316,430.495849012148,178.00000000000003,Mississippi_Land_Upstream,2697.948425507496,21.0,3140,66.0,324.9999999999999,40.0,5,1373.8807669112477,143.7543378426047,488.88471886233623,44.355392,
1_1_LT05_021040_19851112,2.0,148.143356,621.0,0.8822154813253453,1985-11-12T15:54:53,4.0,0.2073895855705796,630.9999999999999,204.0,Mississippi_Land_Upstream,1866.0,21.0,371,66.0,575.0,40.0,5,1416.9570707070707,204.74471221051428,682.0,53.155304,
1_1_LT05_021040_19851128,70.0,149.21759,,1.0,1985-11-28T15:54:36,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,56.753239,
1_1_LT05_021040_19860115,72.0,143.796799,892.0,0.9137016562600556,1986-01-15T15:53:41,4.0,1.4123663208698187,944.0,219.0,Mississippi_Land_Upstream,1678.0,21.0,274,66.0,833.0,40.0,5,1310.9999999999998,152.49382099946803,761.0,59.207573,
1_1_LT05_021040_19860131,9.0,140.2771,559.9999999999998,0.0016583088383281444,1986-01-31T15:53:20,4.0,1.7220830858659741,630.0000000000006,213.00000000000003,Mississippi_Land_Upstream,1830.3559831338152,21.0,3105,66.0,616.0,40.0,5,1666.2417755063414,236.36526789983418,888.9999999999997,56.712334,
1_1_LT05_021040_19860216,6.0,136.30719,,1.0,1986-02-16T15:52:58,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,52.814854,
1_1_LT05_021040_19860507,32.0,106.652435,,1.0,1986-05-07T15:51:11,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,30.368568,
1_1_LT05_021040_19860523,7.0,99.68605,481.0,0.13087382993416175,1986-05-23T15:50:45,0.0,0.9137345142733553,667.0000000000002,122.99999999999997,Mississippi_Land_Upstream,3584.0,21.0,2752,66.0,488.00000000000006,40.0,5,1663.0000000000002,347.47539548160114,642.0000000000001,28.86869,
1_1_LT05_021040_19860608,43.0,94.821907,,1.0,1986-06-08T15:50:16,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,28.672585,
1_1_LT05_021040_19860624,37.0,93.176346,530.0,0.2618995108229959,1986-06-24T15:49:46,0.0,0.9931943220166861,691.5308518646191,125.00000000000006,Mississippi_Land_Upstream,3831.0,21.0,2333,66.0,480.00000000000006,40.0,5,1621.6402203462585,285.12321120321025,585.0,29.339161,
1_1_LT05_021040_19860710,7.0,94.932854,481.0,0.46538099525043936,1986-07-10T15:49:14,0.0,0.9280764134684876,667.0000000000002,129.00000000000003,Mississippi_Land_Upstream,3569.0449088699875,21.0,1699,66.0,488.0,40.0,5,1497.0,228.31695688298623,559.9999999999998,30.47464,
1_1_LT05_021040_19860726,64.0,99.700638,1288.0,0.819260003784222,1986-07-26T15:48:40,0.0,0.4016563146382681,1408.0000000000002,134.99999999999997,Mississippi_Land_Upstream,3694.900468384075,21.0,589,66.0,1170.0,40.0,5,1864.0,430.81870813544106,865.9999999999999,31.876953,
1_1_LT05_021040_19860811,32.0,106.752113,407.00000000000017,0.7799968906709279,1986-08-11T15:48:06,0.0,0.149591371684243,585.0000000000003,141.00000000000003,Mississippi_Land_Upstream,3689.0000000000005,21.0,714,66.0,405.0000000000001,40.0,5,1635.0,73.64697902585861,582.0000000000001,33.589523,
1_1_LT05_021040_19860912,76.0,123.879814,,1.0,1986-09-12T15:46:57,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,38.681744,
1_1_LT05_021040_19860928,7.0,131.889084,457.23416239025886,0.7064504116245518,1986-09-28T15:46:27,0.0,0.9638171731026413,580.0000000000002,172.0,Mississippi_Land_Upstream,3405.611406879311,21.0,921,66.0,411.00000000000017,40.0,5,1535.9999999999995,176.29850068697812,517.0000000000003,42.291653,
1_1_LT05_021040_19870102,1.0,144.44664,500.00000000000034,0.011564775881247727,1987-01-02T15:45:40,4.0,0.9440571393296278,546.6662055484552,223.00000000000003,Mississippi_Land_Upstream,1891.2796575678901,21.0,3057,66.0,530.0000000000002,40.0,5,1424.0000000000005,187.31772557885526,687.9999999999998,61.024708,
1_1_LT05_021040_19870219,77.0,134.300903,,1.0,1987-02-19T15:47:17,,,,,Mississippi_Land_Upstream,,21.0,0,,,40.0,5,,,,52.848984,
1_1_LT05_021040_19870323,43.0,125.05262,449.00000000000006,0.0,1987-03-23T15:48:29,4.0,1.8668300306460186,676.9999999999999,172.00000000000003,Mississippi_Land_Upstream,2335.0000000000005,21.0,3063,66.0,558.9999999999997,40.0,5,1714.6507073604007,236.6754338033599,830.9899684300594,42.400333,
1_1_LT05_021040_19870408,16.0,119.237915,642.0000000000001,0.015353818750218434,1987-04-08T15:49:02,0.0,1.7969738020116781,800.0000000000002,155.00000000000003,Mississippi_Land_Upstream,2820.373904860795,21.0,3041,66.0,619.0,40.0,5,1544.0000000000005,193.50005571107502,709.9999999999999,37.297188,
1_1_LT05_021040_19870424,0.0,112.457512,399.0,0.0,1987-04-24T15:49:32,0.0,1.1766075818215689,599.0000000000003,139.00000000000003,Mississippi_Land_Upstream,3187.8282490974725,21.0,3125,66.0,419.00000000000017,40.0,5,1610.0000000000005,196.08219487071818,648.0,33.065331,
1_1_LT05_021040_19870526,14.0,98.63932,562.0,0.8334930178690005,1987-05-26T15:50:25,0.0,0.48280451659340506,746.0,123.00000000000001,Mississippi_Land_Upstream,4187.285714285715,21.0,541,66.0,530.0,40.0,5,1826.0,156.3586714343812,674.0,28.712513,
