system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_021040_19840325,0.0,125.354958,757.0,0.0,1984-03-25T15:54:24,4.0,0.0,1056.0,172.0,Mississippi_Water_Downstream,1239.0,21.0,2,66.0,1133.0,40.0,5,1313.0,79.5,662.0,40.739395,
1_1_LT05_021040_19840415,5.0,117.17543,941.0,0.0,1984-04-15T15:53:29,0.0,,1270.0,,Mississippi_Water_Downstream,1706.0,21.0,0,66.0,1374.0,40.0,5,1818.0,,1543.0,34.277203,
1_1_LT05_021040_19840501,24.0,109.887581,1182.0,0.0,1984-05-01T15:53:27,0.0,,1443.0,,Mississippi_Water_Downstream,1603.0,21.0,0,66.0,1443.0,40.0,5,1377.0,,1059.0,30.632473,
1_1_LT05_021040_19840618,5.0,94.065918,2573.0,0.14416345817290863,1984-06-18T15:54:40,0.0,1.9834953441860221,3033.0,119.0,Mississippi_Water_Downstream,3215.0,21.0,39,66.0,3124.0,40.0,5,3110.0,971.3535747905511,2660.0,27.926975,
1_1_LT05_021040_19840704,24.0,94.792618,703.0,0.0,1984-07-04T15:54:51,0.0,0.0,1044.0,,Mississippi_Water_Downstream,1472.0,21.0,1,66.0,1061.0,40.0,5,1459.0,0.0,1102.0,28.777485,
1_1_LT05_021040_19840906,12.0,123.374413,686.0,0.0,1984-09-06T15:56:24,4.0,0.0,912.0,,Mississippi_Water_Downstream,1241.0,21.0,1,66.0,819.0,40.0,5,1120.0,0.0,754.0,35.978306,
1_1_LT05_021040_19841024,17.0,144.792419,682.0,0.0,1984-10-24T15:56:21,4.0,0.0,945.0,193.0,Mississippi_Water_Downstream,1600.0,21.0,2,66.0,939.0,40.0,5,1038.0,15.5,646.0,47.915947,
1_1_LT05_021040_19841109,9.0,148.192612,862.0,0.028362355617780884,1984-11-09T15:56:13,4.0,,1149.0,,Mississippi_Water_Downstream,1370.0,21.0,0,66.0,1155.0,40.0,5,1306.0,,925.0,52.250172,
1_1_LT05_021040_19841125,3.0,149.638245,708.0,0.0,1984-11-25T15:56:12,4.0,0.0,964.0,214.0,Mississippi_Water_Downstream,1500.0,21.0,2,66.0,1090.0,40.0,5,1285.0,108.5,755.0,55.965332,
1_1_LT05_021040_19841211,50.0,149.376526,,1.0,1984-12-11T15:56:22,,,,,Mississippi_Water_Downstream,,21.0,0,,,40.0,5,,,,58.574425,
1_1_LT05_021040_19850301,33.0,133.76004,,1.0,1985-03-01T15:56:45,,,,,Mississippi_Water_Downstream,,21.0,0,,,40.0,5,,,,48.160213,
1_1_LT05_021040_19850504,13.0,109.277588,,0.7883925446272311,1985-05-04T15:56:28,,,,,Mississippi_Water_Downstream,,21.0,0,,,40.0,5,,,,29.580788,
1_1_LT05_021040_19850808,78.0,107.144493,,0.7027476373818689,1985-08-08T15:56:02,,,,,Mississippi_Water_Downstream,,21.0,0,,,40.0,5,,,,31.58675,
1_1_LT05_021040_19850824,12.0,115.781242,370.0,0.17581269688484422,1985-08-24T15:55:52,0.0,1.3228756555322954,311.0,142.0,Mississippi_Water_Downstream,5693.0,21.0,16,66.0,227.0,40.0,5,18.0,12.401959270615269,23.0,33.709671,
