system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_199036_19840319,10.0,133.163773,,1.0,1984-03-19T10:13:04,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,45.838764,
1_1_LT05_199036_19840414,18.0,125.842682,,1.0,1984-04-14T10:11:59,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,36.808865,
1_1_LT05_199036_19840430,28.0,120.204903,549.0,0.0,1984-04-30T10:11:55,4.0,1.248436522214886,818.0,137.0,Moulouya_Land_Downstream,1887.0,199.0,64,66.0,819.0,36.0,5,1134.0,323.42982327846255,609.0,32.443489,
1_1_LT05_199036_19840601,1.0,108.869713,558.1561543172076,0.0,1984-06-01T10:12:51,4.0,1.7320508075688772,796.0,120.0,Moulouya_Land_Downstream,1876.0,199.0,64,66.0,864.0144329896907,36.0,5,1350.0,235.48323767225847,869.0000000000001,28.03257,
1_1_LT05_199036_19840703,3.0,105.890656,858.0,0.48884284348103285,1984-07-03T10:13:20,0.0,1.7814470856604931,1128.0,123.0,Moulouya_Land_Downstream,2087.0,199.0,33,66.0,1192.0,36.0,5,1659.0,220.83301263036174,1087.0,28.756107,
1_1_LT05_199036_19840719,24.0,109.144089,821.9999999999999,0.0,1984-07-19T10:13:39,0.0,1.6,1088.0,128.0,Moulouya_Land_Downstream,2069.9999999999995,199.0,65,66.0,1156.0,36.0,5,1770.0000000000002,305.4373525477213,1147.0,30.259762,
1_1_LT05_199036_19840820,17.0,122.325317,,1.0,1984-08-20T10:14:44,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,35.006889,
1_1_LT05_199036_19840905,0.0,130.174606,424.0,0.0,1984-09-05T10:14:53,4.0,1.672449212492351,679.0,158.0,Moulouya_Land_Downstream,1841.9999999999995,199.0,62,66.0,701.0,36.0,5,1327.0000000000002,286.8615967716718,768.0,38.376186,
1_1_LT05_199036_19840921,24.0,137.578751,,1.0,1984-09-21T10:14:55,,,,,Moulouya_Land_Downstream,,199.0,0,,,36.0,5,,,,42.432106,
1_1_LT05_199036_19841007,2.0,143.80542,443.0,0.0,1984-10-07T10:14:54,4.0,0.7423074889580907,606.0,187.0,Moulouya_Land_Downstream,1677.0,199.0,56,66.0,634.0,36.0,5,927.0,202.59127367909582,527.0,47.024979,
1_1_LT05_199036_19841023,8.0,148.437668,606.0,0.06683668048028901,1984-10-23T10:14:50,4.0,0.5251448963893249,738.0,200.0,Moulouya_Land_Downstream,1690.0,199.0,57,66.0,751.0,36.0,5,1099.0,123.57844177347636,543.0,51.823135,
1_1_LT05_199036_19841108,58.0,151.312332,1166.0,0.8876314950589735,1984-11-08T10:14:43,0.0,0.0,1327.0,212.0,Moulouya_Land_Downstream,2066.0,199.0,7,66.0,1400.0,36.0,5,1601.0,91.36582668434784,1137.0,56.395908,
1_1_LT05_199036_19841124,3.0,152.475967,365.0,0.0,1984-11-24T10:14:41,4.0,0.5392673992059641,522.0,221.0,Moulouya_Land_Downstream,1571.0,199.0,54,66.0,563.0,36.0,5,958.0,165.7926889414826,503.0,60.272202,
