system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_199036_19840319,10.0,133.163773,,1.0,1984-03-19T10:13:04,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,45.838764,
1_1_LT05_199036_19840414,18.0,125.842682,,1.0,1984-04-14T10:11:59,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,36.808865,
1_1_LT05_199036_19840430,28.0,120.204903,692.0,0.0,1984-04-30T10:11:55,0.0,1.6162061593153563,1026.0,133.0,Moulouya_Land_Midstream,2422.0,199.0,73,66.0,1153.0,36.0,5,2013.0,412.42513368956423,1198.0,32.443489,
1_1_LT05_199036_19840601,1.0,108.869713,664.0,0.0,1984-06-01T10:12:51,0.0,0.6486486486486487,1023.0,117.0,Moulouya_Land_Midstream,2443.0,199.0,74,66.0,1179.0,36.0,5,1971.0,464.7149829085175,1326.0,28.03257,
1_1_LT05_199036_19840703,3.0,105.890656,949.0,0.0,1984-07-03T10:13:20,0.0,0.0,1322.0,121.0,Moulouya_Land_Midstream,2496.0,199.0,74,66.0,1536.9999999999998,36.0,5,2364.0,366.47461039714835,1653.0,28.756107,
1_1_LT05_199036_19840719,24.0,109.144089,852.0,0.0,1984-07-19T10:13:39,0.0,0.7888929469906175,1152.9999999999998,126.0,Moulouya_Land_Midstream,2140.0,199.0,74,66.0,1303.0,36.0,5,1915.0,385.9456005373579,1283.0,30.259762,
1_1_LT05_199036_19840820,17.0,122.325317,,1.0,1984-08-20T10:14:44,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,35.006889,
1_1_LT05_199036_19840905,0.0,130.174606,543.0,0.0,1984-09-05T10:14:53,0.0,1.6080513276371369,825.0,155.0,Moulouya_Land_Midstream,2148.0,199.0,74,66.0,990.0000000000001,36.0,5,1982.0,550.0939862587502,1290.0,38.376186,
1_1_LT05_199036_19840921,24.0,137.578751,,1.0,1984-09-21T10:14:55,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,42.432106,
1_1_LT05_199036_19841007,2.0,143.80542,580.9999999999999,0.0,1984-10-07T10:14:54,0.0,1.5666353239123716,814.0000000000001,184.0,Moulouya_Land_Midstream,2058.0,199.0,74,66.0,963.0,36.0,5,2007.0,511.27298714576403,1318.0,47.024979,
1_1_LT05_199036_19841023,8.0,148.437668,,1.0,1984-10-23T10:14:50,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,51.823135,
1_1_LT05_199036_19841108,58.0,151.312332,,1.0,1984-11-08T10:14:43,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,56.395908,
1_1_LT05_199036_19841124,3.0,152.475967,474.99999999999994,0.0,1984-11-24T10:14:41,0.0,1.9638813107659405,696.0,220.0,Moulouya_Land_Midstream,1807.0,199.0,74,66.0,867.0000000000001,36.0,5,1725.0,317.02407201221826,1025.0,60.272202,
1_1_LT05_199036_19841210,1.0,152.110336,564.0,0.0,1984-12-10T10:14:50,0.0,1.9970760218282342,791.0000000000002,226.0,Moulouya_Land_Midstream,1762.0000000000002,199.0,74,66.0,905.0,36.0,5,1689.0,254.52756620380669,1047.0,62.963932,
1_1_LT05_199036_19850111,62.0,148.065506,,1.0,1985-01-11T10:15:07,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,63.451153,
1_1_LT05_199036_19850127,8.0,145.115662,550.0,0.0,1985-01-27T10:15:12,0.0,1.2420675992514656,774.0000000000001,222.0,Moulouya_Land_Midstream,1794.0,199.0,74,66.0,986.0,36.0,5,1877.9999999999998,307.40755586908625,1136.9999999999998,61.047253,
1_1_LT05_199036_19850228,0.0,138.597412,664.9999999999999,0.0,1985-02-28T10:15:15,0.0,0.7888929469906175,971.0000000000001,199.0,Moulouya_Land_Midstream,1901.0,199.0,74,66.0,1114.0000000000002,36.0,5,1988.0,300.4001069428544,1274.0,52.050545,
1_1_LT05_199036_19850316,0.0,134.993591,693.0,0.0,1985-03-16T10:15:13,0.0,0.6486486486486487,957.9999999999999,182.0,Moulouya_Land_Midstream,2023.0,199.0,74,66.0,1158.0,36.0,5,2231.0000000000005,363.65495414702616,1500.0000000000002,46.371338,
1_1_LT05_199036_19850620,0.0,106.001343,679.0,0.0,1985-06-20T10:14:53,0.0,1.3674714206133534,1028.0,116.0,Moulouya_Land_Midstream,2478.0,199.0,74,66.0,1185.0,36.0,5,2020.0,508.93910213167686,1427.0,27.676197,
1_1_LT05_199036_19850706,21.0,106.556778,,1.0,1985-07-06T10:14:47,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,28.722687,
1_1_LT05_199036_19850722,15.0,110.21656,,1.0,1985-07-22T10:14:41,,,,,Moulouya_Land_Midstream,,199.0,0,,,36.0,5,,,,30.403564,
1_1_LT05_199036_19850807,0.0,116.262062,748.9075694180297,0.0,1985-08-07T10:14:32,0.0,0.0,1121.0000000000002,134.0,Moulouya_Land_Midstream,2498.9999999999995,199.0,74,66.0,1306.0,36.0,5,2219.0,479.52655233059414,1551.0,32.640488,
1_1_LT05_199036_19850823,0.0,123.684563,694.0,0.0,1985-08-23T10:14:22,0.0,1.7763974838005387,991.0,145.0,Moulouya_Land_Midstream,2334.0,199.0,74,66.0,1104.9999999999998,36.0,5,1766.0,444.693294926096,1247.0,35.50246,
1_1_LT05_199036_19850908,1.0,131.416275,636.0,0.0,1985-09-08T10:14:10,0.0,1.8282740027338122,944.0,158.0,Moulouya_Land_Midstream,2185.0,199.0,74,66.0,1034.0,36.0,5,1801.0,430.2153511399433,1160.0,39.047344,
1_1_LT05_199036_19851010,0.0,144.441635,699.0,0.0,1985-10-10T10:13:49,4.0,1.9816543545754983,918.0000000000001,187.0,Moulouya_Land_Midstream,1763.0,199.0,74,66.0,986.0000000000001,36.0,5,1581.0000000000002,375.43624394184013,988.0,47.954647,
