system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_199036_19840319,10.0,133.163773,,1.0,1984-03-19T10:13:04,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,45.838764,
1_1_LT05_199036_19840414,18.0,125.842682,,1.0,1984-04-14T10:11:59,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,36.808865,
1_1_LT05_199036_19840430,28.0,120.204903,837.0,0.0,1984-04-30T10:11:55,0.0,1.54277843167974,1267.0,133.0,Moulouya_Water_Downstream,2136.0,199.0,11,66.0,1426.0,36.0,5,2111.0,641.6974777046905,1475.0,32.443489,
1_1_LT05_199036_19840601,1.0,108.869713,783.0,0.0,1984-06-01T10:12:51,0.0,1.4907119849998598,1183.0,117.0,Moulouya_Water_Downstream,2075.0,199.0,12,66.0,1434.0,36.0,5,1971.0,563.3918793541685,1555.0,28.03257,
1_1_LT05_199036_19840703,3.0,105.890656,963.0,0.0,1984-07-03T10:13:20,0.0,1.4432048491764398,1355.0,121.0,Moulouya_Water_Downstream,2189.0,199.0,13,66.0,1593.0,36.0,5,2175.0,557.0172466070969,1819.0,28.756107,
1_1_LT05_199036_19840719,24.0,109.144089,899.0,0.0,1984-07-19T10:13:39,0.0,1.8070158058105026,1318.0,126.0,Moulouya_Water_Downstream,2209.0,199.0,14,66.0,1565.0,36.0,5,2514.0,764.4053344307081,2033.0,30.259762,
1_1_LT05_199036_19840820,17.0,122.325317,,1.0,1984-08-20T10:14:44,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,35.006889,
1_1_LT05_199036_19840905,0.0,130.174606,679.0,0.0,1984-09-05T10:14:53,0.0,1.4907119849998598,1115.0,154.0,Moulouya_Water_Downstream,2033.0,199.0,12,66.0,1406.0,36.0,5,2373.0,830.5246793777746,2220.0,38.376186,
1_1_LT05_199036_19840921,24.0,137.578751,,1.0,1984-09-21T10:14:55,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,42.432106,
1_1_LT05_199036_19841007,2.0,143.80542,678.0,0.0,1984-10-07T10:14:54,0.0,1.54277843167974,1021.0,182.0,Moulouya_Water_Downstream,1931.0,199.0,11,66.0,1255.0,36.0,5,2270.0,692.9713838557658,1776.0,47.024979,
1_1_LT05_199036_19841023,8.0,148.437668,758.0,0.11032028469750889,1984-10-23T10:14:50,0.0,1.1499191491521379,1061.0,196.0,Moulouya_Water_Downstream,1880.0,199.0,11,66.0,1196.0,36.0,5,1849.0,517.8227942848706,1335.0,51.823135,
1_1_LT05_199036_19841108,58.0,151.312332,,1.0,1984-11-08T10:14:43,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,56.395908,
1_1_LT05_199036_19841124,3.0,152.475967,641.0,0.0,1984-11-24T10:14:41,0.0,1.7320508075688772,988.0,218.0,Moulouya_Water_Downstream,1748.0,199.0,12,66.0,1170.0,36.0,5,2210.0,616.7267707195967,1547.0,60.272202,
1_1_LT05_199036_19841210,1.0,152.110336,719.0,0.0,1984-12-10T10:14:50,0.0,1.8461538461538463,985.0,224.5,Moulouya_Water_Downstream,1762.0,199.0,13,66.0,1127.0,36.0,5,1820.0,553.2229292676284,1172.0,62.963932,
1_1_LT05_199036_19850111,62.0,148.065506,,1.0,1985-01-11T10:15:07,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,63.451153,
1_1_LT05_199036_19850127,8.0,145.115662,718.0,0.0,1985-01-27T10:15:12,0.0,1.4907119849998598,1011.0,220.0,Moulouya_Water_Downstream,1793.0,199.0,12,66.0,1140.0,36.0,5,1998.0,343.93970522946796,1367.0,61.047253,
1_1_LT05_199036_19850228,0.0,138.597412,774.0,0.0,1985-02-28T10:15:15,0.0,1.7320508075688772,1109.0,197.0,Moulouya_Water_Downstream,1713.0,199.0,12,66.0,1274.0,36.0,5,1892.0,370.1053903957628,1457.0,52.050545,
1_1_LT05_199036_19850316,0.0,134.993591,788.0,0.0,1985-03-16T10:15:13,0.0,1.6853001769389726,1161.0,180.0,Moulouya_Water_Downstream,1898.0,199.0,13,66.0,1265.0,36.0,5,2231.0,523.095893321165,1704.0,46.371338,
1_1_LT05_199036_19850620,0.0,106.001343,814.0,0.0,1985-06-20T10:14:53,0.0,1.6853001769389726,1222.0,116.0,Moulouya_Water_Downstream,2100.0,199.0,13,66.0,1500.0,36.0,5,2256.0,715.5844964765749,1862.0,27.676197,
1_1_LT05_199036_19850706,21.0,106.556778,,1.0,1985-07-06T10:14:47,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,28.722687,
1_1_LT05_199036_19850722,15.0,110.21656,,1.0,1985-07-22T10:14:41,,,,,Moulouya_Water_Downstream,,199.0,0,,,36.0,5,,,,30.403564,
