system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189056_19861124,67.0,129.82338,,1.0,1986-11-24T09:09:09,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,5,,,,41.914509,
1_1_LT05_189056_19870111,62.0,127.772964,1921.0000000000002,0.5302626179729176,1987-01-11T09:10:34,0.0,0.0,2331.0,185.0,Niger_Land_Midstream,3370.0,189.0,70,130.0,2435.0,56.0,5,3450.0,225.18711720500968,2914.0,46.462322,
1_1_LT05_189056_19870127,39.0,123.081825,,1.0,1987-01-27T09:11:01,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,5,,,,45.663727,
1_1_LT05_189056_19901221,100.0,131.321426,,1.0,1990-12-21T09:10:32,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,5,,,,45.489208,
1_1_LT05_189056_19910122,61.0,124.755745,,1.0,1991-01-22T09:11:25,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,5,,,,46.006161,
1_1_LT05_189056_19911224,7.0,131.926285,,1.0,1991-12-24T09:15:19,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,5,,,,44.877098,
1_1_LT05_189057_19911224,46.0,130.657578,,1.0,1991-12-24T09:15:42,,,,,Niger_Land_Midstream,,189.0,0,,,57.0,5,,,,44.083057,
1_1_LT05_189057_19920109,0.0,127.818474,929.9999999999999,0.0,1992-01-09T09:15:36,0.0,1.7613895295454223,1138.0000000000002,180.0,Niger_Land_Midstream,2562.0,189.0,152,66.0,989.9999999999999,57.0,5,1595.9999999999998,132.9033307213492,788.9999999999998,44.853069,
1_2_LE07_189056_19990816,73.0,72.101318,,1.0,1999-08-16T09:43:49,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,29.631714,
1_2_LE07_189056_19991120,63.0,137.368881,,1.0,1999-11-20T09:43:48,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,34.886658,
1_2_LE07_189056_19991206,31.0,139.285278,563.0,0.06516721378744358,1999-12-06T09:43:51,0.0,1.6129900516126288,662.9999999999999,156.0,Niger_Land_Midstream,2860.0,189.0,137,66.0,544.9999999999999,56.0,7,1602.0,268.74251426568156,630.0,37.756374,
1_2_LE07_189056_20000224,79.0,116.182922,,1.0,2000-02-24T09:43:35,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,34.765575,
1_2_LE07_189056_20000412,96.0,82.008377,,1.0,2000-04-12T09:43:17,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,28.12624,
1_2_LE07_189056_20000514,80.0,61.49102,,1.0,2000-05-14T09:43:05,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,29.477802,
1_2_LE07_189056_20000530,23.0,56.188393,344.0,0.7551292572835455,2000-05-30T09:42:54,0.0,1.0786263964168,612.0,132.0,Niger_Land_Midstream,3177.0,189.0,38,66.0,397.0,56.0,7,1819.0,456.33014000381365,696.0,31.071495,
1_2_LE07_189056_20001021,62.0,124.090034,,1.0,2000-10-21T09:41:12,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,29.684288,
1_2_LE07_189056_20010109,32.0,134.185745,883.0,0.9439372178908493,2001-01-09T09:41:26,4.0,1.9364916731037085,1006.0,165.0,Niger_Land_Midstream,2465.0,189.0,8,130.0,950.0,56.0,7,1554.0,94.8943491468275,734.0,40.683254,
1_2_LE07_189056_20010226,45.0,114.201378,,1.0,2001-02-26T09:41:18,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,34.778549,
1_2_LE07_189056_20010501,35.0,68.909668,,1.0,2001-05-01T09:41:03,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,28.94873,
1_2_LE07_189056_20011109,51.0,133.023178,,1.0,2001-11-09T09:39:25,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,33.552193,
1_2_LE07_189056_20011125,31.0,137.162994,438.97610121836925,0.0,2001-11-25T09:39:32,0.0,1.3521297451226453,563.0,151.99999999999997,Niger_Land_Midstream,2692.0,189.0,152,66.0,474.0,56.0,7,1581.0,197.09320010430253,628.0,36.6819,
1_2_LE07_189056_20011211,76.0,138.17041,,1.0,2001-12-11T09:39:36,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,39.250198,
1_2_LE07_189056_20011227,27.0,136.625458,,1.0,2001-12-27T09:39:38,,,,,Niger_Land_Midstream,,189.0,0,,,56.0,7,,,,40.756229,
1_2_LE07_189056_20020128,1.0,127.760101,852.0,0.47071194091095614,2002-01-28T09:39:46,0.0,1.6777763570411028,1006.0,163.0,Niger_Land_Midstream,2530.9999999999995,189.0,79,130.0,910.0000000000001,56.0,7,1651.0,143.2414045727596,791.9999999999999,39.755787,
