system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_177038_19840420,0.0,119.614838,695.9999999999999,0.0,1984-04-20T07:56:48,0.0,0.6348949186042059,1020.0,142.0,Nile_Land_Downstream,2616.1960907944513,177.0,116,66.0,1063.0,38.0,5,1851.9999999999998,371.2843765737427,1345.0,33.972095,
1_1_LT05_177038_19840506,9.0,112.947983,776.0000000000001,0.0,1984-05-06T07:56:57,0.0,0.0,1104.0,128.99999999999997,Nile_Land_Downstream,2684.999999999999,177.0,116,66.0,1171.9999999999998,38.0,5,2017.4456521739128,351.4094183363354,1359.0,30.385254,
1_1_LT05_177038_19840607,0.0,101.56839,730.9999999999999,0.0,1984-06-07T07:57:48,0.0,0.0,1107.0000000000002,117.99999999999999,Nile_Land_Downstream,2697.0,177.0,116,66.0,1231.0,38.0,5,2194.0,488.09253845954333,1716.0,27.61417,
1_1_LT05_177038_19840709,0.0,101.206215,751.0,0.0,1984-07-09T07:58:13,0.0,0.0,1097.0,124.0,Nile_Land_Downstream,2685.2799669330398,177.0,116,66.0,1195.0,38.0,5,2048.0,430.75197319434363,1563.4,29.031384,
1_1_LT05_177038_19840725,0.0,105.885971,664.307043949428,0.0,1984-07-25T07:58:42,0.0,0.0,981.0,128.99999999999997,Nile_Land_Downstream,2644.8,177.0,116,66.0,1035.0000000000002,38.0,5,1946.0,413.12627664171015,1358.8384030418251,30.5186,
1_1_LT05_177038_19840810,0.0,112.8797,640.660621761658,0.0,1984-08-10T07:59:14,0.0,0.5206782369152241,964.0,136.99999999999997,Nile_Land_Downstream,2681.9528152260114,177.0,116,66.0,960.9803483698082,38.0,5,1946.0,402.61151954684476,1288.2587209302324,32.470398,
1_1_LT05_177038_19840826,0.0,121.160835,770.0,0.0,1984-08-26T07:59:39,0.0,1.2181739125969444,1076.0000000000002,145.99999999999997,Nile_Land_Downstream,2474.0,177.0,116,66.0,1088.9999999999998,38.0,5,1859.0,318.7815381567131,1277.0,35.013779,
1_1_LT05_177038_19840911,0.0,129.635818,724.0,0.0,1984-09-11T07:59:44,0.0,1.4482758620689655,1041.52953208898,157.99999999999997,Nile_Land_Downstream,2382.2716270730607,177.0,116,66.0,1063.0,38.0,5,1819.0,322.16884238757586,1269.0,38.279148,
1_1_LT05_177038_19840927,19.0,137.308456,,1.0,1984-09-27T07:59:45,,,,,Nile_Land_Downstream,,177.0,0,,,38.0,5,,,,42.255928,
1_1_LT05_177038_19841114,44.0,150.427963,,1.0,1984-11-14T07:59:29,,,,,Nile_Land_Downstream,,177.0,0,,,38.0,5,,,,55.665955,
1_1_LT05_177038_19841216,5.0,150.377396,604.6190816083749,0.0,1984-12-16T07:59:44,0.0,1.9012481037365823,855.0000000000001,223.99999999999997,Nile_Land_Downstream,2361.0,177.0,116,66.0,857.0000000000002,38.0,5,1526.0,363.2087507359605,996.0,61.315536,
1_1_LT05_177038_19850306,4.0,134.955505,672.0,0.0,1985-03-06T08:00:04,0.0,0.0,999.0,189.99999999999997,Nile_Land_Downstream,2679.0,177.0,116,66.0,1025.0,38.0,5,1867.1096234309623,402.624055206043,1302.0,48.270161,
1_1_LT05_177038_19850423,23.0,119.373306,744.0,0.0,1985-04-23T07:59:53,0.0,0.3697863894746072,1026.0,137.99999999999997,Nile_Land_Downstream,2674.0,177.0,116,66.0,1041.0,38.0,5,1917.0,365.3174570917802,1288.0,32.701954,
1_1_LT05_177038_19850509,44.0,112.495911,,1.0,1985-05-09T07:59:44,,,,,Nile_Land_Downstream,,177.0,0,,,38.0,5,,,,29.401394,
1_1_LT05_177038_19850525,5.0,105.974899,716.0,0.0,1985-05-25T07:59:45,0.0,0.6348949186042059,1040.0,117.99999999999999,Nile_Land_Downstream,2664.000000000001,177.0,116,66.0,1084.0,38.0,5,1912.0,365.35597074591624,1350.0,27.62365,
1_1_LT05_177038_19850610,0.0,101.409813,672.0,0.0,1985-06-10T07:59:44,0.0,0.0,1006.0,117.0,Nile_Land_Downstream,2811.9999999999995,177.0,116,66.0,1056.0,38.0,5,2037.0,443.4993629070169,1422.0,27.222122,
1_1_LT05_177038_19850728,0.0,107.122307,605.4986893840105,0.0,1985-07-28T07:59:28,0.0,0.8858781088734572,918.0000000000001,129.99999999999997,Nile_Land_Downstream,2582.0894861193146,177.0,116,66.0,948.242802303263,38.0,5,1880.0,401.6940305241533,1260.0,30.661247,
1_1_LT05_177038_19850813,42.0,114.32,,1.0,1985-08-13T07:59:19,,,,,Nile_Land_Downstream,,177.0,0,,,38.0,5,,,,32.7714,
1_1_LT05_177038_19851101,5.0,148.096115,683.0,0.0,1985-11-01T07:58:22,0.0,0.5206782369152241,948.0,201.99999999999997,Nile_Land_Downstream,2604.0,177.0,116,66.0,938.0,38.0,5,1579.0,405.03019835375,1025.0,52.315304,
1_1_LT05_177038_19851203,37.0,150.611862,773.0,0.0,1985-12-03T07:57:49,0.0,0.6348949186042059,1034.0,221.00000000000003,Nile_Land_Downstream,2725.8285327007793,177.0,116,66.0,1065.0,38.0,5,1888.0,416.19249682258203,1258.0,59.853642,
1_1_LT05_177038_19860205,16.0,140.902466,620.0,0.8651298813005331,1986-02-05T07:56:33,4.0,1.39970842444753,785.0,215.0,Nile_Land_Downstream,1767.0,177.0,7,66.0,844.0,38.0,5,1324.0,252.85948344356598,885.0,57.60191,
1_1_LT05_177038_19860221,8.0,137.139771,,1.0,1986-02-21T07:56:11,,,,,Nile_Land_Downstream,,177.0,0,,,38.0,5,,,,53.195038,
1_1_LT05_177038_19860410,0.0,123.066467,628.0,0.0,1986-04-10T07:55:11,0.0,0.8858781088734572,904.0,154.99999999999997,Nile_Land_Downstream,2576.015389547932,177.0,116,66.0,873.0,38.0,5,1643.0,323.0659939466067,1106.9999999999998,37.346985,
1_1_LT05_177038_19860426,0.0,116.593758,612.0,0.0,1986-04-26T07:54:48,0.0,0.5206782369152241,893.9999999999999,139.0,Nile_Land_Downstream,2672.7964796479646,177.0,116,66.0,862.9999999999999,38.0,5,1743.0,367.03972162869513,1198.0000000000002,33.075157,
1_1_LT05_177038_19860528,8.0,103.486267,851.0,0.7013246172372269,1986-05-28T07:53:56,0.0,0.0,1131.0,123.0,Nile_Land_Downstream,3022.0,177.0,35,66.0,1141.0,38.0,5,2089.0,353.9374509481487,1396.0,28.764923,
1_1_LT05_177038_19860629,6.0,98.779099,725.0,0.0,1986-06-29T07:52:56,0.0,0.3697863894746072,992.1066945606694,125.0,Nile_Land_Downstream,2702.8953412073497,177.0,116,66.0,987.0,38.0,5,1815.0,380.23862235266995,1249.0,29.462135,
1_1_LT05_177038_19860715,6.0,101.212791,1037.0,0.0,1986-07-15T07:52:23,0.0,0.9524984356505609,1324.9999999999998,131.0,Nile_Land_Downstream,2875.0,177.0,116,66.0,1375.0,38.0,5,2198.0,381.152451702417,1540.0,30.819637,
1_1_LT05_177038_19860731,4.0,106.431114,736.361299052774,0.0,1986-07-31T07:51:50,0.0,0.0,1020.3228752978554,136.99999999999997,Nile_Land_Downstream,2754.8342234089896,177.0,116,66.0,1014.0,38.0,5,1886.0000000000002,396.8281048674892,1228.2043681747268,32.568146,
1_1_LT05_177038_19860816,2.0,113.562859,720.0975201072386,0.0,1986-08-16T07:51:15,0.0,1.975774807003695,914.0133878765341,144.99999999999997,Nile_Land_Downstream,2378.7223178428,177.0,116,66.0,885.0,38.0,5,1583.0,334.4134289817815,1030.0000000000002,34.77523,
1_1_LT05_177038_19860917,3.0,129.626678,612.55252606255,0.0012386031309134695,1986-09-17T07:50:07,0.0,1.6447227610636994,840.0000000000001,167.99999999999997,Nile_Land_Downstream,2536.10154155496,177.0,116,66.0,814.4691923397169,38.0,5,1632.270127118644,369.2548060238353,1077.0,41.061176,
1_1_LT05_177038_19861003,43.0,136.687653,,1.0,1986-10-03T07:49:37,,,,,Nile_Land_Downstream,,177.0,0,,,38.0,5,,,,45.185848,
1_1_LT05_177038_19861104,10.0,145.956268,521.0,0.9938413899879579,1986-11-04T07:48:31,0.0,0.0,663.0,210.0,Nile_Land_Downstream,2602.0,177.0,1,66.0,517.0,38.0,5,923.0,0.0,374.0,54.253262,
1_1_LT05_177038_19861222,7.0,147.246231,463.00000000000006,0.0015138482711164628,1986-12-22T07:48:38,0.0,1.975774807003695,624.2778439040978,226.99999999999997,Nile_Land_Downstream,2489.6595681750955,177.0,116,66.0,596.0,38.0,5,1259.5079681274897,282.5630147643583,736.4116891457932,62.964523,
