system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_001054_19860220,34.0,116.996399,554.0,0.44215939900061263,1986-02-20T13:54:51,0.0,1.8330302779823362,830.0,172.0,Orinoco_Water_Upstream,3712.0,1.0,10,66.0,579.0,54.0,5,1642.0,149.6002673794397,679.0,42.107216,
1_1_LT05_001054_19870106,27.0,131.210907,,0.9753010121212314,1987-01-06T13:47:44,,,,,Orinoco_Water_Upstream,,1.0,0,,,54.0,5,,,,48.001686,
1_1_LT05_001054_19870701,31.0,62.666767,540.9999999999999,0.02771454392432234,1987-07-01T13:53:11,0.0,1.5307840071356587,849.0,153.0,Orinoco_Water_Upstream,3443.22299651568,1.0,101,66.0,700.0,54.0,5,1357.0,251.07738127342125,558.9199874490116,36.799809,
1_1_LT05_001054_19870802,54.0,71.53669,487.0,0.0,1987-08-02T13:53:56,0.0,1.9689807503997474,756.9779985805536,150.0,Orinoco_Water_Upstream,2710.6188340807175,1.0,114,66.0,686.0,54.0,5,1157.0,266.7316190807173,478.0,35.922985,
1_1_LT05_001054_19870818,28.0,79.384598,464.0,0.5321260757087809,1987-08-18T13:54:25,4.0,1.5764539639937847,673.0,143.0,Orinoco_Water_Upstream,2208.0,1.0,52,66.0,550.0,54.0,5,866.0,201.13897117379318,353.0,34.701054,
1_1_LT05_001054_19870903,27.0,89.290665,474.0,0.0,1987-09-03T13:54:51,0.0,1.9969111950679366,783.0,141.0,Orinoco_Water_Upstream,2594.0,1.0,108,66.0,650.6666666666666,54.0,5,1083.0,230.64243844873886,494.0,33.53093,
1_1_LT05_001054_19891127,40.0,134.299088,358.56160458452723,0.0,1989-11-27T13:52:14,0.0,1.7905195335377926,602.9999999999999,174.0,Orinoco_Water_Upstream,3160.9003139717424,1.0,101,66.0,475.0,54.0,5,1394.0,260.2911805586206,535.0,43.096485,
1_1_LT05_001054_19891213,25.0,134.939804,500.3840579710145,0.0,1989-12-13T13:51:48,0.0,1.7116791235849458,786.588877855015,182.0,Orinoco_Water_Upstream,3178.3162675474823,1.0,116,66.0,664.0,54.0,5,1452.0,212.59299339644375,680.0,45.63525,
1_1_LT05_001054_19910525,44.0,65.814339,,1.0,1991-05-25T13:50:54,,,,,Orinoco_Water_Upstream,,1.0,0,,,54.0,5,,,,35.22448,
1_1_LT05_001054_19910626,59.0,62.439667,,1.0,1991-06-26T13:51:20,,,,,Orinoco_Water_Upstream,,1.0,0,,,54.0,5,,,,37.122017,
1_1_LT05_001054_19910813,29.0,76.859001,,1.0,1991-08-13T13:51:48,,,,,Orinoco_Water_Upstream,,1.0,0,,,54.0,5,,,,35.768696,
1_1_LT05_001054_19911101,61.0,127.014084,806.0000000000001,0.3639257508610335,1991-11-01T13:52:24,0.0,1.4609735738411647,1048.0,157.0,Orinoco_Water_Upstream,3020.255,1.0,82,66.0,945.0,54.0,5,1450.0,214.97545098700704,578.0,38.115891,
1_1_LT05_001054_19930327,40.0,97.102982,680.1485148514852,0.0323574443240155,1993-03-27T13:50:27,0.0,1.97837194570575,990.0,153.0,Orinoco_Water_Upstream,2624.607142857143,1.0,75,66.0,937.0,54.0,5,1467.0,325.52891661963827,746.0000000000001,36.756798,
1_1_LT05_001054_19960709,23.0,65.221542,234.0,0.0,1996-07-09T13:42:22,4.0,1.9969111950679364,469.0,162.0,Orinoco_Water_Upstream,2452.0,1.0,36,66.0,386.0,54.0,5,1100.0,299.32159276447425,382.0,39.308514,
1_1_LT05_001054_19960725,71.0,69.537155,,1.0,1996-07-25T13:43:13,,,,,Orinoco_Water_Upstream,,1.0,0,,,54.0,5,,,,38.796791,
