system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19890317,0.0,59.860847,243.0,0.0,1989-03-17T13:13:19,4.0,1.979486637221574,472.0,195.0,Parana_Water_Downstream,2424.0,225.0,7,66.0,406.0,83.0,5,531.0,221.35740791944664,166.0,50.7276,
1_1_LT05_225083_19890707,34.0,41.302761,243.0,0.0,1989-07-07T13:11:45,4.0,0.0,450.0,,Parana_Water_Downstream,1518.0,225.0,2,66.0,430.0,83.0,5,921.0,29.5,481.0,68.429443,
1_1_LT05_225083_19891230,7.0,85.937973,454.0,0.32447360715521595,1989-12-30T13:07:14,4.0,1.979486637221574,783.0,154.0,Parana_Water_Downstream,2374.0,225.0,7,66.0,802.0,83.0,5,626.0,276.42307118928096,203.0,38.253609,
1_1_LT05_225083_19900216,11.0,74.235466,496.0,0.06780279531438163,1990-02-16T13:05:41,0.0,1.8330302779823362,702.0,183.0,Parana_Water_Downstream,2873.0,225.0,10,66.0,550.0,83.0,5,815.0,318.22664878982084,278.0,46.359463,
1_1_LT05_225083_19911102,9.0,70.330872,500.0,0.43589502987082074,1991-11-02T13:08:22,4.0,1.1499191491521374,830.0,163.0,Parana_Water_Downstream,2128.0,225.0,11,66.0,846.0,83.0,5,755.0,101.51472636726909,349.0,38.417351,
1_1_LT05_225083_19920325,3.0,57.59856,509.0,0.0,1992-03-25T13:08:19,4.0,1.6967300119830537,894.0,211.0,Parana_Water_Downstream,2345.0,225.0,17,66.0,999.0,83.0,5,681.0,182.20107528198076,280.0,53.543842,
1_1_LT05_225083_19920731,55.0,45.517178,,0.0,1992-07-31T13:07:01,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,65.831642,
1_1_LT05_225083_19921003,41.0,60.050205,468.0,0.0,1992-10-03T13:05:55,4.0,0.0,716.0,,Parana_Water_Downstream,1938.0,225.0,3,66.0,683.0,83.0,5,958.0,109.8453458276681,444.0,46.557961,
1_1_LT05_225083_19930107,26.0,85.625343,,0.0,1993-01-07T13:05:46,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,39.746811,
1_1_LT05_225083_19930718,39.0,43.607208,,0.0,1993-07-18T13:06:37,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,68.072403,
1_1_LT05_225083_19930819,0.0,48.870605,582.0,0.0,1993-08-19T13:06:37,4.0,0.0,741.0,,Parana_Water_Downstream,1296.0,225.0,1,66.0,766.0,83.0,5,1025.0,0.0,599.0,61.239563,
1_1_LT05_225083_19931107,8.0,72.995445,,0.7978172004998929,1993-11-07T13:06:15,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,37.854046,
1_1_LT05_225083_19931209,68.0,84.056099,,1.0,1993-12-09T13:06:04,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,36.505127,
1_1_LT05_225083_19940502,59.0,46.062798,,1.0,1994-05-02T13:03:59,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,62.745636,
1_1_LT05_225083_19940705,30.0,42.868557,660.0,0.0020463847203274215,1994-07-05T13:02:38,4.0,0.0,738.0,,Parana_Water_Downstream,1739.0,225.0,1,66.0,881.0,83.0,5,1058.0,0.0,521.0,69.834602,
1_1_LT05_225083_19940923,25.0,58.180847,,1.0,1994-09-23T13:00:33,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,50.970325,
1_1_LT05_225083_19941110,10.0,75.588051,491.0,0.01156823238216756,1994-11-10T12:58:58,4.0,2.0,804.0,,Parana_Water_Downstream,1721.0,225.0,4,66.0,787.0,83.0,5,494.0,204.97499847542383,201.0,38.906002,
1_1_LT05_225083_19950419,56.0,51.907917,,1.0,1995-04-19T12:53:00,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,61.535004,
1_1_LT05_225083_19950505,56.0,47.789852,,1.0,1995-05-05T12:52:18,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,65.082832,
1_1_LT05_225083_19950521,30.0,45.151985,,1.0,1995-05-21T12:51:34,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,68.19355,
1_1_LT05_225083_19950622,33.0,44.236256,528.0,0.0,1995-06-22T12:50:05,4.0,0.0,627.0,246.0,Parana_Water_Downstream,1861.0,225.0,17,66.0,727.0,83.0,5,906.0,147.62310562672386,485.0,71.737801,
1_1_LT05_225083_19950708,0.0,45.595779,514.0,0.0,1995-07-08T12:49:21,4.0,,729.0,,Parana_Water_Downstream,1788.0,225.0,0,66.0,713.0,83.0,5,1011.0,,466.0,71.582748,
1_1_LT05_225083_19950825,36.0,53.956585,,1.0,1995-08-25T12:47:11,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,62.789917,
1_1_LT05_225083_19950926,0.0,62.211365,480.0,0.0,1995-09-26T12:45:36,4.0,0.0,745.0,211.0,Parana_Water_Downstream,1670.0,225.0,7,66.0,744.0,83.0,5,1015.0,161.28565101858794,520.0,52.765358,
1_1_LT05_225083_19960116,100.0,87.14193,,1.0,1996-01-16T12:47:36,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,44.830353,
1_1_LT05_225083_19960523,0.0,44.167156,,0.0,1996-05-23T12:55:47,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,68.116653,
1_1_LT05_225083_19960624,0.0,43.109825,,0.0,1996-06-24T12:57:32,,,,,Parana_Water_Downstream,,225.0,0,,,83.0,5,,,,70.791344,
1_1_LT05_225083_19960827,52.0,51.780701,490.0,0.0,1996-08-27T13:00:55,4.0,0.0,711.0,,Parana_Water_Downstream,1463.0,225.0,2,66.0,681.0,83.0,5,1050.0,61.0,566.0,59.705109,
1_1_LT05_225083_19960912,0.0,55.222984,457.0,0.0,1996-09-12T13:01:48,4.0,0.0,665.0,,Parana_Water_Downstream,1834.0,225.0,1,66.0,598.0,83.0,5,910.0,0.0,539.0,54.330578,
1_1_LT05_225083_19961014,17.0,64.365097,382.0,0.0,1996-10-14T13:03:30,4.0,0.0,634.0,,Parana_Water_Downstream,1965.0,225.0,3,66.0,508.0,83.0,5,716.0,52.797306328595795,303.0,43.686893,
1_1_LT05_225083_19961030,45.0,70.314362,958.0,0.7744703220491133,1996-10-30T13:04:17,4.0,0.0,1305.0,163.0,Parana_Water_Downstream,1672.0,225.0,3,66.0,1322.0,83.0,5,1101.0,12.256517540564712,817.0,39.635048,
