system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19840607,71.0,39.837528,528.0,0.013809526271970884,1984-06-07T13:12:24,0.0,1.8743666678706867,751.0,236.0,Parana_Water_Upstream,2721.0,225.0,43,66.0,695.0,83.0,5,1383.0,188.07872648262776,646.0,67.737587,
1_1_LT05_225083_19840725,6.0,43.344799,450.0,6.593202020881063E-4,1984-07-25T13:13:18,4.0,1.095216968571326,633.0,233.0,Parana_Water_Upstream,1683.0,225.0,49,66.0,658.0,83.0,5,1311.0,201.26272973572293,740.0,66.062439,
1_1_LT05_225083_19840826,23.0,48.816509,490.0,0.0,1984-08-26T13:14:15,0.0,1.3409425606984857,749.0000000000001,216.0,Parana_Water_Upstream,1651.0,225.0,62,66.0,858.0,83.0,5,1969.0000000000002,431.5710862620414,1287.0,57.98624,
1_1_LT05_225083_19841013,29.0,61.427658,416.0,0.0,1984-10-13T13:14:19,0.0,1.6724492124923511,733.0,171.0,Parana_Water_Upstream,2862.3333333333335,225.0,62,66.0,689.8658743633277,83.0,5,2072.0000000000005,408.43190684447757,1043.0,42.004684,
1_1_LT05_225083_19841216,94.0,83.958641,,1.0,1984-12-16T13:14:20,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,35.252548,
1_1_LT05_225083_19850101,7.0,84.697449,580.551948051948,0.0,1985-01-01T13:14:28,0.0,1.7992923293150773,904.9999999999999,154.0,Parana_Water_Upstream,3608.647928994083,225.0,71,66.0,820.0,83.0,5,1612.9999999999998,412.2929005285257,636.0000000000001,37.029823,
1_1_LT05_225083_19850202,42.0,77.798775,582.4707692307692,0.17563514512801168,1985-02-02T13:14:38,0.0,1.2275688199674317,934.0,171.0,Parana_Water_Upstream,4060.0,225.0,76,66.0,804.145728643216,83.0,5,1801.0000000000002,514.1907276463735,727.9999999999999,42.063713,
1_1_LT05_225083_19850218,9.0,71.538635,474.50561797752806,0.0,1985-02-18T13:14:40,0.0,1.8140724146962197,778.3687861271677,180.0,Parana_Water_Upstream,2954.7179203539827,225.0,76,66.0,728.0,83.0,5,1608.9999999999998,462.0666623069798,658.0000000000001,44.974365,
1_1_LT05_225083_19850509,3.0,42.293404,,0.922628392016147,1985-05-09T13:14:19,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,62.738949,
1_1_LT05_225083_19850610,0.0,39.358093,397.0,0.0,1985-06-10T13:14:20,4.0,1.8405226511753674,668.0,236.0,Parana_Water_Upstream,2090.0,225.0,46,66.0,483.0,83.0,5,909.0,191.67214150696938,390.0,67.714172,
1_1_LT05_225083_19850728,27.0,43.538948,,1.0,1985-07-28T13:14:03,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,65.431381,
1_1_LT05_225083_19850813,0.0,46.203903,327.0,0.0,1985-08-13T13:13:54,4.0,1.9924242151981912,478.0,225.0,Parana_Water_Upstream,2315.0,225.0,46,66.0,473.0,83.0,5,1131.0,225.57074533972497,504.0,61.794342,
1_1_LT05_225083_19850930,24.0,57.240284,,1.0,1985-09-30T13:13:21,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,46.302742,
1_1_LT05_225083_19851016,43.0,62.612297,403.00000000000006,0.0,1985-10-16T13:13:10,0.0,1.8992207427566408,644.9999999999999,169.0,Parana_Water_Upstream,3185.0000000000005,225.0,67,66.0,512.0,83.0,5,1460.0,343.7243406652824,567.0000000000001,41.374962,
1_1_LT05_225083_19851203,0.0,81.396614,451.0,0.0,1985-12-03T13:12:25,0.0,1.846153846153846,779.9999999999999,146.0,Parana_Water_Upstream,3136.0,225.0,78,66.0,682.0000000000001,83.0,5,1758.0,392.5817412590908,778.0,34.957405,
1_1_LT05_225083_19860104,1.0,84.944817,465.00000000000006,0.0,1986-01-04T13:11:49,0.0,1.9012481037365823,829.0,157.0,Parana_Water_Upstream,3117.0,225.0,87,66.0,717.9999999999999,83.0,5,1626.0,392.716928683726,702.0,37.954975,
1_1_LT05_225083_19860120,0.0,82.319763,486.22231337161605,0.0,1986-01-20T13:11:30,0.0,1.717738230405757,797.0,165.0,Parana_Water_Upstream,3227.5,225.0,82,66.0,781.0,83.0,5,1486.0,441.34862879092924,647.0,40.457417,
1_1_LT05_225083_19860221,1.0,71.13073,442.2718556119572,0.0,1986-02-21T13:10:46,0.0,1.6987649834911838,768.0000000000001,184.0,Parana_Water_Upstream,3127.9999999999995,225.0,72,66.0,751.0000000000001,83.0,5,1572.0,419.34701016050604,694.9999999999999,46.250023,
1_1_LT05_225083_19860309,81.0,64.181534,,1.0,1986-03-09T13:10:25,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,49.516716,
1_1_LT05_225083_19860325,22.0,57.366215,512.0,0.0,1986-03-25T13:10:06,0.0,1.8795656904577809,821.0,204.0,Parana_Water_Upstream,2943.0,225.0,79,66.0,830.9999999999999,83.0,5,1508.9999999999998,496.99165261802085,674.0,53.064598,
1_1_LT05_225083_19860426,0.0,46.433418,391.0,0.0,1986-04-26T13:09:23,4.0,0.9083633452215851,621.0,222.0,Parana_Water_Upstream,1882.6078582434516,225.0,55,66.0,656.0,83.0,5,900.9999999999999,224.33629566728393,479.0,60.600636,
1_1_LT05_225083_19860512,49.0,43.0196,,1.0,1986-05-12T13:08:58,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,64.095581,
1_1_LT05_225083_19860731,13.0,45.507244,,1.0,1986-07-31T13:06:25,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,66.002625,
1_1_LT05_225083_19861019,43.0,65.880219,,1.0,1986-10-19T13:03:41,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,42.405262,
1_1_LT05_225083_19861222,36.0,86.457123,530.0,0.0,1986-12-22T13:03:14,0.0,1.9686118271390012,828.9999999999999,158.0,Parana_Water_Upstream,2748.0,225.0,68,66.0,750.0000000000001,83.0,5,1617.0,482.6765868570797,818.0,38.202187,
1_1_LT05_225083_19870107,16.0,86.029587,653.0,0.6766590306183136,1987-01-07T13:03:42,0.0,1.8630819574471997,1073.0,164.0,Parana_Water_Upstream,2653.0,225.0,22,66.0,1127.0,83.0,5,1143.0,429.9448744215033,598.0,40.11084,
1_1_LT05_225083_19870312,0.0,63.996117,430.0,0.0,1987-03-12T13:06:00,4.0,1.7320508075688772,707.0,198.0,Parana_Water_Upstream,2313.9999999999995,225.0,60,66.0,694.0,83.0,5,1103.9999999999998,247.94296163073926,498.9999999999998,50.985817,
1_1_LT05_225083_19870328,0.0,57.092468,431.99999999999994,0.0,1987-03-28T13:06:34,4.0,1.9403406780099541,704.6401111625753,207.0,Parana_Water_Upstream,2442.8083400160385,225.0,66,66.0,598.485315712188,83.0,5,1283.0,365.36437779059736,549.0,54.358936,
1_1_LT05_225083_19870413,1.0,51.006332,447.0,0.0,1987-04-13T13:07:06,4.0,1.4616970708852492,663.0,216.0,Parana_Water_Upstream,2254.192261185006,225.0,63,66.0,640.9999999999999,83.0,5,1268.0,288.50298924748904,612.0,57.937386,
1_1_LT05_225083_19870429,68.0,46.166302,,1.0,1987-04-29T13:07:35,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,61.520546,
1_1_LT05_225083_19870515,5.0,42.802006,434.0,0.0,1987-05-15T13:08:03,4.0,0.4999370078737649,731.0,231.0,Parana_Water_Upstream,1980.035772357723,225.0,63,66.0,678.0000000000001,83.0,5,1103.0,262.15933947577844,561.0000000000001,64.787636,
1_1_LT05_225083_19870531,48.0,40.968102,,0.9859345023554539,1987-05-31T13:08:28,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,67.365768,
1_1_LT05_225083_19870616,0.0,40.544853,385.0,0.0,1987-06-16T13:08:50,4.0,0.0,587.0,238.0,Parana_Water_Upstream,1672.0,225.0,19,66.0,537.0,83.0,5,1019.0,208.07047868384177,589.0,68.880875,
1_1_LT05_225083_19870718,16.0,42.960781,375.0,0.0,1987-07-18T13:09:27,4.0,0.0,526.0,236.0,Parana_Water_Upstream,1649.0,225.0,8,66.0,497.0,83.0,5,899.0,140.74267298868529,385.0,67.73056,
1_1_LT05_225083_19870803,83.0,45.24221,,1.0,1987-08-03T13:09:55,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,64.916992,
1_1_LT05_225083_19870904,8.0,51.132275,349.0,0.0,1987-09-04T13:10:49,4.0,0.0,503.0,211.0,Parana_Water_Upstream,1621.0,225.0,28,66.0,508.0,83.0,5,888.0,159.93648292815675,407.0,55.760788,
1_1_LT05_225083_19870920,9.0,54.858318,,1.0,1987-09-20T13:11:12,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,50.252903,
1_1_LT05_225083_19871022,0.0,65.019707,385.00000000000006,0.0,1987-10-22T13:11:48,0.0,1.8115781987643915,682.4988375096873,164.0,Parana_Water_Upstream,2861.0000000000005,225.0,59,66.0,544.0000000000001,83.0,5,1555.0,287.0379021203694,702.0000000000001,40.15168,
1_1_LT05_225083_19871225,100.0,84.980896,,1.0,1987-12-25T13:12:56,,,,,Parana_Water_Upstream,,225.0,0,,,83.0,5,,,,36.388878,
1_1_LT05_225083_19880110,6.0,84.099327,517.0,0.0,1988-01-10T13:13:12,0.0,1.7730438692438804,849.0,159.0,Parana_Water_Upstream,3186.0,225.0,67,66.0,768.9060434372047,83.0,5,1601.0,399.44821375665106,675.9999999999999,38.471378,
