system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_191029_19840422,6.0,136.574936,830.0,0.46740952122118035,1984-04-22T09:19:44,0.0,1.2450279185457698,1091.0,162.0,Po_Land_Downstream,1740.0,191.0,46,66.0,1108.0,29.0,5,1809.0,175.70441539102399,1106.0,39.467304,
1_1_LT05_191029_19840524,11.0,129.41481,749.0,0.04670018571363862,1984-05-24T09:20:26,0.0,1.2647855955292195,956.0,135.0,Po_Land_Downstream,3131.0,191.0,71,66.0,746.0000000000001,29.0,5,1537.0,228.5799082367342,683.0,32.030987,
1_1_LT05_191029_19840609,19.0,126.179169,742.9999999999999,0.0,1984-06-09T09:20:47,0.0,1.3150684931506849,919.0,130.0,Po_Land_Downstream,2980.9999999999995,191.0,73,66.0,688.0,29.0,5,1457.0,166.7255664986653,609.0,30.64312,
1_1_LT05_191029_19840625,15.0,124.560921,554.0,0.0,1984-06-25T09:21:01,0.0,1.0596683309598152,824.0,130.0,Po_Land_Downstream,3987.0,191.0,79,66.0,578.9999999999999,29.0,5,1812.9999999999998,319.48964420018615,745.0,30.772209,
1_1_LT05_191029_19840711,0.0,125.267113,723.0,0.8717217013181139,1984-07-11T09:21:10,0.0,0.0,956.0,138.0,Po_Land_Downstream,3950.0,191.0,10,66.0,685.0,29.0,5,1791.0,61.47357155721473,740.0,32.17873,
1_1_LT05_191029_19840828,32.0,138.450729,,1.0,1984-08-28T09:22:37,,,,,Po_Land_Downstream,,191.0,0,,,29.0,5,,,,41.955597,
1_1_LT05_191029_19840929,44.0,148.970779,1185.0,0.19540698464465273,1984-09-29T09:22:41,0.0,1.3471246421591014,1407.0,200.0,Po_Land_Downstream,2356.0,191.0,69,66.0,1252.0,29.0,5,1948.0,227.3433485053848,1258.0,51.780617,
1_1_LT05_191029_19841015,25.0,152.911469,1021.0,0.0857906418444535,1984-10-15T09:22:39,0.0,1.8856180831641267,1119.0,214.0,Po_Land_Downstream,2117.0,191.0,66,66.0,988.0,29.0,5,1907.0000000000002,204.8771384837225,910.0,57.088612,
1_1_LT05_191029_19841031,58.0,155.554398,,1.0,1984-10-31T09:22:33,,,,,Po_Land_Downstream,,191.0,0,,,29.0,5,,,,62.204533,
1_1_LT05_191029_19850220,5.0,146.519821,1146.0,0.8870317525026046,1985-02-20T09:23:01,0.0,0.0,1236.0,224.0,Po_Land_Downstream,1373.0,191.0,10,66.0,1211.0,29.0,5,1494.0,118.0337239944591,882.0,61.618484,
1_1_LT05_191029_19850324,34.0,142.310242,,1.0,1985-03-24T09:22:58,,,,,Po_Land_Downstream,,191.0,0,,,29.0,5,,,,49.632679,
1_1_LT05_191029_19850425,17.0,137.00769,516.9619079165286,0.0,1985-04-25T09:22:48,4.0,0.0,684.970123022847,158.0,Po_Land_Downstream,1564.0,191.0,82,66.0,711.9999999999999,29.0,5,1348.0,150.00380324347597,728.0,38.268681,
1_1_LT05_191029_19850511,3.0,133.416702,479.0,0.16220500973864196,1985-05-11T09:22:40,4.0,1.1777635759016258,665.0000000000001,143.0,Po_Land_Downstream,2267.0,191.0,73,66.0,526.0,29.0,5,1362.0,70.76316155203484,633.9999999999999,34.076767,
1_1_LT05_191029_19850730,3.0,129.187225,543.0,0.0,1985-07-30T09:22:23,0.0,0.979742214079118,804.0,146.0,Po_Land_Downstream,4219.0,191.0,78,66.0,549.0,29.0,5,2005.9999999999995,307.21770020438163,776.0,35.029179,
1_1_LT05_191029_19850831,0.0,139.380798,595.0,0.0,1985-08-31T09:22:03,0.0,0.8931875130777442,795.0,173.0,Po_Land_Downstream,3275.5553618134263,191.0,76,66.0,580.0,29.0,5,1841.0,262.70655242490767,771.9999999999999,42.719231,
1_1_LT05_191029_19850916,52.0,144.76947,,1.0,1985-09-16T09:21:50,,,,,Po_Land_Downstream,,191.0,0,,,29.0,5,,,,47.539516,
