system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_191029_19840422,6.0,136.574936,1733.0,0.9460917323220766,1984-04-22T09:19:44,0.0,0.0,2222.0,160.0,Po_Land_Upstream,2996.0,191.0,13,66.0,2376.0,29.0,5,3460.0,164.38866486498884,3181.0,39.467304,
1_1_LT05_191029_19840524,11.0,129.41481,1534.0,0.8938016934192029,1984-05-24T09:20:26,0.0,0.9162456945817024,1949.0,135.0,Po_Land_Upstream,2704.0,191.0,18,66.0,1940.0,29.0,5,2448.0,597.5007645018097,2039.0,32.030987,
1_1_LT05_191029_19840609,19.0,126.179169,1021.9999999999999,0.0,1984-06-09T09:20:47,0.0,1.42828568570857,1305.0,130.0,Po_Land_Upstream,2689.0,191.0,80,66.0,1091.0,29.0,5,1160.971962616822,1077.8335474894768,539.0,30.64312,
1_1_LT05_191029_19840625,15.0,124.560921,,1.0,1984-06-25T09:21:01,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,30.772209,
1_1_LT05_191029_19840711,0.0,125.267113,1461.0,0.670453430971918,1984-07-11T09:21:10,0.0,0.0,1941.0,136.0,Po_Land_Upstream,3269.9999999999995,191.0,79,66.0,2057.0000000000005,29.0,5,3247.9999999999995,627.9128536943978,2952.0,32.17873,
1_1_LT05_191029_19840828,32.0,138.450729,,1.0,1984-08-28T09:22:37,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,41.955597,
1_1_LT05_191029_19840929,44.0,148.970779,,1.0,1984-09-29T09:22:41,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,51.780617,
1_1_LT05_191029_19841015,25.0,152.911469,804.5295454545453,0.0,1984-10-15T09:22:39,0.0,1.9999623617972209,1008.1617363906881,213.99999999999997,Po_Land_Upstream,2362.898135263011,191.0,163,66.0,891.3225371120109,29.0,5,1623.467032967033,755.5054875273358,803.0000000000001,57.088612,
1_1_LT05_191029_19841031,58.0,155.554398,,1.0,1984-10-31T09:22:33,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,62.204533,
1_1_LT05_191029_19850220,5.0,146.519821,1318.0000000000002,0.43044885416326134,1985-02-20T09:23:01,0.0,0.0,1451.0,224.0,Po_Land_Upstream,1822.0,191.0,118,66.0,1393.0000000000002,29.0,5,1842.0000000000005,619.0809905901515,1191.0,61.618484,
1_1_LT05_191029_19850324,34.0,142.310242,1419.0,0.8799241557422602,1985-03-24T09:22:58,0.0,0.0,1549.0,194.0,Po_Land_Upstream,2093.0,191.0,29,66.0,1511.0,29.0,5,2275.0,474.7180901972492,1637.0,49.632679,
1_1_LT05_191029_19850425,17.0,137.00769,665.6827371695178,0.0,1985-04-25T09:22:48,0.0,1.5698903673809401,971.0,157.99999999999997,Po_Land_Upstream,2377.2823920265782,191.0,184,66.0,889.9999999999999,29.0,5,1864.0,582.0012683581627,1037.0,38.268681,
1_1_LT05_191029_19850511,3.0,133.416702,670.0,0.20028441596652397,1985-05-11T09:22:40,0.0,1.7742403991801226,959.0,143.00000000000003,Po_Land_Upstream,2624.0,191.0,130,66.0,782.9999999999999,29.0,5,1417.0,805.9348316702835,710.0,34.076767,
1_1_LT05_191029_19850730,3.0,129.187225,607.0,0.0,1985-07-30T09:22:23,0.0,0.995850622406639,918.0000000000001,146.0,Po_Land_Upstream,3539.9999999999995,191.0,241,66.0,787.0,29.0,5,2181.9999999999995,676.3024632875422,1089.0,35.029179,
1_1_LT05_191029_19850831,0.0,139.380798,790.0,0.45382326980287035,1985-08-31T09:22:03,0.0,0.600591424490558,1017.0000000000001,172.99999999999997,Po_Land_Upstream,3237.0,191.0,130,66.0,854.9999999999999,29.0,5,1594.0000000000002,328.0830848911843,727.0,42.719231,
1_1_LT05_191029_19850916,52.0,144.76947,,1.0,1985-09-16T09:21:50,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,47.539516,
1_1_LT05_191029_19851018,1.0,153.134125,874.0,0.8541469155578804,1985-10-18T09:21:30,0.0,1.8070158058105024,1187.0,215.0,Po_Land_Upstream,2181.0,191.0,35,66.0,1042.0,29.0,5,2083.0,690.4022098954866,1338.0,58.09642,
1_1_LT05_191029_19860223,80.0,145.061676,,1.0,1986-02-23T09:19:04,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,61.069839,
1_1_LT05_191029_19860327,0.0,140.460175,1005.040909090909,0.24034783745790972,1986-03-27T09:18:25,0.0,1.7075268191927218,1361.0000000000002,193.0,Po_Land_Upstream,1763.5292307692307,191.0,121,66.0,1414.0,29.0,5,1925.9999999999998,710.1629058015137,1522.3333333333333,49.097374,
1_1_LT05_191029_19860412,51.0,137.779846,,1.0,1986-04-12T09:18:04,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,43.228519,
1_1_LT05_191029_19860514,30.0,130.653168,1619.0,0.8094903396645853,1986-05-14T09:17:16,0.0,0.0,2160.0,142.0,Po_Land_Upstream,2885.0,191.0,46,66.0,2341.0,29.0,5,3582.0,501.5451950753923,3289.0,34.316444,
1_1_LT05_191029_19860530,28.0,126.597046,,1.0,1986-05-30T09:16:49,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,31.975666,
1_1_LT05_191029_19860615,24.0,123.665016,962.0000000000001,0.0,1986-06-15T09:16:19,0.0,1.156697946096627,1382.0000000000002,132.0,Po_Land_Upstream,2608.4,191.0,228,66.0,1330.0,29.0,5,2187.1905117669035,717.8393893807995,1481.3940149625935,31.286133,
1_1_LT05_191029_19860701,2.0,122.604111,911.9999999999999,0.0,1986-07-01T09:15:48,0.0,0.9836656431445456,1358.7293528780838,135.0,Po_Land_Upstream,2842.6242632612966,191.0,232,66.0,1343.0,29.0,5,2395.0,678.1426130881968,1591.0,32.001114,
1_1_LT05_191029_19860717,4.0,123.927223,1036.3533333333332,0.0,1986-07-17T09:15:16,0.0,0.5845659574037209,1437.1148382004735,142.0,Po_Land_Upstream,3325.0039267015704,191.0,229,66.0,1341.2294372294373,29.0,5,2576.5533807829183,764.850295622902,1718.0,33.879356,
1_1_LT05_191029_19860818,1.0,132.171661,896.5,0.0,1986-08-18T09:14:06,0.0,0.8432096924632373,1322.277852348993,164.99999999999997,Po_Land_Upstream,3221.0,191.0,236,66.0,1163.0000000000002,29.0,5,2325.254385964912,643.9210156535629,1487.0,40.260567,
1_1_LT05_191029_19860903,0.0,137.610764,961.827922077922,0.08548824740919939,1986-09-03T09:13:30,0.0,0.8461130761366242,1257.0,179.0,Po_Land_Upstream,3132.803571428571,191.0,213,66.0,1176.0,29.0,5,2394.0,705.1117014620563,1569.0,44.524059,
1_1_LT05_191029_19860919,65.0,142.921936,,1.0,1986-09-19T09:13:00,,,,,Po_Land_Upstream,,191.0,0,,,29.0,5,,,,49.360584,
