system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_191029_19840422,6.0,136.574936,,1.0,1984-04-22T09:19:44,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,39.467304,
1_1_LT05_191029_19840524,11.0,129.41481,982.0,0.30492902823272505,1984-05-24T09:20:26,0.0,1.5764539639937842,1340.0,135.0,Po_Water_Upstream,2742.0,191.0,26,66.0,1280.0,29.0,5,1167.0,381.5604851739156,614.0,32.030987,
1_1_LT05_191029_19840609,19.0,126.179169,897.0,0.0,1984-06-09T09:20:47,0.0,1.6762808104168887,1154.0,130.0,Po_Water_Upstream,2689.0,191.0,44,66.0,960.0,29.0,5,985.0,174.05908058201928,397.0,30.64312,
1_1_LT05_191029_19840625,15.0,124.560921,,1.0,1984-06-25T09:21:01,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,30.772209,
1_1_LT05_191029_19840711,0.0,125.267113,785.0,0.7498362189985959,1984-07-11T09:21:10,4.0,1.9720265943665387,961.0,136.0,Po_Water_Upstream,2294.0,191.0,12,130.0,792.0,29.0,5,1042.0,358.98316077808187,558.0,32.17873,
1_1_LT05_191029_19840828,32.0,138.450729,,1.0,1984-08-28T09:22:37,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,41.955597,
1_1_LT05_191029_19840929,44.0,148.970779,,1.0,1984-09-29T09:22:41,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,51.780617,
1_1_LT05_191029_19841015,25.0,152.911469,778.0,0.0,1984-10-15T09:22:39,4.0,1.7201067351596309,889.0,214.0,Po_Water_Upstream,2067.0,191.0,49,66.0,788.0,29.0,5,1134.0,281.069549450822,467.0,57.088612,
1_1_LT05_191029_19841031,58.0,155.554398,,1.0,1984-10-31T09:22:33,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,62.204533,
1_1_LT05_191029_19850220,5.0,146.519821,1256.0,0.6960068632038682,1985-02-20T09:23:01,0.0,0.0,1317.0,224.0,Po_Water_Upstream,1634.0,191.0,11,66.0,1223.0,29.0,5,1377.0,94.34655652048319,887.0,61.618484,
1_1_LT05_191029_19850324,34.0,142.310242,,1.0,1985-03-24T09:22:58,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,49.632679,
1_1_LT05_191029_19850425,17.0,137.00769,568.1045601105482,0.0,1985-04-25T09:22:48,0.0,1.9692777675264537,847.9999999999999,158.0,Po_Water_Upstream,2537.0,191.0,63,66.0,674.3129770992366,29.0,5,1167.0000000000002,332.83333248171584,580.0,38.268681,
1_1_LT05_191029_19850511,3.0,133.416702,670.0,0.1705350179379192,1985-05-11T09:22:40,0.0,1.9816543545754983,880.0,143.0,Po_Water_Upstream,2740.0,191.0,37,66.0,677.0,29.0,5,1024.0,248.48318819133945,376.0,34.076767,
1_1_LT05_191029_19850730,3.0,129.187225,512.0,0.0,1985-07-30T09:22:23,0.0,1.530327676029473,759.0,146.0,Po_Water_Upstream,3539.9999999999995,191.0,73,66.0,613.0000000000001,29.0,5,1721.0,683.0597350260159,780.0,35.029179,
1_1_LT05_191029_19850831,0.0,139.380798,746.0,0.7593823116518484,1985-08-31T09:22:03,0.0,1.9876159799998132,927.0,173.0,Po_Water_Upstream,2568.0,191.0,9,66.0,697.0,29.0,5,1266.0,327.53863215742285,601.0,42.719231,
1_1_LT05_191029_19850916,52.0,144.76947,,1.0,1985-09-16T09:21:50,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,47.539516,
1_1_LT05_191029_19851018,1.0,153.134125,632.0,0.8708625799407268,1985-10-18T09:21:30,4.0,0.0,751.0,,Po_Water_Upstream,1277.0,191.0,2,66.0,614.0,29.0,5,1045.0,59.5,538.0,58.09642,
1_1_LT05_191029_19860223,80.0,145.061676,,1.0,1986-02-23T09:19:04,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,61.069839,
1_1_LT05_191029_19860327,0.0,140.460175,626.0,0.26452971455311186,1986-03-27T09:18:25,4.0,1.9241827716833388,818.5,193.0,Po_Water_Upstream,1718.0,191.0,11,66.0,821.5,29.0,5,1493.0,412.27845039627886,948.0,49.097374,
1_1_LT05_191029_19860412,51.0,137.779846,,1.0,1986-04-12T09:18:04,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,43.228519,
1_1_LT05_191029_19860514,30.0,130.653168,,0.9043051006083295,1986-05-14T09:17:16,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,34.316444,
1_1_LT05_191029_19860530,28.0,126.597046,,1.0,1986-05-30T09:16:49,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,31.975666,
1_1_LT05_191029_19860615,24.0,123.665016,704.0,0.0,1986-06-15T09:16:19,0.0,1.92950555577088,1033.8598622924262,132.0,Po_Water_Upstream,2375.581280788177,191.0,57,66.0,858.0000000000001,29.0,5,1434.0,398.13446860812627,818.0,31.286133,
1_1_LT05_191029_19860701,2.0,122.604111,683.0,0.05317423178911246,1986-07-01T09:15:48,0.0,1.8856180831641267,962.0,135.0,Po_Water_Upstream,2921.0,191.0,48,66.0,825.0,29.0,5,1484.9999999999998,487.700755939285,816.0,32.001114,
1_1_LT05_191029_19860717,4.0,123.927223,910.5760598503741,0.0,1986-07-17T09:15:16,0.0,0.8649774398867488,1176.0,142.0,Po_Water_Upstream,3068.5,191.0,61,66.0,1079.0,29.0,5,1806.0,536.2711397103272,936.0,33.879356,
1_1_LT05_191029_19860818,1.0,132.171661,654.0000000000001,0.05317423178911246,1986-08-18T09:14:06,0.0,1.7613895295454223,896.0,165.0,Po_Water_Upstream,3603.956343792633,191.0,57,66.0,716.0000000000001,29.0,5,1806.783715012723,397.54501014063715,831.0,40.260567,
1_1_LT05_191029_19860903,0.0,137.610764,738.0,0.3043986897519888,1986-09-03T09:13:30,0.0,1.282237093217695,932.0,179.0,Po_Water_Upstream,3902.0,191.0,43,66.0,732.0,29.0,5,1635.0,367.25781378310876,704.0,44.524059,
1_1_LT05_191029_19860919,65.0,142.921936,,1.0,1986-09-19T09:13:00,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,49.360584,
1_1_LT05_191029_19861106,86.0,153.167145,,1.0,1986-11-06T09:11:23,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,64.756058,
1_1_LT05_191029_19861208,18.0,153.739197,,1.0,1986-12-08T09:11:08,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,71.726227,
1_1_LT05_191029_19861224,41.0,152.415054,,1.0,1986-12-24T09:11:39,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,72.957962,
1_1_LT05_191029_19870109,6.0,150.374725,,1.0,1987-01-09T09:12:07,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,72.363609,
1_1_LT05_191029_19870226,7.0,143.464264,,1.0,1987-02-26T09:13:48,,,,,Po_Water_Upstream,,191.0,0,,,29.0,5,,,,60.610317,
