system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_198024_19840610,25.0,137.728882,,0.0,1984-06-10T10:02:04,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,34.190735,
1_1_LT05_198024_19840626,27.0,136.33696,,0.0,1984-06-26T10:02:18,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,34.251171,
1_1_LT05_198024_19840813,25.0,142.028244,,1.0,1984-08-13T10:03:33,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,42.340488,
1_1_LT05_198024_19840829,64.0,146.19313,,1.0,1984-08-29T10:03:53,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,46.919323,
1_1_LT05_198024_19850205,6.0,152.243668,,0.11289902633883636,1985-02-05T10:04:16,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,71.645218,
1_1_LT05_198024_19850325,65.0,148.11377,,0.9379908857629377,1985-03-25T10:04:14,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,54.168533,
1_1_LT05_198024_19850426,74.0,145.22908,,0.0013693632982789325,1985-04-26T10:04:04,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,42.499111,
1_1_LT05_198024_19850512,58.0,143.019531,,1.0,1985-05-12T10:03:57,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,38.102528,
1_1_LT05_198024_19851003,67.0,154.664215,,0.9790028640369135,1985-10-03T10:02:56,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,58.656307,
1_1_LT05_198024_19851019,43.0,157.436508,,0.0,1985-10-19T10:02:45,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,64.23214,
1_1_LT05_198024_19860208,26.0,151.002213,,0.0,1986-02-08T10:00:42,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,71.135925,
1_1_LT05_198024_19860224,58.0,149.239258,,1.0,1986-02-24T10:00:19,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,65.821259,
1_1_LT05_198024_19860413,41.0,144.958633,,1.0,1986-04-13T09:59:19,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,47.479687,
1_1_LT05_198024_19860531,54.0,137.640854,,1.0,1986-05-31T09:58:03,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,35.520947,
1_1_LT05_198024_19860616,2.0,135.240967,,0.0,1986-06-16T09:57:34,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,34.610783,
1_1_LT05_198024_19860702,18.0,134.136032,,0.5113586840745904,1986-07-02T09:57:02,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,35.296978,
1_1_LT05_198024_19860803,8.0,137.183609,,0.34782036626813334,1986-08-03T09:55:56,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,40.536369,
1_1_LT05_198024_19861107,83.0,156.757309,,1.0,1986-11-07T09:52:37,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,70.824066,
1_1_LT05_198024_19861123,72.0,157.198761,,1.0,1986-11-23T09:52:00,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,74.907135,
1_1_LT05_198024_19870211,51.0,149.333984,,1.0,1987-02-11T09:54:29,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,70.703354,
1_1_LT05_198024_19870502,40.0,142.269363,,0.19666479629415629,1987-05-02T09:57:18,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,41.451126,
1_1_LT05_198024_19870705,0.0,135.036346,,0.0,1987-07-05T09:58:49,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,35.224968,
1_1_LT05_198024_19870806,48.0,139.229538,,0.2208322832792874,1987-08-06T09:59:38,,,,,Rhine_Water_Downstream,,198.0,0,,,24.0,5,,,,40.674664,
