system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_196030_19840409,4.0,137.366806,717.9999999999999,0.10793123656964249,1984-04-09T09:51:02,0.0,1.7763974838005387,955.0,172.0,Rhone_Land_Upstream,2378.0,196.0,74,66.0,979.0,30.0,5,1965.0000000000002,522.2378884781937,1293.0,43.017891,
1_1_LT05_196030_19840425,6.0,134.146667,1445.0000000000002,0.0,1984-04-25T09:51:02,0.0,0.43902439024390244,1607.9999999999998,156.0,Rhone_Land_Upstream,2747.0,196.0,82,66.0,1443.0000000000005,30.0,5,1332.9999999999998,289.7165048502232,773.0,37.718449,
1_1_LT05_196030_19840511,20.0,130.299866,734.0,0.0,1984-05-11T09:51:21,0.0,0.0,1001.8333333333334,141.0,Rhone_Land_Upstream,3545.7651331719126,196.0,82,66.0,853.0000000000001,30.0,5,1816.0,531.5796922520211,932.0,33.61031,
1_1_LT05_196030_19840527,24.0,126.285439,1135.0,0.0,1984-05-27T09:51:49,0.0,0.0,1333.0,131.0,Rhone_Land_Upstream,3323.0,196.0,82,66.0,1237.9999999999998,30.0,5,1512.0,414.9195468627959,879.0,30.998631,
1_1_LT05_196030_19840612,0.0,123.131264,498.72753209700426,0.0,1984-06-12T09:52:08,0.0,0.0,756.6666666666666,127.0,Rhone_Land_Upstream,3408.313901345291,196.0,82,66.0,621.0,30.0,5,1681.0,451.385002611946,775.1666666666666,29.985828,
1_1_LT05_196030_19840628,31.0,121.927307,,1.0,1984-06-28T09:52:21,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,30.404945,
1_1_LT05_196030_19840714,0.0,123.252876,423.0,0.0,1984-07-14T09:52:33,0.0,0.43902439024390244,645.0,135.0,Rhone_Land_Upstream,3142.625,196.0,82,66.0,614.0000000000001,30.0,5,1707.0,590.5626136360378,856.9999999999999,31.988064,
1_1_LT05_196030_19840815,6.0,132.088348,532.883211678832,0.0,1984-08-15T09:53:39,0.0,0.43902439024390244,770.9999999999999,156.0,Rhone_Land_Upstream,3072.4,196.0,82,66.0,685.0,30.0,5,1738.0,561.8130886773298,964.0,37.852921,
1_1_LT05_196030_19840831,0.0,137.963928,390.7084048027444,0.0,1984-08-31T09:53:56,0.0,1.1868804937167259,581.0,169.0,Rhone_Land_Upstream,2867.20987654321,196.0,82,66.0,512.0,30.0,5,1509.0,508.04187436028326,786.0,41.911694,
1_1_LT05_196030_19841002,1.0,148.764786,338.6827924066136,0.0,1984-10-02T09:53:59,0.0,1.7969502884286694,506.7165735567971,200.0,Rhone_Land_Upstream,2562.545205479452,196.0,82,66.0,464.6772908366534,30.0,5,1301.0,353.60400441641184,639.0,51.694923,
1_1_LT05_196030_19841018,34.0,152.659897,2357.0,0.4625903496776714,1984-10-18T09:53:56,0.0,0.0,2613.0,214.0,Rhone_Land_Upstream,3987.0,196.0,45,66.0,2579.0,30.0,5,3636.0,643.8641816753308,2543.0,56.936581,
1_1_LT05_196030_19841119,19.0,156.256348,654.7671424573189,0.0,1984-11-19T09:53:45,4.0,1.7095638497351018,804.5516698172651,233.0,Rhone_Land_Upstream,2044.1,196.0,79,66.0,736.152551878856,30.0,5,1396.0,296.38144331640785,777.0,66.186554,
1_1_LT05_196030_19841205,0.0,155.997162,690.0,0.32364719671810893,1984-12-05T09:53:51,4.0,1.6853001769389726,868.0,239.0,Rhone_Land_Upstream,1915.0,196.0,52,66.0,785.0,30.0,5,1593.0,312.5229476781564,890.0,69.292137,
1_1_LT05_196030_19841221,63.0,154.648468,558.0,0.1890017581558898,1984-12-21T09:54:02,4.0,0.5961307749365453,762.0,241.0,Rhone_Land_Upstream,1542.0,196.0,44,66.0,772.0,30.0,5,1048.0,124.25786928203955,609.0,70.825562,
1_1_LT05_196030_19850327,17.0,140.611893,536.5344827586207,0.0,1985-03-27T09:54:16,0.0,1.861344783252577,752.0,188.0,Rhone_Land_Upstream,1876.2,196.0,82,66.0,828.9999999999999,30.0,5,1741.0,460.95746076674556,1210.640703517588,47.530479,
1_1_LT05_196030_19850412,25.0,137.878967,,1.0,1985-04-12T09:54:12,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,41.644192,
1_1_LT05_196030_19850514,30.0,130.46431,,1.0,1985-05-14T09:53:59,,,,,Rhone_Land_Upstream,,196.0,0,,,30.0,5,,,,32.70673,
1_1_LT05_196030_19850530,5.0,126.377441,405.0,0.0,1985-05-30T09:54:00,0.0,0.0,650.0000000000001,129.0,Rhone_Land_Upstream,3773.0,196.0,82,66.0,496.0000000000001,30.0,5,1660.6830543933052,432.37509139740695,708.0,30.408882,
1_1_LT05_196030_19850615,35.0,123.344185,585.0,0.3859152178159796,1985-06-15T09:53:58,0.0,0.0,864.0,126.0,Rhone_Land_Upstream,3776.0,196.0,51,66.0,750.0,30.0,5,1749.0,319.80827710093484,877.0,29.702427,
1_1_LT05_196030_19850701,21.0,122.441811,639.0,0.35226606759132634,1985-07-01T09:53:54,0.0,0.7554102983100421,879.0,129.0,Rhone_Land_Upstream,3235.0,196.0,54,66.0,763.0,30.0,5,1600.0,430.16620388282826,797.0,30.40134,
1_1_LT05_196030_19850802,0.0,127.887268,376.0,0.0,1985-08-02T09:53:40,0.0,0.0,622.0,146.0,Rhone_Land_Upstream,2839.0000000000005,196.0,82,66.0,593.0000000000001,30.0,5,1750.0,719.9525974423245,819.0,34.947666,
1_1_LT05_196030_19850818,0.0,133.126434,368.99999999999994,0.0,1985-08-18T09:53:30,0.0,0.6170297873499276,599.0,158.0,Rhone_Land_Upstream,2696.0,196.0,82,66.0,567.2678571428572,30.0,5,1642.0000000000002,681.7091291044464,857.1943127962086,38.46336,
1_1_LT05_196030_19850903,45.0,138.922028,2027.0,0.5125512795467864,1985-09-03T09:53:19,0.0,0.0,2208.0,173.0,Rhone_Land_Upstream,3171.0,196.0,40,66.0,2084.0,30.0,5,2350.0,593.2438110718056,1671.0,42.679077,
