system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_196030_19840409,4.0,137.366806,,0.21337539332416242,1984-04-09T09:51:02,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,43.017891,
1_1_LT05_196030_19840425,6.0,134.146667,1120.0,0.0,1984-04-25T09:51:02,0.0,0.0,1241.0,161.0,Rhone_Water_Downstream,1617.0,196.0,4,130.0,1194.0,30.0,5,1250.0,73.66944753423905,810.0,37.718449,
1_1_LT05_196030_19840511,20.0,130.299866,782.0,0.0,1984-05-11T09:51:21,4.0,0.0,999.0,148.0,Rhone_Water_Downstream,2089.0,196.0,4,66.0,851.0,30.0,5,1316.0,96.61004088602799,684.0,33.61031,
1_1_LT05_196030_19840527,24.0,126.285439,1340.0,0.6127397498537387,1984-05-27T09:51:49,4.0,,1609.0,,Rhone_Water_Downstream,1691.0,196.0,0,66.0,1511.0,30.0,5,1317.0,,982.0,30.998631,
1_1_LT05_196030_19840612,0.0,123.131264,571.0,0.07314643517859687,1984-06-12T09:52:08,4.0,0.0,735.0,136.0,Rhone_Water_Downstream,2002.0,196.0,4,66.0,633.0,30.0,5,827.0,70.82901947648294,394.0,29.985828,
1_1_LT05_196030_19840628,31.0,121.927307,,1.0,1984-06-28T09:52:21,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,30.404945,
1_1_LT05_196030_19840714,0.0,123.252876,469.0,0.0,1984-07-14T09:52:33,0.0,1.9595917942265424,643.0,131.0,Rhone_Water_Downstream,2820.0,196.0,5,66.0,491.0,30.0,5,1167.0,236.6994719047764,404.0,31.988064,
1_1_LT05_196030_19840815,6.0,132.088348,634.0,0.025876381575826574,1984-08-15T09:53:39,4.0,1.7320508075688772,778.0,162.0,Rhone_Water_Downstream,2281.0,196.0,4,66.0,624.0,30.0,5,1096.0,54.38922227794768,509.0,37.852921,
1_1_LT05_196030_19840831,0.0,137.963928,404.0,0.0,1984-08-31T09:53:56,4.0,1.7320508075688772,549.0,174.0,Rhone_Water_Downstream,2435.0,196.0,4,66.0,412.0,30.0,5,1080.0,65.88009942311866,421.0,41.911694,
1_1_LT05_196030_19841002,1.0,148.764786,422.0,0.0,1984-10-02T09:53:59,4.0,0.0,564.0,201.0,Rhone_Water_Downstream,1973.0,196.0,4,66.0,473.0,30.0,5,1033.0,92.85304249188607,449.0,51.694923,
1_1_LT05_196030_19841018,34.0,152.659897,1112.0,0.9983634552440587,1984-10-18T09:53:56,4.0,,1091.0,,Rhone_Water_Downstream,1549.0,196.0,0,66.0,1013.0,30.0,5,843.0,,460.0,56.936581,
1_1_LT05_196030_19841119,19.0,156.256348,,0.8662144427051215,1984-11-19T09:53:45,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,66.186554,
1_1_LT05_196030_19841205,0.0,155.997162,721.0,0.15668137185143025,1984-12-05T09:53:51,4.0,2.0,946.0,239.0,Rhone_Water_Downstream,1318.0,196.0,2,66.0,925.0,30.0,5,1355.0,1111.5,553.0,69.292137,
1_1_LT05_196030_19841221,63.0,154.648468,,0.9979839666049998,1984-12-21T09:54:02,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,70.825562,
1_1_LT05_196030_19850327,17.0,140.611893,543.0,0.0,1985-03-27T09:54:16,4.0,0.0,709.0,196.0,Rhone_Water_Downstream,917.0,196.0,2,66.0,680.0,30.0,5,1142.0,118.0,658.0,47.530479,
1_1_LT05_196030_19850412,25.0,137.878967,,1.0,1985-04-12T09:54:12,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,41.644192,
1_1_LT05_196030_19850514,30.0,130.46431,,0.33043973246050945,1985-05-14T09:53:59,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,32.70673,
1_1_LT05_196030_19850530,5.0,126.377441,563.0,0.06325601252312511,1985-05-30T09:54:00,4.0,0.0,735.0,137.0,Rhone_Water_Downstream,1935.0,196.0,4,66.0,573.0,30.0,5,926.0,90.1443287178955,326.0,30.408882,
1_1_LT05_196030_19850615,35.0,123.344185,610.0,0.03756937526682796,1985-06-15T09:53:58,4.0,0.0,826.0,135.0,Rhone_Water_Downstream,2327.0,196.0,4,66.0,685.0,30.0,5,1191.0,84.55582475501022,600.0,29.702427,
1_1_LT05_196030_19850701,21.0,122.441811,,0.2016586815932199,1985-07-01T09:53:54,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,30.40134,
1_1_LT05_196030_19850802,0.0,127.887268,411.0,0.0,1985-08-02T09:53:40,4.0,1.7320508075688772,623.0,153.0,Rhone_Water_Downstream,2498.0,196.0,4,66.0,433.0,30.0,5,1109.0,106.43542643311953,527.0,34.947666,
1_1_LT05_196030_19850818,0.0,133.126434,397.0,0.03535569153898455,1985-08-18T09:53:30,4.0,1.7320508075688772,594.0,164.0,Rhone_Water_Downstream,2461.0,196.0,4,66.0,430.0,30.0,5,1054.0,109.05732437576121,553.0,38.46336,
1_1_LT05_196030_19850903,45.0,138.922028,,0.44984425153771956,1985-09-03T09:53:19,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,42.679077,
1_1_LT05_196030_19851106,37.0,155.052582,480.0,0.12721566023117187,1985-11-06T09:52:32,4.0,0.0,538.0,230.0,Rhone_Water_Downstream,1383.0,196.0,2,66.0,517.0,30.0,5,1168.0,131.0,607.0,62.857735,
1_1_LT05_196030_19851122,48.0,155.823624,1422.0,0.9204496940372847,1985-11-22T09:52:16,0.0,0.0,1518.0,235.0,Rhone_Water_Downstream,1562.0,196.0,42,66.0,1411.0,30.0,5,1757.0,172.2647217329818,1712.0,66.9897,
1_1_LT05_196030_19851208,95.0,155.29837,,1.0,1985-12-08T09:51:58,,,,,Rhone_Water_Downstream,,196.0,0,,,30.0,5,,,,69.874725,
