system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_214067_19840610,21.0,46.519009,511.00000000000006,0.0,1984-06-10T11:58:05,4.0,1.998481460952867,985.9513910119231,191.00000000000003,Sao_Land_Midstream,2464.2115027829313,214.0,154,66.0,945.8779648048967,67.0,5,1014.0000000000001,521.8367560594985,407.0,48.546127,
1_1_LT05_214067_19840930,14.0,80.215546,,1.0,1984-09-30T11:59:58,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,33.955833,
1_1_LT05_214067_19841219,8.0,116.164658,768.0,0.0,1984-12-19T11:59:59,0.0,0.0,1167.0,150.0,Sao_Land_Midstream,2999.000000000001,214.0,210,66.0,1437.0,67.0,5,3572.0,364.6365475566847,2236.9999999999995,36.039135,
1_1_LT05_214067_19850205,12.0,102.760902,,1.0,1985-02-05T12:00:17,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,38.651665,
1_1_LT05_214067_19860515,12.0,51.140099,619.0,0.9934511627906977,1986-05-15T11:54:31,0.0,,1119.0,,Sao_Land_Midstream,3491.0,214.0,0,66.0,1108.0,67.0,5,1730.0,,706.0,46.096363,
1_1_LT05_214067_19860531,32.0,48.145576,414.0,0.0,1986-05-31T11:54:04,4.0,1.92950555577088,837.9999999999999,190.0,Sao_Land_Midstream,2263.0,214.0,152,66.0,653.0,67.0,5,978.0,421.806635529846,407.0,48.247364,
1_1_LT05_214067_19860616,24.0,47.301075,283.0,0.0,1986-06-16T11:53:34,4.0,0.0,458.0,198.0,Sao_Land_Midstream,1528.0,214.0,19,66.0,311.0,67.0,5,527.0,126.50873421940086,221.0,49.763401,
1_1_LT05_214067_19860718,20.0,50.927197,404.72204266321916,0.0,1986-07-18T11:52:30,0.0,1.8622455470502943,723.0,194.00000000000003,Sao_Land_Midstream,3201.0,214.0,170,66.0,587.0,67.0,5,1626.0,368.97128853707017,663.9999999999999,49.609577,
1_1_LT05_214067_19860803,39.0,54.907166,,1.0,1986-08-03T11:51:56,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,47.755547,
1_1_LT05_214067_19860819,10.0,60.189785,382.0,0.0,1986-08-19T11:51:21,0.0,0.8972511510140212,725.0,180.0,Sao_Land_Midstream,3706.0,214.0,207,66.0,566.0464227198252,67.0,5,1888.0000000000005,250.95888176179503,859.0,44.929565,
1_1_LT05_214067_19860920,42.0,75.009239,436.7800593765462,0.0,1986-09-20T11:50:15,0.0,0.5467695274059933,805.9999999999999,158.0,Sao_Land_Midstream,3475.287779237845,214.0,210,66.0,594.0,67.0,5,1666.0,320.3059925897253,716.0000000000001,38.172619,
1_1_LT05_214067_19870211,16.0,99.903496,796.4141358365544,0.1501209302325582,1987-02-11T11:50:31,0.0,0.0,1239.0,167.0,Sao_Land_Midstream,3150.6025917926568,214.0,177,66.0,1312.0000000000002,67.0,5,3464.3768458357945,332.63630944395754,2017.0,41.000904,
1_1_LT05_214067_19870502,40.0,55.642338,538.0,0.5663255813953492,1987-05-02T11:53:19,4.0,0.9411764705882354,910.0,179.0,Sao_Land_Midstream,2076.0,214.0,68,66.0,731.0,67.0,5,938.0,312.469940422787,464.0,44.458679,
1_1_LT05_214067_19870603,19.0,47.797882,,1.0,1987-06-03T11:54:10,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,48.523285,
1_1_LT05_214067_19870907,12.0,67.245323,,1.0,1987-09-07T11:56:31,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,39.612312,
1_1_LT05_214067_19880520,48.0,48.65535,,1.0,1988-05-20T12:00:17,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,45.759998,
1_1_LT05_214067_19880605,24.0,46.341496,434.9418558343289,0.0,1988-06-05T12:00:23,4.0,1.9994192798948431,837.949531481177,189.0,Sao_Land_Midstream,2489.0,214.0,166,66.0,696.9999999999999,67.0,5,1089.0,416.7859850108867,491.0,47.683746,
1_1_LT05_214067_19880621,20.0,46.10854,388.00000000000006,0.0,1988-06-21T12:00:28,0.0,1.994742090908435,765.0,192.0,Sao_Land_Midstream,2585.5448717948716,214.0,138,66.0,666.9999999999999,67.0,5,1527.0,489.6846513430604,604.0000000000002,48.790756,
1_1_LT05_214067_19890115,13.0,111.308594,,1.0,1989-01-15T11:59:59,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,38.318367,
1_1_LT05_214067_19890304,20.0,87.513237,844.5850515463918,0.0,1989-03-04T11:59:33,0.0,0.0,1241.0000000000002,159.0,Sao_Land_Midstream,2657.4038004750596,214.0,210,66.0,1500.1181102362204,67.0,5,3547.1554145899413,316.8071281751491,2448.692954784438,38.696136,
1_1_LT05_214067_19890421,26.0,59.09153,,1.0,1989-04-21T11:58:45,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,41.905586,
1_1_LT05_214067_19890523,19.0,48.513565,393.0,0.0,1989-05-23T11:58:16,0.0,1.9947420909084352,839.0,185.0,Sao_Land_Midstream,2549.8806983511154,214.0,207,66.0,582.6106870229008,67.0,5,1099.066946705172,254.61010145786017,435.99999999999994,46.502296,
1_1_LT05_214067_19900118,28.0,109.937958,,1.0,1990-01-18T11:52:15,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,40.227612,
1_1_LT05_214067_19900323,12.0,76.704803,,1.0,1990-03-23T11:50:07,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,41.371922,
1_1_LT05_214067_19900408,35.0,67.387283,650.0,0.7442046511627908,1990-04-08T11:49:59,4.0,1.4743980212957684,871.0,171.5,Sao_Land_Midstream,1865.0,214.0,37,66.0,740.0,67.0,5,965.0,526.7251082528611,518.0,42.388969,
1_1_LT05_214067_19900510,42.0,53.380356,,1.0,1990-05-10T11:50:06,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,46.240963,
1_1_LT05_214067_19900611,8.0,48.010517,434.6200731409996,0.0,1990-06-11T11:50:02,0.0,0.9639299755337138,761.9999999999999,195.0,Sao_Land_Midstream,2714.885910901847,214.0,210,66.0,700.7651733271912,67.0,5,2056.858725761773,391.3807121998809,1020.4879194630873,50.044388,
1_1_LT05_214067_19901220,9.0,115.116699,,1.0,1990-12-20T11:49:24,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,38.520489,
1_1_LT05_214067_19910411,35.0,65.649529,,1.0,1991-04-11T11:51:42,,,,,Sao_Land_Midstream,,214.0,0,,,67.0,5,,,,42.270012,
1_1_LT05_214067_19910801,17.0,54.09322,895.0,0.5296186046511631,1991-08-01T11:53:19,0.0,1.7927476387038481,1120.9999999999998,189.0,Sao_Land_Midstream,2704.0,214.0,97,66.0,905.0000000000001,67.0,5,1278.0,280.6846964483076,582.0,47.842163,
