system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_214067_19840610,21.0,46.519009,468.1874163319946,0.0,1984-06-10T11:58:05,0.0,0.7161039445754541,846.8766241957867,191.0,Sao_Land_Upstream,3493.0274813233727,214.0,181,66.0,741.0,67.0,5,2478.9999999999995,414.9498050855244,1218.0,48.546127,
1_1_LT05_214067_19840930,14.0,80.215546,,1.0,1984-09-30T11:59:58,,,,,Sao_Land_Upstream,,214.0,0,,,67.0,5,,,,33.955833,
1_1_LT05_214067_19841219,8.0,116.164658,525.3351800554017,0.21193880655395717,1984-12-19T11:59:59,0.0,1.8029455367810745,785.7228714524207,150.0,Sao_Land_Upstream,2334.5,214.0,134,66.0,804.1428571428571,67.0,5,2203.0,998.2690593124554,1332.5,36.039135,
1_1_LT05_214067_19850205,12.0,102.760902,930.8810946838629,0.2714807249337216,1985-02-05T12:00:17,0.0,0.3481451679692024,1259.0,159.0,Sao_Land_Upstream,3282.5,214.0,131,66.0,1506.8430769230768,67.0,5,4517.5,1067.7141757501568,2881.6436170212764,38.651665,
1_1_LT05_214067_19860515,12.0,51.140099,464.0,0.9988700073884131,1986-05-15T11:54:31,0.0,,710.0,,Sao_Land_Upstream,3446.0,214.0,0,66.0,591.0,67.0,5,1698.0,,659.0,46.096363,
1_1_LT05_214067_19860531,32.0,48.145576,356.0,0.0,1986-05-31T11:54:04,0.0,0.0,702.6970036404367,190.0,Sao_Land_Upstream,3577.8314870762006,214.0,180,66.0,534.9999999999999,67.0,5,1872.1538461538462,243.75499083209726,787.0000000000001,48.247364,
1_1_LT05_214067_19860616,24.0,47.301075,,1.0,1986-06-16T11:53:34,,,,,Sao_Land_Upstream,,214.0,0,,,67.0,5,,,,49.763401,
1_1_LT05_214067_19860718,20.0,50.927197,385.0,0.0,1986-07-18T11:52:30,0.0,0.0,677.9865682656826,193.99999999999997,Sao_Land_Upstream,3195.537101449276,214.0,180,66.0,588.3237285193543,67.0,5,2103.0,240.8475840971462,908.7555220883532,49.609577,
1_1_LT05_214067_19860803,39.0,54.907166,,1.0,1986-08-03T11:51:56,,,,,Sao_Land_Upstream,,214.0,0,,,67.0,5,,,,47.755547,
1_1_LT05_214067_19860819,10.0,60.189785,476.92034983601434,0.0,1986-08-19T11:51:21,0.0,0.5093024275277569,765.1959378733571,180.0,Sao_Land_Upstream,2992.3687102371314,214.0,182,66.0,790.4811698717949,67.0,5,2811.389016018307,491.5351362335712,1562.0,44.929565,
1_1_LT05_214067_19860920,42.0,75.009239,,1.0,1986-09-20T11:50:15,,,,,Sao_Land_Upstream,,214.0,0,,,67.0,5,,,,38.172619,
1_1_LT05_214067_19870211,16.0,99.903496,647.0,0.0,1987-02-11T11:50:31,0.0,1.1941167215126263,970.0,167.0,Sao_Land_Upstream,3281.1800211789628,214.0,182,66.0,937.9999999999999,67.0,5,3089.0,958.534045741617,1668.9999999999998,41.000904,
1_1_LT05_214067_19870502,40.0,55.642338,,1.0,1987-05-02T11:53:19,,,,,Sao_Land_Upstream,,214.0,0,,,67.0,5,,,,44.458679,
1_1_LT05_214067_19870603,19.0,47.797882,518.0,0.7239775739927854,1987-06-03T11:54:10,0.0,0.0,891.0,191.0,Sao_Land_Upstream,3633.0,214.0,48,66.0,742.0,67.0,5,2739.0,566.3600116184199,1360.0,48.523285,
1_1_LT05_214067_19870907,12.0,67.245323,,1.0,1987-09-07T11:56:31,,,,,Sao_Land_Upstream,,214.0,0,,,67.0,5,,,,39.612312,
1_1_LT05_214067_19880520,48.0,48.65535,,1.0,1988-05-20T12:00:17,,,,,Sao_Land_Upstream,,214.0,0,,,67.0,5,,,,45.759998,
1_1_LT05_214067_19880605,24.0,46.341496,392.8164479707049,0.0,1988-06-05T12:00:23,0.0,0.295684044990631,793.0,188.99999999999997,Sao_Land_Upstream,3624.0000000000005,214.0,182,66.0,578.0,67.0,5,2091.379562043796,282.89939104040593,955.0000000000002,47.683746,
1_1_LT05_214067_19880621,20.0,46.10854,416.3053711526855,0.12338650093441696,1988-06-21T12:00:28,0.0,1.5884941207140246,756.2217372326495,191.99999999999997,Sao_Land_Upstream,3340.592678675189,214.0,158,66.0,618.2082093991671,67.0,5,2237.178743961352,516.4110621147727,1087.0,48.790756,
1_1_LT05_214067_19890115,13.0,111.308594,737.5190677966101,0.6375766004606894,1989-01-15T11:59:59,0.0,0.9612614985731267,1124.3904382470118,157.0,Sao_Land_Upstream,3291.5319888734357,214.0,65,66.0,1109.0,67.0,5,3468.0,738.2704592531904,1984.9999999999998,38.318367,
1_1_LT05_214067_19890304,20.0,87.513237,684.0,0.0,1989-03-04T11:59:33,0.0,0.41700364749473134,1020.2448783610756,159.0,Sao_Land_Upstream,2823.0,214.0,182,66.0,1211.0,67.0,5,3584.200626959248,833.9123185392287,2380.836751435603,38.696136,
