system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_201036_19840615,13.0,106.029594,1166.0,0.0,1984-06-15T10:25:28,0.0,0.0,1612.0000000000005,119.0,Sebou_Land_Downstream,2548.0,201.0,93,66.0,1769.9999999999998,36.0,5,2541.0,208.41301868358522,1897.9999999999998,27.866833,
1_1_LT05_201036_19840717,2.0,108.576202,981.0000000000001,0.0,1984-07-17T10:25:57,0.0,0.0,1458.9999999999998,128.0,Sebou_Land_Downstream,2589.0000000000005,201.0,93,66.0,1660.9999999999998,36.0,5,2872.0,352.46102933469956,2269.0,30.038567,
1_1_LT05_201036_19840818,4.0,121.357437,913.0,0.0077169604453065695,1984-08-18T10:27:02,0.0,0.4147561745291068,1267.0,145.0,Sebou_Land_Downstream,2211.0,201.0,92,66.0,1376.9999999999998,36.0,5,2412.0,287.14797199590447,1741.0,34.635464,
1_1_LT05_201036_19840903,5.0,129.212036,946.0,0.9996626465379101,1984-09-03T10:27:14,0.0,,1357.0,,Sebou_Land_Downstream,1958.0,201.0,0,66.0,1471.0,36.0,5,2042.0,,1352.0,37.920685,
1_1_LT05_201036_19841021,42.0,147.960129,,1.0,1984-10-21T10:27:13,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,51.226589,
1_1_LT05_201036_19850602,76.0,109.220016,802.0,0.0,1985-06-02T10:27:17,0.0,1.9408616937200398,1226.0,118.0,Sebou_Land_Downstream,2094.0,201.0,87,66.0,1274.0,36.0,5,1968.0000000000002,424.1117479380493,1156.0,27.598175,
1_1_LT05_201036_19850704,0.0,106.310387,882.0,0.0,1985-07-04T10:27:10,0.0,0.0,1335.0000000000005,122.0,Sebou_Land_Downstream,2494.0,201.0,93,66.0,1461.9999999999998,36.0,5,2606.0,433.530480247623,1909.0,28.551796,
1_1_LT05_201036_19850805,3.0,115.409416,1272.0,0.9994939698068651,1985-08-05T10:26:55,0.0,,1747.0,,Sebou_Land_Downstream,2501.0,201.0,0,66.0,1995.0,36.0,5,3053.0,,2414.0,32.328594,
1_1_LT05_201036_19850821,2.0,122.72068,938.0,0.0,1985-08-21T10:26:45,0.0,0.41254464716668554,1269.0000000000002,147.0,Sebou_Land_Downstream,1857.0000000000002,201.0,93,66.0,1382.0,36.0,5,1970.0,529.3905670944806,1249.0,35.108257,
1_1_LT05_201036_19850922,11.0,137.730835,958.9999999999999,0.05777178038289616,1985-09-22T10:26:21,0.0,1.3426204816646687,1268.0,173.0,Sebou_Land_Downstream,1810.0,201.0,85,66.0,1407.9999999999998,36.0,5,2107.0,321.02860763554247,1331.0,42.712925,
1_1_LT05_201036_19851008,0.0,143.79274,740.0,0.0,1985-10-08T10:26:12,0.0,0.0,1107.0,188.0,Sebou_Land_Downstream,1667.0,201.0,91,66.0,1225.0000000000002,36.0,5,2372.0,337.9055048049897,1725.0,47.353657,
1_1_LT05_201036_19851024,21.0,148.264893,941.9999999999999,0.0,1985-10-24T10:26:01,0.0,1.6563906533113646,1244.0,201.0,Sebou_Land_Downstream,1590.9999999999998,201.0,91,66.0,1285.0,36.0,5,1903.9999999999998,221.95544113196706,1135.0000000000002,52.193714,
1_1_LT05_201036_19851109,0.0,150.991135,791.0,0.0,1985-11-09T10:25:47,0.0,0.7465991992688996,1171.0,213.0,Sebou_Land_Downstream,1779.0,201.0,83,66.0,1352.9999999999998,36.0,5,2494.9999999999995,377.56620047103405,1959.0,56.780891,
1_1_LT05_201036_19860112,24.0,147.23027,,1.0,1986-01-12T10:24:36,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,63.693119,
1_1_LT05_201036_19860520,70.0,111.785049,,1.0,1986-05-20T10:21:42,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,29.724541,
1_1_LT05_201036_19860605,9.0,106.760109,,1.0,1986-06-05T10:21:13,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,28.76857,
1_1_LT05_201036_19860621,77.0,104.321808,,1.0,1986-06-21T10:20:43,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,29.076248,
1_1_LT05_201036_19860707,3.0,104.94136,1270.0,0.5440667959854938,1986-07-07T10:20:11,0.0,0.0,1728.0,128.0,Sebou_Land_Downstream,2483.0,201.0,43,66.0,1907.0,36.0,5,3344.0,168.13432074001977,2850.0,30.228016,
1_1_LT05_201036_19860808,7.0,114.404846,,1.0,1986-08-08T10:19:04,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,34.250477,
1_1_LT05_201036_19860824,1.0,121.602272,813.0,0.0,1986-08-24T10:18:28,0.0,1.6127598502582945,1199.0,154.0,Sebou_Land_Downstream,1784.9999999999998,201.0,93,66.0,1290.0,36.0,5,1925.0000000000005,295.31086442623047,1144.0,37.099804,
1_1_LT05_201036_19860909,1.0,129.149429,809.0000000000001,0.0,1986-09-09T10:17:53,0.0,1.7951515487921899,1204.9999999999998,166.0,Sebou_Land_Downstream,1784.0,201.0,93,66.0,1300.0,36.0,5,1890.9999999999998,537.189126570981,1122.9999999999998,40.612007,
1_1_LT05_201036_19860925,13.0,136.159592,811.0,0.2754491017964072,1986-09-25T10:17:24,0.0,0.6758308995927093,1165.0000000000002,180.0,Sebou_Land_Downstream,1691.0,201.0,68,66.0,1240.0000000000002,36.0,5,1975.0,136.26089048885802,1131.0,44.752426,
1_1_LT05_201036_19861027,4.0,146.196442,936.0,0.9606983216665261,1986-10-27T10:16:20,0.0,0.0,1159.0,202.0,Sebou_Land_Downstream,1664.0,201.0,3,66.0,1260.0,36.0,5,2235.0,28.5812681469644,1540.0,54.114536,
1_1_LT05_201036_19870421,97.0,122.493752,,1.0,1987-04-21T10:20:18,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,35.67453,
1_1_LT05_201036_19870507,1.0,116.655693,966.0,0.0,1987-05-07T10:20:46,0.0,0.0,1417.0,134.0,Sebou_Land_Downstream,2302.0,201.0,61,66.0,1588.0,36.0,5,2864.0,599.3255723132417,2263.0,31.832775,
1_1_LT05_201036_19880219,15.0,140.445709,,1.0,1988-02-19T10:26:50,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,55.310802,
1_1_LT05_201036_19880306,0.0,137.057846,698.6890243902438,0.0,1988-03-06T10:27:00,4.0,1.9483443703924515,1082.748171368861,195.0,Sebou_Land_Downstream,1795.9999999999998,201.0,93,66.0,1091.0,36.0,5,1607.0,211.02529604156425,941.9999999999999,49.9231,
1_1_LT05_201036_19880423,21.0,123.614281,,1.0,1988-04-23T10:27:20,,,,,Sebou_Land_Downstream,,201.0,0,,,36.0,5,,,,33.686993,
1_1_LT05_201036_19880509,29.0,117.557007,1116.0,0.0,1988-05-09T10:27:30,0.0,1.1215832094972298,1469.0,128.0,Sebou_Land_Downstream,2277.0000000000005,201.0,93,66.0,1594.9999999999998,36.0,5,2275.0,606.0225148232165,1717.0,30.078094,
1_1_LT05_201036_19880525,12.0,111.625031,1204.2018706157444,0.0,1988-05-25T10:27:37,0.0,0.0,1798.0,120.0,Sebou_Land_Downstream,2832.0,201.0,91,66.0,1983.9999999999995,36.0,5,3387.0,721.0325903710936,2845.0000000000005,27.987278,
