system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_205049_19840408,19.0,100.800987,,1.0,1984-04-08T10:54:13,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,33.64679,
1_1_LT05_205049_19840510,9.0,81.907005,,1.0,1984-05-10T10:54:31,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,30.436039,
1_1_LT05_205049_19840611,29.0,71.528854,1739.0000000000014,0.0,1984-06-11T10:55:18,0.0,0.0,2569.9999999999995,133.0,Senegal_Water_Downstream,3109.0,205.0,554,66.0,2927.0000000000005,49.0,5,2906.0,75.73083207135748,2422.0,31.353046,
1_1_LT05_205049_19840830,30.0,98.715271,,0.8373403774437798,1984-08-30T10:57:07,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,32.364166,
1_1_LT05_205049_19840915,47.0,109.988007,,1.0,1984-09-15T10:57:10,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,33.155483,
1_1_LT05_205049_19841001,27.0,120.885468,1173.0,0.18326223302068048,1984-10-01T10:57:11,4.0,,1802.0,,Senegal_Water_Downstream,2130.0,205.0,0,66.0,2099.0,49.0,5,1441.0,,930.0,35.003902,
1_1_LT05_205049_19841017,4.0,130.050949,1149.0,0.02053198101480395,1984-10-17T10:57:08,4.0,,1855.0,,Senegal_Water_Downstream,2187.0,205.0,0,66.0,2185.0,49.0,5,1483.0,,975.0,37.863956,
1_1_LT05_205049_19841118,29.0,140.596069,886.0,0.2218188495875243,1984-11-18T10:56:56,0.0,,1473.0,,Senegal_Water_Downstream,2021.0,205.0,0,66.0,1684.0,49.0,5,1819.0,,1373.0,44.918812,
1_1_LT05_205049_19841204,16.0,142.002121,,0.999442027347723,1984-12-04T10:57:02,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,47.941727,
1_1_LT05_205049_19850121,0.0,135.06044,651.0,0.0,1985-01-21T10:57:26,0.0,,1026.0,,Senegal_Water_Downstream,1120.0,205.0,0,68.0,1198.0,49.0,5,1411.0,,1063.0,49.485119,
1_1_LT05_205049_19850206,0.0,130.198166,896.0,0.0,1985-02-06T10:57:29,0.0,,1320.0,,Senegal_Water_Downstream,1385.0,205.0,0,66.0,1450.0,49.0,5,1360.0,,1001.0,47.086525,
1_1_LT05_205049_19860108,52.0,137.652298,1132.0,0.4786416544242293,1986-01-08T10:54:35,4.0,,1493.0,,Senegal_Water_Downstream,1512.0,205.0,0,66.0,1577.0,49.0,5,1355.0,,959.0,50.885609,
1_1_LT05_205049_19860124,33.0,133.600052,817.0,0.3371002373149511,1986-01-24T10:54:15,0.0,,1327.0,,Senegal_Water_Downstream,1539.0,205.0,0,66.0,1461.0,49.0,5,1156.0,,1136.0,49.743679,
1_1_LT05_205049_19860209,0.0,128.493973,752.0,0.0,1986-02-09T10:53:53,4.0,,1180.0,,Senegal_Water_Downstream,1355.0,205.0,0,66.0,1252.0,49.0,5,1429.0,,929.0,47.245316,
1_1_LT05_205049_19860225,3.0,122.384895,1104.0,0.055754887557916195,1986-02-25T10:53:31,4.0,0.0,1397.0,176.0,Senegal_Water_Downstream,1081.0,205.0,1,68.0,1207.0,49.0,5,1134.0,0.0,799.0,43.752338,
1_1_LT05_205049_19860430,23.0,87.602463,846.0,0.0,1986-04-30T10:52:08,4.0,0.0,1231.0,,Senegal_Water_Downstream,1513.0,205.0,2,66.0,1409.0,49.0,5,1003.0,36.0,637.0,31.528091,
1_1_LT05_205049_19861007,17.0,121.81234,,0.0,1986-10-07T10:46:55,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,37.925114,
1_1_LT05_205049_19861023,0.0,129.849121,,0.0,1986-10-23T10:46:23,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,40.992878,
1_1_LT05_205049_19870111,0.0,135.43425,615.0,0.0,1987-01-11T10:46:40,4.0,,1102.0,,Senegal_Water_Downstream,1252.0,205.0,0,66.0,1271.0,49.0,5,1119.0,,790.0,52.074116,
1_1_LT05_205049_19870127,0.0,131.400558,847.0,0.0,1987-01-27T10:47:07,0.0,,1284.0,,Senegal_Water_Downstream,1690.0,205.0,0,66.0,1427.0,49.0,5,1910.0,,1222.0,50.604195,
1_1_LT05_205049_19870417,31.0,95.316467,1351.0,0.0,1987-04-17T10:50:04,0.0,0.378286986207357,1972.9999999999995,140.0,Senegal_Water_Downstream,2158.9999999999995,205.0,554,66.0,2125.0000000000005,49.0,5,2000.0,64.44882533407714,1616.9999999999998,33.31385,
1_1_LT05_205049_19870503,46.0,85.96553,,1.0,1987-05-03T10:50:33,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,31.696457,
1_1_LT05_205049_19870807,18.0,84.002678,,1.0,1987-08-07T10:52:53,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,33.121269,
1_1_LT05_205049_19870908,61.0,104.012733,,1.0,1987-09-08T10:53:45,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,33.26313,
1_1_LT05_205049_19870924,12.0,115.175285,,0.0,1987-09-24T10:54:07,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,34.497417,
1_1_LT05_205049_19871010,27.0,125.287605,,0.06342524579048486,1987-10-10T10:54:26,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,36.808804,
1_1_LT05_205049_19871213,12.0,141.510101,810.0,0.0,1987-12-13T10:55:35,0.0,,1315.0,,Senegal_Water_Downstream,1772.0,205.0,0,66.0,1452.0,49.0,5,1345.0,,1144.0,49.351158,
1_1_LT05_205049_19880708,12.0,72.99044,897.0,0.0,1988-07-08T10:57:44,0.0,,1349.0,,Senegal_Water_Downstream,1495.0,205.0,0,66.0,1457.0,49.0,5,1287.0,,1146.0,31.970226,
1_1_LT05_205049_19880809,1.0,85.655357,,0.0,1988-08-09T10:57:46,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,31.988552,
1_1_LT05_205049_19880825,66.0,95.469315,,1.0,1988-08-25T10:57:51,,,,,Senegal_Water_Downstream,,205.0,0,,,49.0,5,,,,31.958946,
