system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_205049_19840408,19.0,100.800987,2193.0,0.545684019158829,1984-04-08T10:54:13,0.0,0.6098213559459856,2913.9999999999995,141.0,Senegal_Water_Upstream,3433.0,205.0,252,130.0,3288.176592797784,49.0,5,3828.110917790344,628.3432830486496,3403.0,33.64679,
1_1_LT05_205049_19840510,9.0,81.907005,1152.0,0.0,1984-05-10T10:54:31,0.0,1.5496367398945028,1825.9999999999998,135.0,Senegal_Water_Upstream,2451.0,205.0,87,66.0,2190.8976558033164,49.0,5,2835.0,669.5168206652115,2274.0,30.436039,
1_1_LT05_205049_19840611,29.0,71.528854,1774.0,0.0,1984-06-11T10:55:18,0.0,0.0,2782.0000000000005,133.0,Senegal_Water_Upstream,3834.000000000001,205.0,560,66.0,3403.0000000000005,49.0,5,4352.999999999999,81.45556176669844,3760.9999999999995,31.353046,
1_1_LT05_205049_19840830,30.0,98.715271,,1.0,1984-08-30T10:57:07,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,32.364166,
1_1_LT05_205049_19840915,47.0,109.988007,,1.0,1984-09-15T10:57:10,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,33.155483,
1_1_LT05_205049_19841001,27.0,120.885468,1360.0000000000002,0.0,1984-10-01T10:57:11,4.0,1.165922381636102,2202.0,145.99999999999997,Senegal_Water_Upstream,2165.093935922545,205.0,256,66.0,2634.9999999999995,49.0,5,1743.9999999999998,119.64897567623007,1327.0,35.003902,
1_1_LT05_205049_19841017,4.0,130.050949,1280.0,0.0,1984-10-17T10:57:08,0.0,1.7320508075688772,2063.0,155.0,Senegal_Water_Upstream,2488.0,205.0,24,66.0,2523.0,49.0,5,1895.0,198.4492964560184,1414.0,37.863956,
1_1_LT05_205049_19841118,29.0,140.596069,820.0,0.0,1984-11-18T10:56:56,4.0,0.0,1247.0,171.0,Senegal_Water_Upstream,1733.0,205.0,3,66.0,1312.0,49.0,5,1252.0,140.43820309619812,804.0,44.918812,
1_1_LT05_205049_19841204,16.0,142.002121,857.0,0.0,1984-12-04T10:57:02,0.0,1.9876159799998132,1401.0,186.0,Senegal_Water_Upstream,1867.0,205.0,9,66.0,1488.0,49.0,5,1526.0,132.15068092573713,1080.0,47.941727,
1_1_LT05_205049_19850121,0.0,135.06044,755.0,0.0,1985-01-21T10:57:26,4.0,0.0,1197.0,194.0,Senegal_Water_Upstream,1652.0,205.0,5,66.0,1274.0,49.0,5,1233.0,73.08351387282907,806.0,49.485119,
1_1_LT05_205049_19850206,0.0,130.198166,1049.0,0.0,1985-02-06T10:57:29,0.0,1.7916128329552332,1677.0,187.0,Senegal_Water_Upstream,1967.0,205.0,18,66.0,1942.0,49.0,5,1647.0,185.24698228161355,1247.0,47.086525,
1_1_LT05_205049_19860108,52.0,137.652298,,1.0,1986-01-08T10:54:35,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,50.885609,
1_1_LT05_205049_19860124,33.0,133.600052,1452.0,0.5856168933328669,1986-01-24T10:54:15,0.0,1.6629588385661962,2037.0,193.0,Senegal_Water_Upstream,2583.0,205.0,9,66.0,2275.0,49.0,5,1905.0,171.02357068075472,1394.0,49.743679,
1_1_LT05_205049_19860209,0.0,128.493973,869.0,0.0,1986-02-09T10:53:53,4.0,0.0,1422.0,188.0,Senegal_Water_Upstream,2109.0,205.0,5,66.0,1536.0,49.0,5,1457.0,124.02032091556549,929.0,47.245316,
1_1_LT05_205049_19860225,3.0,122.384895,804.0,0.0,1986-02-25T10:53:31,4.0,0.0,1322.0,177.0,Senegal_Water_Upstream,2069.0,205.0,6,66.0,1472.0,49.0,5,1322.0,117.90733178597925,876.0,43.752338,
1_1_LT05_205049_19860430,23.0,87.602463,,1.0,1986-04-30T10:52:08,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,31.528091,
1_1_LT05_205049_19861007,17.0,121.81234,1308.0,0.0,1986-10-07T10:46:55,4.0,0.0,1916.0,160.0,Senegal_Water_Upstream,2255.0,205.0,4,66.0,2178.0,49.0,5,1528.0,18.384776310850235,1099.0,37.925114,
1_1_LT05_205049_19861023,0.0,129.849121,909.0,0.0,1986-10-23T10:46:23,4.0,,1455.0,,Senegal_Water_Upstream,1789.0,205.0,0,66.0,1652.0,49.0,5,1261.0,,795.0,40.992878,
1_1_LT05_205049_19870111,0.0,135.43425,726.0,0.0,1987-01-11T10:46:40,4.0,0.0,1239.0,199.0,Senegal_Water_Upstream,1940.0,205.0,1,66.0,1314.0,49.0,5,1246.0,0.0,702.0,52.074116,
1_1_LT05_205049_19870127,0.0,131.400558,1014.0,0.0,1987-01-27T10:47:07,4.0,2.0,1544.0,196.0,Senegal_Water_Upstream,1873.0,205.0,2,66.0,1694.0,49.0,5,1354.0,31.5,869.0,50.604195,
1_1_LT05_205049_19870417,31.0,95.316467,1528.0,0.0,1987-04-17T10:50:04,0.0,0.0,2418.592427048939,140.00000000000006,Senegal_Water_Upstream,2807.000000000002,205.0,560,66.0,2842.0000000000005,49.0,5,2802.0000000000005,88.65715602124821,2253.4781510924463,33.31385,
1_1_LT05_205049_19870503,46.0,85.96553,1637.0,0.0,1987-05-03T10:50:33,0.0,1.42828568570857,2405.0000000000027,134.00000000000003,Senegal_Water_Upstream,2473.0000000000014,205.0,560,66.0,2713.0000000000005,49.0,5,2386.0000000000005,118.16813243138608,1809.0000000000005,31.696457,
1_1_LT05_205049_19870807,18.0,84.002678,990.0,0.0,1987-08-07T10:52:53,0.0,1.9686118271390012,1468.0,147.0,Senegal_Water_Upstream,1698.0,205.0,17,66.0,1471.0,49.0,5,1605.0,266.9366395798317,1047.0,33.121269,
1_1_LT05_205049_19870908,61.0,104.012733,,1.0,1987-09-08T10:53:45,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,33.26313,
1_1_LT05_205049_19870924,12.0,115.175285,1044.0,0.0,1987-09-24T10:54:07,4.0,0.0,1663.0,147.0,Senegal_Water_Upstream,2165.0,205.0,2,66.0,1915.0,49.0,5,1261.0,25.0,784.0,34.497417,
1_1_LT05_205049_19871010,27.0,125.287605,1581.0,0.0,1987-10-10T10:54:26,4.0,1.9078784028338915,2410.0,153.0,Senegal_Water_Upstream,2787.0,205.0,20,66.0,2771.0,49.0,5,1990.0,51.07922767622862,1468.0,36.808804,
1_1_LT05_205049_19871213,12.0,141.510101,855.0,0.0,1987-12-13T10:55:35,4.0,0.0,1322.0,193.0,Senegal_Water_Upstream,1953.0,205.0,5,66.0,1494.0,49.0,5,1470.0,108.6984820501195,889.0,49.351158,
1_1_LT05_205049_19880708,12.0,72.99044,1200.0,0.0,1988-07-08T10:57:44,0.0,2.0,1876.0,142.0,Senegal_Water_Upstream,2007.0,205.0,18,66.0,2045.0,49.0,5,1861.0,259.7540443963233,1320.0,31.970226,
1_1_LT05_205049_19880809,1.0,85.655357,1183.0,0.0,1988-08-09T10:57:46,0.0,0.0,1870.0,143.0,Senegal_Water_Upstream,2350.0,205.0,1,66.0,2125.0,49.0,5,1544.0,0.0,1021.0,31.988552,
1_1_LT05_205049_19880825,66.0,95.469315,,1.0,1988-08-25T10:57:51,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,31.958946,
1_1_LT05_205049_19881012,2.0,127.638832,1003.0,0.0,1988-10-12T10:57:37,0.0,0.0,1627.0,152.0,Senegal_Water_Upstream,2184.0,205.0,1,66.0,1792.0,49.0,5,1256.0,0.0,706.0,36.729431,
1_1_LT05_205049_19881113,17.0,139.773773,935.0,0.0,1988-11-13T10:57:39,4.0,0.0,1404.0,175.0,Senegal_Water_Upstream,1890.0,205.0,2,66.0,1549.0,49.0,5,1470.0,14.5,900.0,43.801697,
1_1_LT05_205049_19881129,0.0,141.87439,796.0,0.0,1988-11-29T10:57:39,4.0,0.0,1299.0,186.0,Senegal_Water_Upstream,1830.0,205.0,4,66.0,1358.0,49.0,5,1265.0,66.06578161196612,769.0,47.083458,
1_1_LT05_205049_19890913,2.0,107.701088,770.0,0.0,1989-09-13T10:52:58,4.0,,1327.0,,Senegal_Water_Upstream,1904.0,205.0,0,66.0,1492.0,49.0,5,1107.0,,675.0,33.825741,
1_1_LT05_205049_19890929,0.0,118.437881,1078.0,0.0,1989-09-29T10:52:47,0.0,1.8856180831641267,1751.0,150.0,Senegal_Water_Upstream,2085.0,205.0,3,66.0,1993.0,49.0,5,1464.0,31.899146627388937,998.0,35.574345,
1_1_LT05_205049_19891015,0.0,127.655815,1005.0,0.0,1989-10-15T10:52:13,0.0,2.0,1606.0,159.0,Senegal_Water_Upstream,1907.0,205.0,4,66.0,1745.0,49.0,5,1369.0,39.0,892.5,38.331768,
1_1_LT05_205049_19900815,2.0,88.194046,1143.0,0.0,1990-08-15T10:47:02,0.0,1.6,1809.0,152.0,Senegal_Water_Upstream,2314.0,205.0,5,66.0,2057.0,49.0,5,1536.0,60.178401441047356,1051.0,34.5466,
1_1_LT05_205049_19900916,12.0,108.493782,940.0,0.0,1990-09-16T10:46:54,4.0,0.0,1556.0,151.0,Senegal_Water_Upstream,2223.0,205.0,2,66.0,1792.0,49.0,5,1300.0,77.0,754.0,35.450726,
1_1_LT05_205049_19901002,7.0,118.818619,985.0,0.0,1990-10-02T10:46:40,4.0,0.0,1554.0,156.0,Senegal_Water_Upstream,2061.0,205.0,1,66.0,1669.0,49.0,5,1368.0,0.0,838.0,37.21386,
1_1_LT05_205049_19901018,59.0,127.624374,,1.0,1990-10-18T10:46:36,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,39.946934,
1_1_LT05_205049_19901103,4.0,134.090759,,0.0,1990-11-03T10:46:29,,,,,Senegal_Water_Upstream,,205.0,0,,,49.0,5,,,,43.322479,
1_1_LT05_205049_19901119,35.0,137.980362,1078.0,0.0,1990-11-19T10:46:31,0.0,1.8856180831641267,1739.0,186.0,Senegal_Water_Upstream,1930.0,205.0,6,66.0,1895.0,49.0,5,1504.0,74.9675855879659,1065.0,46.805359,
