system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_165039_19841126,54.0,150.40477,1471.0000000000002,0.452184845098488,1984-11-26T06:45:46,0.0,0.7075666623952325,1770.8635136914177,214.0,ShattelArab_Land_Downstream,2257.162359253382,165.0,1237,130.0,1844.0000000000002,39.0,5,1806.2690993409813,242.2178724709775,1153.211525775139,57.214817,
1_1_LT05_165039_19850113,0.0,145.66423,852.0000000000001,0.0,1985-01-13T06:46:12,0.0,1.8910211438759041,1158.349934374511,220.99999999999991,ShattelArab_Land_Downstream,1717.3478974569418,165.0,2325,66.0,1318.982415386837,39.0,5,1772.2993930016667,425.65745612490247,1177.6061700944967,60.058121,
1_1_LT05_165039_19850302,21.0,134.794098,1246.0292240510582,0.8478198672465095,1985-03-02T06:46:19,0.0,0.0,1665.9999999999998,192.0,ShattelArab_Land_Downstream,2234.0,165.0,354,66.00000000000001,1867.9999999999998,39.0,5,2763.03893129771,195.6553226127142,2154.0344827586205,48.789814,
1_1_LT05_165039_19850505,55.0,111.634018,,1.0,1985-05-05T06:46:01,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,29.755352,
1_1_LT05_165039_19860217,0.0,137.148071,785.0196808187869,0.0,1986-02-17T06:42:31,0.0,1.8804899662909524,1140.1025212757497,204.99999999999997,ShattelArab_Land_Downstream,1772.7602096562207,165.0,2326,66.0,1302.9999999999998,39.0,5,1777.0423588039864,274.167756624869,1192.0,53.518036,
1_1_LT05_165039_19860321,0.0,128.22673,824.9999999999999,0.0,1986-03-21T06:41:50,0.0,1.834779169720463,1181.9939486065875,173.99999999999991,ShattelArab_Land_Downstream,1828.1750171458225,165.0,2289,66.0,1381.0000000000005,39.0,5,1863.9999999999998,284.05656586963295,1299.0,43.170971,
1_1_LT05_165039_19860406,25.0,122.683311,,1.0,1986-04-06T06:41:30,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,37.990208,
1_1_LT05_165039_19860422,66.0,116.132935,1218.0,0.9957908661290105,1986-04-22T06:41:08,0.0,0.0,1656.0,141.0,ShattelArab_Land_Downstream,2289.0,165.0,10,66.0,1810.0,39.0,5,2199.0,123.51129503004918,1645.0,33.600483,
1_1_LT05_165039_19860508,1.0,108.952255,900.0,0.044265749330173826,1986-05-08T06:40:44,0.0,1.999376981098412,1317.405193616656,128.99999999999997,ShattelArab_Land_Downstream,1901.506184150252,165.0,1803,66.0,1398.9999999999998,39.0,5,1507.0,517.969846742047,1014.4545454545455,30.490456,
1_1_LT05_165039_19860524,63.0,102.215393,,0.9995186676181116,1986-05-24T06:40:17,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,28.877075,
1_1_LT05_165039_19860609,0.0,97.489792,825.9999999999999,0.0,1986-06-09T06:39:49,4.0,1.9406644516057687,1181.9999999999998,122.0,ShattelArab_Land_Downstream,1752.9999999999998,165.0,1915,66.0,1270.0,39.0,5,1239.0,374.6776483440881,790.0,28.599586,
1_1_LT05_165039_19861218,50.0,146.953888,954.1363828438621,0.8129535632060103,1986-12-18T06:34:45,4.0,1.9579704431509377,1194.0929545857202,223.99999999999997,ShattelArab_Land_Downstream,1769.066042733533,165.0,407,66.0,1246.9999999999998,39.0,5,1258.0,386.1688065857732,803.9999999999999,61.614265,
1_1_LT05_165039_19870103,2.0,145.044388,1180.0000000000002,0.012528105771949431,1987-01-03T06:35:14,0.0,0.4972479101356701,1532.0000000000002,225.00000000000009,ShattelArab_Land_Downstream,2155.685953831115,165.0,2293,66.0,1641.2022699635188,39.0,5,1730.7045381864693,211.48497218444174,1113.6182987074505,62.044067,
1_1_LT05_165039_19870119,0.0,142.254395,768.0001934578986,0.15063515678645,1987-01-19T06:35:42,0.0,1.9516334058857812,1056.0,221.99999999999997,ShattelArab_Land_Downstream,1693.4043677481332,165.0,1958,66.0,1188.5236948850702,39.0,5,1677.0,247.75437339911008,1110.0003680784005,60.737499,
1_1_LT05_165039_19870204,0.0,138.896683,852.5130837789661,0.0,1987-02-04T06:36:14,0.0,1.9629969111032948,1216.9750702957015,216.0,ShattelArab_Land_Downstream,1716.9999999999995,165.0,2204,66.00000000000004,1323.0000000000007,39.0,5,1706.5016460144257,252.18443639750018,1104.5869509628437,57.792961,
1_1_LT05_165039_19870308,57.0,131.065292,1016.5358915937165,0.1450358811411953,1987-03-08T06:37:29,0.0,1.9005645662017234,1352.0000000000005,189.99999999999991,ShattelArab_Land_Downstream,1819.0,165.0,1914,66.0,1447.0,39.0,5,1585.3611092504523,295.3693567497497,1014.9999999999999,48.329372,
1_1_LT05_165039_19870324,17.0,126.412445,976.1694763140665,0.0,1987-03-24T06:38:04,0.0,1.3206274240887172,1334.9999999999998,173.00000000000006,ShattelArab_Land_Downstream,1980.0,165.0,2273,66.0,1508.2119414788456,39.0,5,1904.0,291.1154933992853,1310.9874646323553,42.834431,
1_1_LT05_165039_19870409,43.0,120.914803,,1.0,1987-04-09T06:38:37,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,37.620056,
1_1_LT05_165039_19870425,47.0,114.472733,,0.986526059267836,1987-04-25T06:39:07,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,33.270306,
1_1_LT05_165039_19870511,65.0,107.504738,,1.0,1987-05-11T06:39:35,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,30.241016,
1_1_LT05_165039_19870527,64.0,101.222221,1025.9999999999998,0.18392787419385237,1987-05-27T06:40:00,0.0,1.7371903326136842,1506.0,122.0,ShattelArab_Land_Downstream,2164.0,165.0,670,66.0,1612.9999999999998,39.0,5,1828.0,396.7497727630977,1157.0,28.689579,
1_1_LT05_165039_19870612,33.0,97.13826,1345.0,0.999276318446811,1987-06-12T06:40:22,0.0,0.0,1793.0,,ShattelArab_Land_Downstream,2470.0,165.0,2,66.0,1980.0,39.0,5,2357.0,68.5,1650.0,28.411919,
1_1_LT05_165039_19870628,0.0,96.267883,1058.0,0.0,1987-06-28T06:40:43,0.0,1.8043978812929986,1385.8372303574242,124.00000000000001,ShattelArab_Land_Downstream,1903.9999999999998,165.0,1871,66.0,1479.0,39.0,5,1533.0,319.34432354486034,1047.9999999999998,28.983364,
1_1_LT05_165039_19870714,0.0,98.76815,1051.0000000000002,0.0,1987-07-14T06:41:01,0.0,1.0159607136156432,1409.0832797388632,128.0,ShattelArab_Land_Downstream,2087.0000000000005,165.0,2265,66.0,1530.8344279073738,39.0,5,1662.0,253.75170250940099,1138.0,30.045582,
1_1_LT05_165039_19870730,42.0,104.23822,,1.0,1987-07-30T06:41:26,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,31.452065,
1_1_LT05_165039_19870815,0.0,111.84314,1009.9999999999998,0.0,1987-08-15T06:41:55,0.0,1.9963922417979203,1358.6468639575974,140.0,ShattelArab_Land_Downstream,2003.0,165.0,2132,66.0,1487.9999999999995,39.0,5,1510.9999999999998,156.86134366998576,961.0000000000002,33.276386,
1_1_LT05_165039_19870916,0.0,129.277435,870.5641031576997,0.0,1987-09-16T06:42:45,0.0,1.6570086324923845,1209.8842013328526,160.00000000000003,ShattelArab_Land_Downstream,1930.221663427438,165.0,2309,66.0,1333.3180470981306,39.0,5,1724.9999999999995,239.69538850996904,1127.0,38.898899,
1_1_LT05_165039_19871002,0.0,137.000916,844.6092190835525,0.0,1987-10-02T06:43:05,4.0,1.9999233210570064,1179.0000000000005,173.00000000000003,ShattelArab_Land_Downstream,1838.999999999999,165.0,2284,66.0,1278.0000000000002,39.0,5,1545.3928359474355,222.14288724137887,995.0000000000002,42.806431,
1_1_LT05_165039_19871018,48.0,143.125244,,1.0,1987-10-18T06:43:23,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,47.196758,
1_1_LT05_165039_19871119,1.0,149.558029,917.0,0.7171583213280734,1987-11-19T06:44:02,0.0,1.6349707355793648,1236.0,210.99999999999997,ShattelArab_Land_Downstream,1904.0,165.0,632,66.0,1370.0261244888686,39.0,5,1832.1738339612837,331.75915649172225,1277.0,55.737297,
1_1_LT05_165039_19871221,21.0,148.948822,764.1153087364918,0.2192031424609212,1987-12-21T06:44:31,4.0,1.1404141066654179,1057.3640766565072,221.99999999999997,ShattelArab_Land_Downstream,1595.7624843868625,165.0,1479,66.0,1138.0,39.0,5,1337.8230112324973,223.88586690084756,720.7958684371489,60.654045,
1_1_LT05_165039_19880106,91.0,146.751801,,1.0,1988-01-06T06:44:46,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,60.775955,
1_1_LT05_165039_19880207,6.0,140.349854,696.4078267538547,0.0,1988-02-07T06:45:22,0.0,1.9754888801738824,986.321390296503,210.99999999999994,ShattelArab_Land_Downstream,1565.979553000243,165.0,2204,66.0,1106.437771286615,39.0,5,1628.9991951386369,307.7006409323536,1060.0,55.90345,
1_1_LT05_165039_19880310,6.0,132.41124,794.0000000000001,0.0,1988-03-10T06:45:45,4.0,1.9998615869059555,1120.0000000000002,184.00000000000006,ShattelArab_Land_Downstream,1574.0000000000007,165.0,2040,66.0,1230.9999999999998,39.0,5,1457.6340030589542,218.29417773547803,990.0,46.08725,
1_1_LT05_165039_19880326,8.0,127.626534,834.9183959106675,0.0,1988-03-26T06:45:54,0.0,1.812072238666853,1185.9999999999998,165.99999999999997,ShattelArab_Land_Downstream,1707.0424766260849,165.0,2181,66.0,1344.0000000000007,39.0,5,1807.0000000000002,324.57096331863545,1278.0,40.57056,
1_1_LT05_165039_19880411,40.0,121.90461,,1.0,1988-04-11T06:45:58,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,35.442135,
1_1_LT05_165039_19880427,15.0,115.141632,839.9999999999999,0.0,1988-04-27T06:46:03,0.0,1.999587579869047,1183.9999999999995,131.99999999999997,ShattelArab_Land_Downstream,1899.0,165.0,2019,66.0,1268.0,39.0,5,1603.0,376.63443203138047,977.9999999999998,31.284008,
1_1_LT05_165039_19880529,0.0,101.590652,780.9999999999999,0.0,1988-05-29T06:46:21,0.0,1.9917183909278768,1124.9999999999998,117.00000000000001,ShattelArab_Land_Downstream,2066.604003000276,165.0,2233,66.0,1216.0000000000002,39.0,5,1663.9999999999998,712.6520219428194,1124.9999999999998,27.253429,
1_1_LT05_165039_19880614,0.0,97.78083,863.0,0.0,1988-06-14T06:46:26,4.0,1.9283144015132192,1193.0,117.0,ShattelArab_Land_Downstream,1709.9999999999998,165.0,1598,66.0,1250.0,39.0,5,1189.0,344.15193063864945,804.0000000000001,27.22084,
1_1_LT05_165039_19880630,0.0,97.437027,761.0,0.0,1988-06-30T06:46:32,4.0,1.949257911864095,1117.0,120.00000000000001,ShattelArab_Land_Downstream,1768.9999999999998,165.0,1108,66.0,1181.0,39.0,5,1183.0000000000002,441.7273158100648,716.0,27.975632,
1_1_LT05_165039_19880716,0.0,100.5308,780.9999999999998,0.0,1988-07-16T06:46:35,4.0,1.989348381774334,1098.0000000000005,124.00000000000006,ShattelArab_Land_Downstream,1843.9999999999995,165.0,2183,66.0,1163.9999999999998,39.0,5,1398.0,378.37953174920335,918.9999999999999,29.191498,
1_1_LT05_165039_19880801,0.0,106.509766,817.4718767342409,0.0,1988-08-01T06:46:37,4.0,1.9831737972935513,1150.0000000000005,129.99999999999997,ShattelArab_Land_Downstream,1979.9999999999998,165.0,2279,66.0,1214.0,39.0,5,1418.0,320.4770413077559,880.0,30.763004,
1_1_LT05_165039_19880918,0.0,131.773117,876.9999999999999,0.021028839551384758,1988-09-18T06:46:36,4.0,1.947861449599696,1197.7816974250095,160.0,ShattelArab_Land_Downstream,2131.079872625453,165.0,2235,66.0,1234.0,39.0,5,1465.0,239.0007105021609,921.9999999999999,38.959938,
1_1_LT05_165039_19881004,0.0,139.140594,700.0,0.0,1988-10-04T06:46:31,4.0,1.8122813019433521,1003.9089924761931,173.99999999999991,ShattelArab_Land_Downstream,2002.2241026898866,165.0,2298,66.0,1032.0,39.0,5,1377.0,251.7235250931883,813.9999999999999,43.090397,
1_1_LT05_165039_19881020,8.0,144.783066,657.0000000000001,0.04005661545918437,1988-10-20T06:46:25,4.0,1.6818937696750011,900.0000000000002,188.0,ShattelArab_Land_Downstream,1910.7412131519277,165.0,2201,66.0,940.9999999999997,39.0,5,1312.0000000000002,246.0571975760032,798.0000000000001,47.631874,
1_1_LT05_165039_19881105,84.0,148.492371,,1.0,1988-11-05T06:46:30,,,,,ShattelArab_Land_Downstream,,165.0,0,,,39.0,5,,,,52.151287,
