system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_165039_19841126,54.0,150.40477,,1.0,1984-11-26T06:45:46,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,57.214817,
1_1_LT05_165039_19850113,0.0,145.66423,662.0,0.0,1985-01-13T06:46:12,0.0,1.8235491759821485,898.0000000000002,221.00000000000003,ShattelArab_Land_Midstream,1567.0000000000002,165.0,767,66.0,944.9225483130249,39.0,5,1718.863090219224,199.625161455853,1078.9999999999998,60.058121,
1_1_LT05_165039_19850302,21.0,134.794098,903.0000000000001,0.0,1985-03-02T06:46:19,0.0,0.0,1171.000000000001,192.00000000000003,ShattelArab_Land_Midstream,1947.9773673257025,165.0,767,66.0,1284.0000000000002,39.0,5,2188.0,208.41818748117578,1487.0000000000002,48.789814,
1_1_LT05_165039_19850505,55.0,111.634018,1145.0,0.9385480016819309,1985-05-05T06:46:01,0.0,0.0,1453.0,127.0,ShattelArab_Land_Midstream,2538.0,165.0,46,130.0,1506.0,39.0,5,2249.0,138.463578499505,1506.0,29.755352,
1_1_LT05_165039_19860217,0.0,137.148071,829.3805897826388,0.0,1986-02-17T06:42:31,0.0,0.8141899813990907,1112.0,205.00000000000014,ShattelArab_Land_Midstream,1935.9999999999998,165.0,762,66.0,1279.0,39.0,5,2321.756446991404,707.4598157532447,1862.7848555157138,53.518036,
1_1_LT05_165039_19860321,0.0,128.22673,961.9631578947368,0.0,1986-03-21T06:41:50,0.0,0.3523973070461779,1307.4779749348554,174.00000000000006,ShattelArab_Land_Midstream,2225.822210636079,165.0,767,66.0,1465.6832958495195,39.0,5,2583.542744518354,734.0319012506428,2108.046907120164,43.170971,
1_1_LT05_165039_19860406,25.0,122.683311,969.261480787254,0.0,1986-04-06T06:41:30,0.0,0.38038242563359514,1300.6523011439212,156.99999999999997,ShattelArab_Land_Midstream,2586.4285714285716,165.0,767,66.0,1413.6236413043478,39.0,5,2473.631787330317,644.0075821025567,1833.933010136624,37.990208,
1_1_LT05_165039_19860422,66.0,116.132935,,1.0,1986-04-22T06:41:08,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,33.600483,
1_1_LT05_165039_19860508,1.0,108.952255,1004.8561809857258,0.0,1986-05-08T06:40:44,0.0,0.0,1428.0,128.99999999999997,ShattelArab_Land_Midstream,3091.9999999999995,165.0,767,66.0,1496.9542682926829,39.0,5,2366.0,482.12873681554,1607.0,30.490456,
1_1_LT05_165039_19860524,63.0,102.215393,,1.0,1986-05-24T06:40:17,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,28.877075,
1_1_LT05_165039_19860609,0.0,97.489792,1051.0,0.0,1986-06-09T06:39:49,0.0,0.0,1487.0,122.00000000000009,ShattelArab_Land_Midstream,3286.0,165.0,766,66.0,1571.0,39.0,5,2550.653008962868,595.2835760295743,1736.9999999999998,28.599586,
1_1_LT05_165039_19861218,50.0,146.953888,,1.0,1986-12-18T06:34:45,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,61.614265,
1_1_LT05_165039_19870103,2.0,145.044388,1128.0,0.0,1987-01-03T06:35:14,0.0,0.40690355991307126,1440.4299793042276,225.00000000000003,ShattelArab_Land_Midstream,2130.522404557436,165.0,765,66.0,1564.5374898785426,39.0,5,2221.0,531.7739409227587,1737.3578947368421,62.044067,
1_1_LT05_165039_19870119,0.0,142.254395,896.0000000000001,0.013240075071533339,1987-01-19T06:35:42,0.0,0.5002626387968372,1192.1044127866573,222.00000000000006,ShattelArab_Land_Midstream,1964.7574368269534,165.0,755,66.0,1365.9999999999998,39.0,5,2311.6533742331294,666.8109054486732,1882.5851979345955,60.737499,
1_1_LT05_165039_19870204,0.0,138.896683,1044.0,0.0,1987-02-04T06:36:14,0.0,0.0,1356.0,216.00000000000017,ShattelArab_Land_Midstream,2027.0,165.0,766,66.0,1542.9999999999998,39.0,5,2494.0,529.4560437415271,1939.9999999999998,57.792961,
1_1_LT05_165039_19870308,57.0,131.065292,,1.0,1987-03-08T06:37:29,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,48.329372,
1_1_LT05_165039_19870324,17.0,126.412445,896.5880067977664,0.0,1987-03-24T06:38:04,0.0,1.0575520264236893,1194.9999999999998,173.00000000000006,ShattelArab_Land_Midstream,2310.3382523627924,165.0,767,66.0,1285.6480125523015,39.0,5,2242.6791443850266,683.5362721884098,1666.1397260273973,42.834431,
1_1_LT05_165039_19870409,43.0,120.914803,,1.0,1987-04-09T06:38:37,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,37.620056,
1_1_LT05_165039_19870425,47.0,114.472733,1300.0,0.068661737106054,1987-04-25T06:39:07,0.0,0.0,1713.0,139.99999999999997,ShattelArab_Land_Midstream,3133.0156026230497,165.0,713,66.0,1803.0,39.0,5,2607.0,456.9921771444044,1860.9999999999998,33.270306,
1_1_LT05_165039_19870511,65.0,107.504738,,1.0,1987-05-11T06:39:35,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,30.241016,
1_1_LT05_165039_19870527,64.0,101.222221,,1.0,1987-05-27T06:40:00,,,,,ShattelArab_Land_Midstream,,165.0,0,,,39.0,5,,,,28.689579,
1_1_LT05_165039_19870612,33.0,97.13826,1456.0,0.4383633995508019,1987-06-12T06:40:22,0.0,0.0,1864.0,121.0,ShattelArab_Land_Midstream,3210.4824088748014,165.0,429,66.0,1930.1689582847819,39.0,5,2594.101030110935,438.6541840550687,1917.3772189349113,28.411919,
1_1_LT05_165039_19870628,0.0,96.267883,1185.0000000000002,0.0,1987-06-28T06:40:43,0.0,0.1443374446216224,1552.9999999999998,124.00000000000009,ShattelArab_Land_Midstream,2929.9999999999995,165.0,767,66.0,1716.0,39.0,5,2429.0,479.90586832694953,1783.0000000000002,28.983364,
1_1_LT05_165039_19870714,0.0,98.76815,1240.0,0.0,1987-07-14T06:41:01,0.0,0.3523973070461779,1646.0,128.0,ShattelArab_Land_Midstream,3205.4175298804776,165.0,767,66.0,1771.0000000000002,39.0,5,2625.0,475.7165873416803,1991.9999999999998,30.045582,
