system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_166062_19850309,33.0,93.593277,378.60460992907804,0.0,1985-03-09T07:01:39,0.0,1.8348062438633088,607.0,155.0,Tana_Land_Downstream,2540.849807893818,166.0,196,66.0,493.1004464285714,62.0,5,1034.0,402.8598195781369,458.0,37.326508,
1_1_LT05_166062_19850410,20.0,72.516144,,1.0,1985-04-10T07:01:33,,,,,Tana_Land_Downstream,,166.0,0,,,62.0,5,,,,36.635551,
1_1_LT05_166062_19860616,29.0,51.676105,679.0,0.6738842510836415,1986-06-16T06:54:56,0.0,0.0,952.0,179.0,Tana_Land_Downstream,3001.8382066276804,166.0,64,66.0,850.0,62.0,5,1236.0,154.18623248237625,722.0,44.266293,
1_1_LT05_166062_19860819,28.0,66.450317,409.0,0.0,1986-08-19T06:52:43,0.0,1.2873329622783802,642.9999999999999,167.0,Tana_Land_Downstream,2887.0000000000005,166.0,196,66.0,546.0,62.0,5,932.0000000000001,227.8743430885228,377.00000000000006,40.788879,
1_1_LT05_166062_19861006,25.0,94.679253,361.0,0.16489404398779908,1986-10-06T06:51:06,0.0,1.6162061593153563,646.0000000000001,144.0,Tana_Land_Downstream,3249.9999999999995,166.0,146,66.0,472.0,62.0,5,985.0,383.9609235391397,377.0,34.432552,
1_1_LT05_166062_19861022,39.0,105.289978,388.99999999999994,0.0,1986-10-22T06:50:34,0.0,0.4910697720618761,650.9557919621748,144.0,Tana_Land_Downstream,2954.4747396837643,166.0,196,66.0,537.0,62.0,5,1109.0,360.5164004157968,519.0,34.355793,
1_1_LT05_166062_19870126,30.0,114.968109,431.0,0.9972106277091028,1987-01-26T06:51:14,0.0,,644.0,163.0,Tana_Land_Downstream,2922.0,166.0,0,66.0,516.0,62.0,5,1003.0,,336.0,42.606323,
1_1_LT05_166062_19870227,27.0,99.743393,392.0,0.0,1987-02-27T06:52:29,0.0,1.6121157271944082,632.801094637661,164.99999999999997,Tana_Land_Downstream,2668.0,166.0,196,66.0,479.0,62.0,5,949.0,324.830334842326,366.0,40.40884,
1_1_LT05_166062_19870315,62.0,90.116783,971.0,0.8705450313051857,1987-03-15T06:53:05,4.0,1.4664242223858686,1048.0,158.0,Tana_Land_Downstream,1628.0,166.0,25,66.0,946.0,62.0,5,879.0,164.7570138112487,624.0,39.139042,
1_1_LT05_166062_19870502,29.0,61.839417,,1.0,1987-05-02T06:54:40,,,,,Tana_Land_Downstream,,166.0,0,,,62.0,5,,,,39.78257,
1_1_LT05_166062_19870619,21.0,51.476334,412.9999999999999,0.0,1987-06-19T06:55:52,0.0,0.630674985320916,676.9999999999998,177.99999999999997,Tana_Land_Downstream,2863.0,166.0,196,66.0,566.5807475127723,62.0,5,967.0000000000001,200.9345385331009,404.99999999999994,44.198345,
1_1_LT05_166062_19870806,26.0,60.561405,,1.0,1987-08-06T06:56:59,,,,,Tana_Land_Downstream,,166.0,0,,,62.0,5,,,,41.812523,
1_1_LT05_166062_19870907,21.0,75.360001,376.49698275862073,0.024040777010756156,1987-09-07T06:57:52,0.0,0.2879223950226094,623.0,151.0,Tana_Land_Downstream,3050.0000000000005,166.0,192,66.0,502.8234886940471,62.0,5,1019.0,315.34900160205814,426.0,36.335716,
1_1_LT05_166062_19870923,26.0,85.463234,351.0,0.8509592229892441,1987-09-23T06:58:15,0.0,0.7423074889580903,580.0,141.0,Tana_Land_Downstream,3124.0,166.0,28,66.0,440.0,62.0,5,966.0,271.2762236924135,305.0,33.835846,
