system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_106035_19840809,7.0,119.241997,1070.9999999999998,0.0045930186117102,1984-08-09T00:39:12,0.0,0.0,1385.0000000000002,141.0,Tone_Land_Downstream,2020.741537376587,106.0,99,66.0,1494.0,35.0,5,2455.0,374.9816965230073,2050.9999999999995,33.486336,
1_1_LT05_106035_19901114,26.0,149.817398,963.0,0.74690470484863,1990-11-14T00:29:08,0.0,1.2570787221094177,1139.0,222.0,Tone_Land_Downstream,1378.0,106.0,27,66.0,1199.0,35.0,5,1786.0,341.1744582672287,1416.0,60.002789,
1_1_LT05_106035_19951027,9.0,141.929352,824.0,0.6959821071970604,1995-10-27T00:09:22,0.0,0.0,1114.0,216.0,Tone_Land_Downstream,2081.0,106.0,32,66.0,1144.0,35.0,5,2412.0,123.90468551975748,1663.0,57.285572,
1_1_LT05_106035_20000126,17.0,147.090347,844.0,0.9287083632878026,2000-01-26T00:44:11,0.0,0.0,1122.0,225.0,Tone_Land_Downstream,2224.0,106.0,7,66.0,1442.0,35.0,5,2982.0,146.78736530180382,2075.0,62.111385,
1_1_LT05_106035_20061228,1.0,156.637695,,1.0,2006-12-28T01:04:24,,,,,Tone_Land_Downstream,,106.0,0,,,35.0,5,,,,63.097477,
1_1_LT05_106035_20070113,7.0,154.217697,,1.0,2007-01-13T01:04:30,,,,,Tone_Land_Downstream,,106.0,0,,,35.0,5,,,,62.090897,
1_1_LT05_106035_20070302,47.0,146.061234,,1.0,2007-03-02T01:04:38,,,,,Tone_Land_Downstream,,106.0,0,,,35.0,5,,,,49.593708,
1_1_LT05_106035_20070318,32.0,143.22702,1085.0,0.06406262481028836,2007-03-18T01:04:35,0.0,0.0,1424.0,176.0,Tone_Land_Downstream,2193.9999999999995,106.0,94,66.0,1578.0000000000002,35.0,5,2694.9999999999995,301.0932353506542,2166.0,43.61821,
1_1_LT05_107035_19840426,83.0,124.018364,,1.0,1984-04-26T00:42:58,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,34.084709,
1_1_LT05_107035_19840731,9.0,115.601524,976.9999999999999,0.03159198019011103,1984-07-31T00:45:05,0.0,0.0,1400.0,135.0,Tone_Land_Downstream,1945.0000000000002,107.0,97,66.0,1480.0,35.0,5,2259.0,360.08400993056256,1883.0,32.065956,
1_1_LT05_107035_19840816,10.0,122.363457,1048.0,0.012700694943685597,1984-08-16T00:45:37,0.0,0.6856793029687733,1485.0,145.0,Tone_Land_Downstream,2050.9999999999995,107.0,99,66.0,1572.9999999999995,35.0,5,2303.0,398.8476723873402,1940.0,34.732391,
1_1_LT05_107035_19840917,53.0,137.141983,839.0000000000001,0.0,1984-09-17T00:45:56,0.0,0.9826804007566333,1123.0,170.99999999999997,Tone_Land_Downstream,1594.0,107.0,93,66.0,1165.1808510638298,35.0,5,1771.0,325.7485118288698,1413.9999999999998,42.121521,
1_1_LT05_107035_19841003,50.0,143.44371,,1.0,1984-10-03T00:45:56,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,46.716923,
1_1_LT05_107035_19841104,5.0,151.49704,920.9999999999999,0.0,1984-11-04T00:45:46,0.0,1.1003434279691822,1220.0,211.99999999999997,Tone_Land_Downstream,1660.0,107.0,97,66.0,1307.0,35.0,5,2056.0,502.1584121465792,1739.0,56.326187,
1_1_LT05_107035_19850107,4.0,149.439804,1277.0,0.7660356258487099,1985-01-07T00:46:06,0.0,0.0,1759.0,231.0,Tone_Land_Downstream,1963.0,107.0,26,66.0,1853.0,35.0,5,2800.0,249.24551535198566,2713.0,64.91465,
1_1_LT05_107035_19850328,67.0,133.570694,,1.0,1985-03-28T00:46:12,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,42.980301,
1_1_LT05_107035_19850515,39.0,118.154266,,1.0,1985-05-15T00:45:56,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,29.670105,
1_1_LT05_107035_19850904,63.0,131.095047,,1.0,1985-09-04T00:45:15,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,38.738846,
1_1_LT05_107035_19851123,27.0,152.633041,922.0,0.8120057512580878,1985-11-23T00:44:12,0.0,1.9460170216420796,1071.0,219.5,Tone_Land_Downstream,1113.0,107.0,13,68.0,1104.0,35.0,5,1280.0,326.7771801148101,1123.0,61.283646,
1_1_LT05_107035_19851209,24.0,152.299026,1210.0,0.994288681204569,1985-12-09T00:43:54,0.0,0.0,1513.0,,Tone_Land_Downstream,1752.0,107.0,1,66.0,1638.0,35.0,5,2290.0,0.0,2110.0,64.143829,
1_1_LT05_107035_19860110,8.0,148.298584,1440.0,0.9160476076363926,1986-01-10T00:43:19,0.0,0.0,1906.0,229.5,Tone_Land_Downstream,2158.0,107.0,10,66.0,2035.0,35.0,5,2937.0,135.0650213785916,2781.0,65.02713,
1_1_LT05_107035_19860416,15.0,126.760773,818.0,0.0,1986-04-16T00:41:14,0.0,1.1161597488173618,1060.0,154.99999999999997,Tone_Land_Downstream,1295.0,107.0,94,66.0,1132.0,35.0,5,1647.0,299.21808486998907,1431.9999999999998,37.480923,
1_1_LT05_107035_19860619,63.0,107.285553,,1.0,1986-06-19T00:39:27,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,29.123077,
1_1_LT05_107035_19860923,51.0,136.54628,865.0,0.29507149133317345,1986-09-23T00:36:08,0.0,1.8505390158618948,1213.0,180.0,Tone_Land_Downstream,1662.0,107.0,58,66.0,1180.0,35.0,5,1702.0,421.0514216141322,1352.0,44.950188,
1_1_LT05_107035_19861110,8.0,149.186951,745.71568627451,0.0,1986-11-10T00:34:29,0.0,1.6,1020.0000000000003,218.99999999999997,Tone_Land_Downstream,1231.9999999999998,107.0,90,66.0,1041.0000000000002,35.0,5,1561.0,293.7039890942521,1325.0,59.043365,
1_1_LT05_107035_19861126,68.0,150.262512,,1.0,1986-11-26T00:34:03,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,62.833656,
1_1_LT05_107035_19861212,59.0,149.974274,,1.0,1986-12-12T00:34:30,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,65.396996,
1_1_LT05_107035_19870113,48.0,146.138474,,1.0,1987-01-13T00:35:28,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,65.571999,
1_1_LT05_107035_19870214,5.0,140.270554,970.0,0.7435897435897435,1987-02-14T00:36:34,0.0,0.0,1334.0,218.0,Tone_Land_Downstream,1552.0,107.0,28,66.0,1411.0,35.0,5,2042.0,274.9863261906615,1803.0,58.956341,
1_1_LT05_107035_19870302,5.0,137.098602,861.0,0.583992331655883,1987-03-02T00:37:11,0.0,0.8331955809010618,1132.0,207.0,Tone_Land_Downstream,1272.0,107.0,44,66.0,1198.0,35.0,5,1744.0,327.0694128567299,1632.0,53.779625,
1_1_LT05_107035_19870318,26.0,133.71019,820.0,0.7679127725856697,1987-03-18T00:37:47,0.0,1.9241827716833386,1021.0,190.0,Tone_Land_Downstream,1201.0,107.0,22,66.0,1069.0,35.0,5,1393.0,363.62979539522564,1069.0,48.006573,
1_1_LT05_107035_19870419,5.0,125.27243,1163.0,0.0,1987-04-19T00:38:53,0.0,0.0,1498.0,153.0,Tone_Land_Downstream,1767.9999999999998,107.0,99,66.0,1552.9999999999998,35.0,5,2063.0,297.11472374387864,1970.0,36.961628,
1_1_LT05_107035_19870505,10.0,119.893661,,1.0,1987-05-05T00:39:21,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,32.788544,
1_1_LT05_107035_19870521,0.0,114.32209,966.0,0.0045930186117102,1987-05-21T00:39:47,0.0,0.0,1301.0,128.0,Tone_Land_Downstream,1702.0,107.0,98,66.0,1370.0,35.0,5,2075.0,328.8250341157505,1887.0,30.049667,
1_1_LT05_107035_19870606,8.0,109.727509,1105.0,0.48741912293314155,1987-06-06T00:40:10,0.0,0.0,1487.0,123.0,Tone_Land_Downstream,1729.0,107.0,53,66.0,1546.0,35.0,5,2128.0,342.84481646034453,1965.0,28.828884,
1_1_LT05_107035_19870622,29.0,107.48774,770.0,0.4611390686157041,1987-06-22T00:40:32,0.0,1.3542912033906687,1057.0,123.0,Tone_Land_Downstream,1379.0,107.0,53,66.0,1097.0,35.0,5,1731.0,370.6428205045907,1517.0,28.888622,
1_1_LT05_107035_19870724,1.0,112.024185,983.9999999999998,0.0,1987-07-24T00:41:10,0.0,0.0,1403.0,134.0,Tone_Land_Downstream,2034.9999999999998,107.0,100,66.0,1474.0,35.0,5,2181.0,364.1841472387287,1746.0,31.583054,
1_1_LT05_107035_19870809,11.0,118.027649,693.0,0.7095614665708123,1987-08-09T00:41:41,0.0,1.5537908861780023,960.0,144.0,Tone_Land_Downstream,1541.0,107.0,27,66.0,1017.0,35.0,5,1524.0,162.2004551606465,1153.0,33.872269,
1_1_LT05_107035_19871215,54.0,152.093277,,1.0,1987-12-15T00:44:22,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,64.685333,
1_1_LT05_107035_19880116,39.0,147.787643,,1.0,1988-01-16T00:44:54,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,64.22345,
1_1_LT05_107035_19880201,40.0,144.891922,,1.0,1988-02-01T00:45:12,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,61.360909,
1_1_LT05_107035_19880217,47.0,141.842163,,1.0,1988-02-17T00:45:27,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,57.042892,
1_1_LT05_107035_19881115,30.0,152.803268,,1.0,1988-11-15T00:46:25,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,59.258224,
1_1_LT05_107035_19881201,4.0,153.180145,1114.0,0.994288681204569,1988-12-01T00:46:24,0.0,0.0,1426.0,,Tone_Land_Downstream,1607.0,107.0,1,66.0,1608.0,35.0,5,2308.0,0.0,2009.0,62.722565,
1_1_LT05_107035_19890118,25.0,147.464005,1321.0,0.6952232606438213,1989-01-18T00:45:52,0.0,0.0,1754.0,229.0,Tone_Land_Downstream,1901.0,107.0,33,66.0,1746.0,35.0,5,2634.0,435.72718948297126,2458.0,63.789333,
1_1_LT05_107035_19890323,44.0,134.40387,,1.0,1989-03-23T00:44:46,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,44.961735,
1_1_LT05_107035_19890510,9.0,119.411064,1011.0000000000001,0.0,1989-05-10T00:44:28,0.0,1.539578937457493,1292.0,131.0,Tone_Land_Downstream,1530.0,107.0,94,66.0,1279.0,35.0,5,1576.0,323.52841541619057,1395.0,30.851738,
1_1_LT05_107035_19890814,24.0,120.518921,,1.0,1989-08-14T00:42:33,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,34.793125,
1_1_LT05_107035_19890830,34.0,127.77282,,1.0,1989-08-30T00:42:13,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,38.095768,
1_1_LT05_107035_19891017,51.0,146.304581,,1.0,1989-10-17T00:40:54,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,51.462376,
1_1_LT05_107035_19891102,6.0,149.676086,727.0,0.27749820273184755,1989-11-02T00:40:32,0.0,1.4102341403392957,979.0,212.0,Tone_Land_Downstream,1257.0,107.0,55,66.0,1003.0,35.0,5,1500.0,262.60847266863914,1140.0,56.268845,
1_1_LT05_107035_19891118,26.0,151.368011,,1.0,1989-11-18T00:39:55,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,60.544861,
1_1_LT05_107035_19891204,23.0,151.477722,,1.0,1989-12-04T00:39:37,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,63.837616,
1_1_LT05_107035_19891220,7.0,150.247177,,1.0,1989-12-20T00:39:08,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,65.711876,
1_1_LT05_107035_19900105,6.0,148.007629,935.0,0.9796309609393722,1990-01-05T00:38:33,0.0,0.0,1261.0,235.5,Tone_Land_Downstream,1441.5,107.0,2,66.0,1338.5,35.0,5,2087.5,228.5,1729.0,65.886169,
1_1_LT05_107035_19900206,59.0,141.918579,,1.0,1990-02-06T00:37:37,,,,,Tone_Land_Downstream,,107.0,0,,,35.0,5,,,,61.027195,
1_1_LT05_107035_19900222,4.0,138.551422,865.0,0.5455307931943444,1990-02-22T00:37:07,0.0,1.3348414588389892,1048.0,213.0,Tone_Land_Downstream,1290.0,107.0,47,66.0,1163.0,35.0,5,1637.0,455.68316528636024,1339.0,56.47459,
1_1_LT05_107035_19900326,13.0,131.165909,1144.0,0.1198977554117741,1990-03-26T00:36:02,0.0,0.592849705989794,1534.9999999999998,182.0,Tone_Land_Downstream,1914.0,107.0,89,66.0,1647.0,35.0,5,2334.0,385.6419785752577,2125.0000000000005,45.331741,
