system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_106035_19840809,7.0,119.241997,568.0,0.18649998177643318,1984-08-09T00:39:12,0.0,1.5248801643312613,821.9999999999999,141.0,Tone_Land_Midstream,3491.0000000000005,106.0,85,66.0,670.0,35.0,5,1819.0000000000002,351.08736557998833,826.0000000000001,33.486336,
1_1_LT05_106035_19901114,26.0,149.817398,1290.0,0.971316105988264,1990-11-14T00:29:08,0.0,0.0,1370.0,221.0,Tone_Land_Midstream,2141.0,106.0,1,66.0,1401.0,35.0,5,1549.0,0.0,1015.0,60.002789,
1_1_LT05_106035_19951027,9.0,141.929352,609.0,0.19072784925465608,1995-10-27T00:09:22,4.0,1.993757571039559,802.0,215.0,Tone_Land_Midstream,2199.0000000000005,106.0,76,66.0,798.6659310813105,35.0,5,1921.5368421052633,313.3731491519625,954.9999999999999,57.285572,
1_1_LT05_106035_20000126,17.0,147.090347,541.0,0.8396326128949957,2000-01-26T00:44:11,0.0,0.0,633.0,224.0,Tone_Land_Midstream,1424.0,106.0,16,66.0,782.0,35.0,5,2192.0,113.16242474867707,1296.0,62.111385,
1_1_LT05_106035_20061228,1.0,156.637695,,1.0,2006-12-28T01:04:24,,,,,Tone_Land_Midstream,,106.0,0,,,35.0,5,,,,63.097477,
1_1_LT05_106035_20070113,7.0,154.217697,616.0,0.9586325035535955,2007-01-13T01:04:30,0.0,0.0,864.0,224.0,Tone_Land_Midstream,1836.0,106.0,4,66.0,1091.0,35.0,5,2247.0,77.19253526086574,1324.0,62.090897,
1_1_LT05_106035_20070302,47.0,146.061234,,1.0,2007-03-02T01:04:38,,,,,Tone_Land_Midstream,,106.0,0,,,35.0,5,,,,49.593708,
1_1_LT05_106035_20070318,32.0,143.22702,666.4360216585922,0.0,2007-03-18T01:04:35,0.0,1.41665818574027,859.9999999999999,176.0,Tone_Land_Midstream,2002.7945945945944,106.0,102,66.0,990.8022239872913,35.0,5,2378.0000000000005,484.31267057517863,1401.9999999999998,43.61821,
1_1_LT05_107035_19840426,83.0,124.018364,,1.0,1984-04-26T00:42:58,,,,,Tone_Land_Midstream,,107.0,0,,,35.0,5,,,,34.084709,
1_1_LT05_107035_19840731,9.0,115.601524,769.0,0.9982505375952181,1984-07-31T00:45:05,0.0,,1036.0,,Tone_Land_Midstream,3677.0,107.0,0,66.0,835.0,35.0,5,1721.0,,710.0,32.065956,
