system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_106035_19840809,7.0,119.241997,,0.0,1984-08-09T00:39:12,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,33.486336,
1_1_LT05_106035_19901114,26.0,149.817398,,0.34748611258535894,1990-11-14T00:29:08,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,60.002789,
1_1_LT05_106035_19951027,9.0,141.929352,,0.20560450058380217,1995-10-27T00:09:22,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,57.285572,
1_1_LT05_106035_20000126,17.0,147.090347,,0.5439089976294096,2000-01-26T00:44:11,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,62.111385,
1_1_LT05_106035_20061228,1.0,156.637695,,0.9422389696776704,2006-12-28T01:04:24,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,63.097477,
1_1_LT05_106035_20070113,7.0,154.217697,,0.845893924919506,2007-01-13T01:04:30,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,62.090897,
1_1_LT05_106035_20070302,47.0,146.061234,,1.0,2007-03-02T01:04:38,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,49.593708,
1_1_LT05_106035_20070318,32.0,143.22702,,0.058238686622085395,2007-03-18T01:04:35,,,,,Tone_Water_Downstream,,106.0,0,,,35.0,5,,,,43.61821,
1_1_LT05_107035_19840426,83.0,124.018364,,1.0,1984-04-26T00:42:58,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,34.084709,
1_1_LT05_107035_19840731,9.0,115.601524,,0.8588083359869794,1984-07-31T00:45:05,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,32.065956,
1_1_LT05_107035_19840816,10.0,122.363457,,0.0,1984-08-16T00:45:37,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,34.732391,
1_1_LT05_107035_19840917,53.0,137.141983,,0.0,1984-09-17T00:45:56,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,42.121521,
1_1_LT05_107035_19841003,50.0,143.44371,,1.0,1984-10-03T00:45:56,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,46.716923,
1_1_LT05_107035_19841104,5.0,151.49704,,0.0,1984-11-04T00:45:46,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,56.326187,
1_1_LT05_107035_19850107,4.0,149.439804,,0.3235679156494357,1985-01-07T00:46:06,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,64.91465,
1_1_LT05_107035_19850328,67.0,133.570694,,0.6757952092842232,1985-03-28T00:46:12,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,42.980301,
1_1_LT05_107035_19850515,39.0,118.154266,,1.0,1985-05-15T00:45:56,,,,,Tone_Water_Downstream,,107.0,0,,,35.0,5,,,,29.670105,
