system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,1024.0,0.026042661020185032,1984-04-08T09:04:35,0.0,0.0,1228.1675474814206,197.99999999999997,Vistula_Land_Midstream,2609.728716740993,189.0,439,66.0,1220.6552863436125,22.0,5,2376.2509964570413,155.00027020484674,1613.7253778199604,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,,1.0,1984-04-24T09:04:35,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,,1.0,1984-08-30T09:07:29,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,,1.0,1984-11-02T09:07:24,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,762.2554996127033,0.06818300154468304,1984-11-18T09:07:18,0.0,1.1621710964034904,1013.431140713204,246.99999999999997,Vistula_Land_Midstream,2685.82003257329,189.0,419,66.0,966.9999999999999,22.0,5,2467.1265645170342,408.2881681986646,1494.990327467661,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,,1.0,1985-02-06T09:07:51,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,,1.0,1985-02-22T09:07:52,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,,1.0,1985-03-26T09:07:49,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,719.9999999999999,0.5983129978999256,1985-04-11T09:07:45,0.0,1.0740214382746742,958.0,194.0,Vistula_Land_Midstream,2763.0,189.0,179,66.0,935.0,22.0,5,2573.0,429.2462203159209,1586.0000000000002,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,,1.0,1985-04-27T09:07:39,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,44.178322,
1_1_LT05_189022_19850513,12.0,146.506866,,1.0,1985-05-13T09:07:32,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,39.788902,
1_1_LT05_189022_19850529,3.0,144.281204,494.42983915696067,0.0,1985-05-29T09:07:33,0.0,0.0,818.25896071622,153.0,Vistula_Land_Midstream,4521.870012870014,189.0,450,66.0,581.4156978611343,22.0,5,2192.373295274342,241.73262752445524,946.8468222920541,36.865768,
1_1_LT05_189022_19850614,44.0,142.175186,1210.0,0.9780186403318466,1985-06-14T09:07:31,0.0,0.0,1439.0,152.0,Vistula_Land_Midstream,5277.0,189.0,10,66.0,1082.0,22.0,5,2932.0,95.31762691129066,1404.0,35.60957,
1_1_LT05_189022_19850817,21.0,146.164932,1812.0,0.4035354148949098,1985-08-17T09:07:04,0.0,0.0,1895.9999999999998,181.0,Vistula_Land_Midstream,3765.0000000000005,189.0,268,66.0,1646.0,22.0,5,2679.0,403.44043171793487,1318.0,45.213974,
1_1_LT05_189022_19850902,13.0,149.824951,548.0,0.998168943193849,1985-09-02T09:06:53,0.0,0.0,920.0,200.0,Vistula_Land_Midstream,3938.0,189.0,1,66.0,702.0,22.0,5,2607.0,0.0,1211.0,50.121548,
1_1_LT05_189022_19850918,21.0,153.525879,480.94335106382977,0.0,1985-09-18T09:06:40,0.0,1.0602283626742504,824.1296563904948,209.99999999999997,Vistula_Land_Midstream,3516.9766713091926,189.0,434,66.0,642.7552754331407,22.0,5,2327.6842105263163,382.17194130968807,1078.0,55.570332,
1_1_LT05_189022_19851004,8.0,156.785492,1011.9999999999998,0.0,1985-10-04T09:06:30,0.0,0.0,1174.0,223.99999999999997,Vistula_Land_Midstream,3311.9999999999995,189.0,450,66.0,1027.0,22.0,5,2301.0000000000005,191.95693227105252,1084.0,61.282249,
1_1_LT05_189022_19851020,31.0,159.242844,585.8990920213794,0.0,1985-10-20T09:06:20,0.0,0.0,882.1955975674249,234.99999999999997,Vistula_Land_Midstream,3629.7125714285708,189.0,450,66.0,680.5837098445595,22.0,5,2272.813436514196,251.7689356493862,1028.0048567006459,66.930695,
1_1_LT05_189022_19851105,58.0,160.653076,,1.0,1985-11-05T09:06:06,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,72.104576,
1_1_LT05_189022_19860225,17.0,150.943558,,1.0,1986-02-25T09:03:53,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,67.609375,
1_1_LT05_189022_19860414,17.0,147.6754,1567.0,0.7514622420466184,1986-04-14T09:02:53,0.0,0.0,1701.0,192.99999999999997,Vistula_Land_Midstream,2942.0,189.0,113,66.0,1651.0,22.0,5,2003.0000000000002,207.73327182933312,1230.0,49.099976,
1_1_LT05_189022_19860430,31.0,146.133469,,1.0,1986-04-30T09:02:30,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,43.80909,
1_1_LT05_189022_19860516,7.0,144.023727,414.9999999999999,0.0,1986-05-16T09:02:04,0.0,0.0,712.9999999999998,163.0,Vistula_Land_Midstream,4816.890567304465,189.0,450,66.0,481.0,22.0,5,1964.628821276288,163.50535402567664,750.9999999999998,39.707794,
1_1_LT05_189022_19860617,2.0,139.435867,426.2727561556791,0.0,1986-06-17T09:01:07,0.0,0.0,780.7185700575816,151.0,Vistula_Land_Midstream,4475.714285714285,189.0,450,66.0,593.4466632962587,22.0,5,2083.6756561085967,792.1569919101258,962.9999999999998,36.219143,
1_1_LT05_189022_19860703,0.0,138.367447,568.6313342631335,0.0,1986-07-03T09:00:35,0.0,0.0,937.5796237028418,153.0,Vistula_Land_Midstream,3834.9549973835688,189.0,450,66.0,905.7597355941946,22.0,5,2834.5800796812746,412.5262974094147,1504.1734293193717,36.94841,
1_1_LT05_189022_19860804,1.0,140.931137,694.6326876996804,0.0,1986-08-04T08:59:29,0.0,0.0,978.0,171.99999999999997,Vistula_Land_Midstream,2999.8809975946324,189.0,450,66.0,1054.0,22.0,5,3102.1364609347124,297.95826672725707,1801.7098563504483,42.442657,
1_1_LT05_189022_19870316,9.0,148.65242,,1.0,1987-03-16T08:59:20,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,60.636631,
1_1_LT05_189022_19870503,25.0,145.531464,,1.0,1987-05-03T09:00:55,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,43.045914,
1_1_LT05_189022_19870519,60.0,143.640884,,1.0,1987-05-19T09:01:21,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,39.104572,
1_1_LT05_189022_19870620,9.0,139.815933,568.4377854413272,0.0,1987-06-20T09:02:06,0.0,0.2660734141705914,876.3884122304304,150.0,Vistula_Land_Midstream,4433.103276353277,189.0,450,66.0,617.552242764055,22.0,5,2155.4766316656373,240.12865477581948,941.1563309885227,36.011799,
1_1_LT05_189022_19870706,0.0,139.300415,370.99999999999994,0.0,1987-07-06T09:02:25,0.0,0.18835217867037415,754.9822457651784,153.0,Vistula_Land_Midstream,4101.194130925508,189.0,450,66.0,535.0,22.0,5,2240.0000000000005,300.11392329917777,1012.9999999999999,36.917374,
1_1_LT05_189022_19870823,0.0,146.493698,418.4693111592843,0.0,1987-08-23T09:03:42,0.0,0.0,764.9999999999999,187.0,Vistula_Land_Midstream,3701.174867135265,189.0,450,66.0,582.6256863695089,22.0,5,2278.4672753647915,88.05850605641923,1085.0000000000002,47.030048,
1_1_LT05_189022_19871010,1.0,157.431061,586.2436961869619,0.0,1987-10-10T09:04:48,0.0,0.0,896.6224611708484,227.99999999999997,Vistula_Land_Midstream,3467.5931829092656,189.0,450,66.0,773.7546194410994,22.0,5,2345.7083951349746,107.72129078733256,1173.0092359075727,63.294743,
1_1_LT05_189022_19871026,35.0,159.701218,650.0000000000001,0.0,1987-10-26T09:05:02,0.0,0.18835217867037415,913.0,237.99999999999997,Vistula_Land_Midstream,3142.000000000001,189.0,450,66.0,744.0000000000001,22.0,5,1962.9999999999998,104.2087246412597,872.9999999999999,68.761101,
1_1_LT05_189022_19880215,76.0,152.673203,,1.0,1988-02-15T09:07:02,,,,,Vistula_Land_Midstream,,189.0,0,,,22.0,5,,,,71.022751,
1_1_LT05_189022_19880505,24.0,147.429733,521.1031527395163,0.051677456306298525,1988-05-05T09:07:43,0.0,0.33409938173540066,773.3659292732909,169.99999999999994,Vistula_Land_Midstream,3702.846566383257,189.0,427,66.0,593.174875669472,22.0,5,2113.0837107274274,175.90456661124352,988.8843129233146,41.720425,
