system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,943.0000000000002,0.0218407919251173,1984-04-08T09:04:35,0.0,1.7183060506189665,1099.0000000000005,198.0,Vistula_Land_Upstream,2099.1660966224877,189.0,512,66.0,1067.0,22.0,5,1702.0,249.53871951356268,1134.0,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,1098.524002511559,0.31306631549805863,1984-04-24T09:04:35,0.0,0.0,1286.8197638708796,181.00000000000003,Vistula_Land_Upstream,3457.6988188976375,189.0,360,66.0,1146.9842546890422,22.0,5,2017.0,67.76175123589871,1070.1291100394565,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,,1.0,1984-08-30T09:07:29,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,,1.0,1984-11-02T09:07:24,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,790.3782387634734,0.07664105230865931,1984-11-18T09:07:18,0.0,0.0,990.444849806682,246.99999999999994,Vistula_Land_Upstream,2693.6566509768527,189.0,484,66.0,949.790505253885,22.0,5,2548.7355809930436,169.03561125720142,1614.4928540627118,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,,1.0,1985-02-06T09:07:51,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,,1.0,1985-02-22T09:07:52,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,,1.0,1985-03-26T09:07:49,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,614.0,0.9332280825146465,1985-04-11T09:07:45,4.0,0.0,717.0,192.0,Vistula_Land_Upstream,1452.0,189.0,13,66.0,602.0,22.0,5,941.0,41.443195599983135,554.0,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,,1.0,1985-04-27T09:07:39,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,44.178322,
1_1_LT05_189022_19850513,12.0,146.506866,,1.0,1985-05-13T09:07:32,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,39.788902,
1_1_LT05_189022_19850529,3.0,144.281204,492.80667302192563,0.0,1985-05-29T09:07:33,0.0,0.0,737.005865244789,153.0,Vistula_Land_Upstream,4912.586141880744,189.0,523,66.0,510.2821494893222,22.0,5,2025.923513159808,276.1966720292729,819.9067467863391,36.865768,
1_1_LT05_189022_19850614,44.0,142.175186,947.0,0.0,1985-06-14T09:07:31,0.0,0.0,1198.0401079009016,148.0,Vistula_Land_Upstream,4737.4222927050305,189.0,523,66.0,942.648804306999,22.0,5,2376.0,288.05148341344767,1139.0,35.60957,
1_1_LT05_189022_19850817,21.0,146.164932,1910.9999999999998,0.5977822505218895,1985-08-17T09:07:04,0.0,0.5417337101379229,1946.0000000000002,181.0,Vistula_Land_Upstream,3402.0000000000005,189.0,214,66.0,1644.9999999999998,22.0,5,1815.0,454.6164880578793,938.9999999999999,45.213974,
1_1_LT05_189022_19850902,13.0,149.824951,522.0,0.9857013520490239,1985-09-02T09:06:53,0.0,0.0,770.0,193.0,Vistula_Land_Upstream,3343.0,189.0,8,66.0,744.0,22.0,5,2205.0,257.8914500327609,1256.0,50.121548,
1_1_LT05_189022_19850918,21.0,153.525879,573.9183134312586,0.2550037785542729,1985-09-18T09:06:40,0.0,0.0,872.0163692386698,209.99999999999997,Vistula_Land_Upstream,4325.293023755777,189.0,388,66.0,684.697742058936,22.0,5,2768.327902240326,221.90897247769712,1234.879522636863,55.570332,
1_1_LT05_189022_19851004,8.0,156.785492,939.9999999999999,0.0,1985-10-04T09:06:30,0.0,0.0,1170.5599719838906,224.0,Vistula_Land_Upstream,3513.643901579658,189.0,523,66.0,963.9999999999999,22.0,5,2249.359851988899,101.52078643375125,1081.0,61.282249,
1_1_LT05_189022_19851020,31.0,159.242844,476.5083539016518,0.0,1985-10-20T09:06:20,0.0,0.17474049191274743,729.0464994775339,234.99999999999997,Vistula_Land_Upstream,3767.5365043512916,189.0,523,66.0,549.255687076818,22.0,5,2109.4129143069354,123.53801544158169,948.7515965979601,66.930695,
1_1_LT05_189022_19851105,58.0,160.653076,,1.0,1985-11-05T09:06:06,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,72.104576,
1_1_LT05_189022_19860225,17.0,150.943558,,1.0,1986-02-25T09:03:53,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,67.609375,
1_1_LT05_189022_19860414,17.0,147.6754,1725.0,0.8791311569858361,1986-04-14T09:02:53,0.0,0.9682458365518543,1788.0,193.0,Vistula_Land_Upstream,2679.0,189.0,64,66.0,1726.0,22.0,5,1821.0,204.79665922777983,1101.0,49.099976,
1_1_LT05_189022_19860430,31.0,146.133469,826.9999999999998,0.47219208523819883,1986-04-30T09:02:30,0.0,0.0,1016.0000000000002,177.0,Vistula_Land_Upstream,3613.0,189.0,276,66.0,844.0,22.0,5,2072.2500689274884,65.98924999412498,980.9999999999999,43.80909,
1_1_LT05_189022_19860516,7.0,144.023727,344.6319419237749,0.0,1986-05-16T09:02:04,0.0,0.6688722154203302,624.5424396442186,163.00000000000003,Vistula_Land_Upstream,5308.333333333333,189.0,521,66.0,434.69640443363073,22.0,5,1885.7615548078622,327.02571000175953,714.1085856233502,39.707794,
1_1_LT05_189022_19860617,2.0,139.435867,473.82810181486127,0.0,1986-06-17T09:01:07,0.0,0.0,854.7619002733527,151.0,Vistula_Land_Upstream,4443.24643021649,189.0,523,66.0,659.0069537054676,22.0,5,2325.6181029579066,313.02625720161006,1078.2348284960422,36.219143,
1_1_LT05_189022_19860703,0.0,138.367447,658.9999999999999,0.0,1986-07-03T09:00:35,0.0,0.0,994.9999999999998,153.0,Vistula_Land_Upstream,3829.9999999999995,189.0,523,66.0,954.0,22.0,5,2869.0000000000005,415.8675643805752,1570.0,36.94841,
1_1_LT05_189022_19860804,1.0,140.931137,733.0,0.2811169556075992,1986-08-04T08:59:29,0.0,0.20683433267545212,1021.3663890198543,172.00000000000003,Vistula_Land_Upstream,3174.3333333333335,189.0,373,66.0,1053.2316296007284,22.0,5,3280.650801603206,283.83167772131156,1970.5019582245432,42.442657,
1_1_LT05_189022_19870316,9.0,148.65242,,1.0,1987-03-16T08:59:20,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,60.636631,
1_1_LT05_189022_19870503,25.0,145.531464,,1.0,1987-05-03T09:00:55,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,43.045914,
1_1_LT05_189022_19870519,60.0,143.640884,,1.0,1987-05-19T09:01:21,,,,,Vistula_Land_Upstream,,189.0,0,,,22.0,5,,,,39.104572,
1_1_LT05_189022_19870620,9.0,139.815933,636.4377477108104,0.0,1987-06-20T09:02:06,0.0,0.0,956.0899980426694,150.0,Vistula_Land_Upstream,4619.486031166643,189.0,523,66.0,684.6289800074044,22.0,5,2270.9,472.7949874071797,982.9999999999998,36.011799,
1_1_LT05_189022_19870706,0.0,139.300415,430.28801431127016,0.0,1987-07-06T09:02:25,0.0,0.0,794.9525837182449,153.0,Vistula_Land_Upstream,4172.44997963893,189.0,523,66.0,638.2955385753022,22.0,5,2505.865001632387,242.84590990241915,1202.9999999999998,36.917374,
1_1_LT05_189022_19870823,0.0,146.493698,424.1051895587321,0.0,1987-08-23T09:03:42,0.0,0.0,766.9563654430675,187.0,Vistula_Land_Upstream,4097.584837545125,189.0,523,66.0,544.855323020928,22.0,5,2396.7828266666666,178.27573790123517,1082.742033898305,47.030048,
1_1_LT05_189022_19871010,1.0,157.431061,612.6299293154763,0.0,1987-10-10T09:04:48,0.0,0.0,894.5340661365102,228.0,Vistula_Land_Upstream,3736.291382329851,189.0,523,66.0,709.9739722966935,22.0,5,2340.9485208089586,141.608662273084,1170.6822635541648,63.294743,
