system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,,1.0,1984-04-08T09:04:35,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,,1.0,1984-04-24T09:04:35,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,1009.0,0.0,1984-08-30T09:07:29,0.0,1.8856180831641267,1168.0,193.0,Vistula_Water_Downstream,2099.0,189.0,144,66.0,1092.0,22.0,5,1562.0485074626865,575.0214487075812,1154.9999999999998,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,,1.0,1984-11-02T09:07:24,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,732.0,0.30234965494577726,1984-11-18T09:07:18,4.0,1.5999999999999999,769.0,248.0,Vistula_Water_Downstream,1513.0,189.0,10,66.0,765.0,22.0,5,1267.0,233.7635771457995,673.0,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,,0.9958100558659218,1985-02-06T09:07:51,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,,1.0,1985-02-22T09:07:52,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,,1.0,1985-03-26T09:07:49,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,,1.0,1985-04-11T09:07:45,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,,1.0,1985-04-27T09:07:39,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,44.178322,
1_1_LT05_189022_19850513,12.0,146.506866,,1.0,1985-05-13T09:07:32,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,39.788902,
1_1_LT05_189022_19850529,3.0,144.281204,442.0,0.0,1985-05-29T09:07:33,4.0,1.9686118271390012,646.0,153.0,Vistula_Water_Downstream,2430.0,189.0,17,66.0,467.0,22.0,5,911.0,279.54884563064394,395.0,36.865768,
1_1_LT05_189022_19850614,44.0,142.175186,,1.0,1985-06-14T09:07:31,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,35.60957,
1_1_LT05_189022_19850817,21.0,146.164932,1202.0,0.0,1985-08-17T09:07:04,4.0,1.979486637221574,1262.0,181.0,Vistula_Water_Downstream,2048.0,189.0,21,66.0,1008.0,22.0,5,651.0,268.4082922300809,324.0,45.213974,
1_1_LT05_189022_19850902,13.0,149.824951,494.0,0.0,1985-09-02T09:06:53,4.0,0.0,718.0,196.0,Vistula_Water_Downstream,1868.0,189.0,11,66.0,569.0,22.0,5,1043.0,262.0372505220526,546.0,50.121548,
1_1_LT05_189022_19850918,21.0,153.525879,,1.0,1985-09-18T09:06:40,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,55.570332,
1_1_LT05_189022_19851004,8.0,156.785492,1019.0,0.0,1985-10-04T09:06:30,0.0,1.9720265943665387,1109.0,224.0,Vistula_Water_Downstream,1837.0,189.0,12,66.0,909.0,22.0,5,1014.0,193.80579841686884,555.0,61.282249,
1_1_LT05_189022_19851020,31.0,159.242844,,1.0,1985-10-20T09:06:20,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,66.930695,
1_1_LT05_189022_19851105,58.0,160.653076,,1.0,1985-11-05T09:06:06,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,72.104576,
1_1_LT05_189022_19860225,17.0,150.943558,,1.0,1986-02-25T09:03:53,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,67.609375,
1_1_LT05_189022_19860414,17.0,147.6754,1125.0,0.029231022017745644,1986-04-14T09:02:53,0.0,0.0,1218.0,,Vistula_Water_Downstream,1858.0,189.0,2,66.0,1230.0,22.0,5,1405.0,225.5,932.0,49.099976,
1_1_LT05_189022_19860430,31.0,146.133469,,0.8391554387117978,1986-04-30T09:02:30,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,43.80909,
1_1_LT05_189022_19860516,7.0,144.023727,700.0,0.24424909628655936,1986-05-16T09:02:04,4.0,1.5999999999999999,876.0,163.0,Vistula_Water_Downstream,2030.0,189.0,20,66.0,765.0,22.0,5,1093.0,278.3315424094078,559.0,39.707794,
1_1_LT05_189022_19860617,2.0,139.435867,442.0,0.9625205389418338,1986-06-17T09:01:07,4.0,0.0,604.0,151.0,Vistula_Water_Downstream,1378.0,189.0,2,66.0,509.0,22.0,5,929.0,267.0,581.0,36.219143,
1_1_LT05_189022_19860703,0.0,138.367447,512.0,0.0,1986-07-03T09:00:35,4.0,1.3228756555322954,703.0,153.0,Vistula_Water_Downstream,1998.0,189.0,16,66.0,628.0,22.0,5,1090.0,420.15992119072945,675.0,36.94841,
1_1_LT05_189022_19860804,1.0,140.931137,544.0,0.0,1986-08-04T08:59:29,4.0,1.7320508075688772,664.0,172.0,Vistula_Water_Downstream,2057.0,189.0,12,66.0,549.0,22.0,5,1191.0,318.49825570776494,523.0,42.442657,
1_1_LT05_189022_19870316,9.0,148.65242,,1.0,1987-03-16T08:59:20,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,60.636631,
1_1_LT05_189022_19870503,25.0,145.531464,,1.0,1987-05-03T09:00:55,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,43.045914,
1_1_LT05_189022_19870519,60.0,143.640884,,1.0,1987-05-19T09:01:21,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,39.104572,
1_1_LT05_189022_19870620,9.0,139.815933,469.0,0.0,1987-06-20T09:02:06,4.0,1.966664332071267,675.0,150.0,Vistula_Water_Downstream,2251.0,189.0,22,66.0,442.0,22.0,5,680.0,314.325330228317,311.0,36.011799,
1_1_LT05_189022_19870706,0.0,139.300415,338.0,0.0,1987-07-06T09:02:25,4.0,1.8461538461538463,620.5,153.0,Vistula_Water_Downstream,2087.0,189.0,13,66.0,537.0,22.0,5,1298.0,395.28713255020506,630.0,36.917374,
1_1_LT05_189022_19870823,0.0,146.493698,328.0,0.0,1987-08-23T09:03:42,4.0,1.8330302779823358,490.0,187.0,Vistula_Water_Downstream,2337.0,189.0,10,66.0,342.0,22.0,5,1224.0,194.0057731099774,465.0,47.030048,
1_1_LT05_189022_19871010,1.0,157.431061,503.0,0.0,1987-10-10T09:04:48,4.0,1.39970842444753,697.0,228.0,Vistula_Water_Downstream,2152.0,189.0,7,66.0,540.0,22.0,5,1324.0,188.01628240389041,639.0,63.294743,
1_1_LT05_189022_19871026,35.0,159.701218,,1.0,1987-10-26T09:05:02,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,68.761101,
1_1_LT05_189022_19880215,76.0,152.673203,,1.0,1988-02-15T09:07:02,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,71.022751,
1_1_LT05_189022_19880505,24.0,147.429733,424.0,0.0,1988-05-05T09:07:43,4.0,0.0,588.0,170.0,Vistula_Water_Downstream,1966.0,189.0,8,66.0,468.0,22.0,5,941.0,169.29929119757116,461.0,41.720425,
1_1_LT05_189022_19880606,72.0,143.284149,,1.0,1988-06-06T09:07:57,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,35.967506,
1_1_LT05_189022_19880708,44.0,141.203384,,1.0,1988-07-08T09:08:06,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,36.767685,
1_1_LT05_189022_19880724,24.0,142.37146,482.0,0.0,1988-07-24T09:08:09,4.0,1.7320508075688772,632.0,162.0,Vistula_Water_Downstream,2126.0,189.0,16,66.0,445.0,22.0,5,922.0,286.2593884923253,381.0,39.334282,
1_1_LT05_189022_19880809,15.0,144.943939,,1.0,1988-08-09T09:08:08,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,43.007069,
1_1_LT05_189022_19880825,26.0,148.421814,,1.0,1988-08-25T09:08:13,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,47.568146,
1_1_LT05_189022_19880910,32.0,152.207535,413.0,0.0,1988-09-10T09:08:12,4.0,1.1499191491521374,567.0,203.0,Vistula_Water_Downstream,2219.0,189.0,11,66.0,431.0,22.0,5,1129.0,160.05241909919414,523.0,52.787971,
1_1_LT05_189022_19881012,99.0,158.658875,,1.0,1988-10-12T09:07:59,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,64.128883,
1_1_LT05_189022_19881028,59.0,160.611023,,1.0,1988-10-28T09:07:59,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,69.586929,
1_1_LT05_189022_19890321,17.0,150.269745,1021.0,0.07540256325994085,1989-03-21T09:06:26,0.0,1.2570787221094177,1195.0,216.0,Vistula_Water_Downstream,1939.0,189.0,9,66.0,1091.0,22.0,5,1668.0,158.26708165567044,1095.0,57.934719,
1_1_LT05_189022_19890406,84.0,149.373657,,1.0,1989-04-06T09:06:34,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,51.672638,
1_1_LT05_189022_19890508,81.0,146.473999,,1.0,1989-05-08T09:06:07,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,41.178646,
1_1_LT05_189022_19890524,0.0,144.252808,286.0,0.0,1989-05-24T09:05:49,4.0,0.0,465.0,156.0,Vistula_Water_Downstream,2279.0,189.0,8,66.0,346.0,22.0,5,801.0,116.6773730206504,319.0,37.790859,
1_1_LT05_189022_19890625,59.0,140.31163,,1.0,1989-06-25T09:05:11,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,35.962955,
1_1_LT05_189022_19890711,60.0,140.054596,928.0,0.3288202431810714,1989-07-11T09:04:53,4.0,1.4907119849998596,1060.0,155.0,Vistula_Water_Downstream,2030.0,189.0,6,66.0,864.0,22.0,5,1162.0,201.5181271140527,646.0,37.453228,
1_1_LT05_189022_19890727,2.0,141.414932,432.0,0.0,1989-07-27T09:04:34,4.0,1.3228756555322954,607.0,165.0,Vistula_Water_Downstream,2139.0,189.0,8,66.0,465.0,22.0,5,1017.0,195.6981093419147,458.0,40.25127,
1_1_LT05_189022_19890812,62.0,144.107727,,1.0,1989-08-12T09:04:12,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,44.109318,
1_1_LT05_189022_19890913,29.0,151.354233,378.0,0.0,1989-09-13T09:03:20,4.0,0.0,534.0,207.0,Vistula_Water_Downstream,1700.0,189.0,9,66.0,440.0,22.0,5,1274.0,152.64224291128443,593.0,54.086033,
1_1_LT05_189022_19900324,87.0,147.576477,,1.0,1990-03-24T08:57:41,,,,,Vistula_Water_Downstream,,189.0,0,,,22.0,5,,,,57.518806,
1_1_LT05_189022_19900409,0.0,146.540329,377.0,0.0,1990-04-09T08:57:34,4.0,0.0,584.0,199.0,Vistula_Water_Downstream,1877.0,189.0,9,66.0,484.0,22.0,5,1196.0,262.30238887565713,527.0,51.299553,
1_1_LT05_189022_19900425,31.0,145.193268,543.0,0.0020867564903056194,1990-04-25T08:57:39,4.0,1.3228756555322954,764.0,183.0,Vistula_Water_Downstream,2108.0,189.0,8,66.0,568.0,22.0,5,1095.0,144.47923726266,490.0,45.700893,
