system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_189022_19840408,13.0,148.720917,969.0,0.10052682507257284,1984-04-08T09:04:35,4.0,,1154.0,,Vistula_Water_Upstream,1458.0,189.0,0,130.0,1067.0,22.0,5,1185.0,,839.0,50.943424,
1_1_LT05_189022_19840424,16.0,147.620392,,1.0,1984-04-24T09:04:35,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,45.26815,
1_1_LT05_189022_19840830,43.0,149.233154,,1.0,1984-08-30T09:07:29,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,49.23122,
1_1_LT05_189022_19841102,70.0,160.88887,,1.0,1984-11-02T09:07:24,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,71.168839,
1_1_LT05_189022_19841118,2.0,161.430084,1181.0,0.6772748449987456,1984-11-18T09:07:18,0.0,0.0,1400.0,248.0,Vistula_Water_Upstream,1975.0,189.0,8,66.0,1509.0,22.0,5,1502.0,492.9606982305993,1259.0,75.599228,
1_1_LT05_189022_19850206,3.0,153.647598,,1.0,1985-02-06T09:07:51,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,73.565201,
1_1_LT05_189022_19850222,16.0,152.228851,,1.0,1985-02-22T09:07:52,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,68.301605,
1_1_LT05_189022_19850326,69.0,150.388977,,1.0,1985-03-26T09:07:49,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,55.855392,
1_1_LT05_189022_19850411,4.0,149.530716,1003.0,0.806520206907262,1985-04-11T09:07:45,0.0,1.9595917942265424,1156.0,194.0,Vistula_Water_Upstream,1311.0,189.0,5,66.0,1065.0,22.0,5,1128.0,91.05383023245095,732.0,49.68457,
1_1_LT05_189022_19850427,59.0,148.287628,,1.0,1985-04-27T09:07:39,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,44.178322,
1_1_LT05_189022_19850513,12.0,146.506866,,1.0,1985-05-13T09:07:32,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,39.788902,
1_1_LT05_189022_19850529,3.0,144.281204,515.0,0.0,1985-05-29T09:07:33,4.0,0.0,738.0,153.0,Vistula_Water_Upstream,1679.0,189.0,1,66.0,692.0,22.0,5,1128.0,0.0,703.0,36.865768,
1_1_LT05_189022_19850614,44.0,142.175186,1058.0,0.0,1985-06-14T09:07:31,4.0,1.8540496217739157,1157.0,148.0,Vistula_Water_Upstream,1798.0,189.0,16,66.0,977.0,22.0,5,891.0,260.86993137145953,575.0,35.60957,
1_1_LT05_189022_19850817,21.0,146.164932,2136.0,0.9241180757146782,1985-08-17T09:07:04,4.0,1.7320508075688772,2154.0,181.0,Vistula_Water_Upstream,2622.0,189.0,4,130.0,1915.0,22.0,5,1450.0,117.66265337820663,987.0,45.213974,
1_1_LT05_189022_19850902,13.0,149.824951,,0.9757851604964817,1985-09-02T09:06:53,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,50.121548,
1_1_LT05_189022_19850918,21.0,153.525879,547.0,0.3370008003918336,1985-09-18T09:06:40,4.0,0.0,709.0,210.0,Vistula_Water_Upstream,1517.0,189.0,8,66.0,685.0,22.0,5,1299.0,203.1698796573941,763.0,55.570332,
1_1_LT05_189022_19851004,8.0,156.785492,974.0,0.0,1985-10-04T09:06:30,4.0,1.9595917942265424,1100.0,225.0,Vistula_Water_Upstream,1612.0,189.0,15,66.0,1025.0,22.0,5,1193.0,232.58571657682597,817.0,61.282249,
1_1_LT05_189022_19851020,31.0,159.242844,588.0,0.01836122758604212,1985-10-20T09:06:20,4.0,1.5612494995995996,806.0,235.0,Vistula_Water_Upstream,1114.0,189.0,16,66.0,747.0,22.0,5,1072.0,235.2213634935186,799.0,66.930695,
1_1_LT05_189022_19851105,58.0,160.653076,,1.0,1985-11-05T09:06:06,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,72.104576,
1_1_LT05_189022_19860225,17.0,150.943558,,1.0,1986-02-25T09:03:53,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,67.609375,
1_1_LT05_189022_19860414,17.0,147.6754,,0.016198975020607097,1986-04-14T09:02:53,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,49.099976,
1_1_LT05_189022_19860430,31.0,146.133469,,0.7659749847686628,1986-04-30T09:02:30,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,43.80909,
1_1_LT05_189022_19860516,7.0,144.023727,414.0,0.0,1986-05-16T09:02:04,4.0,1.8856180831641267,622.0,163.0,Vistula_Water_Upstream,1541.0,189.0,3,66.0,575.0,22.0,5,1012.0,227.477471412006,753.0,39.707794,
1_1_LT05_189022_19860617,2.0,139.435867,497.0,0.0,1986-06-17T09:01:07,4.0,0.0,779.0,151.0,Vistula_Water_Upstream,1701.0,189.0,3,66.0,732.0,22.0,5,1224.0,142.20251599586945,848.0,36.219143,
1_1_LT05_189022_19860703,0.0,138.367447,640.0,0.0,1986-07-03T09:00:35,0.0,1.9977311393717172,872.0,153.0,Vistula_Water_Upstream,1534.0,189.0,21,66.0,847.0,22.0,5,1279.0,285.31561074085386,1024.0,36.94841,
1_1_LT05_189022_19860804,1.0,140.931137,710.6423562412342,0.0,1986-08-04T08:59:29,0.0,1.8517925916444142,973.6368,172.0,Vistula_Water_Upstream,1551.9999999999998,189.0,45,66.0,1013.4332344213651,22.0,5,1609.9999999999998,526.3106222670327,1248.551948051948,42.442657,
1_1_LT05_189022_19870316,9.0,148.65242,,1.0,1987-03-16T08:59:20,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,60.636631,
1_1_LT05_189022_19870503,25.0,145.531464,,1.0,1987-05-03T09:00:55,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,43.045914,
1_1_LT05_189022_19870519,60.0,143.640884,,1.0,1987-05-19T09:01:21,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,39.104572,
1_1_LT05_189022_19870620,9.0,139.815933,633.0,0.0,1987-06-20T09:02:06,4.0,0.0,818.0,150.0,Vistula_Water_Upstream,1765.0,189.0,5,66.0,646.0,22.0,5,764.0,109.04201025292963,390.0,36.011799,
1_1_LT05_189022_19870706,0.0,139.300415,413.0,0.0,1987-07-06T09:02:25,4.0,1.8070158058105024,679.0,153.0,Vistula_Water_Upstream,1284.0,189.0,7,66.0,639.0,22.0,5,1107.0,133.0424207322075,821.0,36.917374,
1_1_LT05_189022_19870823,0.0,146.493698,507.0,0.0,1987-08-23T09:03:42,4.0,1.974911898873023,767.0,187.0,Vistula_Water_Upstream,1545.0,189.0,19,66.0,742.0,22.0,5,1219.0,411.9035467872979,950.0,47.030048,
1_1_LT05_189022_19871010,1.0,157.431061,583.0,0.0,1987-10-10T09:04:48,4.0,1.39970842444753,821.0,228.0,Vistula_Water_Upstream,1446.0,189.0,7,66.0,649.0,22.0,5,1179.0,213.25829887912067,770.0,63.294743,
1_1_LT05_189022_19871026,35.0,159.701218,686.0,0.0186598812553011,1987-10-26T09:05:02,4.0,1.39970842444753,909.0,239.0,Vistula_Water_Upstream,1372.0,189.0,7,66.0,891.0,22.0,5,1221.0,279.01342225046886,869.0,68.761101,
1_1_LT05_189022_19880215,76.0,152.673203,,1.0,1988-02-15T09:07:02,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,71.022751,
1_1_LT05_189022_19880505,24.0,147.429733,563.0,0.0,1988-05-05T09:07:43,4.0,0.0,772.0,172.0,Vistula_Water_Upstream,1351.0,189.0,2,66.0,707.0,22.0,5,910.0,0.0,419.0,41.720425,
1_1_LT05_189022_19880606,72.0,143.284149,,1.0,1988-06-06T09:07:57,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,35.967506,
1_1_LT05_189022_19880708,44.0,141.203384,,1.0,1988-07-08T09:08:06,,,,,Vistula_Water_Upstream,,189.0,0,,,22.0,5,,,,36.767685,
