system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_192056_19861113,11.0,127.081535,,1.0,1986-11-13T09:28:03,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,39.953568,
1_1_LT05_192056_19910519,79.0,64.321213,,0.009239054737917266,1991-05-19T09:32:00,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,36.407387,
1_1_LT05_192056_19910604,10.0,60.301178,,0.0,1991-06-04T09:32:16,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,37.633163,
1_1_LT05_192056_19911010,6.0,110.662811,,0.0,1991-10-10T09:33:34,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,34.155865,
1_1_LT05_192056_19911026,15.0,120.457787,,0.0,1991-10-26T09:33:39,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,35.854271,
1_1_LT05_192056_19911111,18.0,127.539368,,1.0,1991-11-11T09:33:43,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,5,,,,38.442986,
1_1_LT05_193056_19841114,31.0,130.0849,918.0,0.22673084457379525,1984-11-14T09:45:33,4.0,0.0,1039.0,167.0,Volta_Water_Midstream,1106.0,193.0,1,68.0,964.0,56.0,5,921.0,0.0,651.0,37.917271,
1_1_LT05_193056_19860205,70.0,120.660416,,1.0,1986-02-05T09:42:37,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,43.325077,
1_1_LT05_193056_19860309,56.0,104.748329,,1.0,1986-03-09T09:41:53,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,38.564148,
1_1_LT05_193056_19860410,49.0,84.471664,,0.4799350758381373,1986-04-10T09:41:14,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,34.911121,
1_1_LT05_193056_19861222,16.0,131.123703,1581.0,0.9176134773604971,1986-12-22T09:34:42,4.0,0.0,1835.0,183.0,Volta_Water_Midstream,2035.0,193.0,7,130.0,1868.0,56.0,5,1458.0,13.361534801247048,1033.0,45.705654,
1_1_LT05_193056_19870107,56.0,128.673477,952.0,0.7984832372530365,1987-01-07T09:35:10,4.0,0.0,1073.0,185.5,Volta_Water_Midstream,1296.0,193.0,3,66.0,1025.0,56.0,5,954.0,13.670731102938026,698.0,46.468174,
1_1_LT05_193056_19870123,18.0,124.39743,704.0,0.0,1987-01-23T09:35:37,4.0,0.0,895.0,183.0,Volta_Water_Midstream,1500.0,193.0,1,66.0,832.0,56.0,5,679.0,0.0,396.0,45.977844,
1_1_LT05_193056_19870328,81.0,92.975822,,1.0,1987-03-28T09:38:02,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,36.846146,
1_1_LT05_193056_19981121,25.0,133.967346,,0.0,1998-11-21T09:54:43,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,37.502449,
1_1_LT05_193056_19990124,17.0,127.391159,,0.0,1999-01-24T09:54:44,,,,,Volta_Water_Midstream,,193.0,0,,,56.0,5,,,,42.063931,
1_2_LE07_192056_20010506,87.0,65.987961,,1.0,2001-05-06T09:59:33,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,29.276619,
1_2_LE07_192056_20010725,89.0,62.209095,,1.0,2001-07-25T09:58:45,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,32.686344,
1_2_LE07_192056_20020509,61.0,64.717056,,0.0,2002-05-09T09:58:19,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,29.774529,
1_2_LE07_192056_20061112,27.0,134.339386,,1.0,2006-11-12T09:59:25,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,33.945469,
1_2_LE07_192056_20061128,13.0,137.871735,,1.0,2006-11-28T09:59:34,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,37.025238,
1_2_LE07_192056_20061214,12.0,138.373718,,0.9335089848722581,2006-12-14T09:59:41,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,39.425144,
1_2_LE07_192056_20070928,68.0,105.622162,,1.0,2007-09-28T09:59:16,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,27.554893,
1_2_LE07_192056_20071030,23.0,128.777008,,1.0,2007-10-30T09:59:29,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,31.318298,
1_2_LE07_192056_20071201,14.0,138.194946,,0.0,2007-12-01T09:59:45,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,37.484867,
1_2_LE07_192056_20071217,71.0,138.201935,,1.0,2007-12-17T09:59:49,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,39.733421,
1_2_LE07_192056_20080102,62.0,135.875809,,1.0,2008-01-02T09:59:52,,,,,Volta_Water_Midstream,,192.0,0,,,56.0,7,,,,40.775501,
