system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_078016_19850924,46.0,161.792526,624.8550814777956,0.40015254999018807,1985-09-24T21:38:12,0.0,1.9028258710695238,865.0924274055793,231.0,Yukon_Land_Downstream,2481.263230052098,78.0,682,66.0,901.7339210064622,16.0,5,2034.9999999999998,430.4802661115166,1008.0,64.747269,
1_1_LT05_078016_19860607,45.0,152.603836,,1.0,1986-06-07T21:33:01,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,42.206844,
1_1_LT05_078016_19950904,40.0,150.53598,,1.0,1995-09-04T21:11:29,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,58.675117,
1_1_LT05_078016_19950920,35.0,153.344254,536.0,0.9959172305530414,1995-09-20T21:10:42,4.0,1.8856180831641267,772.0,230.0,Yukon_Land_Downstream,2367.0,78.0,6,66.0,884.0,16.0,5,1855.0,95.50465375513741,830.0,64.366302,
1_1_LT05_078016_20050510,11.0,162.732559,1180.0,0.9693317550844722,2005-05-10T21:56:18,0.0,0.0,1178.0,183.0,Yukon_Land_Downstream,1507.0,78.0,34,130.0,1150.0,16.0,5,1306.0,98.81964715763719,818.0,45.901428,
1_1_LT05_078016_20050627,9.0,159.283493,604.9999999999998,0.12849962970230577,2005-06-27T21:56:38,0.0,1.606640472228492,763.9999999999993,166.0,Yukon_Land_Downstream,2468.0,78.0,1078,66.0,676.0000000000001,16.0,5,1885.752590959206,205.58293055370578,975.9999999999999,40.75771,
1_1_LT05_078016_20050713,92.0,158.815659,,1.0,2005-07-13T21:56:47,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,42.416069,
1_1_LT05_078016_20050830,69.0,163.258026,,1.0,2005-08-30T21:57:09,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,55.061852,
1_1_LT05_078016_20051001,74.0,167.954285,,1.0,2005-10-01T21:57:06,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,66.880219,
1_1_LT05_078016_20060411,63.0,164.306717,,1.0,2006-04-11T22:00:41,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,55.12035,
1_1_LT05_078016_20060529,2.0,163.327286,820.3772764900663,0.346766383299257,2006-05-29T22:01:20,0.0,0.9185916155561948,910.0000000000001,170.0,Yukon_Land_Downstream,1540.0,78.0,734,66.0,1069.0,16.0,5,1867.0,337.59977609197153,1242.0,41.92326,
1_1_LT05_078016_20060614,79.0,162.04332,921.0,0.8029035137136725,2006-06-14T22:01:36,0.0,1.7688665548562132,1014.0,165.0,Yukon_Land_Downstream,1802.0,78.0,240,66.0,1116.0,16.0,5,2202.0,545.7668381729558,1540.0,40.442936,
1_1_LT05_078016_20070703,30.0,161.095032,,1.0,2007-07-03T22:02:49,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,40.914696,
1_1_LT05_078016_20070820,74.0,163.400467,458.64288627834895,0.0,2007-08-20T22:02:19,0.0,0.4374465778454708,857.0000000000003,198.99999999999983,Yukon_Land_Downstream,3235.7629752783,78.0,1239,66.0,703.0,16.0,5,2100.139486864072,216.98712858283727,952.9999999999999,51.383247,
1_1_LT05_078016_20070905,70.0,165.632355,1000.2,0.6124723859198248,2007-09-05T22:02:11,0.0,0.5131283587198624,1268.9445722257833,213.0,Yukon_Land_Downstream,3446.747448979592,78.0,478,66.0,1112.9692084767253,16.0,5,2205.1785714285716,391.41244847854523,977.695652173913,56.841351,
1_1_LT05_078016_20080502,46.0,163.315948,,1.0,2008-05-02T21:57:52,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,48.011467,
1_1_LT05_078016_20080518,40.0,162.517654,,1.0,2008-05-18T21:57:28,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,43.965553,
1_1_LT05_078016_20080603,83.0,161.157349,774.0,0.9928504060614887,2008-06-03T21:57:02,4.0,1.9876159799998132,867.0,169.0,Yukon_Land_Downstream,1179.0,78.0,9,66.0,963.0,16.0,5,1346.0,190.83526604229107,931.0,41.4272,
1_1_LT05_078016_20080705,1.0,158.575638,482.2957029052032,0.0,2008-07-05T21:56:09,0.0,1.7829453806176194,710.4948792589364,169.00000000000014,Yukon_Land_Downstream,2537.642390476572,78.0,1236,66.0,634.0668853286237,16.0,5,1736.0816229116947,215.23930745477838,881.0,41.482014,
1_1_LT05_078016_20080822,16.0,161.303543,512.0,0.0,2008-08-22T21:54:45,0.0,1.2004303340786882,768.0000000000002,202.00000000000006,Yukon_Land_Downstream,2774.5878341380853,78.0,1239,66.0,630.8074691285583,16.0,5,1736.129015013142,169.3417883368927,814.6877465582481,52.562996,
1_1_LT05_078016_20090521,10.0,162.379791,1278.0,0.7959438160285079,2009-05-21T21:56:55,0.0,0.5174020137385758,1303.0000000000002,175.0,Yukon_Land_Downstream,1844.9999999999998,78.0,235,66.0,1348.148832684825,16.0,5,1556.0,428.15852794503576,980.7689631176061,43.381859,
1_1_LT05_078016_20090622,58.0,159.955688,,0.9943505864629291,2009-06-22T21:57:30,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,40.527481,
1_1_LT05_078016_20090724,66.0,159.571869,544.0000000000001,0.5510409479620955,2009-07-24T21:58:02,0.0,0.16933322976734788,850.0,178.0,Yukon_Land_Downstream,3392.9999999999995,78.0,557,66.0,663.9999999999999,16.0,5,1985.301804604854,154.47354836504246,873.0,44.367344,
1_1_LT05_078016_20090809,65.0,160.929962,,1.0,2009-08-09T21:58:16,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,48.344864,
1_1_LT05_078016_20090825,43.0,163.042419,1000.9999999999999,0.35603965033769824,2009-08-25T21:58:31,0.0,0.876987750667786,1195.0,204.0,Yukon_Land_Downstream,3724.13225420767,78.0,790,66.0,963.0000000000001,16.0,5,2091.0,409.14665178030543,866.0,53.303532,
1_1_LT05_078016_20100524,52.0,163.061996,,1.0,2010-05-24T21:59:47,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,42.801426,
1_1_LT05_078016_20100625,33.0,160.41478,550.5641999141999,0.0,2010-06-25T21:59:37,0.0,1.6357939957197496,768.6794512181335,166.00000000000006,Yukon_Land_Downstream,2018.9999999999998,78.0,1234,66.0,815.0000000000001,16.0,5,2026.2679180887371,397.31436353663236,1237.2598892096432,40.545704,
1_1_LT05_078016_20100913,51.0,165.964478,,1.0,2010-09-13T21:59:15,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,59.966026,
1_1_LT05_078016_20110425,12.0,163.778564,,1.0,2011-04-25T21:58:42,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,50.369541,
1_1_LT05_078016_20110511,38.0,163.403625,,1.0,2011-05-11T21:58:37,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,45.698627,
1_1_LT05_078016_20110527,14.0,162.414474,,1.0,2011-05-27T21:58:32,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,42.382576,
1_1_LT05_078016_20110612,61.0,161.003845,636.3059265776213,0.0,2011-06-12T21:58:23,0.0,0.9776752256395784,873.8240452760923,166.00000000000006,Yukon_Land_Downstream,2502.082972162027,78.0,1238,66.0,974.3978157644824,16.0,5,2469.4924346629987,442.51391144746356,1372.1031279879796,40.683632,
1_1_LT05_078016_20111002,51.0,168.06987,627.0000000000007,3.7979250669384237E-4,2011-10-02T21:57:11,0.0,1.2702798565899722,848.1686660148418,235.00000000000009,Yukon_Land_Downstream,1869.9283867418503,78.0,1239,66.0,918.9271428263542,16.0,5,2208.031857896472,248.44859086266257,1246.9133437756404,67.081268,
1_1_LT05_078016_20111018,30.0,169.682434,,0.6982073793684037,2011-10-18T21:57:02,,,,,Yukon_Land_Downstream,,78.0,0,,,16.0,5,,,,73.004417,
1_1_LT05_079016_19860630,31.0,150.646027,,1.0,1986-06-30T21:38:28,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,42.153091,
1_1_LT05_079016_19950927,83.0,154.496597,,1.0,1995-09-27T21:16:31,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,66.939262,
1_1_LT05_079016_19951013,42.0,156.746368,1145.816633775021,0.40779587418740165,1995-10-13T21:15:41,0.0,1.3321122241366035,1445.858257996587,244.0,Yukon_Land_Downstream,2541.941697416974,79.0,732,66.0,1696.8767035775127,16.0,5,1667.1689128002981,263.44733194297913,952.2030265496253,72.782516,
1_1_LT05_079016_20050720,81.0,158.957291,,1.0,2005-07-20T22:03:03,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,43.624344,
1_1_LT05_079016_20060605,63.0,162.781342,,1.0,2006-06-05T22:07:38,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,41.064358,
1_1_LT05_079016_20060621,87.0,161.518753,,1.0,2006-06-21T22:07:54,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,40.349312,
1_1_LT05_079016_20060707,39.0,160.731003,617.8561766087364,0.04303998582107969,2006-07-07T22:08:10,0.0,1.8828101113705413,784.9999999999999,169.00000000000009,Yukon_Land_Downstream,2388.0,79.0,1183,66.0,726.0000000000002,16.0,5,1813.9999999999998,180.53343408976582,967.9999999999998,41.362175,
1_1_LT05_079016_20060723,59.0,160.899124,,1.0,2006-07-23T22:08:23,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,43.946651,
1_1_LT05_079016_20060824,70.0,164.097672,,1.0,2006-08-24T22:08:45,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,52.748211,
1_1_LT05_079016_20060909,81.0,166.479767,,1.0,2006-09-09T22:08:56,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,58.364044,
1_1_LT05_079016_20070827,27.0,164.340805,419.0000000000002,0.0,2007-08-27T22:08:25,0.0,1.431915394252137,678.9874321315575,205.0000000000001,Yukon_Land_Downstream,2738.9976970685602,79.0,1239,66.0,601.9999999999999,16.0,5,1810.9999999999998,197.43701728026386,835.0000000000002,53.691803,
1_1_LT05_079016_20080509,95.0,163.041336,,1.0,2008-05-09T22:03:52,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,46.074226,
1_1_LT05_079016_20080525,82.0,161.97403,,1.0,2008-05-25T22:03:27,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,42.654503,
1_1_LT05_079016_20080610,67.0,160.462677,,1.0,2008-06-10T22:03:02,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,40.837898,
1_1_LT05_079016_20080626,63.0,159.072067,,1.0,2008-06-26T22:02:35,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,40.767696,
1_1_LT05_079016_20080813,74.0,160.187958,,1.0,2008-08-13T22:01:09,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,49.74992,
1_1_LT05_079016_20080829,48.0,162.282562,,1.0,2008-08-29T22:00:44,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,54.92337,
1_1_LT05_079016_20090512,70.0,162.834824,,1.0,2009-05-12T22:02:56,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,45.362953,
1_1_LT05_079016_20090613,82.0,160.619843,,1.0,2009-06-13T22:03:31,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,40.627476,
1_1_LT05_079016_20090816,21.0,161.782883,437.82001869998663,0.0,2009-08-16T22:04:33,0.0,0.5163236003975531,773.0000000000005,197.0000000000002,Yukon_Land_Downstream,3164.389084608721,79.0,1239,66.0,553.8477079699164,16.0,5,1805.2085442791492,185.94429794440052,768.0000000000003,50.40921,
1_1_LT05_079016_20100803,85.0,160.610016,599.0,0.9855140808071856,2010-08-03T22:05:36,4.0,1.7613895295454223,745.0,185.0,Yukon_Land_Downstream,2399.0,79.0,19,66.0,528.0,16.0,5,953.0,98.78808568130181,423.0,46.635742,
1_1_LT05_079016_20100819,73.0,162.349731,321.7621048818042,0.2052810148055775,2010-08-19T22:05:32,0.0,1.5799984786062125,620.7057941140456,199.0,Yukon_Land_Downstream,2912.4552345537754,79.0,946,66.0,460.7181949195216,16.0,5,1724.4767246214246,368.4898494294272,754.0,51.25827,
1_1_LT05_079016_20100920,58.0,166.983841,,1.0,2010-09-20T22:05:23,,,,,Yukon_Land_Downstream,,79.0,0,,,16.0,5,,,,62.58989,
1_1_LT05_079016_20101006,63.0,169.031113,604.2888701172376,0.0,2010-10-06T22:05:15,4.0,0.0,667.0000000000001,238.0,Yukon_Land_Downstream,1432.0,79.0,784,66.0,709.2935759648265,16.0,5,1033.0,182.11958577685098,532.9999999999999,68.649994,
