system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_078016_19850924,46.0,161.792526,691.0,0.30081422213373493,1985-09-24T21:38:12,4.0,0.0,792.0,231.0,Yukon_Water_Midstream,1720.0,78.0,6,66.0,716.0,16.0,5,1129.0,234.81884270409145,527.0,64.747269,
1_1_LT05_078016_19860607,45.0,152.603836,,1.0,1986-06-07T21:33:01,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,42.206844,
1_1_LT05_078016_19950904,40.0,150.53598,605.0,0.9579698783436821,1995-09-04T21:11:29,4.0,0.0,719.0,214.0,Yukon_Water_Midstream,1550.0,78.0,2,66.0,722.0,16.0,5,943.0,80.5,550.0,58.675117,
1_1_LT05_078016_19950920,35.0,153.344254,411.0,0.20723743790329163,1995-09-20T21:10:42,4.0,0.0,550.0,228.0,Yukon_Water_Midstream,1499.0,78.0,4,66.0,588.0,16.0,5,919.0,21.21762239271875,402.0,64.366302,
1_1_LT05_078016_20050510,11.0,162.732559,1004.0,0.625587784317548,2005-05-10T21:56:18,0.0,1.8090028605507977,1132.0,183.0,Yukon_Water_Midstream,1121.9999999999998,78.0,136,68.0,1151.0,16.0,5,1247.0,201.58984394473103,1109.0,45.901428,
1_1_LT05_078016_20050627,9.0,159.283493,,0.1669978030243327,2005-06-27T21:56:38,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,40.75771,
1_1_LT05_078016_20050713,92.0,158.815659,,1.0,2005-07-13T21:56:47,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,42.416069,
1_1_LT05_078016_20050830,69.0,163.258026,,1.0,2005-08-30T21:57:09,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,55.061852,
1_1_LT05_078016_20051001,74.0,167.954285,,1.0,2005-10-01T21:57:06,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,66.880219,
1_1_LT05_078016_20060411,63.0,164.306717,,1.0,2006-04-11T22:00:41,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,55.12035,
1_1_LT05_078016_20060529,2.0,163.327286,,0.0,2006-05-29T22:01:20,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,41.92326,
1_1_LT05_078016_20060614,79.0,162.04332,,1.0,2006-06-14T22:01:36,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,40.442936,
1_1_LT05_078016_20070703,30.0,161.095032,,1.0,2007-07-03T22:02:49,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,40.914696,
1_1_LT05_078016_20070820,74.0,163.400467,714.5208333333334,0.0,2007-08-20T22:02:19,0.0,1.9999918831662955,1027.0,199.0,Yukon_Water_Midstream,1257.0,78.0,351,66.0,1011.4194649971541,16.0,5,1241.0,290.81179690924,1000.0,51.383247,
1_1_LT05_078016_20070905,70.0,165.632355,1057.5055066079296,0.06755181696385984,2007-09-05T22:02:11,0.0,1.519111033432897,1334.0179843430426,213.0,Yukon_Water_Midstream,1734.0,78.0,452,66.0,1371.0,16.0,5,1540.034691011236,244.08587882641294,1261.1979030144169,56.841351,
1_1_LT05_078016_20080502,46.0,163.315948,,1.0,2008-05-02T21:57:52,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,48.011467,
1_1_LT05_078016_20080518,40.0,162.517654,1150.0,0.9402862290136283,2008-05-18T21:57:28,0.0,1.4947018423704757,1315.0,177.0,Yukon_Water_Midstream,1357.0,78.0,149,66.0,1325.0,16.0,5,1500.0,211.29729871383554,1260.0,43.965553,
1_1_LT05_078016_20080603,83.0,161.157349,721.5,0.0,2008-06-03T21:57:02,4.0,0.0,888.0,169.0,Yukon_Water_Midstream,996.5,78.0,2,68.0,980.0,16.0,5,929.0,0.0,732.5,41.4272,
1_1_LT05_078016_20080705,1.0,158.575638,652.5263157894736,0.0,2008-07-05T21:56:09,0.0,1.905673969333192,888.0088339222614,169.0,Yukon_Water_Midstream,1086.05,78.0,201,66.0,919.0,16.0,5,1217.0000000000002,245.79038809185494,1087.0,41.482014,
1_1_LT05_078016_20080822,16.0,161.303543,765.0,0.040433201017051806,2008-08-22T21:54:45,0.0,1.9641825328808598,977.9999999999999,202.0,Yukon_Water_Midstream,1178.9326109936576,78.0,207,66.0,1011.0,16.0,5,1154.0,81.9685668253181,1011.0000000000001,52.562996,
1_1_LT05_078016_20090521,10.0,162.379791,,0.6206062214922015,2009-05-21T21:56:55,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,43.381859,
1_1_LT05_078016_20090622,58.0,159.955688,,0.9267932865732849,2009-06-22T21:57:30,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,40.527481,
1_1_LT05_078016_20090724,66.0,159.571869,735.0,0.8188414513589035,2009-07-24T21:58:02,4.0,,947.0,,Yukon_Water_Midstream,1217.0,78.0,0,66.0,1009.0,16.0,5,1174.0,,957.0,44.367344,
1_1_LT05_078016_20090809,65.0,160.929962,,1.0,2009-08-09T21:58:16,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,48.344864,
1_1_LT05_078016_20090825,43.0,163.042419,1001.9999999999999,0.8019362144270376,2009-08-25T21:58:31,4.0,1.9942233512210612,1080.0,204.0,Yukon_Water_Midstream,1265.7707272489884,78.0,316,66.0,1099.0000000000002,16.0,5,1224.0,156.42921716858712,964.8050513022889,53.303532,
1_1_LT05_078016_20100524,52.0,163.061996,,1.0,2010-05-24T21:59:47,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,42.801426,
1_1_LT05_078016_20100625,33.0,160.41478,717.0,0.0,2010-06-25T21:59:37,0.0,1.9809716809197473,984.212201591512,166.0,Yukon_Water_Midstream,1092.7774574409664,78.0,109,66.0,987.0,16.0,5,1199.0,194.96224656599992,1081.0,40.545704,
1_1_LT05_078016_20100913,51.0,165.964478,,1.0,2010-09-13T21:59:15,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,59.966026,
1_1_LT05_078016_20110425,12.0,163.778564,,1.0,2011-04-25T21:58:42,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,50.369541,
1_1_LT05_078016_20110511,38.0,163.403625,,1.0,2011-05-11T21:58:37,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,45.698627,
1_1_LT05_078016_20110527,14.0,162.414474,,1.0,2011-05-27T21:58:32,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,42.382576,
1_1_LT05_078016_20110612,61.0,161.003845,,0.953415543637412,2011-06-12T21:58:23,,,,,Yukon_Water_Midstream,,78.0,0,,,16.0,5,,,,40.683632,
