system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_110023_19860726,76.0,137.650192,2753.4245318415938,1.0,1986-07-26T00:51:58,0.0,0.0,2883.503048539076,162.0000000000001,Amur_Land_Midstream,3920.9999999999995,110.0,1414,224.0,2664.0,23.0,5,2615.0,329.5799110673613,1835.9999999999998,39.538624,
1_1_LT05_110023_19900315,0.0,147.016769,20000.0,1.0,1990-03-15T00:50:09,2.0,0.0,7948.666666666667,221.00000000000014,Amur_Land_Midstream,7702.766341096919,110.0,1414,80.0,8131.825910931176,23.0,5,1022.0000000000002,58.15901923948499,666.0000000000003,60.272705,
1_1_LT05_110023_19900331,3.0,145.90979,20000.0,1.0,1990-03-31T00:49:40,2.0,0.0,5357.818181818182,206.0000000000001,Amur_Land_Midstream,4647.684210526316,110.0,1414,80.0,5277.9375,23.0,5,533.0,91.20237034996367,372.00000000000017,53.899105,
1_1_LT05_110023_19901025,12.0,156.500732,620.8124694734786,0.02328424254995506,1990-10-25T00:49:07,0.0,0.5373929799940765,736.6108288724473,236.0000000000001,Amur_Land_Midstream,1557.498986922085,110.0,1414,66.0,880.0000000000001,23.0,5,2200.5880452342485,484.78431269236546,1303.0,67.770905,
1_1_LT05_110023_19910302,26.0,148.382523,20000.0,1.0,1991-03-02T00:50:40,2.0,0.0,7845.0,232.00000000000017,Amur_Land_Midstream,7715.188533627343,110.0,1414,80.0,7983.262848751836,23.0,5,1758.0000000000002,124.3621733786051,1261.9665902592922,65.265381,
1_1_LT05_110023_19910505,4.0,143.166122,20000.0,0.9809776671506601,1991-05-05T00:51:52,2.0,0.26564508526984076,4774.539503386004,170.00000000000014,Amur_Land_Midstream,4625.3615739099605,110.0,1414,80.0,4864.934515688949,23.0,5,1036.0,332.5269547413263,712.0,41.754948,
1_1_LT05_110023_19911113,41.0,159.152405,3575.814662273476,1.0,1991-11-13T00:53:47,2.0,0.0,3649.7539635936578,243.99999999999997,Amur_Land_Midstream,3807.0,110.0,1414,72.00000000000001,3689.894907908992,23.0,5,811.4973977021218,123.05048898601562,573.0000000000002,73.160316,
1_1_LT05_110023_19920523,17.0,140.756729,702.5074427748912,0.0,1992-05-23T00:53:11,0.0,0.1503290552258718,901.8003733208892,155.00000000000023,Amur_Land_Midstream,1608.3142439243923,110.0,1414,66.0,1020.7058782944667,23.0,5,2378.1666666666665,700.3494670302412,1590.8234060402685,37.488247,
1_1_LT05_110023_19920608,0.0,138.299591,529.667869362364,0.0,1992-06-08T00:53:03,0.0,0.9765080529771446,824.8600924008284,149.0000000000001,Amur_Land_Midstream,2211.9439462564974,110.0,1414,66.0,793.3714430379746,23.0,5,2260.6128170894526,684.8774667720768,1313.8739508622002,35.677021,
1_1_LT05_110023_19920624,26.0,136.630188,578.6453705523884,0.0,1992-06-24T00:52:50,0.0,0.0,798.0000000000006,148.00000000000014,Amur_Land_Midstream,3337.0,110.0,1414,66.0,592.0000000000001,23.0,5,1998.0,370.28115651857206,871.0,35.535702,
1_1_LT05_110023_19920811,0.0,140.871689,362.0,0.0,1992-08-11T00:52:14,0.0,0.10633632887814712,636.3407619334438,175.0000000000001,Amur_Land_Midstream,3603.9668503674015,110.0,1414,66.0,462.364487258318,23.0,5,1946.8067815874217,312.7062342120035,801.8561083419543,43.285057,
1_1_LT05_110023_19930203,59.0,151.17244,5550.974847223452,1.0,1993-02-03T00:51:26,2.0,0.0,5548.999294988544,245.00000000000009,Amur_Land_Midstream,5366.928319910748,110.0,1414,224.0,5574.998794091047,23.0,5,2158.774599245978,226.4677491469902,1880.9214308414853,73.994148,
1_1_LT05_110023_19930219,1.0,149.492416,5771.666666666667,1.0,1993-02-19T00:51:32,2.0,0.0,5997.75,238.00000000000023,Amur_Land_Midstream,6244.030888030889,110.0,1414,160.0,6214.594771241831,23.0,5,1135.0000000000007,116.37415848597352,850.0,69.006973,
1_1_LT05_110023_19930323,50.0,147.062256,5791.818965517241,1.0,1993-03-23T00:51:45,2.0,0.0,6228.0,213.00000000000017,Amur_Land_Midstream,6069.406976744186,110.0,1414,80.0,6293.333333333333,23.0,5,926.9693213804201,41.62995683517302,602.0708586763066,56.772861,
1_1_LT05_110023_19930526,66.0,140.015762,3396.3475622299934,1.0,1993-05-26T00:52:06,2.0,0.0,3568.0,154.0000000000001,Amur_Land_Midstream,3913.799079082005,110.0,1414,224.0,3566.2041167936163,23.0,5,2298.0,102.59575261341551,1720.0,37.128582,
1_1_LT05_110023_19931102,13.0,158.06485,1095.9656113914425,0.040497822028624786,1993-11-02T00:51:40,0.0,1.5307840071356587,1021.941450174486,240.00000000000009,Amur_Land_Midstream,1875.568738229755,110.0,1414,66.0,1208.7066099148724,23.0,5,1693.3636363636363,598.9003244975767,1087.0,70.234695,
1_1_LT05_110023_19940411,68.0,144.967987,20000.0,1.0,1994-04-11T00:49:44,2.0,0.0,7384.4,195.0000000000001,Amur_Land_Midstream,7030.0,110.0,1414,80.0,7550.0,23.0,5,1068.0000000000007,47.535809004871304,688.0000000000003,49.727592,
1_1_LT05_110023_19940614,74.0,136.009705,20000.0,1.0,1994-06-14T00:48:32,4.0,1.5557110630021524,6994.1752276241195,150.00000000000014,Amur_Land_Midstream,7303.999999999999,110.0,1414,224.0,7112.969502954993,23.0,5,5692.873203692542,3718.8436962163305,3899.4265056281324,35.90826,
1_1_LT05_110023_19940918,60.0,148.454147,20000.0,1.0,1994-09-18T00:46:03,4.0,0.17571375685458596,6363.024692085568,210.00000000000006,Amur_Land_Midstream,6569.987223961419,110.0,1414,224.0,6321.207579026357,23.0,5,5357.520833333333,415.1246575202987,3748.6681518151813,55.264088,
1_1_LT05_110023_19941121,25.0,156.927597,4834.026845637584,1.0,1994-11-21T00:43:59,2.0,0.0,4577.994757536042,247.00000000000009,Amur_Land_Midstream,4261.359526372444,110.0,1414,72.00000000000001,4504.833333333333,23.0,5,1200.6561647312644,601.9576254328961,922.0000000000001,75.793686,
1_1_LT05_110023_19950209,6.0,148.011734,6588.354838709678,1.0,1995-02-09T00:41:12,2.0,0.0,5883.327731092436,243.99999999999997,Amur_Land_Midstream,7066.7827380952385,110.0,1414,224.0,6580.434367541766,23.0,5,1291.6726546734055,138.18302835151573,875.7054526320113,73.240128,
1_1_LT05_110023_19950703,32.0,130.296234,319.0,0.0,1995-07-03T00:34:59,0.0,0.0,548.4630259806419,157.0000000000001,Amur_Land_Midstream,4022.149331352154,110.0,1414,66.0,372.0226936176513,23.0,5,1964.7344804318489,220.1960239690295,819.0,38.031849,
1_1_LT05_110023_19950804,13.0,133.247696,343.99999999999994,0.0,1995-08-04T00:33:32,0.0,0.0,561.4257172726216,175.0000000000001,Amur_Land_Midstream,4167.653052972099,110.0,1414,66.0,396.5,23.0,5,1977.1150548954731,329.31880540963675,785.0891400605918,43.357418,
1_1_LT05_110023_19960212,9.0,146.383362,4622.0,1.0,1996-02-12T00:34:48,2.0,0.0,4277.0,244.0,Amur_Land_Midstream,4492.0,110.0,7,224.0,4252.0,23.0,5,1330.0,72.02720574440616,954.0,72.80864,
1_1_LT05_110023_19960315,23.0,143.716446,5871.0,1.0,1996-03-15T00:36:56,2.0,0.0,5957.592592592592,223.0000000000002,Amur_Land_Midstream,6244.645161290323,110.0,1105,224.0,6227.727272727273,23.0,5,1543.0000000000002,53.48406362395365,1157.0000000000007,61.036331,
1_1_LT05_110023_19960416,0.0,141.358063,20000.0,1.0,1996-04-16T00:38:57,2.0,0.0,7155.0,191.00000000000014,Amur_Land_Midstream,6589.0,110.0,1414,80.0,7284.0,23.0,5,744.9999999999999,60.44414828176988,459.00000000000034,48.621059,
1_1_LT05_110023_19960502,7.0,139.688477,2615.369677388243,0.9564184470718383,1996-05-02T00:39:54,2.0,0.5208305116402077,2853.3891824681377,175.0000000000001,Amur_Land_Midstream,3143.0,110.0,1414,79.99999999999997,3031.107021926172,23.0,5,783.9999999999999,512.3852872654982,509.00000000000006,43.430889,
