system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_110023_19860726,76.0,137.650192,2879.9565563681126,1.0,1986-07-26T00:51:58,2.0,1.0847599111169266,2956.825405032747,162.0,Amur_Water_Midstream,3159.0160085378866,110.0,1925,224.0,2762.474770642202,23.0,5,2118.7564823030657,541.0638000046702,1678.0,39.538624,
1_1_LT05_110023_19900315,0.0,147.016769,20000.0,1.0,1990-03-15T00:50:09,2.0,0.0,8396.0,221.0,Amur_Water_Midstream,7928.000000000002,110.0,1925,80.0,8528.999999999998,23.0,5,862.0000000000001,39.44481179488885,552.0,60.272705,
1_1_LT05_110023_19900331,3.0,145.90979,20000.0,1.0,1990-03-31T00:49:40,2.0,0.0,6509.6373054139685,206.0,Amur_Water_Midstream,6201.835377663008,110.0,1925,80.0,6723.801556420233,23.0,5,533.0000000000001,40.13905576710609,372.0000000000001,53.899105,
1_1_LT05_110023_19901025,12.0,156.500732,496.00000000000017,4.892786809046764E-5,1990-10-25T00:49:07,1.0,0.0,562.7750871662607,236.0,Amur_Water_Midstream,192.00000000000009,110.0,1925,68.0,589.9187119590792,23.0,5,33.00000000000001,45.016014484411194,48.00000000000001,67.770905,
1_1_LT05_110023_19910302,26.0,148.382523,20000.0,1.0,1991-03-02T00:50:40,2.0,0.0,8329.0,232.0,Amur_Water_Midstream,7914.000000000001,110.0,1925,80.0,8404.000000000007,23.0,5,1666.0201776170177,54.1113373663356,1194.0000000000007,65.265381,
1_1_LT05_110023_19910505,4.0,143.166122,20000.0,0.9461793451004857,1991-05-05T00:51:52,2.0,0.23408693730081523,6936.620359955005,170.0,Amur_Water_Midstream,6616.492201351594,110.0,1925,79.99999999999997,7069.4859564939225,23.0,5,1571.4365393977328,398.0711169320591,1094.0,41.754948,
1_1_LT05_110023_19911113,41.0,159.152405,2672.913524914316,0.9994169429052553,1991-11-13T00:53:47,2.0,0.44375739703640293,2750.9560308972073,244.0,Amur_Water_Midstream,2101.92399103139,110.0,1925,72.0,2661.0409043744194,23.0,5,259.0,114.16141792636573,169.00000000000006,73.160316,
1_1_LT05_110023_19920523,17.0,140.756729,522.9999999999999,0.0,1992-05-23T00:53:11,1.0,0.0,609.0000000000001,155.0,Amur_Water_Midstream,513.9999999999999,110.0,1925,68.0,648.9999999999999,23.0,5,162.00000000000003,21.321282840705187,92.00000000000006,37.488247,
1_1_LT05_110023_19920608,0.0,138.299591,390.00000000000006,0.0,1992-06-08T00:53:03,1.0,0.0,538.9999999999998,149.0,Amur_Water_Midstream,535.0000000000001,110.0,1925,68.0,532.0,23.0,5,156.99999999999997,22.100239317826695,90.00000000000001,35.677021,
1_1_LT05_110023_19920624,26.0,136.630188,600.0,0.0,1992-06-24T00:52:50,1.0,0.0,796.0000000000002,148.0,Amur_Water_Midstream,716.2307718802745,110.0,1925,68.0,738.0000000000003,23.0,5,111.00000000000004,24.38002813576772,42.99999999999999,35.535702,
