system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_183064_19870306,55.0,92.169609,19999.999999999996,1.0,1987-03-06T08:38:37,2.0,1.139047761596062,5047.008936451897,164.0,Congo_Water_Downstream,5221.562900227226,183.0,1890,224.0,5048.408959916164,64.0,5,3914.534187151415,1777.8741516883647,2730.8559622195985,40.02877,
1_1_LT05_183064_19870728,46.0,55.44453,2638.607272727272,1.0,1987-07-28T08:42:34,0.0,0.8446938738648325,2944.0,180.0,Congo_Water_Downstream,3442.6430197268587,183.0,1890,224.0,3094.6374740442166,64.0,5,3859.0,911.5667002030749,3391.9999999999995,44.894402,
1_1_LT05_183064_19950413,71.0,70.338898,20000.0,1.0,1995-04-13T08:26:06,4.0,1.9545764888028534,5133.94057142857,174.0,Congo_Water_Downstream,5711.81835686778,183.0,1890,224.0,5131.949720670391,64.0,5,4537.166666666667,1373.1354689934396,3368.6859036310916,43.104996,
1_1_LT05_183064_19950531,53.0,53.696445,2492.04430525227,0.9398275926471628,1995-05-31T08:23:57,0.0,1.3510506121170212,2575.0142792725087,190.0,Congo_Water_Downstream,2753.0526315789475,183.0,1890,224.0,2598.117647058824,64.0,5,2705.768392370572,1846.6850017651955,2293.769230769231,48.27528,
1_1_LT05_183064_19980624,46.0,47.262653,1104.9846074091795,0.5919581972350078,1998-06-24T08:55:02,1.0,0.7519196153683587,1081.9517642117055,177.0,Congo_Water_Downstream,1055.9999999999998,183.0,1890,72.00000000000001,1090.5089709978697,64.0,5,492.0000000000001,1286.1789319221316,323.99999999999994,44.092213,
1_1_LT05_183064_19980726,34.0,52.753124,522.5791116189865,0.09526606098588453,1998-07-26T08:55:24,1.0,0.30769322559529566,638.799318086783,172.0,Congo_Water_Downstream,560.029219916164,183.0,1890,68.0,588.9277847018316,64.0,5,172.95227990053078,372.7637832551815,99.00000000000003,42.535198,
1_1_LT05_183064_19981115,72.0,116.652382,20000.0,1.0,1998-11-15T08:56:06,2.0,0.0,3868.0,132.0,Congo_Water_Downstream,4276.0,183.0,1890,224.0,3758.8954805090693,64.0,5,2028.0000000000005,59.65852364000083,1571.9999999999998,31.102718,
1_2_LE07_183064_19990705,84.0,45.305725,2542.3616089865363,1.0,1999-07-05T09:09:50,0.0,1.1744143992449783,2784.9999999999995,169.0,Congo_Water_Downstream,3263.0,183.0,1890,223.99999999999997,3010.0,64.0,7,3345.0,908.5509674900696,3096.331738675437,41.450283,
1_2_LE07_183064_19990822,31.0,59.575905,1241.932764346953,0.4866046044467319,1999-08-22T09:09:58,1.0,0.9217234943573861,1228.9999999999998,146.0,Congo_Water_Downstream,1008.4594154963943,183.0,1890,68.00000000000001,1199.459667913326,64.0,7,556.2973805102141,2667.0851265450638,331.2879545647198,34.924355,
1_2_LE07_183064_19991025,87.0,105.596809,2101.0853060046184,0.9684590833440554,1999-10-25T09:09:57,1.0,1.4608736767574755,1985.2602040816323,112.0,Congo_Water_Downstream,1976.2499999999993,183.0,1890,223.9999999999998,1982.494113603162,64.0,7,1874.1404742765271,5212.212671558076,1522.1395348837211,26.021759,
1_2_LE07_183064_20000214,51.0,105.231361,685.3586831706945,0.33715930456003745,2000-02-14T09:09:48,1.0,0.5545642453292375,567.8682544486139,141.0,Congo_Water_Downstream,413.9931166503747,183.0,1890,68.0,581.6966587989044,64.0,7,136.6836323547517,589.0781654480995,82.63762935676716,33.480301,
1_2_LE07_183064_20000301,40.0,94.707275,366.10111902930385,0.6009500251098818,2000-03-01T09:09:43,1.0,0.5094303979602033,424.88200815494395,137.0,Congo_Water_Downstream,241.0000000000001,183.0,1890,72.00000000000004,496.9441831295076,64.0,7,79.00000000000003,623.2247097441651,56.00000000000002,32.495789,
1_2_LE07_183064_20000317,95.0,82.876152,1423.9999999999998,1.0,2000-03-17T09:09:40,2.0,0.9458500352220979,1426.0,135.0,Congo_Water_Downstream,1447.9519336073624,183.0,1890,224.0,1418.4718590108016,64.0,7,905.0000000000007,462.08381387415375,691.9736167094176,31.969574,
1_2_LE07_183064_20000402,96.0,70.913795,20000.0,1.0,2000-04-02T09:09:34,4.0,1.8999177084252432,20000.0,137.0,Congo_Water_Downstream,9560.906713887427,183.0,1890,224.0,20000.0,64.0,7,20000.0,2721.125828511629,5340.127814473748,32.376064,
1_2_LE07_183064_20000418,80.0,60.29892,1211.577579887601,0.6361474385845499,2000-04-18T09:09:20,1.0,0.7356971149555697,1214.5393347438387,142.0,Congo_Water_Downstream,894.0,183.0,1890,95.99999999999999,1340.1777875082803,64.0,7,406.0,598.5109768483042,317.0,33.827736,
1_2_LE07_183064_20000504,65.0,52.164394,1484.875345312309,1.0,2000-05-04T09:09:19,2.0,0.8777139899833749,1501.0,150.0,Congo_Water_Downstream,1770.5842574771639,183.0,1890,224.0,1536.9999999999995,64.0,7,1064.2162838868278,226.95596680624317,845.0000000000001,36.022896,
1_2_LE07_183064_20000707,70.0,46.007175,1462.0186551344016,0.8905292166962038,2000-07-07T09:08:39,1.0,1.0406465904804858,1339.588506741654,169.0,Congo_Water_Downstream,1171.0,183.0,1890,95.99999999999999,1348.75,64.0,7,699.1360824742268,4159.851920020421,593.0,41.581577,
1_2_LE07_183064_20000824,73.0,61.274265,20000.0,1.0,2000-08-24T09:08:04,2.0,0.9981792444149756,20000.0,145.0,Congo_Water_Downstream,7434.411540749554,183.0,1890,224.0,20000.0,64.0,7,6171.353854632691,7114.587727676477,4605.208611514272,34.751743,
1_2_LE07_183064_20001230,84.0,123.442558,2110.8556701030925,0.9936457472991314,2000-12-30T09:07:30,0.0,1.5667563663836885,2115.9809663250367,144.0,Congo_Water_Downstream,2368.3333333333335,183.0,1890,224.0,2250.708574434508,64.0,7,2232.308815935079,2642.453498134648,1775.005389064143,34.389145,
1_2_LE07_183064_20010115,78.0,119.034065,1311.0,1.0,2001-01-15T09:07:33,2.0,0.46832540632234854,1345.0,146.0,Congo_Water_Downstream,1503.0,183.0,1890,224.0,1347.9999999999995,64.0,7,797.0000000000003,60.11282714950474,627.0000000000001,35.019962,
1_2_LE07_183064_20010216,58.0,103.395119,1336.9541301073186,1.0,2001-02-16T09:07:30,1.0,1.0842048358019423,1328.077125077236,142.0,Congo_Water_Downstream,1047.0,183.0,1890,224.0,1214.17063401437,64.0,7,560.4192823772597,1240.1311764308427,433.00000000000006,33.872578,
1_2_LE07_183064_20010320,64.0,80.990944,844.0,0.9661722164347291,2001-03-20T09:07:16,1.0,0.17672987328619627,956.0,137.0,Congo_Water_Downstream,808.0000000000001,183.0,1890,95.99999999999999,1092.8886560125752,64.0,7,470.0,183.68073746426626,355.99999999999994,32.534473,
