system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_180029_19840511,9.0,132.468369,868.0,0.42353329391868677,1984-05-11T08:12:04,1.0,0.11743255680941728,1193.9999999999998,144.0,Danube_Water_Downstream,1070.9999999999998,180.0,286,68.0,1186.9999999999998,29.0,5,517.9999999999999,119.22093190966329,343.99999999999994,34.352856,
1_1_LT05_180029_19840527,11.0,128.744751,3022.8424153166425,0.8625345451045632,1984-05-27T08:12:32,1.0,1.3934345118671836,3321.0,134.0,Danube_Water_Downstream,3248.6666666666665,180.0,286,95.99999999999999,3240.0,29.0,5,2601.0,4273.473277453619,2393.0,31.650875,
1_1_LT05_180029_19840628,1.0,124.501328,514.0,0.0,1984-06-28T08:13:04,1.0,0.0,775.0000000000002,131.0,Danube_Water_Downstream,472.0,180.0,286,68.0,700.0,29.0,5,124.00000000000001,26.84587059053412,85.99999999999999,30.94445,
1_1_LT05_180029_19840714,0.0,125.643822,639.9999999999999,0.0031760872255296915,1984-07-14T08:13:15,1.0,0.0,897.0000000000002,137.0,Danube_Water_Downstream,672.9999999999998,180.0,286,68.0,806.0,29.0,5,279.0,24.718188900808777,196.00000000000003,32.552326,
1_1_LT05_180029_19840815,2.0,133.918365,469.99999999999994,0.0,1984-08-15T08:14:22,1.0,0.0,671.0,159.0,Danube_Water_Downstream,413.00000000000017,180.0,286,68.0,558.9999999999998,29.0,5,141.99999999999997,24.580175122380584,96.0,38.599014,
1_1_LT05_180029_19840831,6.0,139.491745,483.9999999999999,0.0,1984-08-31T08:14:39,1.0,0.0,635.0000000000006,173.0,Danube_Water_Downstream,350.00000000000017,180.0,286,68.0,484.00000000000045,29.0,5,91.0,27.611997917022094,60.00000000000007,42.777031,
1_1_LT05_180029_19841103,49.0,155.888229,975.0000000000001,1.0,1984-11-03T08:14:33,1.0,0.7962514259434846,964.0,227.0,Danube_Water_Downstream,682.0000000000001,180.0,286,96.00000000000001,824.0,29.0,5,371.0,718.5200893812519,224.99999999999997,63.082443,
1_1_LT05_180029_19841205,7.0,156.589294,672.7407725321884,0.10464588689829646,1984-12-05T08:14:34,1.0,0.0,843.9999999999998,240.0,Danube_Water_Downstream,326.00000000000006,180.0,286,68.0,680.0000000000002,29.0,5,103.99999999999999,47.47395825921503,58.00000000000003,70.48201,
1_1_LT05_180029_19850122,92.0,150.753525,3387.0,1.0,1985-01-22T08:14:58,2.0,1.6562394900418247,3394.84089456869,239.0,Danube_Water_Downstream,3344.4055944055945,180.0,286,224.0,3359.0,29.0,5,2979.9999999999995,1668.168722332375,2399.0,69.532181,
1_1_LT05_180029_19850701,25.0,124.990494,1172.0,0.045633911262047834,1985-07-01T08:14:37,1.0,0.18369126624564613,1565.0000000000002,131.0,Danube_Water_Downstream,1457.9999999999995,180.0,286,66.0,1522.5463941380638,29.0,5,202.0,72.20964528387523,112.40240588648368,30.950603,
1_1_LT05_180029_19850717,3.0,126.422249,769.0,0.0,1985-07-17T08:14:30,1.0,0.0,1009.0,138.0,Danube_Water_Downstream,762.0000000000002,180.0,286,68.0,833.9999999999999,29.0,5,155.99999999999991,25.375251360005286,117.00000000000001,32.803154,
1_1_LT05_180029_19850802,5.0,129.971207,683.0,0.01977148671130605,1985-08-02T08:14:23,1.0,0.0,872.0,148.0,Danube_Water_Downstream,639.0000000000005,180.0,286,68.0,707.9999999999999,29.0,5,171.0,24.156628821614053,84.00000000000003,35.609291,
1_1_LT05_180029_19850818,65.0,134.906296,1621.0,1.0,1985-08-18T08:14:13,0.0,0.7142886833384567,1813.0,161.0,Danube_Water_Downstream,2367.0,180.0,286,224.0,1744.0,29.0,5,2035.0,668.9091598127306,1627.0,39.234928,
1_1_LT05_180029_19850903,15.0,140.399597,505.0,0.0,1985-09-03T08:14:02,1.0,0.0,658.0675121223422,176.0,Danube_Water_Downstream,429.0,180.0,286,68.0,539.0,29.0,5,143.99999999999997,33.25609249305304,100.00000000000004,43.565807,
1_1_LT05_180029_19851106,54.0,155.75264,4928.733316794839,1.0,1985-11-06T08:13:15,4.0,0.9580164357786688,5123.000000000001,229.0,Danube_Water_Downstream,5051.0,180.0,286,224.0,5086.000000000001,29.0,5,4166.0,1088.565091011812,3301.9999999999995,64.022217,
1_1_LT05_180029_19851208,4.0,155.880249,3307.23896499239,1.0,1985-12-08T08:12:41,4.0,1.4239142911884797,3433.040282458673,241.0,Danube_Water_Downstream,3182.4262861297952,180.0,286,159.99999999999997,3368.604068522484,29.0,5,2986.051224226804,770.3267428406521,2389.7455066921607,71.047905,
