system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_179028_19840605,16.0,129.310135,3224.8584641982425,1.0,1984-06-05T08:06:09,2.0,1.0740310665530632,7204.155339805826,,Dnieper_Land_Downstream,7885.754161331627,179.0,185,112.0,7157.999999999999,28.0,5,5191.252032520326,6323.406851575173,3636.0,31.484798,
1_1_LT05_179028_19840621,24.0,127.257774,1456.0,0.0,1984-06-21T08:06:24,0.0,1.2566375996984551,1580.0,,Dnieper_Land_Downstream,2321.0000000000005,179.0,185,66.0,1526.0,28.0,5,1868.0,604.6325944877763,1595.0,31.204025,
1_1_LT05_179028_19840707,63.0,127.261452,1215.9999999999998,1.0,1984-07-07T08:06:35,2.0,0.42196797970321576,1336.9999999999998,,Dnieper_Land_Downstream,1618.0,179.0,185,224.0,1218.0,28.0,5,783.0,38.730306478043104,556.0,32.314213,
1_1_LT05_179028_19840723,6.0,129.514084,814.0,0.13364387042134235,1984-07-23T08:07:01,1.0,0.0,887.0,,Dnieper_Land_Downstream,983.9999999999998,179.0,185,66.0,719.0000000000003,28.0,5,268.9999999999999,31.748429500507996,155.99999999999997,34.555992,
1_1_LT05_179028_19840909,40.0,143.974701,1066.9999999999998,1.0,1984-09-09T08:08:06,1.0,0.38511379741744595,1151.9999999999998,,Dnieper_Land_Downstream,1213.0,179.0,185,72.0,962.0000000000001,28.0,5,464.0,139.0968661539487,281.99999999999994,46.362789,
1_1_LT05_179028_19840925,5.0,148.903748,339.0,0.0,1984-09-25T08:08:08,1.0,0.0,427.0,,Dnieper_Land_Downstream,288.0,179.0,185,68.0,313.99999999999994,28.0,5,80.99999999999997,31.09489516751023,74.0,51.501419,
1_1_LT05_179028_19841027,1.0,155.776443,595.0,0.050074105441456684,1984-10-27T08:08:02,1.0,0.0,642.0,,Dnieper_Land_Downstream,375.0,179.0,185,68.0,498.9999999999999,28.0,5,147.99999999999997,39.39455454354624,97.00000000000003,62.113457,
1_1_LT05_179028_19841128,50.0,157.462479,1672.9999999999998,1.0,1984-11-28T08:07:55,0.0,0.0,1744.0,,Dnieper_Land_Downstream,2209.0,179.0,185,224.0,1819.5500601523863,28.0,5,2481.0,310.9333598119911,1920.3019571295433,70.487366,
1_1_LT05_179028_19841214,39.0,156.498688,1033.0,0.0014185898793139951,1984-12-14T08:08:06,1.0,0.0,1060.9999999999995,,Dnieper_Land_Downstream,775.9999999999999,179.0,185,68.0,906.9999999999997,28.0,5,322.9999999999999,92.68475817182862,164.99999999999991,72.727936,
1_1_LT05_179028_19841230,4.0,154.688339,947.9999999999998,0.282976921448232,1984-12-30T08:08:15,1.0,0.0,1002.9999999999999,,Dnieper_Land_Downstream,739.0,179.0,185,68.0,960.9999999999999,28.0,5,310.99999999999994,65.50443162454232,158.99999999999997,73.214066,
1_1_LT05_179028_19850115,2.0,152.427155,1011.9999999999999,0.04537370315477449,1985-01-15T08:08:21,1.0,0.0,1012.1027157838123,,Dnieper_Land_Downstream,787.0,179.0,185,68.0,887.0,28.0,5,290.99999999999994,69.08480935673795,148.99999999999994,71.815109,
1_1_LT05_179028_19850131,59.0,150.070831,1653.0,1.0,1985-01-31T08:08:25,2.0,1.8632268560268561,1720.0,,Dnieper_Land_Downstream,1802.9966749792188,179.0,185,224.0,1704.0,28.0,5,1614.0,439.8071081273997,1549.0,68.641388,
1_1_LT05_179028_19850405,51.0,141.976425,1420.0269499048825,1.0,1985-04-05T08:08:22,1.0,0.3734818307053988,1450.0,,Dnieper_Land_Downstream,1297.9999999999998,179.0,185,224.0,1341.0,28.0,5,814.0,78.44686290406176,576.9999999999999,46.014793,
1_1_LT05_179028_19850421,89.0,139.491516,725.0,0.0,1985-04-21T08:08:17,1.0,0.0,853.9999999999997,,Dnieper_Land_Downstream,730.9999999999998,179.0,185,68.0,790.0990520410137,28.0,5,386.00000000000006,27.9442239001033,288.99999999999994,40.398186,
1_1_LT05_179028_19850507,72.0,136.36319,820.6994669946698,0.47482532288799495,1985-05-07T08:08:08,1.0,0.0,884.939352448453,,Dnieper_Land_Downstream,818.0000000000001,179.0,185,68.0,786.9999999999999,28.0,5,524.9999999999999,87.9197416068055,385.99999999999994,35.810745,
