system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_198032_19840509,9.0,126.403831,3230.0,0.0,1984-05-09T10:04:27,0.0,0.0,5006.0,138.0,Ebro_Water_Midstream,5628.0,198.0,40,66.0,5112.0,32.0,5,5152.0,343.04384195026387,4330.0,32.698334,
1_1_LT05_198032_19840525,8.0,121.778374,913.0,0.0,1984-05-25T10:04:55,1.0,0.0,1340.0,128.0,Ebro_Water_Midstream,657.0,198.0,40,68.0,1191.0,32.0,5,253.0,26.215024318127234,189.0,30.091599,
1_1_LT05_198032_19840626,0.0,116.648026,675.0,0.0,1984-06-26T10:05:29,1.0,0.0,941.0,125.0,Ebro_Water_Midstream,546.0,198.0,40,68.0,726.0,32.0,5,176.0,29.792784361318056,121.0,29.3722,
1_1_LT05_198032_19840829,2.0,133.937454,944.0,0.0,1984-08-29T10:07:04,1.0,0.0,1109.0,163.0,Ebro_Water_Midstream,1196.0,198.0,40,66.0,906.0,32.0,5,279.0,41.62138873223721,135.0,39.726109,
1_1_LT05_198032_19840914,21.0,140.349106,1316.0,1.0,1984-09-14T10:07:08,0.0,1.0580051984749412,1589.0,177.0,Ebro_Water_Midstream,1826.0,198.0,40,224.0,1463.0,32.0,5,1312.0,613.3096363175783,950.0,44.081879,
1_1_LT05_198032_19840930,0.0,146.018677,454.0,0.0,1984-09-30T10:07:09,1.0,0.0,653.0,192.0,Ebro_Water_Midstream,294.0,198.0,40,68.0,481.0,32.0,5,85.0,35.720582302084615,74.0,48.956512,
1_1_LT05_198032_19841101,5.0,153.446777,738.0,0.0,1984-11-01T10:07:00,1.0,0.0,901.0,219.0,Ebro_Water_Midstream,439.0,198.0,40,68.0,643.0,32.0,5,147.0,33.76528357647838,94.0,59.007393,
1_1_LT05_198032_19841117,58.0,154.905396,597.0,1.0,1984-11-17T10:06:54,1.0,0.0,742.0,228.0,Ebro_Water_Midstream,629.0,198.0,40,96.0,698.0,32.0,5,344.0,78.78352857672732,299.0,63.347878,
1_1_LT05_198032_19850104,42.0,151.667801,998.0,0.6025117113525366,1985-01-04T10:07:18,1.0,0.0,1302.0,237.0,Ebro_Water_Midstream,594.0,198.0,40,96.0,1011.0,32.0,5,140.0,54.04394045589198,127.0,68.418999,
1_1_LT05_198032_19850120,100.0,149.134186,4106.0,1.0,1985-01-20T10:07:24,2.0,0.0,4303.0,234.0,Ebro_Water_Midstream,4646.0,198.0,40,224.0,4332.0,32.0,5,3238.0,60.55075866576243,2696.0,66.592133,
1_1_LT05_198032_19850205,22.0,146.445129,1092.0,1.0,1985-02-05T10:07:27,1.0,0.30000000000000004,1237.0,227.0,Ebro_Water_Midstream,934.0,198.0,40,96.0,1061.0,32.0,5,470.0,232.32197350874927,295.0,63.086487,
1_1_LT05_198032_19850325,19.0,138.34433,1208.0,1.0,1985-03-25T10:07:26,1.0,1.0603655030224248,1383.0,185.0,Ebro_Water_Midstream,1297.0,198.0,40,224.0,1280.0,32.0,5,929.0,751.5014433618875,696.0,46.47876,
1_1_LT05_198032_19850410,3.0,135.097931,431.0,0.0,1985-04-10T10:07:21,1.0,0.0,648.0,166.0,Ebro_Water_Midstream,314.0,198.0,40,68.0,464.0,32.0,5,123.0,37.699063317276206,98.0,40.654972,
1_1_LT05_198032_19850528,13.0,121.746635,707.0,0.0,1985-05-28T10:07:09,1.0,0.0,947.0,125.0,Ebro_Water_Midstream,479.0,198.0,40,68.0,762.0,32.0,5,179.0,32.144828510975174,121.0,29.456387,
1_1_LT05_198032_19850613,14.0,118.267517,1184.0,1.0,1985-06-13T10:07:08,1.0,1.0380269746013349,1391.0,123.0,Ebro_Water_Midstream,1405.0,198.0,40,224.0,1279.0,32.0,5,1123.0,754.3544442104121,778.0,28.715347,
1_1_LT05_198032_19850629,3.0,117.126839,770.0,0.20083723711751214,1985-06-29T10:07:04,1.0,0.0,996.0,125.0,Ebro_Water_Midstream,652.0,198.0,40,68.0,807.0,32.0,5,272.0,23.722352328552915,190.0,29.311432,
1_1_LT05_198032_19850731,15.0,122.895973,568.0,0.0,1985-07-31T10:06:50,1.0,0.0,855.0,140.0,Ebro_Water_Midstream,464.0,198.0,40,68.0,640.0,32.0,5,133.0,30.08284394800464,91.0,33.377102,
